id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
108001,Κόρνα αέρος ποδηλάτου - 665071,Κόρνα αέρος ποδηλάτου - 665071,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a22c955875baf9d1fcfe71868004c471.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108104,Κουδούνι ποδηλάτου - Coffee - S25-474 - 650677,Κουδούνι ποδηλάτου - Coffee - S25-474 - 650677,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/3c13d1689a0015bbbe756c09aa71fa14.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108131,Κουδούνι ποδηλάτου - S25-500 - 652756,Κουδούνι ποδηλάτου - S25-500 - 652756,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9281601b61da1ce669667ca371a369f8.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108140,Κουδούνι ποδηλάτου - S25-521 - 652718,Κουδούνι ποδηλάτου - S25-521 - 652718,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e288294f100ff5e28f741715ee3932c4.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108524,Κόρνα αέρος ποδηλάτου - S27-02 - 650707,Κόρνα αέρος ποδηλάτου - S27-02 - 650707,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/39b303377bc2529f80be46c020379bc4.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108527,Κόρνα αέρος ποδηλάτου - S27-01 9 - 650691,Κόρνα αέρος ποδηλάτου - S27-01 9 - 650691,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/5965936bde324dd3f6be0561213c0ed3.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108530,Κουδούνι ποδηλάτου - S25-490-2 - 650684,Κουδούνι ποδηλάτου - S25-490-2 - 650684,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/fccf9104951f3a72ec20094f4e87c381.jpg,OEM,No Color,0.3,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108533,Κουδούνι ποδηλάτου - s25-476 - 650660,Κουδούνι ποδηλάτου - s25-476 - 650660,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/c586848472124ab06cdfa5ba8715a295.jpg,OEM,No Color,0.3,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108536,Κουδούνι ποδηλάτου - S25-454 - 650653,Κουδούνι ποδηλάτου - S25-454 - 650653,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/40026f62b906c88363f72d044eb4b327.jpg,OEM,No Color,0.3,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
108539,Κουδούνι ποδηλάτου - S25-434 - 650646,Κουδούνι ποδηλάτου - S25-434 - 650646,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/61f354b9758a6f572df4ce04efe5835c.jpg,OEM,No Color,0.3,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Κόρνες  κουδουνάκια
