id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35236,Κλείδωμα τιμονιού αυτοκινήτου - Univer,Κλείδωμα τιμονιού αυτοκινήτου - Universal - 394492,in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/κλείδωμα-τιμονιού-αυτοκινήτου-μπέζ-4492.jpg,OEM,No Color,0.3,<p>Εφαρμόζεται στο τιμόνι και το ασφαλίζει. Δεν συνδέεται με το πεντάλ. Διαθέτει κλειδιά. </p><ul><li>Διαστάσεις συσκευασίας: 41 x 15cm</li></ul>,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
37190,Αλυσίδα μοτοσικλέτας με κωδικό ασφ�,Αλυσίδα μοτοσικλέτας με κωδικό ασφαλείας - 18x120cm - 673240,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/673257_812.jpg,OEM,No Color,2,"<p>Αλυσίδα μοτοσικλέτας, σκληρή, με κωδικό ασφαλείας </p><ul><li>Διαστάσεις συσκευασίας: 20 x 24cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
37191,Αλυσίδα μοτοσικλέτας με κωδικό ασφ�,Αλυσίδα μοτοσικλέτας με κωδικό ασφαλείας - 22x120cm- 673257,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/673257_812.jpg,OEM,No Color,2,"<p>Αλυσίδα μοτοσικλέτας, σκληρή, με κωδικό ασφαλείας.</p><ul><li>Διαστάσεις συσκευασίας: 20 x 24cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48427,Αλυσίδα μοτοσυκλέτας με κωδικό ασφ�,Αλυσίδα μοτοσυκλέτας με κωδικό ασφαλείας - 21060 - STELAR - 587162,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587162.png,OEM,No Color,1.5,"Αλυσίδα κλειδώματος μοτοσυκλέτας, ατσάλινη, με κωδικό ασφαλείας 5 ψηφίων και κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48430,Αλυσίδα μοτοσυκλέτας με κωδικό ασφ�,Αλυσίδα μοτοσυκλέτας με κωδικό ασφαλείας - 20815 - 587155,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587155.png,OEM,No Color,1.5,"Αλυσίδα κλειδώματος μοτοσυκλέτας, ατσάλινη, με κωδικό ασφαλείας 4 ψηφίων και κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48433,Αλυσίδα μοτοσυκλέτας με κωδικό ασφ�,Αλυσίδα μοτοσυκλέτας με κωδικό ασφαλείας - 20800B - STELAR - 587148,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587148.png,OEM,No Color,1.5,"Αλυσίδα κλειδώματος μοτοσυκλέτας, ατσάλινη, με κωδικό ασφαλείας 4 ψηφίων και κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48436,Αλυσίδα ποδηλάτου με κωδικό ασφαλε�,Αλυσίδα ποδηλάτου με κωδικό ασφαλείας - 12*120 - 587131,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587131.png,OEM,No Color,1.5,"Αλυσίδα κλειδώματος ποδηλάτου, ατσάλινη, με κωδικό ασφαλείας 5 ψηφίων και κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα. Μήκος: 120cm.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48439,Αλυσίδα ποδηλάτου - 12*120 - 587124,Αλυσίδα ποδηλάτου - 12*120 - 587124,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587124.png,OEM,No Color,1.5,"Αλυσίδα κλειδώματος ποδηλάτου, ατσάλινη, με κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα. Περιλαμβάνει σετ 2 κλειδιών. Μήκος: 120cm.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
48442,Αλυσίδα ποδηλάτου - 10*80 - 587117,Αλυσίδα ποδηλάτου - 10*80 - 587117,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/587117.png,OEM,No Color,0.8,"Αλυσίδα κλειδώματος ποδηλάτου, ατσάλινη, με κάλυμμα προστασίας από καουτσούκ για να μην χαράζει την ζάντα. Περιλαμβάνει σετ 2 κλειδιών. Μήκος: 120cm.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
105533,Σύστημα συναγερμού μοτοσυκλέτας - 33,Σύστημα συναγερμού μοτοσυκλέτας - 3302103 - 310558,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/bf6726b9bf55709719e47d9e2fac6293.jpg,OEM,No Color,0.8,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
105536,Σύστημα συναγερμού μοτοσυκλέτας - 33,Σύστημα συναγερμού μοτοσυκλέτας - 3302102 - 310557,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/96a809b4558f384d99e003232eb4b587.jpg,OEM,No Color,0.8,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
106538,Σύστημα συναγερμού μοτοσυκλέτας - CT,Σύστημα συναγερμού μοτοσυκλέτας - CTC528 - 000407,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/efbfa8fee5f9dd2b7e5eec65c2f8660d.jpg,OEM,No Color,0.9,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
108218,Κλειδί αλυσίδας ποδηλάτου - S64-13 - 65239,Κλειδί αλυσίδας ποδηλάτου - S64-13 - 652398,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/4701741628d8393d7f8ea90e29691326.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
108221,Κλειδί αλυσίδας ποδηλάτου - S64-19B - 11/1,Κλειδί αλυσίδας ποδηλάτου - S64-19B - 11/13/14 - 652367,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/5372854f72ab5d1383c6eb0355e53328.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
108366,Κλειδαριά ποδηλάτου - S51-101 - 651575,Κλειδαριά ποδηλάτου - S51-101 - 651575,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/57eb1fbc7c4ec3366988f84a43767640.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
108369,Αλυσίδα κλειδώματος ποδηλάτου - S51-10,Αλυσίδα κλειδώματος ποδηλάτου - S51-10 - 651568,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/b70870357547dd74dfb96535325e6839.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Συναγερμοί  κλειδαριές
