id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35465,Ψηφιακός μετρητής θερμοκρασίας με �,Ψηφιακός μετρητής θερμοκρασίας με βολτόμετρο - VST-7045 - 673370,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/数字温度计电压表-vst-7045.jpg,OEM,No Color,1,"<p>Ένα από τα πιο πρακτικά αξεσουάρ αυτοκινήτου!</p><p>Προβάλει στην ψηφιακή του οθόνη ημερομηνία και θερμοκρασία. Διαθέτει μπλε φωτισμό φόντου, ο οποίος ανάβει όταν η συσκευή είναι συνδεδεμένη με τον αναπτήρα του αυτοκινήτου.</p><p>Όταν η συσκευή λειτουργεί με μπαταρίες, τότε η οθόνη δεν ανάβει για εξοικονόμηση ενέργειας και δείχνει μόνο την ώρα.</p><p>Διαστάσεις:</p><ul><li>Μήκος: 11 cm</li><li>Πλάτος: 5 cm</li><li>Ύψος: 5,7 cm</li></ul><p>Χαρακτηριστικά:</p><ul><li>Ένδειξη ημερομηνίας και ώρας</li><li>Ξυπνητήρι</li><li>Μέτρηση θερμοκρασίας σε Κελσίου και Φάρενάιτ</li><li>Εύρος μέτρησης θερμοκρασίας: 50-70 βαθμοί Κελσίου</li><li>Διάρκεια θερμοκρασίας: 20 δευτερόλεπτα</li><li>Μπλε backlight</li><li>Τάση: 12-24V</li><li>Λειτουργεί με 2 μπαταρίες LR44</li><li>Μήκος καλωδίου αισθητήρα: 1,5 μέτρα</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36296,Βάση στήριξης smartphone αυτοκινήτου - Apa,Βάση στήριξης smartphone αυτοκινήτου - Apai Genie - Περιστρεφόμενη - 882077,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/apai_genie.jpg,OEM,No Color,0.1,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Περιστροφή και λήψη 360 μοιρών</li><li>Δυνατότητα προσαρμογής της βάσης υπό κάθε γωνία</li><li>Δυνατότητα προσαρμογής σε τρίποδο</li><li>Object Tracking</li><li>Face Tracking</li><li>Ταχύτατη αναγνώριση προσώπων</li><li>Αυτόματη λήψη φωτογραφιών</li><li>Αυτόματη λήψη video</li><li>Αντίστροφη μέτρηση έναρξης video</li><li>Δυνατότητα κάθετης ή οριζόντιας λήψης (portrait)</li><li>Διάφορα παιχνιδιάρικα φίλτρα</li><li>Σύνδεση μέσω Bluetooth</li><li>Λειτουργεί με 3 μπαταρίες ΑΑ (Δεν περιλαμβάνονται)</li><li>Συμβατό με iOs 10.0 ή νεότερο και Android 8.1 ή νεότερο</li><li>Πτυσσόμενη Βάση κινητού από 5,5 έως 11,5cm</li><li>Διαστάσεις: 16,5 x 9 cm</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36306,Φορτιστής αναπτήρα - Mini USB - 3.5m - 5V - 0012,Φορτιστής αναπτήρα - Mini USB - 3.5m - 5V - 001245,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_001245.jpg,OEM,No Color,0.2,<p>5V - Ειδικός για κινητά blackberry.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36589,Ασύρματος φορτιστής αυτοκινήτου - BX,Ασύρματος φορτιστής αυτοκινήτου - BX9 - 10W - 882931,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/s-l1600-2.jpg,OEM,No Color,0.4,"<p>Ασύρματος φορτιστής αυτοκινήτου με θέση φόρτισης κινητού και ακουστικών. </p><p>Ισχύς: 10W</p><p>Τάση λειτουργίας: 10 - 24V</p><p>2 θύρες USB, 1 θύρα TypeC</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36677,Φορτιστής αυτοκινήτου - 4 Θύρες αναπ,Φορτιστής αυτοκινήτου - 4 Θύρες αναπτήρα-2 Θύρες USB - D09 - 428090,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_428090.jpg,OEM,No Color,0.2,"<div id=""tab-specification"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--specification panel entry-content wc-tab"" role=""tabpanel"" aria-labelledby=""tab-title-specification""><p><strong>D09-4 Socket + 2 USB Car Charger</strong></p><ul><li>Input Voltage: DC24V</li><li>Interface: USB</li><li>Usage: Game Player, Digital Camera, Mobile Phone</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36678,Φορτιστής αυτοκινήτου - 3 Θύρες αναπ,Φορτιστής αυτοκινήτου - 3 Θύρες αναπτήρα-2 Θύρες USB - D08 - 428083,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_428083.jpg,OEM,No Color,0.3,"<p><strong>D08 -3 Socket + 2 USB Car Charger</strong></p><ul><li>Input Voltage: DC24V</li><li>Interface: USB</li><li>Usage: Game Player, Digital Camera, Mobile Phone</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36854,Τεμπέλης τιμονιού αυτοκινήτου - JM815 ,Τεμπέλης τιμονιού αυτοκινήτου - JM815 - 000603,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_000603.jpg,OEM,No Color,0.5,"<p>Τεμπέλης τιμονιού αυτοκινήτου JM815, Universal με εύκολη τοποθέτηση σε όλα τα τιμόνια.</p><p>Διάμετρος λαβής: 60mm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
36991,Ποτηροθήκη αυτοκινήτου - SD054 - 7x8cm - 001,Ποτηροθήκη αυτοκινήτου - SD054 - 7x8cm - 001126 - Silver,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/001126_811.jpg,OEM,No Color,0.1,"<p>Ποτηροθήκη αυτοκινήτου SD054 σπιράλ, μεταλλική.</p><p>Διαστάσεις: 7 (διάμετρος) x 8 (ύψος) cm<br />Τοποθετείται στο ταμπλώ με αυτοκόλλητο βάσης (περιλαμβάνεται)</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
37215,Κονσόλα χειρόφρενου αυτοκινήτου - Τ,Κονσόλα χειρόφρενου αυτοκινήτου - Τεμπέλης - HR2607 - Universal - 003106,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_003106-1.jpg,OEM,No Color,4.0,"<p>Εξαιρετικά λειτουργικός τεμπέλης αυτοκινήτου με μεγάλο χώρο αποθήκευσης και ποτηροθήκες. Εύκολη εγκατάσταση, συμβατός με τα περισσότερα αυτοκίνητα.</p><p>Χαρακτηριστικά:</p><ul><li>Διπλή ποτηροθήκη στο πίσω μέρος και ένα ράφι στο μπροστινό μέρος</li><li>Κατασκευασμένο από ενισχυμένο πλαστικό και δερματίνη</li><li>Μεταλλικές πλάκες στήριξης</li><li>Διαστάσεις συσκευασίας: 32 x 17 cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
37323,Φορτιστής αυτοκινήτου - Micro USB - 1m - V8-D,Φορτιστής αυτοκινήτου - Micro USB - 1m - V8-D13 - 110206,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/110206.jpg,OEM,No Color,0.1,"<p>Φορτιστής αυτοκινήτου V8-D13, για Αndroid συσκευές<br />MicroUSB<br />Mήκος καλωδίου: 1m</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αξεσουάρ καμπίνας  διακόσμησης
