id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36157,Power Inverter - Μονοφασικό - 1000W - DC-24V - 602066,Power Inverter - Μονοφασικό - 1000W - DC-24V - 602066,in stock,new,50.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_602066.jpg,OEM,No Color,5,"<ul><li>Ισχύς: 1000W</li><li>Τάση εισόδου: 24VDC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li><li>1 πρίζα ευρωπαϊκού τύπου</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
37206,Καλώδια εκκίνησης μπαταρίας αυτοκι,Καλώδια εκκίνησης μπαταρίας αυτοκινήτου - 3000A - 3m - 000132,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2004_000132-1.jpg,OEM,No Color,4,"<div class=""tabs-content""><div id=""tab-description"" class=""tab-pane tab-content  active ""><p>Καλώδια εκκίνησης μπαταρίας αυτοκινήτου - 3000A</p><ul><li>Διάσταση Τσιμπίδας: 14 x 9 cm</li><li>Υλικό Καλωδίου: Χαλκός</li><li>Διάμετρος Καλωδίου: 8mm</li><li>Μήκος: 3m</li><li>Βάρος: 0.75 Kg</li><li>Περιλαμβάνεται ειδική θήκη αποθήκευσης.</li></ul></div></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
37752,Power Inverter - Μονοφασικό - 3000W - DC-12V - 602203,Power Inverter - Μονοφασικό - 3000W - DC-12V - 602203,in stock,new,198 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_602203-1.jpg,OEM,No Color,7,"<ul><li>Ισχύς: 3000W</li><li>Τάση εισόδου: 12VDC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li><li>2 πρίζες ευρωπαϊκού τύπου</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38307,Εκκινητής μπαταρίας οχημάτων - Jump Sta,Εκκινητής μπαταρίας οχημάτων - Jump Starter - X30 - 000301,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000301.jpg,OEM,No Color,4,"<p>Εκκινητής μπαταρίας αυτοκινήτου - Jump Starter - X30<br />Χωρητικότητα: 16.800mah. 62.2Wh<br />Start up current: 450A<br />Peak Current: 600A<br />In: 12V/2A, Out: 12V/2A<br />Ψηφιακή οθόνη ενδείξεων<br />Θύρα USB<br />Φακός LED<br />Διαστάσεις συσκευής: 16.5 x 8 x 4cm<br />Διατίθεται σε σκληρό βαλιτσάκι αποθήκευσης<br />Περιλαμβάνει τα καλώδια και όλα τα απαραίτητα σύνεργα χρήσης.</p><p>Μέγεθος συσκευασίας: 28 Χ 20 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38308,Εκκινητής μπαταρίας οχημάτων - Jump Sta,Εκκινητής μπαταρίας οχημάτων - Jump Starter - ST17 - 000172,in stock,new,63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000172.jpg,OEM,No Color,4,"Εκκινητής μπαταρίας οχημάτων - Jump Starter - ST17

Peak Current: 2000Α
Χωρητικότητα μπαταρίας: 12.000mah
Ψηφιακή οθόνη ενδείξεων
Φακός LED
Θύρα USB
Διαστάσεις: 16.5 x 8 x 4cm
Διαθέτει σκληρό βαλιτσάκι αποθήκευσης και μεταφοράς.
Περιλαμβάνει τα καλώδια και όλα τα απαραίτητα σύνεργα χρήσης.

Μέγεθος συσκευασίας: 28 Χ 20 εκατοστά.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38309,Power Inverter - Μονοφασικό - 5000W - DC-12V - 192905,Power Inverter - Μονοφασικό - 5000W - DC-12V - 192905,in stock,new,243 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_192905-1.jpg,OEM,No Color,9,"<ul><li>Ισχύς: 5000W</li><li>Τάση εισόδου: 12VDC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38310,Power Inverter - Μονοφασικό - 5000W - DC-24V - 192902,Power Inverter - Μονοφασικό - 5000W - DC-24V - 192902,in stock,new,243 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_192902.jpg,OEM,No Color,9,"<ul><li>Ισχύς: 5000W</li><li>Τάση εισόδου: 24V DC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38785,Power Inverter - Μονοφασικό - 1000W - DC-12V - 602090,Power Inverter - Μονοφασικό - 1000W - DC-12V - 602090,in stock,new,57.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/602090.jpeg,OEM,No Color,7,"<ul><li>Ισχύς: 1000W</li><li>Τάση εισόδου: 12VDC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li><li>1 πρίζα ευρωπαϊκού τύπου</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
38915,Power Inverter - Μονοφασικό - 500W - 12V - 602137,Power Inverter - Μονοφασικό - 500W - 12V - 602137,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_602137-1.jpg,OEM,No Color,5,"<ul><li>Ισχύς: 500W</li><li>Τάση εισόδου: 12VDC</li><li>Προστασία χαμηλής τάσης μπαταρίας, υπέρτασης, υπερθέρμανσης, βραχυκυκλώματος, αντίστροφης πολικότητας μπαταρίας, υπερφόρτωσης</li><li>Έξοδος τροποποιημένου ημιτόνου</li><li>Διακόπτης power on/off.</li><li>1 πρίζα ευρωπαϊκού τύπου</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
105822,Καλώδια εκκίνησης μπαταρίας αυτοκι,Καλώδια εκκίνησης μπαταρίας αυτοκινήτου - 1710501/Y15 - 170406,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/c9f9a6b47d854c2b2df6ff796b6de1e9.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Εκκινητές μπαταρίας  inverters
