id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36516,Ενισχυτής αυτοκινήτου 4 καναλιών - GM,Ενισχυτής αυτοκινήτου 4 καναλιών - GM-D9800F - 4500W - 197287,in stock,new,81 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_197287.jpg,OEM,No Color,9,"<p>Ενισχυτής αυτοκίνητου 4500W, 4 καναλιών</p><ul><li>Τάση: 12V-16V</li><li>Διαστάσεις: 34 * 22.5 * 5.8 cm</li><li>Βάρος: 2.5 kg</li><li>Ισχύς εξόδων: 4*100W</li><li>Συνολική ισχύς: 4500W</li><li>Ευαισθησία: 90db</li><li>Συχνότητα: 20Hz-20Khz</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36609,Στεροφωνικός ραδιοενισχυτής - D9500F - ,Στεροφωνικός ραδιοενισχυτής - D9500F - 290056,in stock,new,81 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_290056.jpg,OEM,No Color,9,"<div>Ενισχυτής αυτοκινήτου 4 καναλιών με 3D Stereo surround</div><div> </div><div><b>Χαρακτηριστικά:</b></div><div>Υλικό: Αλουμίνιο</div><div>Κανάλια: <span style=""color: #ff0000;"">4 <br /></span></div><div>Τάση λειτουργίας: <span style=""color: #ff0000;"">DC 10-16V</span></div><div>Ισχύς εξόδου: <span style=""color: #ff0000;"">4500W</span></div><div>Total Harmonic Distortion (THD)  RMS Output: ＜0.1%</div><div>Gain bass: 0-12db</div><div>Signal-to-Noise Ratio (SNR): 0-12dB</div><div>Ευαισθησία: 150mV</div><div>Αντίσταση: 2Ω~4Ω</div><div>Συχνότητα: 20Hz~20KHz</div><div><ul><li>Διαστάσεις συσκευασίας: 40 x  26cm</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36640,Σετ εγκατάστασης ενισχυτή αυτοκινή,Σετ εγκατάστασης ενισχυτή αυτοκινήτου - MJ8 - 000118,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_000118.jpeg,OEM,No Color,0.8,"<div id=""tab-description"" class=""tab-pane tab-content active""><p>Ένα πλήρες σετ καλωδίωσης MJ-8 για τον ενισχυτή του αυτοκινήτου σας, για εύκολη εγκατάσταση, συμβατό με όλα τα αυτοκίνητα.</p><p>Έως 1500W</p><p>Χαρακτηριστικά:<br />Υψηλής ποιότητας με εξαιρετικές επιδόσεις.<br />Χαμηλός θόρυβος και παραμόρφωση.</p><p>μέγεθος: 200 * 270 * 50mm<br />Καλώδιο τροφοδοσίας: Σειρά 8GA – Μήκος καλωδίου τροφοδοσίας: 5m<br />Καλώδιο γείωσης: 0,5 μέτρα<br />Καλώδιο διασύνδεσης RCA: 5m<br />Καλώδιο ελέγχου: 5 μέτρα<br />Μέγιστο ρεύμα ασφάλισης: 60Α</p><p>Περιλαμβάνεται το πακέτο:<br />1 x καλώδιο τροφοδοσίας<br />1 x σύρμα γείωσης<br />1 x καλώδιο ελέγχου<br />1 x καλώδιο διασύνδεσης RCA<br />1 x υποδοχή ασφαλειών</p></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36641,Σετ εγκατάστασης ενισχυτή αυτοκινή,Σετ εγκατάστασης ενισχυτή αυτοκινήτου - CTC-66A - 001870,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_001870.jpg,OEM,No Color,1,"<p>Ένα πλήρες σετ καλωδίωσης για τον ενισχυτή του αυτοκινήτου σας, για εύκολη εγκατάσταση, συμβατό με όλα τα αυτοκίνητα.</p><p>Έως 1000W</p><p>Υψηλής ποιότητας με εξαιρετικές επιδόσεις.<br />Χαμηλός θόρυβος και παραμόρφωση.</p><p>Περιλαμβάνεται στο πακέτο:<br />καλώδιο τροφοδοσίας<br />σύρμα γείωσης<br />καλώδιο ελέγχου<br />καλώδιο διασύνδεσης RCA<br />υποδοχή ασφαλειών</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36642,Σετ εγκατάστασης ενισχυτή αυτοκινή,Σετ εγκατάστασης ενισχυτή αυτοκινήτου - CTC-65A - 001771,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_001771.jpg,OEM,No Color,0.8,"<p>Ένα πλήρες σετ καλωδίωσης για τον ενισχυτή του αυτοκινήτου σας, για εύκολη εγκατάσταση, συμβατό με όλα τα αυτοκίνητα.</p><p>Έως 1000W</p><p>Υψηλής ποιότητας με εξαιρετικές επιδόσεις.<br />Χαμηλός θόρυβος και παραμόρφωση.</p><p>Περιλαμβάνεται στο πακέτο:<br />καλώδιο τροφοδοσίας<br />σύρμα γείωσης<br />καλώδιο ελέγχου<br />καλώδιο διασύνδεσης RCA<br />υποδοχή ασφαλειών</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36722,Σετ εγκατάστασης ενισχυτή αυτοκινή,Σετ εγκατάστασης ενισχυτή αυτοκινήτου - CTC-320 - 001788,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_001788-1.jpg,OEM,No Color,0.4,"<div class=""description hide-small-viewport long""><div><p>Σετ καλωδίων εγκατάστασης ενισχυτή αυτοκινήτου CTC-320</p><p>Περιλαμβάνονται:</p><ul><li>4 μέτρα κόκκινο καλώδιο ρεύματος 8AWG</li><li>0.5 μέτρο μαύρο καλώδιο γείωσης 8AWG</li><li>4 μέτρα καλώδιο μπλε λεπτό για remote</li><li>4 μέτρα καλώδιο RCA-RCA θωρακισμένο</li><li>Ακροδέκτες</li><li>Δεματικά</li></ul></div></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36814,Στεροφωνικός ραδιοενισχυτής - BT-699D -,Στεροφωνικός ραδιοενισχυτής - BT-699D - 360W - 670352,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_670352.jpg,OEM,No Color,3,"<p>Ενισχυτής αυτοκινήτου, σε μικρό πρακτικό μέγεθος για να μπορεί να τοποθετηθεί εύκολα σε οποιοδήποτε σημείο.</p><p>Πληκτρα-Ρυθμιστές:</p><ul><li>Ρυθμιστικό έντασης (φωτιζόμενο με Blue Led φωτισμό)</li><li>Ρυθμιστικό Bass και Treble</li><li>Ρanel διαχείρισης των MP3 τραγουδιών</li><li>υποδοχές USB και κάρτας SD</li><li>Πλήκτρο ""INPUT"" για επιλογή λειτουργίας AUX - FM - MP3 (USB/SD).</li><li>BLUETOOTH</li><li>Στη πίσω πλευρά υπάρχει ένα ζεύγος RCA για τη σύνδεση της εξωτερικής πηγής (AUX), όπως επίσης και οι κλέμες σύνδεσης των ηχείων.</li><li>Τηλεσκοπική κεραία για λήψη FM ραδιοφωνικών σταθμών. </li></ul><p>Ο ενισχυτής λειτουργεί απ'ευθείας με τάση 220V AC ή με εξωτερική τροφοδοσία 12V DC / 5A. Αυτή η επιλογή σας δίνει τη δυνατότητα να τον λειτουργήσετε και με μια μπαταρία αυτοκινήτου!</p><p>Αναλυτικά τα χαρακτηριστικά του:</p><ul><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Mini HIFI ψηφιακός ενισχυτής ήχου Bluetooth.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Κάρτα SD, δίσκος U, αναπαραγωγή MP3, υποστήριξη ασύρματης σύνδεσης Bluetooth.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Υποστηρίζει στερεοφωνικό ραδιόφωνο FM.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Με έλεγχο πρίμων, μπάσων και έντασης, πολύ εύκολο στη χρήση.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Η χαμηλή παραμόρφωση παρέχει καθαρότερο, δυνατότερο και ισχυρότερο ήχο.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Έξοδος δύο κύριων καναλιών - </span></span><span class=""tlid-translation translation"" lang=""el""><span title="""">2 CH</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Ενεργοποίηση DC / AC.</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Τάση εισόδου: AC 220V / DC12V (σε αυτοκίνητο)</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Βύσμα: ΕΕ</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Μέγιστη ισχύς: 180W + 180W</span></span><span class=""tlid-translation translation"" lang=""el""><span title=""""><br /></span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Αντίσταση φορτίου: 4-16Ω</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">SNR: -90 db</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Συχνότητα FM: 87,5-108MHz</span></span></li><li>Distoration rate: 0.05%</li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Συχνότητα: 10Hz-20KHz</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Ευαισθησία: 0,25mV-300mV</span></span></li><li><span class=""tlid-translation translation"" lang=""el""><span title="""">Τροφοδοσία RC: Μπαταρία CR2052 (ενσωματωμένη)</span></span></li><li>Διαστάσεις συσκευασίας: 17 x  16cm<span class=""tlid-translation translation"" lang=""el""><span title=""""><br /></span></span></li></ul><p><span title="""">Περιλαμβάνει:</span><br /><span title="""">1 Ενισχυτή ήχου</span><br /><span title="""">1 Τηλεχειριστήριο</span></p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36828,Ενισχυτής αυτοκινήτου 2 καναλιών - N6,Ενισχυτής αυτοκινήτου 2 καναλιών - N618 - 2800W - 197195,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_197195.jpg,OEM,No Color,9,"<div class=""electro-description clearfix""><p><strong>Τεχνικά Χαρακτηριστικά:</strong><br />Ισχύς: 2800W<br />RMS: 2 x 60W<br />Κανάλια: 2<br />SNR: 0.05<br />Εύρος συχνότητας: 20-3000Hz<br />Ευαισθησία ήχου: 88dB<br />Αντίσταση: 2-8ohm</p><ul><li>Διαστάσεις συσκευασίας: 40 x  26cm</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
36930,Στεροφωνικός ραδιοενισχυτής - BT-339FM ,Στεροφωνικός ραδιοενισχυτής - BT-339FM - 654104,in stock,new,37.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/654104_1310.jpg,OEM,No Color,7,"<p>Ενισχυτής KARAOKE για δύο μικρόφωνα με ρυθμίσεις Echo , Bass , Treble & MIC Volume</p><p>Χαρακτηριστικά:</p><p>Είσοδος INPUT : ( ιδανική για σύνδεση CD , DVD , TV , PC , TABLET)<br />Ξεχωριστό Bass , Treble & VOLUME από τα μικρόφωνα<br />MP3 player από USB stick ή κάρτα SD.<br />Ραδιόφωνο FM<br />Τηλεχειριστήριο<br />Έξοδοι : REC & LINE<br />Ισχύς : 2×40 Watt<br />Τροφοδοσία τάσης : 220 Volt / 12 Volt</p><ul><li>Διαστάσεις συσκευασίας: 27 x  25cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
37977,Στερεοφωνικός ραδιοενισχυτής - BT-188A,Στερεοφωνικός ραδιοενισχυτής - BT-188A - 002150,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_947648-2-1.jpg,OEM,No Color,5,"<ul><li>Μοντέλο: BT-188A</li><li>Τάση εισόδου: AC 220V / DC12V (σε αυτοκίνητο)</li><li>Βύσμα: Βύσμα ΕΕ (αποστέλλεται με προσαρμογέα ανάλογα με τη χώρα σας)</li><li>Bluetooth</li><li>Μέγιστη ισχύς: 100W</li><li>Αντίσταση φορτίου: 4-16Ω</li><li>SNR: -80 db</li><li>Συχνότητα FM: 87,5-108MHz</li><li>Ποσοστό απόδοσης: 0,05%</li><li>Συχνότητα: 10Hz-20KHz</li><li>Ευαισθησία: 0,25mV-220mV</li><li>Τροφοδοσία RC: Μπαταρία CR2052 (ενσωματωμένη)</li><li>Μέγεθος: περίπου 16 x 13,5 x 5cm / 7,48 x 4,92 x 1,77 ίντσες</li></ul><div><span style=""color: #111010; font-family: Arial;""> </span></div><div><span style=""color: #111010; font-family: Arial;""><b>Περιλαμβάνεται στο πακέτο:</b></span></div><ul><li>1 x Ενισχυτής ισχύος Teli BT-188A</li><li>1 x Τηλεχειριστήριο</li><li>1 x Εγχειρίδιο</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ενισχυτές  καλώδια εγκατάστασης Audio
