id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35191,Καταγραφικό DVR αυτοκινήτου Full HD - GDQ -,Καταγραφικό DVR αυτοκινήτου Full HD - GDQ - XH-702C - 118045,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/118045-1.jpg,OEM,No Color,1.5,"<h3><span data-spm-anchor-id=""a2o4k.pdp_revamp.product_detail.i5.57f46ceaaeyWP4"">Χαρακτηριστικά - λειτουργίες:</span></h3><ul><li>Οθόνη 4.0 inch TFT LCD</li><li>Ενσωματωμένο Ηχείο & Μικρόφωνο</li><li>Γωνίας θέασης 170° - A+ HD wide-angle lens</li><li>6G Glass φακός</li><li>Βίντεο - Φωτογραφία</li><li>WDR: Wide dynamic range technology: για καθαρή λήψη ανεξαρτήτου φωτισμού</li><li>Αισθητήρας κίνησης - Motion detection Support</li><li>Parking detection Support</li><li>Ώρα/ημερομηνία</li><li>Αυτόματη ενεργοποίηση</li><li>Αυτόματη απενεργοποίηση: 30 secs / 1 min / 3 mins / Off</li><li>Beep Sound: Off / On</li><li>Screen Saver: 3mins / 5 mins / 10 mins / Off</li><li>Φλας LED</li><li>G-Sensor Support</li><li>TV Mode: PAL / NTSC</li><li>Συχνότητα 50Hz / 6Hz</li></ul><p><strong>Ιδιότητες Video (Front & Rear):</strong></p><ul><li>Video Format: AVI</li><li>Video Resolution: 1080P FHD, 720P HD</li><li>Video Resolution (Rear): 640 x 480 pixels</li><li>Loop Recording: Off / 3 mins / 5 mins / 10 mins</li><li>Exposes: -2.0,-5/3,-4/3,-1.0,-2/3,-1/3,+0.0,+1/3,+2/3,+1.0,+4/3,+5/3,+2.0</li><li>Audio: Off / On</li><li>Motion Detection: Off / On</li><li>Date Stamp: Off / On</li><li>WDR: Off / On</li><li>Gsensor Support</li><li>Parking Guide</li><li>Video Output PAL, NTSC</li></ul><h3>Ιδιότητες εικόνων:</h3><ul><li>Images JPEG</li><li>Photo Resolution: 8M (3264 x 2448),  5M (2592 x 1944),  3M (2048 x 1536),  2MHD (1920 x 1080),  1.3M (1280 x 960)</li><li>Sequence: Off / On</li><li>Quality: Fine / Normal / Economy</li><li>Sharpness: Strong / Normal / Soft</li><li>White Balance: Auto / Daylight / Cloudy / Tungsten/ Fluorescent</li><li>Color: Color / Black & White / Sepia</li><li>ISO: Auto / 100 / 200 / 400</li><li>Exposes: -2.0,-5/3,-4/3,-1.0,-2/3,-1/3,+0.0,+1/3,+2/3,+1.0,+4/3,+5/3,+2.0</li><li>Anti Shaking: Off / On</li><li>Quick Review: Off / 2secs / 5secs</li><li>Date Stamp Support</li></ul><p><strong>Μνήμη:</strong><br />Ενσωματωμένη μνήμη 64MB (αποθήκευση εικόνων μόνο)<br />Θύρα TF / MicroSD από 8GB έως 32GB (δεν περιλαμβάνεται κάρτα μνήμης)</p><p><strong>Τροφοδοσία & I/O Interface:</strong><br />Τάση λειτουργίας: 5V / 1A<br />Ενσωματωμένη επαναφορτιζόμενη μπαταρία 200mAh<br />AV Interface: Mini HDMI<br />Data interface Mini USB</p><p><strong>Γλώσσες:</strong> <br />English, French, German, Japanese, Korean, , , Chinese, Italian, Spanish, Russian</p><p>Διαστάσεις συσκευής: 8.5 x 4.7 x 3.5 cm <br />Βάρος συσκευής: 112 gr</p><p><strong>Περιλαμβάνονται:</strong></p><p>1 x κάμερα DVR<br />1 x κάμερα οπισθοπορείας με καλώδιο σύνδεσης<br />1 x βάση τοποθέτησης<br />1 x φορτιστής αυτοκινήτου<br />1 x USB καλώδιο<br />1 x User manual</p><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
36492,Οθόνη monitor TFT/LCD - 4.3'' - 512264,Οθόνη monitor TFT/LCD - 4.3'' - 512264,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1702_512264.jpg,OEM,No Color,1.6,"<div><p>Τροφοδοτείται κατευθείαν από την μπαταρία του αυτοκινήτου (12V). Συνδέεται με τη κάμερα οπισθοπορείας σας για να έχετε πλήρη εικόνα του πίσω μέρους του οχήματός σας ή με το DVD player του αυτοκινήτου.</p></div><div><strong>Τεχνικά Χαρακτηριστικά:<br /></strong><ul><li>Αυτοκόλλητη βάση εγκατάστασης</li><li>Μέγεθος οθόνης: 4.3""</li><li>Ανάλυση: 480 x 234 pixels</li><li>Αντίθεση εικόνας: 300:1</li><li>Τάση: 12V</li><li>Ισχύς: 3W</li><li>Θερμοκρασία λειτουργίας: -10°C έως 50°C</li><li>Καθαρό βάρος: 140g</li><li>Διαστάσεις: 12 x 7.5 x 1.5</li></ul></div><div>Συνιστάται η εγκατάσταση της οθόνης να γίνεται από ειδικευμένο τεχνικό.</div><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
38631,Πλαίσιο πινακίδας αυτοκινήτου με κ�,Πλαίσιο πινακίδας αυτοκινήτου με κάμερα οπισθοπορείας και αισθητήρες παρκαρίσματος - 006002,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/006002.jpg,OEM,No Color,4,"<div id=""description"" class=""tab-pane in active""><div class=""product-description""><div class=""rte-content""><p>Πλαίσιο πινακίδας με κάμερα οπισθοπορείας και αισθητήρες παρκαρίσματος, για ευρωπαϊκές πινακίδες αυτοκινήτου. <br />Εγκαθίσταται εύκολα στο πίσω μέρος του αυτοκινήτου, χωρίς μερεμέτια και τρύπες, για καθαρή και ευρείας γωνίας απεικόνιση του οτιδήποτε βρίσκεται πίσω από το αυτοκίνητό σας.<br />Διαθέτει 2 αισθητήρες που εντοπίζουν την απόσταση των εμποδίων και σας προειδοποιούν ηχητικά με τον βομβητή (περιλαμβάνεται).<br />Ταιριάζει στις ευρωπαϊκές πινακίδες (520 x 120 mm) και σας παρέχει ότι χρειάζεστε για να κάνετε όπισθεν και να παρκάρετε γρήγορα με ασφάλεια. <br />Η κάμερα με τους αισθητήρες και το πλαίσιο τοποθετούνται γρήγορα κάτω από την υπάρχουσα πινακίδα και είναι απόλυτα αδιάβροχα (IP68).<br /><br />Χρησιμοποιεί RCA σύνδεση που συνδέεται στο DVD Player του αυτοκινήτου (ή το GPS Navigator, LCD Monitor, κλπ.) για θέαση με γωνία 170 μοίρες και ανάλυση εικόνας 628x582. Παίρνει ρεύμα από τα πίσω φώτα, οπότε όταν το αυτοκίνητο κάνει όπισθεν λειτουργεί αυτόματα. Επίσης, όταν κοιτάτε την οθόνη εμφανίζεται ένα γραφικό που σας βοηθάει να υπολογίσετε τις αποστάσεις.</p><p><strong>Χαρακτηριστικά:</strong></p><p>Τάση λειτουργίας: DC 12V</p><p>Λειτουργικό ρεύμα: 20mA – 500mA</p><p>Εύρος ανίχνευσης ραντάρ: 0,3 – 2,0 m</p><p>Συχνότητα υπερήχων: 38 kHz / 40 kHz</p><p>Θερμοκρασία λειτουργίας: – 40 ° C + 85 ° C</p><p>Ένταση βομβητή: 65dB</p><p>Ευρωπαϊκό πλαίσιο πλακέτας</p><p>Διάμετρος ανιχνευτή: 19mm</p><p>Συχνότητα ήχου: <br />1.6-2.0m 0.5ΗΖ (αργή) <br />1.1-1.5m 1 Hz (αργή) <br />0.6-1.0m 3 ΗΖ (ταχεία) <br />0-0,4m (Συνεχής)</p></div></div></div><div id=""product-details-tab"" class=""tab-pane ""> </div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
39246,Κάμερα οπισθοπορείας - Χωνευτή με β�,Κάμερα οπισθοπορείας - Χωνευτή με βάση - 001443,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000146.jpg,OEM,No Color,0.5,"<ul><li>Camera Viewing Angle: 170 Degree</li><li>Power Supply : DC12V</li><li>Current Consumption : Max. 150mA</li><li>Operating Temperature : -20 - 80, RH95% Max</li><li>Storage Temperature : -30 - 100, RH95% Max</li><li>Water-proof Grade : IP68</li><li>Minimum Illumination : 0.2Lux</li><li>Image sensor: CCD</li><li>TV System: NTSC</li><li>Active pixels: 712 x 486 pixels (NTSC)</li><li>Horizontal resolution: 480 TV lines</li><li>Scanning System: 2:1 Interlace</li><li>Synchronous system: internal synchronization</li><li>Clarity: 420TV lines</li><li>Vertical sync frequency: 60Hz</li><li>Gamma Coefficient: 0.45</li><li>Signal to Noise Ratio: Mote then 48db</li><li>Power consumption: 0.4W</li><li>Night version distance: 5m</li><li>White balance: automatic</li><li>Electronic shutter: 1/60 - 1/20000 second</li><li>Frame rate: 30fps</li><li>Shock strength: 4.8G</li><li>Electronic Shutter: 1/60 - 1/20,000 sec</li><li>Video output: 1.0Vp-p, 750hm</li><li>Current Consumption: Not More Than 300mA</li><li>Video Cable Length: 6M</li><li>Power Supply Cable Length: 1.5m</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
39571,Κάμερα οπισθοπορείας με σκίαστρο –,Κάμερα οπισθοπορείας με σκίαστρο – Real Safe – 001856,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_001856-1.jpg,OEM,No Color,0.8,<p>Κατάλληλη για αυτοκίνητα και φορτηγά 12V/24V<br />Εξοπλίζεται με 18xLED υπερύθρων για νυχτερινές λήψεις<br />Διαθέτει ρυθμιζόμενο σκιάδιο<br />Έξοδος εικόνας σε βύσμα BNC<br />Αισθητήρας εικόνας: 1/4″  CCD<br />Διαστάσεις: 80 x 80 x 72mm<br />Μήκος καλωδίου RCA: 5m</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
105365,Κάμερα οπισθοπορείας - 1340102/90A - 130639,Κάμερα οπισθοπορείας - 1340102/90A - 130639,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/3f5e2af5423de94ab44097c72e6a96e8.jpg,OEM,No Color,0.8,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
105368,Κάμερα οπισθοπορείας - 1340105/60A - 130638,Κάμερα οπισθοπορείας - 1340105/60A - 130638,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/1700fc3e11a02514e38cb688359b9dbb.jpg,OEM,No Color,0.8,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
105371,Κάμερα οπισθοπορείας - 1340104A/60A - 130637,Κάμερα οπισθοπορείας - 1340104A/60A - 130637,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/630ded88b8f18a50b012ce068fb52fdb.jpg,OEM,No Color,0.8,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
106601,Καθρέπτης αυτοκινήτου με οθόνη 4.3'' �,Καθρέπτης αυτοκινήτου με οθόνη 4.3'' και κάμερα οπισθοπορείας - 000385,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d7865aa6a2cf878971372f123d1b4589.jpg,OEM,No Color,0.9,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
106604,Καταγραφικό αυτοκινήτου - G60 - 3.5'' - 000,Καταγραφικό αυτοκινήτου - G60 - 3.5'' - 000384,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d92c0885f01896cc52ee5f377dcd00ed.jpg,OEM,No Color,0.9,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
106607,Καταγραφικό αυτοκινήτου - 4'' - 000383,Καταγραφικό αυτοκινήτου - 4'' - 000383,in stock,new,28.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ffbff7b776bf5b1732fecf5e77599533.jpg,OEM,No Color,0.9,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
107024,Καθρέπτης με οθόνη 11'' – CTC-G45 - 000382,Καθρέπτης με οθόνη 11'' – CTC-G45 - 000382,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/7cdb33d901195fcb0f511ab5e6048bd0.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
107027,Καθρέπτης με οθόνη 9'' & κάμερα – CTC-G46,Καθρέπτης με οθόνη 9'' & κάμερα – CTC-G46 - 000381,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9d162f031dee6106a64598aea26682ab.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Κάμερες οπισθοπορείας  monitors
