id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37973,Σετ επισκευής ελαστικών - 6pcs - 001894,Σετ επισκευής ελαστικών - 6pcs - 001894,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_001894-1.jpg,OEM,No Color,0.1,"<p>Σετ επισκευής ελαστικών 6τεμαχίων.</p><p>Περιέχει :<br />2 ""σουβλιά ""<br />3 ελαστικά κορδόνια<br />1 κόλλα</p><p>Για ελαστικά χωρίς αεροθάλαμο</p><p>Οδηγίες χρήσης:</p><ul><li>Τραβήξτε με προσοχή την βίδα ή το καρφί που έχει τρυπήσει το λάστιχό σας</li><li>Με το εργαλείο τριβής και καθαρισμού μεγαλώστε λίγο την τρύπα και καθαρίστε την περιοχή από υπολείμματα που έχουν μείνει</li><li>Περάστε το μονωτικό υλικό ανάμεσα από το εργαλείο τοποθέτησης και βάλτε το εργαλείο μέσα στην τρύπα ώστε να σφηνώσει</li><li>Τραβήξτε το εργαλείο τοποθέτησης και το μονωτικό υλικό θα γίνει ένα με το λάστιχό σας</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
39901,Αλυσίδες χιονιού - Σετ 2Χ - No.54 - Χιονο,Αλυσίδες χιονιού - Σετ 2Χ - No.54 - Χιονοκουβέρτα - Premium - Tradesor - 888854,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/snow_socks_final.jpg,OEM,No Color,2.5,"<p>Χιονοκουβέρτες κατασκευασμένες από το πιο ανθεκτικό υλικό που κυκλοφορεί παγκοσμίως, αποτελεσματικές για άμεση βοήθεια σε χιονισμένους δρόμους. Σε περίπτωση ελέγχου, χρειάζεστε 1 σετ 2 τεμαχίων που εφαρμόζονται στους τροχούς κίνησης του οχήματος. <br /><br />Αθόρυβες στο δρόμο, χωρίς κίνδυνο για ζημιές στα ελαστικά σας. <br />Δεν σκίζεται σε καμία απολύτως περίπτωση εάν τοποθετηθούν σωστά και το όχημα δεν ξεπερνά την ταχύτητα των 40 χλμ/ώρα πάνω στο χιόνι. <br /><br />Διαθέτουν όλες τις απαραίτητες πιστοποιήσεις σύμφωνα με τα όσα ορίζει και το νέο Φ.Ε.Κ. <br /><br /><strong>Προσοχή:</strong> Να μην τοποθετούνται προς χρήση σε στεγνό δρόμο, ή χωμάτινο δρόμο ή γενικά σε δρόμο που δεν είναι καλυμμένος από χιόνι ή πάγο. </p><p><strong>Νούμερο 54 - Εφαρμόζει στις εξής διαστάσεις ελαστικών:<br /><br />13'' <br /></strong>14/13R<br />155/70/13<br />165/70/13<br />175/65/13<br />185/60/13<br />195/55/13<br /><br /><strong>14''</strong><br />155/70/14<br />165/60/14<br />165/65/14<br />175/60/14<br />185/55/14<br /><br /><strong>15''</strong><br />195/45/15<br /><br /><strong>16''</strong><br />195/40/16</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
39902,Αλυσίδες χιονιού - Σετ 2Χ - No.58 - Χιονο,Αλυσίδες χιονιού - Σετ 2Χ - No.58 - Χιονοκουβέρτα - Premium - Tradesor - 888858,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/snow_socks_final.jpg,OEM,No Color,2.5,"<p>Χιονοκουβέρτες κατασκευασμένες από το πιο ανθεκτικό υλικό που κυκλοφορεί παγκοσμίως, αποτελεσματικές για άμεση βοήθεια σε χιονισμένους δρόμους. Σε περίπτωση ελέγχου, χρειάζεστε 1 σετ 2 τεμαχίων που εφαρμόζονται στους τροχούς κίνησης του οχήματος.</p><p>Αθόρυβες στο δρόμο, χωρίς κίνδυνο για ζημιές στα ελαστικά σας. <br />Δεν σκίζεται σε καμία απολύτως περίπτωση εάν τοποθετηθούν σωστά και το όχημα δεν ξεπερνά την ταχύτητα των 40 χλμ/ώρα πάνω στο χιόνι.</p><p>Διαθέτουν όλες τις απαραίτητες πιστοποιήσεις σύμφωνα με τα όσα ορίζει και το νέο Φ.Ε.Κ.</p><p>Προσοχή: Να μην τοποθετούνται προς χρήση σε στεγνό δρόμο, ή χωμάτινο δρόμο ή γενικά σε δρόμο που δεν είναι καλυμμένος από χιόνι ή πάγο.</p><p> </p><p><strong>Νούμερο 58 - Εφαρμόζει στις εξής διαστάσεις ελαστικών:<br /><br />13'' <br /></strong>165/13<br />165/80/13<br />175/70/13<br />185/60/13<br />185/70/13<br />195/60/13<br />195/65/13<br />195/70/13<br />205/60/13<br />205/65/13<br /><br /><strong>14''</strong><br />165/65/14<br />165/70/14<br />175/65/14<br />175/70/14<br />185/60/14<br />185/65/14<br />195/55/14<br />195/60/14<br />205/55/14<br />205/60/14<br /><br /><strong>15''</strong><br />155/65/15<br />155/70/15<br />165/65/15<br />175/55/15<br />175/60/15<br />185/55/15<br />185/60/15<br />195/50/15<br />195/55/15<br />205/50/15<br />215/50/15<br /><br /><strong>16''</strong><br />185/50/16<br />205/45/16<br />215/40/16<br />215/45/16<br /><br /><strong>17''</strong><br />195/45/17<br />205/40/17<br />215/35/17<br /><br /><strong>18''</strong><br />225/35/18</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
39903,Αλυσίδες χιονιού - Σετ 2Χ - No.62 - Χιονο,Αλυσίδες χιονιού - Σετ 2Χ - No.62 - Χιονοκουβέρτα - Premium - Tradesor - 888862,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/snow_socks_final.jpg,OEM,No Color,2.5,"<p>Χιονοκουβέρτες κατασκευασμένες από το πιο ανθεκτικό υλικό που κυκλοφορεί παγκοσμίως, αποτελεσματικές για άμεση βοήθεια σε χιονισμένους δρόμους. Σε περίπτωση ελέγχου, χρειάζεστε 1 σετ 2 τεμαχίων που εφαρμόζονται στους τροχούς κίνησης του οχήματος.</p><p>Αθόρυβες στο δρόμο, χωρίς κίνδυνο για ζημιές στα ελαστικά σας. <br />Δεν σκίζεται σε καμία απολύτως περίπτωση εάν τοποθετηθούν σωστά και το όχημα δεν ξεπερνά την ταχύτητα των 40 χλμ/ώρα πάνω στο χιόνι.</p><p>Διαθέτουν όλες τις απαραίτητες πιστοποιήσεις σύμφωνα με τα όσα ορίζει και το νέο Φ.Ε.Κ.</p><p>Προσοχή: Να μην τοποθετούνται προς χρήση σε στεγνό δρόμο, ή χωμάτινο δρόμο ή γενικά σε δρόμο που δεν είναι καλυμμένος από χιόνι ή πάγο.</p><p><strong>Νούμερο 62 - Εφαρμόζει στις εξής διαστάσεις ελαστικών:<br /><br /></strong><strong>13'' </strong><br />205/70/13<br /><br /><strong>14''</strong><br />165/14<br />165/80/14<br />175/75/14<br />185/70/14<br />185/75/14<br />195/65/14<br />195/70/14<br />205/65/14<br />215/60/14<br /><br /><strong>15''</strong><br />175/65/15<br />175/70/15<br />185/65/15<br />185/70/15<br />185/75/15<br />195/60/15<br />195/65/15<br />205/55/15<br />205/60/15<br /><br /><strong>16''</strong><br />195/55/16<br />205/50/16<br />205/55/16<br />215/50/16<br />225/50/16<br /><br /><strong>17''</strong><br />205/45/17<br />205/50/17<br />215/45/17</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
39904,Αλυσίδες χιονιού - Σετ 2Χ - No.66 - Χιονο,Αλυσίδες χιονιού - Σετ 2Χ - No.66 - Χιονοκουβέρτα - Premium - Tradesor - 888866,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/snow_socks_final.jpg,OEM,No Color,2.5,"<p>Χιονοκουβέρτες κατασκευασμένες από το πιο ανθεκτικό υλικό που κυκλοφορεί παγκοσμίως, αποτελεσματικές για άμεση βοήθεια σε χιονισμένους δρόμους. Σε περίπτωση ελέγχου, χρειάζεστε 1 σετ 2 τεμαχίων που εφαρμόζονται στους τροχούς κίνησης του οχήματος.</p><p>Αθόρυβες στο δρόμο, χωρίς κίνδυνο για ζημιές στα ελαστικά σας. <br />Δεν σκίζεται σε καμία απολύτως περίπτωση εάν τοποθετηθούν σωστά και το όχημα δεν ξεπερνά την ταχύτητα των 40 χλμ/ώρα πάνω στο χιόνι.</p><p>Διαθέτουν όλες τις απαραίτητες πιστοποιήσεις σύμφωνα με τα όσα ορίζει και το νέο Φ.Ε.Κ.</p><p>Προσοχή: Να μην τοποθετούνται προς χρήση σε στεγνό δρόμο, ή χωμάτινο δρόμο ή γενικά σε δρόμο που δεν είναι καλυμμένος από χιόνι ή πάγο.</p><p><strong>Νούμερο 66 - Εφαρμόζει στις εξής διαστάσεις ελαστικών</strong><br /><br /><strong>14''</strong><br />175/14<br />175/80/14<br />205/70/14<br />215/70/14<br />235/60/14<br /><br /><strong>15''</strong><br />165/15<br />185/70/15<br />195/70/15<br />195/75/15<br />205/70/15<br />205/75/15<br />215/60/15<br />215/65/15<br />235/55/15<br /><br /><strong>16''</strong><br />195/60/16<br />195/65/16<br />205/66/16<br />215/55/16<br />215/60/16<br />215/65/16<br />235/50/16<br /><br /><strong>17''</strong><br />205/50/17<br />215/50/17<br />215/55/17<br />225/45/17<br />225/55/17<br />235/45/17<br />245/40/17<br />255/40/17<br /><br /><strong>18''</strong><br />225/40/18<br />235/40/18<br />255/35/18<br />245/40/18<br /><br /><strong>19""</strong><br />235/35/19</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
39905,Αλυσίδες χιονιού - Σετ 2Χ - No.68 - Χιονο,Αλυσίδες χιονιού - Σετ 2Χ - No.68 - Χιονοκουβέρτα - Premium - Tradesor - 888868,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/snow_socks_final.jpg,OEM,No Color,2.5,"<p>Χιονοκουβέρτες κατασκευασμένες από το πιο ανθεκτικό υλικό που κυκλοφορεί παγκοσμίως, αποτελεσματικές για άμεση βοήθεια σε χιονισμένους δρόμους. Σε περίπτωση ελέγχου, χρειάζεστε 1 σετ 2 τεμαχίων που εφαρμόζονται στους τροχούς κίνησης του οχήματος.</p><p>Αθόρυβες στο δρόμο, χωρίς κίνδυνο για ζημιές στα ελαστικά σας. <br />Δεν σκίζεται σε καμία απολύτως περίπτωση εάν τοποθετηθούν σωστά και το όχημα δεν ξεπερνά την ταχύτητα των 40 χλμ/ώρα πάνω στο χιόνι.</p><p>Διαθέτουν όλες τις απαραίτητες πιστοποιήσεις σύμφωνα με τα όσα ορίζει και το νέο Φ.Ε.Κ.</p><p>Προσοχή: Να μην τοποθετούνται προς χρήση σε στεγνό δρόμο, ή χωμάτινο δρόμο ή γενικά σε δρόμο που δεν είναι καλυμμένος από χιόνι ή πάγο.</p><p><strong>Νούμερο 68 - Εφαρμόζει στις εξής διαστάσεις ελαστικών</strong><br /><br /><strong>14''</strong><br />215/70/14<br />215/75/14<br /><br /><strong>15''</strong><br />215/70/15<br />215/75/15<br />225/70/15<br />225/75/15<br />235/70/15<br />255/70/15<br /><br /><strong>16''</strong><br />195/75/16<br />205/75/16<br />205/80/16<br />215/70/16<br />225/55/16<br />225/65/16<br />235/60/16<br />235/70/16<br />245/60/16<br /><br /><strong>17''</strong><br />215/60/17<br />245/55/17<br /><br /></p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
54958,Σετ επισκευής ελαστικών σε θήκη - 94pc,Σετ επισκευής ελαστικών σε θήκη - 94pcs - 004703,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/bd30263168302d4e3857523af3441d75.jpg,OEM,No Color,2.0,"Πλήρες σετ επισκευής ελαστικών, 46 τεμαχίων, σε εργονομική εργαλειοθήκη για εύκολη αποθήκευση. Διαστάσεις θήκης: 31.5x21x6cm.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
54961,Σετ επισκευής ελαστικών σε θήκη - 68pc,Σετ επισκευής ελαστικών σε θήκη - 68pcs - 004680,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2fc700a531de6a016d14b96a37388952.jpg,OEM,No Color,2.0,"Πλήρες σετ επισκευής ελαστικών, 46 τεμαχίων, σε εργονομική εργαλειοθήκη για εύκολη αποθήκευση. Διαστάσεις θήκης: 31x21x6cm.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
54964,Σετ επισκευής ελαστικών σε θήκη - 27pc,Σετ επισκευής ελαστικών σε θήκη - 27pcs - 004673,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/e3f6b9b4aefa89fcf08eb44ba5bf45e0.jpg,OEM,No Color,2.0,"Πλήρες σετ επισκευής ελαστικών, 46 τεμαχίων, σε εργονομική εργαλειοθήκη για εύκολη αποθήκευση. Διαστάσεις θήκης: 20x14.5x4.5cm.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
54967,Σετ επισκευής ελαστικών σε θήκη - 40pc,Σετ επισκευής ελαστικών σε θήκη - 40pcs - 004666,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/61c4a78cf9e55450fa7c962edf934a3f.jpg,OEM,No Color,2.0,"Πλήρες σετ επισκευής ελαστικών, 46 τεμαχίων, σε εργονομική εργαλειοθήκη για εύκολη αποθήκευση. Διαστάσεις θήκης: 31.5 x 21.5 x 6 cm.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Οδική ασφάλεια  κόρνες
