id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35198,"Υαλοκαθαριστήρας - 15"" - 375mm - 180 μοιρών","Υαλοκαθαριστήρας - 15"" - 375mm - 180 μοιρών - Drach - Μονός - 876781",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 15"" - 180 μοιρών - 375mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35199,"Υαλοκαθαριστήρες - 18"" - 180 μοιρών - 450mm","Υαλοκαθαριστήρες - 18"" - 180 μοιρών - 450mm - Aero-Tech - 808183",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/808176.png,OEM,No Color,1,"<p>Υαλοκαθαριστήρες - 18"" - 180 μοιρών - 450mm - Aero-Tech</p><p>Τοποθετούνται πολύ εύκολα και διαθέτουν λάστιχο υψηλής ποιότητας που προστατεύει το παρμπρίζ και καθαρίζει αποτελεσματικά.<br />Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ της ελληνικής αγοράς.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35201,"Υαλοκαθαριστήρες - 12"" - 180 μοιρών - 300mm","Υαλοκαθαριστήρες - 12"" - 180 μοιρών - 300mm - Aero-Tech - 800125",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/808176.png,OEM,No Color,1,"<p>Υαλοκαθαριστήρες - 12"" - 180 μοιρών - 300mm - Aero-Tech</p><p>Τοποθετούνται πολύ εύκολα και διαθέτουν λάστιχο υψηλής ποιότητας που προστατεύει το παρμπρίζ και καθαρίζει αποτελεσματικά.<br />Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ της ελληνικής αγοράς.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35202,"Υαλοκαθαριστήρας - 19"" - 475mm - 180 μοιρών","Υαλοκαθαριστήρας - 19"" - 475mm - 180 μοιρών - Drach - Μονός - 238679",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 19"" - 180 μοιρών - 475mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35203,"Υαλοκαθαριστήρας - 21"" - 525mm - 180 μοιρών","Υαλοκαθαριστήρας - 21"" - 525mm - 180 μοιρών - Drach - Μονός - 907656",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 21"" - 180 μοιρών - 525mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35204,"Υαλοκαθαριστήρας - 26"" - 650mm - 180 μοιρών","Υαλοκαθαριστήρας - 26"" - 650mm - 180 μοιρών - Drach - Μονός - 762031",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 26"" - 180 μοιρών - 650mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35205,"Υαλοκαθαριστήρας - 27"" - 675mm - 180 μοιρών","Υαλοκαθαριστήρας - 27"" - 675mm - 180 μοιρών - Drach - Μονός - 000885",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 27"" - 180 μοιρών - 600mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35206,"Υαλοκαθαριστήρας - 17"" - 425mm - 180 μοιρών","Υαλοκαθαριστήρας - 17"" - 425mm - 180 μοιρών - Drach - Μονός - 567840",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/drach_new_2021.jpg,OEM,No Color,1,"<p>Υαλοκαθαριστήρας - 17"" - 180 μοιρών - 425mm - Drach - Μονός. Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35207,"Υαλοκαθαριστήρες - 15"" - 180 μοιρών - 375mm","Υαλοκαθαριστήρες - 15"" - 180 μοιρών - 375mm - Aero-Tech - 800156",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/808176.png,OEM,No Color,1,"<p>Υαλοκαθαριστήρες - 15"" - 180 μοιρών - 375mm - Aero-Tech.</p><p>Τοποθετούνται πολύ εύκολα και διαθέτουν λάστιχο υψηλής ποιότητας που προστατεύει το παρμπρίζ και καθαρίζει αποτελεσματικά.<br />Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ της ελληνικής αγοράς.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
35208,"Υαλοκαθαριστήρες - 17"" - 180 μοιρών - 425mm","Υαλοκαθαριστήρες - 17"" - 180 μοιρών - 425mm - Aero-Tech - 808176",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/808176.png,OEM,No Color,1,"<p>Υαλοκαθαριστήρες - 17"" - 180 μοιρών - 425mm - Aero-Tech.</p><p>Τοποθετούνται πολύ εύκολα και διαθέτουν λάστιχο υψηλής ποιότητας που προστατεύει το παρμπρίζ και καθαρίζει αποτελεσματικά.<br />Διαθέτει αντάπτορα που εφαρμόζει στα περισσότερα ΙΧ της ελληνικής αγοράς.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Πατάκια  υαλοκαθαριστήρες
