id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36314,Αντικλεπτική κλειδαριά ελαστικών - ,Αντικλεπτική κλειδαριά ελαστικών - 893239,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_893239.jpg,OEM,No Color,3.5,<p>Περιγραφή:</p><ul><li>Υλικό: Χάλυβας</li><li>Μέγεθος: 48.5 * 29.5 CM</li><li>Δυνατότητα προσαρμογής στο μέγεθος του ελαστικού</li><li>Η μαλακή επικάλυψη των σφιγκτηρών δεν προκαλεί ζημιά στις ζάντες.</li><li>Ειδικό για ελαστικά 18-27 εκατοστά πάχος.</li><li>Διαστάσεις συσκευασίας: 30 x  50cm</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37046,Λουκέτο δισκόφρενου μοτοσικλέτας - ,Λουκέτο δισκόφρενου μοτοσικλέτας - Disc lock - 253 - 673363,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/673363_811.jpg,OEM,No Color,1.5,"<p>Λουκέτο δισκόφρενου μοτοσικλέτας 253, ατσάλινο.</p><ul><li>Διαστάσεις συσκευασίας: 10 x  15cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37047,Κλειδαριά ποδηλάτου - 633213,Κλειδαριά ποδηλάτου - 633213,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/633213_811.jpg,OEM,No Color,3,"<p>Αλυσίδα ποδηλάτου σιδερένια, με υφασμάτινο κάλυμμα και ατσάλινη κλειδαριά βαρέως τύπου με αντικλείδια.</p><ul><li>Μήκος συσκευασίας: 40cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37048,Κλειδαριά ποδηλάτου - 325 - 633206,Κλειδαριά ποδηλάτου - 325 - 633206,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/633206_811.jpg,OEM,No Color,3,"<p>Αλυσίδα ποδηλάτου σιδερένια, με υφασμάτινο κάλυμμα και ατσάλινη κλειδαριά βαρέως τύπου με αντικλείδια.</p><ul><li>Μήκος συσκευασίας: 42cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37210,Σύστημα συναγερμού αυτοκινήτου - Y263,Σύστημα συναγερμού αυτοκινήτου - Y263 - 206510,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/206510.jpg,OEM,No Color,1.0,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύστημα συναγερμού αυτοκινήτου - Y264 - με δύο χειριστήρια. </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύνδεση με φώτα-αλάρμ - ανάβουν κατά το κλείδωμα-ξεκλείδωμα.<br /><br /><strong>Κύρια μονάδα (σύστημα συναγερμού):</strong> <br />Τάση λειτουργίας: DC12 + _3V <br />Ρεύμα εξόδου: φλας 7,5A x2 <br />Σειρήνα: 10Α<br /><strong>Τηλεχειριστήριο:</strong> <br />Τάση λειτουργίας: DC12V/6V <br />Μπαταρία: Cr2016, 23/27A / 12V / 6V <br /><strong>Αισθητήρας:</strong> <br />Τάση λειτουργίας: DC12 + _3V</span></span></p><ul><li>Διαστάσεις συσκευασίας: 29 x  23cm</li></ul><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Περιλαμβάνονται όλα τα σύνεργα σύνδεσης και manual με αναλυτικές Οδηγίες εγκατάστασης στα Αγγλικά.</span></span></p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37211,Σύστημα συναγερμού αυτοκινήτου - Y174,Σύστημα συναγερμού αυτοκινήτου - Y174  - 206527,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/206527.jpg,OEM,No Color,1.0,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύστημα συναγερμού αυτοκινήτου με δύο χειριστήρια. </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύνδεση με φώτα-αλάρμ - ανάβουν κατά το κλείδωμα-ξεκλείδωμα.</span></span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1""><strong>Κύρια μονάδα (σύστημα συναγερμού):</strong> <br />Τάση λειτουργίας: DC12 + _3V <br />Ρεύμα εξόδου: φλας 7,5A x2 <br />Σειρήνα: 10Α<br /><strong>Τηλεχειριστήριο:</strong> <br />Τάση λειτουργίας: DC12V/6V <br />Μπαταρία: Cr2016, 23/27A / 12V / 6V <br /><strong>Αισθητήρας:</strong> <br />Τάση λειτουργίας: DC12 + _3V</span></span></p><ul><li>Διαστάσεις συσκευασίας: 29 x  23cm</li></ul><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Περιλαμβάνονται όλα τα σύνεργα σύνδεσης και manual με αναλυτικές Οδηγίες εγκατάστασης στα Αγγλικά.</span></span></p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37213,Σύστημα συναγερμού αυτοκινήτου - Y90 ,Σύστημα συναγερμού αυτοκινήτου - Y90 - 202277,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/202277.jpg,OEM,No Color,1.0,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύστημα συναγερμού αυτοκινήτου - Y264 - με δύο χειριστήρια. </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Σύνδεση με φώτα-αλάρμ - ανάβουν κατά το κλείδωμα-ξεκλείδωμα.</span></span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1""><strong>Κύρια μονάδα (σύστημα συναγερμού):</strong> <br />Τάση λειτουργίας: DC12 + _3V <br />Ρεύμα εξόδου: φλας 7,5A x2 <br />Σειρήνα: 10Α<br /><strong>Τηλεχειριστήριο:</strong> <br />Τάση λειτουργίας: DC12V/6V <br />Μπαταρία: Cr2016, 23/27A / 12V / 6V <br /><strong>Αισθητήρας:</strong> <br />Τάση λειτουργίας: DC12 + _3V</span></span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Περιλαμβάνονται όλα τα σύνεργα σύνδεσης και manual με αναλυτικές Οδηγίες εγκατάστασης στα Αγγλικά.<br /></span></span></p><ul><li>Διαστάσεις συσκευασίας: 29 x  23cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37982,Αντικλεπτική μπάρα κλειδώματος τιμ,Αντικλεπτική μπάρα κλειδώματος τιμονιού αυτοκινήτου - CQ6081 - 002075,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/002075.jpg,OEM,No Color,4,<ul><li> Αντικλεπτικό μπαστούνι τιμονιού.</li><li> Με προστατευτικές επικαλύψεις για προστασία του ταμπλό και τιμονιού από σημάδια.</li><li> Κατασκευασμένο από υψηλής ποιότητας ατσάλι.</li><li> Προσαρμόζεται σε κάθε τύπο τιμονιού και οχήματος. </li><li> Μηχανισμός άμεσου κλειδώματος - ξεκλειδώματος.</li><li> 3 κλειδιά ασφαλείας.</li><li>Διαστάσεις συσκευασίας: 18 x  56cm</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37983,Αντικλεπτική μπάρα κλειδώματος τιμ,Αντικλεπτική μπάρα κλειδώματος τιμονιού αυτοκινήτου - CQ6088 - 002051,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/002068.jpg,OEM,No Color,4,<ul><li> Αντικλεπτικό μπαστούνι τιμονιού.</li><li> Με επικαλύψεις βινυλίου για προστασία του ταμπλό και τιμονιού από σημάδια.</li><li> Κατασκευασμένο από υψηλής ποιότητας ατσάλι.</li><li> Προσαρμόζεται σε κάθε τύπο τιμονιού και οχήματος. </li><li> Μηχανισμός άμεσου κλειδώματος - ξεκλειδώματος.</li><li>Διαστάσεις συσκευασίας: 14 x 56 cm</li><li>Γάντζοι κλειδώματος και 2 κλειδιά ασφαλείας.</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
37984,Αντικλεπτική μπάρα κλειδώματος τιμ,Αντικλεπτική μπάρα κλειδώματος τιμονιού αυτοκινήτου - CQ6008 - 002068,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/002051.jpg,OEM,No Color,4,<ul><li> Αντικλεπτικό μπαστούνι τιμονιού.</li><li> Κατασκευασμένο από υψηλής ποιότητας ατσάλι.</li><li> Προσαρμόζεται σε κάθε τύπο τιμονιού και οχήματος. </li><li> Μηχανισμός άμεσου κλειδώματος - ξεκλειδώματος.</li><li> 3 γάντζοι κλειδώματος και 2 κλειδιά ασφαλείας.</li><li>Διαστάσεις συσκευασίας: 16 x 62cm</li><li> </li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Συναγερμοί οχημάτων  κλειδαριές
