id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35187,Λάμπες LED - 2X30W - 6000K - 238143,Λάμπες LED - 2X30W - 6000K - 238143,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/365led.jpeg,OEM,No Color,0.8,"<ul><li>Σετ 2 τεμαχίων</li><li><strong>Τάση: </strong>DC11V-30V</li><li><strong>Κατανάλωση:</strong> 2 X 30W</li><li><strong>Φωτεινότητα : </strong>8400LM (2X4200LM)</li><li><strong>Θερμοκρασία χρώματος:</strong> 6000K (Λευκό ψυχρό)</li><li><strong>Ψύξη λαμπτήρα: </strong>Ανεμιστήρας</li><li><strong>Ποσότητα led: </strong>6 (ανά λαμπτήρα)</li><li><strong>Διάρκεια ζωής:</strong>30.000  hours</li><li><strong>Στεγανότητα: </strong>IP68</li><li><strong>Θερμοκρασία λειτουργίας:</strong> -40~80°</li><li><strong>Πιστοποιητικά: </strong>CE,RoHS</li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
35245,Λάμπες LED - Auto/Moto - Headlights - H11 - Rolinger - 6667,Λάμπες LED - Auto/Moto - Headlights - H11 - Rolinger - 666789,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/rol_headlight.jpeg,OEM,No Color,0.8,"<p>Μέγιστη ασφάλεια στην οδήγηση ιδιαίτερα κατά τις βραδινές ώρες, αφού φωτίζουν άψογα, ενώ η απόλυτα κάθετη προσαρμογή τους κατανέμει σωστά το φως με αποτέλεσμα περισσότερο φωτισμό στο δρόμο από κοινές λάμπες. Προσφέρουν λευκό φωτισμό 6000K, ενώ η κατασκευή τους είναι χωρίς υπέρυθρη ή υπεριώδη ακτινοβολία. Ιδανικό για όσους οδηγούν κατά τη διάρκεια της νύχτας.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>2 x Λάμπες (2x30w) CREE LED Can Bus νέας γενιάς με διπλά LED. Compact design χωρίς ballast</li><li>Τάση: 9 - 30V DC</li><li>Αδιαβροχοποίηση: IP67</li><li>Κατασκευασμένο από κράμα αλουμινίου</li><li>Lumen: 2 X 3000LM</li><li>Power: 2X30W</li><li>Δέσμη 360 μοιρών CAN BUS</li><li>2 Τεμάχια</li></ul><p>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
35273,Λάμπες αλογόνου αυτοκινήτου - 9006 - 55W,Λάμπες αλογόνου αυτοκινήτου - 9006 - 55W - 678123,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/789009.png,OEM,No Color,0.5,<p>Λάμπες 12V 60/55W Αυτοκινήτου Extra White</p><ul><li>Τύπος: 9006</li><li>Τάση: 12V</li><li>Κατανάλωση: 60/55W</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
35277,Λάμπες LED - Headlights - H3 - X3 - 239164,Λάμπες LED - Headlights - H3 - X3 - 239164,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/239164.jpg,OEM,No Color,0.8,"<p>Φωτίστε το δρόμο σας περισσότερο εγκαθιστώντας ένα CREE LED kit 6000Κ, με κατανάλωση μόλις 50W και εξαιρετικά μεγάλη φωτεινότητα 6000LM. Μέγιστη ασφάλεια στην οδήγηση ιδιαίτερα κατά τις βραδινές ώρες, αφού φωτίζουν άψογα, ενώ η απόλυτα κάθετη προσαρμογή τους κατανέμει, σωστά, το φως με αποτέλεσμα περισσότερο φωτισμό στο δρόμο από τις κοινές λάμπες. Προσφέρουν λευκό φωτισμό 6000K, ενώ η κατασκευή τους είναι χωρίς υπέρυθρη ή υπεριώδη ακτινοβολία.</p><p>Lumen: 6000LM (3000LM / BULB * 2)</p><p>Τάση: DC12V-24V</p><p>Ρεύμα εισόδου: 1.8A + -0.2A (DC12V)</p><p>Σετ 2 τεμαχίων</p><p>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
35307,Λάμπες αλογόνου αυτοκινήτου - H3 - 55W -,Λάμπες αλογόνου αυτοκινήτου - H3 - 55W - 908765,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/789009.png,OEM,No Color,0.5,<p>Λάμπες 12V 60/55W Αυτοκινήτου Extra White</p><ul><li>Τύπος: Η3</li><li>Τάση: 12V</li><li>Κατανάλωση: 60/55W</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36156,Λαμπτήρας αλογόνου αυτοκινήτου - H1 -,Λαμπτήρας αλογόνου αυτοκινήτου - H1 - 55W - 12V - 239379,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_239379.jpeg,OEM,No Color,0.5,"<p>Λαμπτήρας αλογόνου αυτοκινήτου</p><p>55W, 12v</p><p>Blue light - 5000K</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36347,Λαμπτήρας LED - T20-4014-24 - 001953,Λαμπτήρας LED - T20-4014-24 - 001953,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_001953.jpg,OEM,No Color,0.5,"<ul><li><strong>Ισχύς:</strong> 4.5 Watt</li><li><strong>Τάση: </strong>12V DC<strong><br /></strong></li><li><strong>Φωτεινότητα:</strong> 650 Lumen</li><li><strong>Τύπος χρώματος:</strong> Ψυχρό Λευκό 6000 Κelvin</li><li><strong>Τύπος LED: </strong>SMD 4014</li><li><strong>Χρήση:</strong> Φώτα Φρένων, Φώτα Όπισθεν, Φώτα Ομίχλης, Φώτα Ημέρας, Πίσω Φώτα Θέσεως, Διακοσμητική.</li><li><strong>Γωνία διάχυσης φωτός:</strong> 360° μοιρών</li><li><strong>Διάρκειας ζωής:</strong> &gt; 30.000 ώρες</li><li><strong>Πιστοποιητικά:</strong> CE και ROHS</li><li><strong>Βάρος:</strong> 15γρ</li><li><strong>Μήκος:</strong> 53mm</li><li><strong>Διάμετρος: </strong>18mm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36350,Λάμπες LED - H7 - 6000lm - 50W - 005506 - X3,Λάμπες LED - H7 - 6000lm - 50W - 005506 - X3,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_005506.jpg,OEM,No Color,0.8,<ul><li>Σετ 2 τεμαχίων</li><li>Εφαρμογή σε αυτοκίνητα</li><li>Τύπος λάμπας: H7</li><li>Ονομαστική ισχύς: 50W</li><li>Φωτεινότητα: 3000 lumens ανά λάμπα</li><li>Βάση περιστρεφόμενη 360°</li><li>Στεγανοποίηση IP67</li><li>Τάση εισόδου: 9-32V DC</li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36374,Λαμπτήρες LED - 3030-6-39 - CanBus - 2pcs - 674117,Λαμπτήρες LED - 3030-6-39 - CanBus - 2pcs - 674117,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_674124-1.jpg,OEM,No Color,0.5,<ul><li>Σετ 2 τεμαχίων</li><li><strong>Τάση</strong>: 12V</li><li><strong>Κατανάλωση</strong>: 3.5W</li><li><strong>Φωτεινότητα</strong>: 220LM</li><li><strong>Θερμοκρασία χρώματος</strong>: Ψυχρό λευκό (6000K)</li><li><strong>Τύπος</strong>: Τ10</li><li><strong>Διάρκεια ζωής</strong>: 30000 ώρες</li><li><strong>Διαστάσεις (Υ x Π)</strong>: 30 x 11 mm</li><li><strong>Καθαρό βάρος</strong>: 2 γρ.</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36376,Λάμπες LED - C6 - H4 - 36W - 3800LM - 674179,Λάμπες LED - C6 - H4 - 36W - 3800LM - 674179,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/674179.jpg,OEM,No Color,0.8,<ul><li>Σετ 2 τεμαχίων</li><li><strong>Τάση</strong>: 8/48V</li><li><strong>Φωτεινότητα</strong>: 3800LM/τμχ</li><li><strong>Κατανάλωση</strong>: 36W ανά  λάμπα</li><li><strong>Θερμοκρασία χρώματος</strong>: Ψυχρό Λευκό (6000K)</li><li><strong>Βύσμα</strong>: H4</li><li><strong>Ποσότητα LED</strong>: 4 COB LED /σετ  </li><li><strong>Υλικό κατασκευής</strong>: Αλουμίνιο</li><li><strong>Διάρκεια ζωής</strong>: 30.000 ώρες</li><li><strong>Στεγανότητα</strong>: IP67</li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36846,Λάμπες LED - Canbus - T10 - 3030 - 19SMD - 674162,Λάμπες LED - Canbus - T10 - 3030 - 19SMD - 674162,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_674162.jpg,OEM,No Color,0.5,"<div class=""dbbox desc_details desc_box""><div class=""ableft""><div class=""descdiv desc_details""><p>Λαμπτήρες αυτοκινήτου LED Canbus T10 - σετ 2 τεμαχίων, με χαμηλή κατανάλωση και προστασία από υπερθέρμανση. Εύκολη τοποθέτηση.</p><ul><li><span data-spm-anchor-id=""a2g0o.detail.1000023.i0.3ef14b1cNBeDot"">Base type: T10 </span><span style=""color: #ff0000;"">Canbus </span></li><li><span data-spm-anchor-id=""a2g0o.detail.1000023.i0.3ef14b1cNBeDot"">SMD quantity: 19 LED</span></li><li><span data-spm-anchor-id=""a2g0o.detail.1000023.i0.3ef14b1cNBeDot"">SMD type: 3030 Super bright LED</span></li><li>Normal voltage: 12V to 24V DC</li><li>Current:  150MA (Test on 12V DC)</li><li>Διαστάσεις:  33*12 mm*10mm</li><li>Βάρος: 4.5 g</li></ul></div></div></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36997,Λάμπες LED - H1 - C6 - 36W - 180188,Λάμπες LED - H1 - C6 - 36W - 180188,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/180188_811.jpg,OEM,No Color,0.5,"<ul><li><span class=""content"" data-v-41e742bc="""">Ανεμιστήρες ψύξης υψηλής ταχύτητας. </span></li><li>Ισχύς: 36W</li><li class=""classified-title mb-0 d-inline"">6500K</li><li class=""classified-title mb-0 d-inline"">7200LM</li><li>Τάση: 9-16V DC</li><li>Φωτεινότητα: 3800lm</li><li>Αδιαβροχοποίηση: IP68</li><li>Γωνία διάχυσης φωτός: 360 μοίρες</li><li>Διάρκεια ζωής: 50.000 ώρες</li><li>Διαστάσεις: 8.20 x 3.50 x 3.50cm</li><li><span class=""content"" data-v-41e742bc="""">Πιστοποιήσεις: E4 CE ROHS DOT</span></li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36998,Λάμπες LED - X3 - H3 - 50W - 180171,Λάμπες LED - X3 - H3 - 50W - 180171,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/180171_811.jpg,OEM,No Color,0.8,"<div class=""sku-description""><div class=""simple-description js-description-html""><ul><li>Εφαρμογή σε αυτοκίνητα</li><li>Iσχύς: 50W</li><li>Φωτεινότητα: 3000 lumens ανά λάμπα</li><li>Βάση περιστρεφόμενη 360 μοίρες</li><li>Στεγανοποίηση IP67</li><li>Τάση εισόδου: 9-32V DC</li><li>Διάρκεια ζωής έως 30.000 ώρες</li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul></div></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
36999,Λάμπες LED - X3 - H1 - 50W - 180164,Λάμπες LED - X3 - H1 - 50W - 180164,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/180164_811.jpg,OEM,No Color,0.8,"<div class=""sku-description""><div class=""simple-description js-description-html""><p>Εφαρμογή σε αυτοκίνητα και μοτοσυκλέτες.</p><p>Με καινούργια τεχνολογία ψύξης χωρίς ανεμιστήρα.</p><ul><li>Φωτεινότητα: 6000LM</li><li>Θερμοκρασία χρώματος : 6000K</li><li>Φωτισμός Golden Light 3.000K</li><li>Φωτισμός Cool White Light 8.000K</li><li>Ώρες ζωής: 50.000hrs</li><li>Περιέχει μεμβράνη για αλλαγή χρώματος από λευκό σε κίτρινο και σε ιριδίζον μπλε.</li><li>Η βάση μπορεί γυρίσει έως και 360 μοίρες.</li><li>Πιστοποιήσεις: E4, CE, RoHS, DOT, IP67</li><li>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</li></ul></div></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
37356,Λάμπες LED - 2X25W - V3 - H4 - 008507,Λάμπες LED - 2X25W - V3 - H4 - 008507,in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_008507.jpg,OEM,No Color,0.8,<ul><li>Σετ 2 τεμαχίων</li><li>Chip type: COB</li><li>Συμβατό με όλα τα αυτοκίνητα από το 2002 και έπειτα.</li><li>Χρώμα: Λευκό ψυχρό</li><li>Τάση: DC 9V - 32V</li><li>Lumens: 8000lm</li><li>Color temperatures: 6000K</li><li>Watt: 50W (2X25W)</li></ul><p>Διαστάσεις συσκευασίας: 22 Χ 13 εκατοστά.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα LED
