id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35158,Λάμπες XENON – H11 – 55W – Rolinger - 239317,Λάμπες XENON – H11 – 55W – Rolinger - 239317,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/rolinger.jpg,OEM,No Color,3.0,"<p>Τρείς φορές μεγαλύτερη φωτεινότητα από τις λάμπες αλογόνου.</p><ul><li>Χαμηλή κατανάλωση</li><li>Καλύτερη ορατότητα σε άσχημες καιρικές συνθήκες π.χ. βροχή, ομίχλη</li><li>Πάνω από 3000 ώρες διάρκεια ζωής.</li><li>Παράταση διάρκειας λειτουργίας της μπαταρίας λόγω χαμηλής κατανάλωσης</li><li>Θερμοκρασία χρώματος 6000K</li><li>Εύκολη τοποθέτηση χωρίς επιπλέον εξαρτήματα από αυτά που παρέχονται στο σετ.</li><li>Εξαιρετικά ευκρινής και διαυγής φωτεινότητα</li><li>Πενταπλάσια διάρκεια ζωής της λάμπας</li><li>Εύκολη τοποθέτηση</li></ul><p>Χαρακτηριστικά:</p><ul><li>Ballast Parameter Vin : 9 – 16</li><li>V Vout : 23 K</li><li>V Vnorm : 13,2 V</li><li>Power : 55 Watt</li><li>Tcase : -40 C – +105 C</li><li>Buld Parameter Colour Temp. : Crystal White = 6000K</li><li>Life : 3000 h</li></ul><p>Στο Κιτ περιλαμβάνονται:</p><ul><li>2 Slim μετασχηματιστές υψηλής τάσης (23KV)</li><li>2 Xenon Λάμπες H11</li><li>2 X Βάσεις στήριξης Καλωδίωση</li></ul><p>Διαστάσεις συσκευασίας: 32 Χ 20 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
35166,Λάμπες XENON - H11 - 35W - 768149,Λάμπες XENON - H11 - 35W - 768149,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/13413B-800x800-1.jpg,OEM,No Color,0.8,"<p>2 x Λάμπες με Extra καλωδίωση HID PLASMA BULBS (12V)</p><ul><li>* COLOR TEMPERATURE 6000K ΥΠΕΡΛΕΥΚΟ ΦΩΣ</li><li>* V ΙΝ 9-16V</li><li>* V NORM 13.2V</li><li>* Current Norm 4.2 A</li><li>* Current IN MAX 6A</li><li>* Power OUT &lt; 35W</li><li>* Working temperature -40C – +105C</li><li>* HID Efficiency 98.68%, 3, 200 LM.</li><li>* Xρόνος ζωής: 3000 ώρες</li></ul><p>Δεν περιέχεται ο μετασχηματιστής. Το κιτ περιέχει μόνο τις 2 λάμπες.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
35324,Λάμπες XENON – H4-3 – 55W – Rolinger - 238242 - CanBu,Λάμπες XENON – H4-3 – 55W – Rolinger - 238242 - CanBus,in stock,new,63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/rol35w.jpg,OEM,No Color,3.0,"<p>XENON H4-3 CAN BUS 55W 6000K</p><ul><li>Τρείς φορές μεγαλύτερη φωτεινότητα από τις λάμπες αλογόνου, 300% περισσότερη φωτεινότητα: 6000 K.</li><li>Χαμηλή κατανάλωση</li><li>Καλύτερη ορατότητα σε άσχημες καιρικές συνθήκες π.χ. βροχή, ομίχλη Πάνω από 3000 ώρες διάρκεια ζωής.</li><li>Παράταση διάρκειας λειτουργίας της μπαταρίας λόγω χαμηλής κατανάλωσης</li><li>Θερμοκρασία χρώματος 6000K</li><li>Εύκολη τοποθέτηση χωρίς επιπλέον εξαρτήματα από αυτά που παρέχονται στο σετ.</li><li>Εξαιρετικά ευκρινής και διαυγής φωτεινότητα</li><li>Πενταπλάσια διάρκεια ζωής της λάμπας</li><li>Εύκολη τοποθέτηση</li></ul><p>Χαρακτηριστικά</p><ul><li>Ballast Parameter Vin : 9 – 16 V</li><li>Vout : 23 KV</li><li>Vnorm : 13,2 V</li><li>Power : 55 Watt</li><li>Tcase : -40 C – +105 C</li><li>Buld Parameter Colour Temp. : Crystal White = 6000K Life : 3000h</li></ul><p>Στο Κιτ περιλαμβάνονται:</p><ul><li>2 Slim μετασχηματιστές υψηλής τάσης (23KV)</li><li>2 Xenon Λάμπες H4/3</li><li>2 X Βάσεις στήριξης</li><li>Καλωδίωση</li></ul><p>Διαστάσεις συσκευασίας: 32 Χ 20 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
35513,Λάμπες XENON - H11 - 55W - HID - Full Set - 674353,Λάμπες XENON - H11 - 55W - HID - Full Set - 674353,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/氙气灯-55w-h3-hid.jpg,OEM,No Color,3.0,<p>ΠΛΗΡΕΣ ΚΙΤ ETOIMO ΓΙΑ ΑΜΕΣΗ ΕΓΚΑΤΑΣΤΑΣΗ</p><ul><li>2 X Βάσεις στήριξης</li><li>2 X Λάμπες HID PLASMA BULBS ME ΚΑΤΑΝΑΛΩΣΗ ΜΟΛΙΣ (12V) 35W</li><li>COLOR TEMPERATURE 6.000K ΛΕΥΚΟ ΦΩΣ</li><li>V ΙΝ 9-16V</li><li>V NORM 13.2V</li><li>I MORM 3.6A</li><li>I IN MAX 10A</li><li>P OUT 55W</li><li>T CASE -40C – +105C</li></ul><p>Διαστάσεις συσκευασίας: 32 Χ 20 εκατοστά.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
35514,Λάμπες XENON - 9006 - 55W - HID - Full Set - 674346,Λάμπες XENON - 9006 - 55W - HID - Full Set - 674346,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/氙气灯-55w-h3-hid.jpg,OEM,No Color,3.0,<p>ΠΛΗΡΕΣ ΚΙΤ ETOIMO ΓΙΑ ΑΜΕΣΗ ΕΓΚΑΤΑΣΤΑΣΗ</p><ul><li>2 X Βάσεις στήριξης</li><li>2 X Λάμπες HID PLASMA BULBS ME ΚΑΤΑΝΑΛΩΣΗ ΜΟΛΙΣ (12V) 35W</li><li>COLOR TEMPERATURE 6.000K ΛΕΥΚΟ ΦΩΣ</li><li>V ΙΝ 9-16V</li><li>V NORM 13.2V</li><li>I MORM 3.6A</li><li>I IN MAX 10A</li><li>P OUT 55W</li><li>T CASE -40C – +105C</li></ul><p>Διαστάσεις συσκευασίας: 32 Χ 20 εκατοστά.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
36348,Λάμπες XENON - H11 - 55W - HID - Only Bulbs - 002509,Λάμπες XENON - H11 - 55W - HID - Only Bulbs - 002509,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_002509.jpg,OEM,No Color,0.8,"<p>2 x Λάμπες με Extra καλωδίωση</p><p>* HID PLASMA BULBS (12V)<br />* COLOR TEMPERATURE 6000K ΥΠΕΡΛΕΥΚΟ ΦΩΣ<br />* V ΙΝ 9-16V<br />* V NORM 13.2V<br />* Current Norm 4.2 A<br />* Current IN MAX 6A<br />* Power OUT &lt; 55W</p><p>* Working temperature -40C – +105C</p><p>* HID Efficiency 98.68%, 3, 200 LM.</p><p>* Xρόνος ζωής: 3000 ώρες <br />Δεν περιέχεται ο μετασχηματιστής. Το κιτ περιέχει μόνο τις 2 λάμπες.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
36349,Λάμπες XENON - H4 - 55W - HID - Only Bulbs - 004503,Λάμπες XENON - H4 - 55W - HID - Only Bulbs - 004503,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_004503.jpg,OEM,No Color,0.8,"<p>2 x Λάμπες με Extra καλωδίωση</p><p>* HID PLASMA BULBS (12V)<br />* COLOR TEMPERATURE 6000K ΥΠΕΡΛΕΥΚΟ ΦΩΣ<br />* V ΙΝ 9-16V<br />* V NORM 13.2V<br />* Current Norm 4.2 A<br />* Current IN MAX 6A<br />* Power OUT &lt; 55W</p><p>* Working temperature -40C – +105C</p><p>* HID Efficiency 98.68%, 3,200 LM.</p><p>* Xρόνος ζωής: 3000 ώρες</p><p>Δεν περιέχεται ο μετασχηματιστής. Το κιτ περιέχει μόνο τις 2 λάμπες.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
36351,Λάμπες XENON - H11 - 35W - HID - Only Bulbs - 041652,Λάμπες XENON - H11 - 35W - HID - Only Bulbs - 041652,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_041652.jpg,OEM,No Color,0.8,"<p>2 x Λάμπες με Extra καλωδίωση</p><p>* HID PLASMA BULBS (12V)<br />* COLOR TEMPERATURE 6000K ΥΠΕΡΛΕΥΚΟ ΦΩΣ<br />* V ΙΝ 9-16V<br />* V NORM 13.2V<br />* Current Norm 4.2 A<br />* Current IN MAX 6A<br />* Power OUT &lt; 35W</p><p>* Working temperature -40C – +105C</p><p>* HID Efficiency 98.68%, 3, 200 LM.</p><p>* Xρόνος ζωής: 3000 ώρες</p><p>Δεν περιέχεται ο μετασχηματιστής. Το κιτ περιέχει μόνο τις 2 λάμπες.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
36595,Λάμπες XENON - H4 - 55W - HID - Full Set - 001584,Λάμπες XENON - H4 - 55W - HID - Full Set - 001584,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_001584.jpg,OEM,No Color,3.0,"<p>XENON KIT H4-3 55W 6000K 12V Φώτα αυτοκινήτου</p><p>Απλά αντικαταστήστε τους συμβατικούς λαμπτήρες με αυτούς του κιτ και απολαύστε την οδήγηση με το δυνατό και καθαρό φως αυτών τον ΧΕΝΟΝ λαμπτήρων.</p><p>Φώτα <span class=""caps"">XENON</span> <strong>H4-3</strong> αυτοκινήτου –  <strong>Διπλή σκάλα</strong></p><ul><li>2 X Slim Ballast Μεταλλικά</li><li>2 X Λάμπες</li><li>1 X Καλωδίωση με ρελέ για την διπλή σκάλα</li></ul><p>– <span class=""caps"">Light</span> color temperature 6.000K (Καθαρό Λευκό)<br />– 3.000 ώρες διάρκεια ζωής για τις λάμπες <span class=""caps"">Bulb</span> έναντι των τύπου <span class=""caps"">Halogen</span> 400 ΩΡΕΣ</p><p><strong>Διαστάσεις συσκευασίας:</strong> 32 Χ 22 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
36781,Λάμπες XENON - H3 - 35W - 004106,Λάμπες XENON - H3 - 35W - 004106,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/004106.jpg,OEM,No Color,0.8,"<p>Χαρακτηριστικά:<br /> <br /> <br />Θερμοκρασία χρώματος<br />8000K<br />Τάση εισόδου<br />9-16V<br />Voltage Norm<br />13.2V<br />Current Norm<br />4.2A<br />Current in Max<br />6A<br />Ισχύς εξόδου<br />55W<br />Working Temperature<br />-40 ~ +105 Centidrgee<br />HID Efficiency<br />98.68%, 3, 200 LM<br />Χρόνος ζωής<br />3, 000 hours<br />Πιστοποίηση<br />E4 & ISO-9001:2000<br />Τύπος λάμπας<br />H3<br />Διαστάσεις<br />Μήκος λαμπτήρα: 37mm<br />Συνολικό μήκος: 75mm<br />Πλάτος βάσης λαμπτήρα: 20mm<br />Το πακέτο περιλαμβάνει:<br />2 x XENON BULBS<br />2 x SLIM BALLASTS<br />2 x Stents</p><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Φώτα XENON
