id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36324,Αδιάβροχο γιλέκο ψαρέματος με θήκε�,Αδιάβροχο γιλέκο ψαρέματος με θήκες - One sized - 30483,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_30483.jpg,OEM,No Color,1.0,"<p>Γιλέκο ψαρέματος, αδιάβροχο, με πολλαπλές θήκες, One size, σε χρώμα παραλλαγής.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
36864,Αδιάβροχο γιλέκο ψαρέματος με θήκε�,Αδιάβροχο γιλέκο ψαρέματος με θήκες - One Sized - 30637,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30637_1009.jpg,OEM,No Color,2.0,"<p>Γιλέκο ψαρέματος, αδιάβροχο, με πολλαπλές θήκες, One size, σε χρώμα παραλλαγής.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
38008,Αδιάβροχο γιλέκο ψαρέματος με θήκε�,Αδιάβροχο γιλέκο ψαρέματος με θήκες - 30688,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30688.jpg,OEM,No Color,2.0,"<p>Αδιάβροχο γιλέκο αλιείας με πολλαπλές πρακτικές τσέπες και θήκες αποθήκευσης, σε χρώμα καμουφλάζ - One Size</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
38563,Σωσίβιο γιλέκο - No.XXXL - 30714,Σωσίβιο γιλέκο - No.XXXL - 30714,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30714-1.jpg,OEM,No Color,5.0,"<p>Σωσίβιο γιλέκο - πλευστικό βοήθημα με 2 ρυθμιζόμενους ιμάντες, για περισσότερη ασφάλεια, από ανθεκτικό υλικό υψηλής ποιότητας.<br />Ανακλαστική ιδιότητα στο σημείο των ώμων. <br />Ιδανικό για θαλάσσια σπορ.<br />Μέγεθος: XXXL</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
38564,Σωσίβιο γιλέκο - No.XXL - 30713,Σωσίβιο γιλέκο - No.XXL - 30713,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30714-1.jpg,OEM,No Color,5.0,"<p>Σωσίβιο γιλέκο - πλευστικό βοήθημα με 2 ρυθμιζόμενους ιμάντες, για περισσότερη ασφάλεια, από ανθεκτικό υλικό υψηλής ποιότητας.<br />Ανακλαστική ιδιότητα στο σημείο των ώμων. <br />Ιδανικό για θαλάσσια σπορ.<br />Μέγεθος: XXL</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
38565,Σωσίβιο γιλέκο - No.XL - 30712,Σωσίβιο γιλέκο - No.XL - 30712,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30714-1.jpg,OEM,No Color,5.0,"<p>Σωσίβιο γιλέκο - πλευστικό βοήθημα με 2 ρυθμιζόμενους ιμάντες, για περισσότερη ασφάλεια, από ανθεκτικό υλικό υψηλής ποιότητας.<br />Ανακλαστική ιδιότητα στο σημείο των ώμων. <br />Ιδανικό για θαλάσσια σπορ.<br />Μέγεθος: XL</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
39469,Πτυσσόμενη καρέκλα ψαρέματος – 30634,Πτυσσόμενη καρέκλα ψαρέματος – 30634,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30634_1009.jpg,OEM,No Color,5.5,<p>Πτυσσόμενο καρεκλάκι ψαρέματος με πόδια αλουμινίου και υφασμάτινο ανθεκτικό κάθισμα.</p><p>Διαστάσεις:</p><p>Ύψος: 31cm<br />Κάθισμα: 30 x 27cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
39480,Πτυσσόμενη καρέκλα ψαρέματος – 30485,Πτυσσόμενη καρέκλα ψαρέματος – 30485,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_30485-1.jpg,OEM,No Color,5.5,"<p>Μεταλλική, πτυσσόμενη καρέκλα, ιδανική για την παραλία και το ψάρεμα. Είναι άνετη και τοποθετείται παντού.<br />Επίσης είναι ελαφριά και εύκολη στη μεταφορά, καθώς συσκευάζεται σε τσαντάκι.</p><p>Ύψος καθίσματος: 35cm</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
39752,Αδιάβροχο γιλέκο ψαρέματος με θήκε�,Αδιάβροχο γιλέκο ψαρέματος με θήκες - One sized – 30494,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30494-1.jpg,OEM,No Color,2.0,"<p>Γιλέκο ψαρέματος, αδιάβροχο, με πολλαπλές θήκες, One size, σε χρώμα παραλλαγής.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
39931,Σωσίβιο γιλέκο - One sized - 30710,Σωσίβιο γιλέκο - One sized - 30710,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30710_NEW.jpg,OEM,No Color,5.0,"<p>Σωσίβιο γιλέκο - πλευστικό βοήθημα με 3 ρυθμιζόμενους ιμάντες, για περισσότερη ασφάλεια, από ανθεκτικό υλικό υψηλής ποιότητας.<br />Διατίθεται σε χρώμα παραλλαγής.<br />Ιδανικό για θαλάσσια σπορ.<br />One sized.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καρέκλες  είδη ένδυσης
