id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35649,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30331,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30331.jpg,OEM,No Color,1.0,"<p>Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας, σε μίνι πρακτικό μέγεθος. <br />Διαθέτει πολλαπλές θήκες για να τοποθετείτε τα δολώματα σας αλλά και όλα σας τα αξεσουάρ.<br />Διαστάσεις: 6 x 8 x 3cm</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
35718,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30332,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30332.png,OEM,No Color,1.0,<p>Διαθέτει πολλαπλές θήκες για να τοποθετείτε τα δολώματα σας αλλά και όλα σας τα αξεσουάρ.<br />Διαστάσεις: 10 x 7 x 3cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
35719,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30327,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30327.png,OEM,No Color,1.5,"<p>Διαθέτει πολλαπλές θήκες για να τοποθετείτε τα δολώματα σας αλλά και όλα σας τα αξεσουάρ.<br />Διαστάσεις: 11 x 7 x 3cm</p><p>Διαθέσιμα χρώματα: Μαύρο, Πορτοκαλί, Χακί - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
35720,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30326,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30326.png,OEM,No Color,1.0,"<p>Πλαστικό κουτί αλιείας, mini, με θήκες διαφόρων μεγεθών, για να τοποθετείτε τα δολώματα σας αλλά και όλα σας τα αξεσουάρ.<br />Διαστάσεις: 10 x 6 x 5cm</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
36366,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30325,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_30325.jpg,OEM,No Color,5,"<p>Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας, με πολλαπλές εσωτερικές θήκες.<br />Διαστάσεις: 25 x 15cm</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
36865,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30337,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30337_1009.jpeg,OEM,No Color,2,<p>Πλαστικό κουτί αποθήκευσης ειδών αλιείας με πολλαπλές θήκες.</p><p>Διαστάσεις: 24 x 15 x 6.5cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
37389,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30329,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30329.png,OEM,No Color,3,<p>Πλαστικό κουτί αλιείας με αντιολισθητικά πατάκια εξωτερικά και πολλαπλές θήκες.<br />Διαστάσεις: 19 x 11 x 4.5cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
37390,Πλαστικό κουτί αποθήκευσης αξεσουά,Πλαστικό κουτί αποθήκευσης αξεσουάρ αλιείας - 30328,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30328.png,OEM,No Color,2,<p>Πλαστικό κουτί αλιείας με αντιολισθητικά πατάκια εξωτερικά και πολλαπλές θήκες.<br />Διαστάσεις: 15 x 9 x 4.5cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
39739,Πλαστικό κουτί αλιείας – 30334,Πλαστικό κουτί αλιείας – 30334,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30334-1.png,OEM,No Color,0.8,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p>Πλαστικό κουτί αποθήκευσης ειδών αλιείας με πολλαπλές θήκες.</p><p>Διαστάσεις: 20 x 10.5 x 4.5cm</p></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
39747,Πλαστικό κουτί αλιείας – 30339,Πλαστικό κουτί αλιείας – 30339,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30339.png,OEM,No Color,0.8,"<p>Διαθέτει θήκες για να τοποθετείτε τα δολώματα σας αλλά και όλα σας τα αξεσουάρ. <br />Διαστάσεις: 28×18cm.</p><div class=""c-message_kit__reaction_bar c-reaction_bar c-reaction_bar--dark c-reaction_bar--collapsed"" role=""group"" data-qa=""reaction_bar"" aria-label=""Reactions"" data-stringify-ignore=""true""> </div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Κουτιά αποθήκευσης  θήκες μεταφοράς
