id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35409,Μαλαγρωτές ψαρέματος - 20047,Μαλαγρωτές ψαρέματος - 20047,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20047-1.jpg,OEM,No Color,0.3,"<p>Μαλαγρωτές ψαρέματος ειδικά σχεδιασμένα σαν ελατήριο χωρίς βαρύδι για να δεχτεί μεγάλη μάζα από την μαλάγρα μας γύρω από τον άξονά της, περαστά στην πετονιά ή το νήμα ώστε να κατευθύνουν το δόλωμα ακριβώς στο σημείο που ψαρεύετε. Χρησιμοποιείται πολύ στο ψάρεμα με την τεχνική του Anglais και του Feeder.</p><p>Αυθεντικό προϊόν Tadesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
35715,Μαλαγρωτές ψαρέματος - Σπιράλ - 30226,Μαλαγρωτές ψαρέματος - Σπιράλ - 30226,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15777146821479161.jpg,OEM,No Color,0.3,<p>Αυθεντικό προϊόν Tradesor! </p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
35727,Μαλαγρωτής ψαρέματος - Συρμάτινο κα,Μαλαγρωτής ψαρέματος - Συρμάτινο καλάθι - 30255,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30255.png,OEM,No Color,0.3,<p>Αυθεντικό προϊόν Tradesor! </p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
36231,Μαλαγρωτές ψαρέματος - 30263,Μαλαγρωτές ψαρέματος - 30263,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15933101576673598-2.jpg,OEM,No Color,0.1,"<p>Μαλαγρωτές ψαρέματος ειδικά σχεδιασμένα σαν ελατήριο χωρίς βαρύδι για να δεχτεί μεγάλη μάζα από την μαλάγρα μας γύρω από τον άξονά της, περαστά στην πετονιά ή το νήμα ώστε να κατευθύνουν το δόλωμα ακριβώς στο σημείο που ψαρεύετε. Χρησιμοποιείται πολύ στο ψάρεμα με την τεχνική του Anglais και του Feeder. Αυθεντικό προϊόν Tadesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
94647,Μαλαγρωτής ψαρέματος - Πυραυλάκι - 31,Μαλαγρωτής ψαρέματος - Πυραυλάκι - 31518,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/948a15997f2bba80427dd4458e2d2de0.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
94651,Μαλαγρωτής ψαρέματος - Πυραυλάκι - 31,Μαλαγρωτής ψαρέματος - Πυραυλάκι - 31517,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/995cb5d81fdf8ae9af615aad5526a925.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
94654,Μαλαγρωτής ψαρέματος - Συρμάτινο κα,Μαλαγρωτής ψαρέματος - Συρμάτινο καλάθι - Small - 31396,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/741b4d052bba517c5d12b4c7972d828b.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
94657,Μαλαγρωτής ψαρέματος - Συρμάτινο κα,Μαλαγρωτής ψαρέματος - Συρμάτινο καλάθι - Medium - 31395,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/da4617234d565025c6bfa91bb4ba4e21.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
94660,Μαλαγρωτής ψαρέματος - Συρμάτινο κα,Μαλαγρωτής ψαρέματος - Συρμάτινο καλάθι - Large - 31394,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/63afc5ce43d94041e504da18cd813a2d.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
95152,Μαλαγρωτής ψαρέματος - 50g - 31733,Μαλαγρωτής ψαρέματος - 50g - 31733,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/31731.jpg,OEM,No Color,0.4,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Μαλαγρωτές
