id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35460,Αξεσουάρ αλιείας - Συναγερμός - 20307,Αξεσουάρ αλιείας - Συναγερμός - 20307,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20307.jpg,OEM,No Color,0.3,<p>Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
35461,Αξεσουάρ αλιείας - Συναγερμός - 20308,Αξεσουάρ αλιείας - Συναγερμός - 20308,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20308.jpg,OEM,No Color,0.3,<p>Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
35647,Αξεσουάρ αλιείας - Συναγερμός - 30235,Αξεσουάρ αλιείας - Συναγερμός - 30235,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30235.jpg,OEM,No Color,0.3,<p>Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
35729,Αξεσουάρ αλιείας - Συναγερμός - 30241,Αξεσουάρ αλιείας - Συναγερμός - 30241,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15772462971138327.jpg,OEM,No Color,0.3,"Αυθεντικό προϊόν Tradesor!

Για περισσότερα χαρακτηριστικά δείτε την εικόνα και τον κωδικό προϊόντος.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
35820,Σπίθα σήμανσης βυθού χημικού φωτός ,Σπίθα σήμανσης βυθού χημικού φωτός - Tradesor - 30295,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1578662616643466-1.jpg,OEM,No Color,0.2,"<div class=""prod-descr"">Σπίθα σήμανσης βυθού χημικού φωτός χρώματος πράσινου. <br />Ιδανική για το ψάρεμα καλαμαριού και θράψαλου.<br />Ανάβει μόνο μέσα στο νερό.<br />Διάρκεια ζωής, έως και 150 ώρες.<br />Μήκος: περ. 7cm</div><div> </div><div class=""prod-descr"">Αυθεντικό προϊόν Tradesor</div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
35821,Σπίθα σήμανσης βυθού - Tradesor - 30293,Σπίθα σήμανσης βυθού - Tradesor - 30293,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15791801669589560-1.jpg,OEM,No Color,0.2,"<div class=""prod-descr"">Διαθέτει στριφτάρι ρουλεμάν.</div><div> </div><div class=""prod-descr"">Αυθεντικό προϊόν Tradesor</div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
36023,Συναγερμός για καλάμι ψαρέματος - 302,Συναγερμός για καλάμι ψαρέματος - 30213,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1584761057744766-1.jpg,OEM,No Color,0.3,<p>Συναγερμός με 2 κουδούνια και φως για καλάμι ψαρέματος. Προσαρμόζεται στο καλάμι και την πετονιά και σας ειδοποιεί όταν υπάρχει αντίδραση από κάποιο ψάρι. Ιδανικό και για νυχτερινό ψάρεμα. Το φως λειτουργεί με μπαταρίες.</p><p>Η συσκευασία περιλαμβάνει: 1 Συναγερμό Παράμαλα Δολώματα σιλικόνης  </p><p>Αυθεντικό προϊόν Tradesor</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
37031,Σπίθα σήμανσης βυθού - 17cm - 30291,Σπίθα σήμανσης βυθού - 17cm - 30291,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30291_811.jpg,OEM,No Color,0.2,"<p>Σπίθα σήμανσης βυθού, 17cm με πολύχρωμο φως.</p><p>Λειτουργεί με μπαταρία ΑΑ - δεν περιλαμβάνεται.</p><p>Αυθεντικό προϊόν Tradesor</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
37374,Σπίθα σήμανσης βυθού - 30292,Σπίθα σήμανσης βυθού - 30292,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30292.png,OEM,No Color,0.1,<p>Σπίθα σήμανσης βυθού - 1 τεμάχιο σε συσκευασία blister.<br />Χρώμα φωτισμού: Λευκό</p><p>Αυθεντικό προϊόν Tradesor</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
94625,Κουδούνια ψαρέματος διπλά - Συναγερ,Κουδούνια ψαρέματος διπλά - Συναγερμοί - 3pcs - 31419,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/0db469ef6ec353a24f55d84da8fa2229.jpg,OEM,No Color,0.3,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Συναγερμοί  είδη σήμανσης
