id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36542,Aναλογικό ρολόι χειρός - Skmei - 9202 - Orange,Aναλογικό ρολόι χειρός - Skmei - 9202 - Orange,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9202__-τ1.jpg,OEM,No Color,0.5,"<p>Aναλογικό ρολόι χειρός - Skmei - 9202 - Orange</p><p>Ανθεκτική κατασκευή, με άνετο λουράκι σιλικόνης και με εξαιρετικό design που ταιριάζει με κάθε στυλ.</p><p>Χαρακτηριστικά:<br />Άνετη εφαρμογή<br />Αντοχή υγρασίας<br />Καπάκι μπαταρίας από ανοξείδωτο ατσάλι<br />Μήκος λουριού: 20cm<br />Διάμετρος καντράν: 27mm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
36543,Aναλογικό ρολόι χειρός - Skmei - 9202 - Black,Aναλογικό ρολόι χειρός - Skmei - 9202 - Black,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9202__-τ5.jpg,OEM,No Color,0.5,"<p>Aναλογικό ρολόι χειρός - Skmei - 9202 - Black</p><p>Ανθεκτική κατασκευή, με άνετο λουράκι σιλικόνης και με εξαιρετικό design που ταιριάζει με κάθε στυλ.</p><p>Χαρακτηριστικά:<br />Άνετη εφαρμογή<br />Αντοχή υγρασίας<br />Καπάκι μπαταρίας από ανοξείδωτο ατσάλι<br />Μήκος λουριού: 20cm<br />Διάμετρος καντράν: 27mm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
36544,Aναλογικό ρολόι χειρός - Skmei - 9202 - Yellow,Aναλογικό ρολόι χειρός - Skmei - 9202 - Yellow,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9202__-τ4.jpg,OEM,No Color,0.5,"<p>Aναλογικό ρολόι χειρός - Skmei - 9202 - Yellow</p><p>Ανθεκτική κατασκευή, με άνετο λουράκι σιλικόνης και με εξαιρετικό design που ταιριάζει με κάθε στυλ.</p><p>Χαρακτηριστικά:<br />Άνετη εφαρμογή<br />Αντοχή υγρασίας<br />Καπάκι μπαταρίας από ανοξείδωτο ατσάλι<br />Μήκος λουριού: 20cm<br />Διάμετρος καντράν: 27mm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39873,Smartwatch – Z39 – 879734 - 879734 - Blue,Smartwatch – Z39 – 879734 - 879734 - Blue,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/879734_bl.png,OEM,No Color,0.8,"<p>Smartwatch νέας γενιάς σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Χαμηλή κατανάλωση μπαταρίας: Χρονος stand by 40 ώρες, Χρόνος χρήσης έως 4 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP67 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω</p><p><strong>Περιλαμβάνονται:</strong></p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39874,Smartwatch – Z39 – 879734 - 879734 - Red,Smartwatch – Z39 – 879734 - 879734 - Red,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/879734_r.jpg,OEM,No Color,0.8,"<p>Smartwatch νέας γενιάς σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Χαμηλή κατανάλωση μπαταρίας: Χρονος stand by 40 ώρες, Χρόνος χρήσης έως 4 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP67 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω</p><p><strong>Περιλαμβάνονται:</strong></p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39875,Smartwatch – Z39 – 879734 - 879734 - Green,Smartwatch – Z39 – 879734 - 879734 - Green,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/879734_g.png,OEM,No Color,0.8,"<p>Smartwatch νέας γενιάς σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Χαμηλή κατανάλωση μπαταρίας: Χρονος stand by 40 ώρες, Χρόνος χρήσης έως 4 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP67 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω</p><p><strong>Περιλαμβάνονται:</strong></p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39879,Smartwatch – i14 PRO - 887318 - Black,Smartwatch – i14 PRO - 887318 - Black,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/887318_b.jpg,OEM,No Color,0.8,"<p>Smartwatch νέας γενιάς σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Χαμηλή κατανάλωση μπαταρίας: Χρονος stand by 40 ώρες, Χρόνος χρήσης έως 4 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP67 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω</p><p><strong>Περιλαμβάνονται:</strong></p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39881,Smartwatch – i13 PRO - 887363 - Black,Smartwatch – i13 PRO - 887363 - Black,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/887318_b.jpg,OEM,No Color,0.8,"<p>Smartwatch νέας γενιάς i13 PRO, σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Οθόνη αφής 1.9'', 240 x 286pixels<br />Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Χαμηλή κατανάλωση μπαταρίας: <br />Χρονος stand by 40 ώρες, <br />Χρόνος χρήσης έως 5 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP68 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω<br />Μήκος λουριού: 25cm<br />Διαστάσεις καντράν: 44.5 x 38.3mm</p><p><strong>Περιλαμβάνονται</strong>:</p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p><p>Διαστάσεις συσκευασίας: 20.8 x 6.2 x 3 cm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39884,Smartwatch – T900 PRO MAX - 887387 - Black,Smartwatch – T900 PRO MAX - 887387 - Black,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/887387_b.png,OEM,No Color,0.8,"<p>Smartwatch T900 PRO MAX Series 8, νέας γενιάς, σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Οθόνη αφής 1.9'', TFT HD, 320*240pixel<br />Bluetooth 4.2+5.0 με διπλή λειτουργία<br />Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Ξυπνητήρι, Υπενθυμίσεις, <br />Ασύρματη φόρτιση (περιλαμβάνεται καλώδιο και βάση)<br />Χωρητικότητα μπαταρίας: 280mAh<br />Χαμηλή κατανάλωση μπαταρίας: <br />Χρονος stand by 40 ώρες, <br />Χρόνος χρήσης έως 4 μέρες.<br />Ενσωματωμένο μικρόφωνο<br />Αδιαβροχοποίηση: IP67 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω<br />Γλώσσες μενού: <br />Αγγλικά, Κινέζικα, Ολλανδικά, Ρώσικα, Γαλλικά, Γερμανικά, Πορτογαλικά, Ισπανικά, Τουρκικά, Μαλαισιανά, Πολωνικά, Τσέχικα, Σλοβακικά, Αραβικά, Ταϊλανδέζικα, Ιταλικά.</p><p>Περιλαμβάνονται:</p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p><p>Διαστάσεις συσκευασίας: 16.4*9.4*2.8cm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
39891,Smartwatch – XW78+ PRO - 887479 - Black,Smartwatch – XW78+ PRO - 887479 - Black,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/887479_b.jpg,OEM,No Color,0.8,"<p>Υπερσύγχρονο Smartwatch νέας γενιάς XW78+ PRO, Series 7, σε μοντέρνο design που ταιριάζει με κάθε εμφάνιση, με άνετο λουράκι σιλικόνης και λειτουργίες που θα το καταστήσουν τον αγαπημένο σας καθημερινό οδηγό και αξεσουάρ.</p><p><strong>Λειτουργίες / Χαρακτηριστικά:</strong></p><p>Οθόνη αφής 1.75 inch, Full Touch Screen<br />Εύχρηστο μενού<br />Λειτουργίες: Fitness Tracker, Μετρητής: βημάτων, θερμίδων, απόστασης, καρδιακών παλμών, ύπνου, θερμοκρασίας. Ειδοποιήσεις κλήσεων/μηνυμάτων, Αριθμομηχανή, Ξυπνητήρι, Υπενθυμίσεις.<br />Voice calling <br />Ενσωματωμένο μικρόφωνο<br />Χωρητικότητα μπαταρίας: 230mAh<br />Χαμηλή κατανάλωση μπαταρίας: <br />Χρονος stand by 40 ώρες, <br />Χρόνος χρήσης έως 4 ημέρες.<br />Ασύρματη φόρτιση (περιλαμβάνεται καλώδιο και βάση)<br />Αδιαβροχοποίηση: IP68 (Ανθεκτικό στην υγρασία και τον ιδρώτα)<br />Συμβατότητα: iOS 9.0 και άνω, Android 5.0 και άνω<br />Γλώσσες μενού: <br />Chinese, English, Arabic, French, German, Spanish, Portuguese, Russian, Thai, Polish, Italian, Japanese, Traditional Chinese, Malay, Turkish, Greek, Latin, Persian, Dutch, Vietnamese , Indonesian, Romanian</p><p><strong>Περιλαμβάνονται</strong>:</p><p>1*smartwatch<br />1*καλώδιο φόρτισης<br />1*Οδηγίες χρήσης στα αγγλικά</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Smartwatches  Wrist-bands
