id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36071,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης  - M6 Mini - TWS - White,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881179_w.jpg,OEM,No Color,0.3,<p><strong>Λειτουργίες</strong>:</p><p>•Bluetooth New 5.0 touch binaural call<br />•Αφαίρεση ακουστικών<br />•Αυτόματη εκκίνηση<br />•Αυτόματη σύνδεση<br />•Αναπαραγωγή (παύση) μουσικής / απάντηση κλήσεων</p><p><strong>Χαρακτηριστικά</strong>:</p><p>•Βάρος προϊόντος: 4 gr (το κάθε ακουστικό).<br />•Χρόνος ομιλίας: 4 ώρες.<br />•Χρόνος αναμονής: 100/ώρες για ένα ακουστικό και 60/ώρες για τα δύο ακουστικά.<br />•Χρόνος φόρτισης: 5 ώρες.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36090,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης – TWS – M7 - White - 881209,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881209_w-1-1.png,OEM,No Color,0.2,"<p>Τα ασύρματα ακουστικά TWS m7 με μαγνητική φόρτιση, είναι το μοντέλο επόμενης γενιάς με κομψό και μοντέρνο σχεδιασμό και ήχο υψηλής ποιότητας.</p><p>Τα καλύτερα ακουστικά TOUCH με ισχυρή μπαταρία και δυνατότητα γρήγορης ασύρματης φόρτισης! Η φόρτιση της μπαταρίας παρέχει τη δυνατότητα να ακούτε μουσική συνεχώς για δύο έως τρεις ώρες. Εάν βρίσκεστε μακριά από την πρίζα, η θήκη φόρτισης θα δώσει επιπλέον 10 ώρες χρόνου.</p><p>Έξυπνη θήκη - όταν ανοίγετε το καπάκι, τα ακουστικά ενεργοποιούνται αυτόματα και συνδέονται αμέσως, αφού τα τοποθετήσετε στη θήκη τους και κλείσετε το καπάκι, τα ακουστικά απενεργοποιούνται και ξεκινά η φόρτιση.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Έκδοση Bluetooth: 5.0 (υψηλότερη ταχύτητα μετάδοσης ήχου και καθαρότητα ήχου),</li><li>Δείκτες φόρτισης και ειδοποίησης.</li><li>Υποστήριξη για όλα τα κινητά τηλέφωνα Bluetooth</li><li>Δυνατότητα σύνδεσης σε tablet ή φορητό υπολογιστή για να παρακολουθείτε ταινίες ή να ακούτε μουσική</li><li> Ασύρματη θήκη φόρτισης με μαγνήτη.</li><li>1. Βάρος προϊόντος : 4-5g (ένα ακουστικό).</li><li>2. Χρόνος λειτουργίας: έως 3 ώρες.</li><li>3. Χρόνος αναμονής: έως 100 / ώρα</li><li>4. Χρόνος φόρτισης: 40 λεπτά.</li><li>5. Χωρητικότητα μπαταρίας ενός ακουστικού: 35 mAh.</li><li>6. Φορτιστής: 350 mAh.</li><li>7. Ασύρματη απόσταση: 10 μέτρα</li><li>8. Συμβατά κινητά τηλέφωνα: Τα ακουστικά είναι συμβατά με Android, IOS, Microsoft κ.λπ., 100% κινητά τηλέφωνα Bluetooth.</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36345,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης - M8 Plus - TWS - White,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/465584_w.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Τα ασύρματα Bluetooth ακουστικά τύπου airpods είναι πραγματικά ένα προϊόν που σας επιτρέπει να διαχειρίζεστε τις τηλεφωνικές σας κλήσεις και να ακούτε μουσική ενώ μετακινείστε.</p><p>Εφαρμόζει με άνεση και σταθερότητα στο αυτί σας και μπορείτε να λαμβάνετε ή να δέχεστε τηλεφωνικές κλήσεις χωρίς να κρατάτε το κινητό στο χέρια σας και χωρίς την παρουσία ενοχλητικών καλωδίων. Μπορείτε να ακούτε τα τραγούδια που έχετε αποθηκευμένα στο κινητό σας.</p><p>Ιδανικό και για επαγγελματίες που συνομιλούν στο κινητό τους διαρκώς, καθώς και για οδηγούς που πρέπει να έχουν τα χέρια τους ελεύθερα κατά τη διάρκεια της οδήγησης.</p><p>Συμβατό με τα περισσότερα κινητά και smartphones (Android, IOS, Microsoft ) με δυνατότητα Bluetooth 5.0.</p><strong>Χαρακτηριστικά</strong>:<br /><p>•Bluetooth New 5.0 touch binaural call</p><p>•Αφαίρεση ακουστικών</p><p>•Αυτόματη εκκίνηση</p><p>•Αυτόματη σύνδεση,</p><p>•Με υψηλή διαμόρφωση χάλκινου ηχείου</p><p>•Αναπαραγωγή (παύση) μουσικής / απάντηση κλήσεων</p><p>•Πατιέται το αριστερό (δεξιό) ακουστικό</p><p>•Μετάβαση στο επόμενο (τελευταίο) κομμάτι της μουσικής.</p><p>•Εύκολο ξύπνημα με το Siri</p><p>•Ακυρώστε την ανοιχτή κλήση και μετατρέψτε την σε κλειστή</p><p>Παράμετροι προϊόντος:</p><p>•Βάρος προϊόντος: 4-5gr (το κάθε ακουστικό).</p><p>•Χρόνος ομιλίας: 2-2,5 ώρες.</p><p>•Χρόνος αναμονής: 100/ώρες για ένα ακουστικό και 60/ώρες για τα δύο ακουστικά.</p><p>•Χρόνος φόρτισης: 1-1,5 ώρες.</p><p>•Χωρητικότητα μπαταρίας ενός ακουστικού: 35mAh.</p><p>•Μπαταρία: 350mAh.</p><p>•Ασύρματη απόσταση: 10 μέτρα.</p><p><strong>Η συσκευασία περιλαμβάνει:</strong></p><p>•Ένα ζεύγος ακουστικών Bluetooth</p><p>•Φορτιστή</p><p>•Καλώδιο φόρτισης</p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36525,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης - TWS - 2020 - 881117,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881117.jpg,OEM,No Color,0.2,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p>Πολύ ελαφριά ασύρματα ακουστικά bluetooth με ψηφιακή έγχρωμη οθόνη στη θήκη για να βλέπετε το επίπεδο της μπαταρίας ξεχωριστά για κάθε ακουστικό. Μπορείτε να ακούτε μουσική ή να απαντάτε σε κλήσεις με το ένα ή και τα δυο ακουστικά ταυτόχρονα. Διαθέτουν πολύ καθαρό ήχο και λειτουργία μείωσης θορύβου.</p><p>Με δυνατότητα ασύρματης φόρτισης.</p><p>Είναι συμβατά με συσκευές Android και iOS.</p><p>Το κάθε ακουστικό διαθέτει και μικρόφωνο για συνομιλία handsfree.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Υλικό: ABS<br />Έκδοση Bluetooth: V5.0<br />Απόσταση λειτουργίας από το κινητό: 10 μέτρα<br />Χωρητικότητα μπαταρίας (mAh): : 30mAh το κάθε ακουστικό / 350mAh η θήκη<br />Χρόνος φόρτισης: Ακουστικά: 1.5 ώρες, Θήκη φόρτισης: 2 ώρες<br />Χρόνος λειτουργίας: έως 3 ώρες<br />Ήχος: Stereo</p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36599,Ενσύρματα ακουστικά - AWEI - ES15i - 041522,Ενσύρματα ακουστικά - AWEI - ES15i - 041522,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_041522.jpeg,OEM,No Color,0.2,<p>Με τα νέα στερεοφωνικά hands-free ακουστικά AWEI ES-15Hi μπορείτε να μιλάτε στο τηλέφωνο και να ακούτε άνετα την αγαπημένη σας μουσική όπου κι αν βρίσκεστε. Άνετα και ελαφριά ιδανικά για κάθε χρήση. Διαθέτουν τεχνολογία που απομονώνουν τους εξωτερικούς ήχους και αυξάνουν την ποιότητα του ήχου.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Πλακέ καλώδιο</li><li>Βύσμα 3.5mm Jack</li><li>Πλήκτρα διαχείρισης κλήσεων</li><li>Χρώμα: Μαύρο</li></ul>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36601,Ενσύρματα ακουστικά - AWEI - L3 - 003643,Ενσύρματα ακουστικά - AWEI - L3 - 003643,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_003643.jpg,OEM,No Color,0.2,"<p>Ενσύρματα ακουστικά AWEI L3 με υψηλής ποιότητας ήχο surround και εργονομικό σχεδιασμό με καλώδιο που περνιέται πίσω από το αυτί για άνετη εφαρμογή και απόλυτη σταθερότητα.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Μήκος καλωδίου: 1.2m</li><li>Βύσμα: 3.5mm</li><li>Drive Unit: 13mm</li><li>Ευαισθησία: 93dB±3dB</li><li>Αντίσταση: 16Ω</li><li>Συχνότητα: 20-20000HZ</li><li>Λειτουργίες: Voice Call, Ρύθμιση έντασης, Αλλαγή τραγουδιού</li><li>Βάρος: 21g</li><li>Χρώμα: Μαύρο</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36994,Ασύρματα ακουστικά Bluetooth - Fineblue - F22 Pr,Ασύρματα ακουστικά Bluetooth - Fineblue - F22 Pro - 700123 - White,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700123_811.jpg,OEM,No Color,0.1,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ασύρματα ακουστικά Fineblue  F22 Pro με μοναδική σχεδίαση ημιδιαφανούς κάψουλας, εξαιρετική ποιότητα ήχου και Touch Control στο ακουστικό.  </span></span></p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ήχος HIFIμε εφέ μπάσου<br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χαμηλή κατανάλωση ενέργειας-μεγαλύτερη αυτονομία μπαταρίας</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Έκδοση Bluetooth: Jerry 6983D, V5.1 </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Απόσταση μετάδοσης: 10 μέτρα </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Αδιαβροχοποίηση: IPX5 </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Μετάδοση ήχου: Class 2 (-6dbm-4dbm)<br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Τάση φόρτισης: DC 5V </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Τάση λειτουργίας: 3,7 V </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χωρητικότητα μπαταρίας: Ακουστικό: 35mAh, Θήκη φόρτισης: 280mAh</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος φόρτισης ακουστικών: &lt;2 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος μουσικής: περίπου 3,5 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος ομιλίας: περίπου 3 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος αναμονής: περίπου 60 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Θύρα φόρτισης: TYPE-C </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις ακουστικών: 17*40*19mm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις θήκης φόρτισης: 51*61*28mm </span></span></li></ul><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1""><strong>Η συσκευασία περιλαμβάνει:</strong> </span></span></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">1 x ζεύγος ακουστικών </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">1 x Θήκη φόρτισης </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">1 x Καλώδιο φόρτισης USB </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""1"">1 x Εγχειρίδιο χρήσης στα Αγγλικά<br /></span></span></li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
36996,Ενσύρματα ακουστικά Type C - TC-1 - AWEI - 0157,Ενσύρματα ακουστικά Type C - TC-1 - AWEI - 015738,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_015738-1.jpg,OEM,No Color,0.2,<p>Τα ακουστικά TC-1 της Awei είναι η ιδανική επιλογή για να ακούτε την μουσική σας ή να μιλάτε handsfree όπου και αν βρίσκεστε.</p><p>Είναι In-Ear και εργονομικά σχεδιασμένα για πολύωρη χρήση. Προσφέρουν εξαιρετική ηχομόνωση και άνετη εφαρμογή.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Έξοδος Type-C</li><li>Μικρόφωνο</li><li>Explosive Bass</li><li>HiFi Stereo</li><li>Ευαισθησία: 93 db</li><li>Αντίσταση: 16Ω</li><li>Απόκριση συχνότητας: 20 – 20000Hz</li><li>Μήκος Καλωδίου: 1.2m</li></ul>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
37499,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης - TN73 - 720664,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/720664.jpg,OEM,No Color,0.2,"<p>Ασύρματα ακουστικά Bluetooth με μικρόφωνο και θήκη φόρτισης. Υψηλής ποιότητας ήχος χωρίς θορύβους και άνετη εφαρμογή στο αυτί.</p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0""><strong>Χαρακτηριστικά:</strong> </span></span></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Bluetooth έκδοση: 5.0  </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Εμβέλεια Bluetooth: περίπου 10 μέτρα </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Συμβατό με όλες τις συσκευές Bluetooth</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Μπαταρία ακουστικών: 40mAh x2 </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος φόρτισης: περίπου 2 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος χρήσης: περίπου 4 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος αναμονής: περίπου 120 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Ισχύς: 5V = 100mA </span></span></li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
37500,Ασύρματα ακουστικά με θήκη φόρτιση�,Ασύρματα ακουστικά με θήκη φόρτισης - TN73-MAX - 720701,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/720701.jpg,OEM,No Color,0.2,"<p>Ασύρματα ακουστικά Bluetooth με μικρόφωνο και θήκη φόρτισης. Υψηλής ποιότητας ήχος χωρίς θορύβους και άνετη εφαρμογή στο αυτί.</p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0""><strong>Χαρακτηριστικά:</strong> </span></span></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Bluetooth έκδοση: 5.0  </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Εμβέλεια Bluetooth: περίπου 10 μέτρα </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Ψηφιακή οθόνη</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Συμβατό με όλες τις συσκευές Bluetooth</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Μπαταρία ακουστικών: 40mAh x2 </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος φόρτισης: περίπου 2 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος χρήσης: περίπου 4 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Χρόνος αναμονής: περίπου 120 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Ισχύς: 5V = 100mA </span></span></li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά earphones
