id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36423,Ενσύρματο πληκτρολόγιο - Weibo - WB-580 - 65,Ενσύρματο πληκτρολόγιο - Weibo - WB-580 - 655808,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_655808.jpg,OEM,No Color,0.4,"<div class=""tab-content""><div id=""description"" class=""tab-pane active show"" role=""tabpanel""><div class=""product-description""><div id=""&quot;tab-description&quot;"" class=""&quot;tab-pane""><p>Το πληκτρολόγιο χρησιμοποιεί 16,8 εκατομμύρια φωτεινές πηγές για να φωτιστεί,που μπορεί να διανεμηθεί σε ομάδες με πολύχρωμο οπίσθιο φωτισμό, το οποίο δίνει ένα πιο cool στυλ.</p>Η εξεζητημένη εμφάνιση και το ειδικό σχέδιο βελτιώνει την εμπειρία του παιχνιδιού.<br />Το μοντέρνο υψηλής ευκρίνειας laser έχει ομοιόμορφο υψηλό βαθμό αναγνώρισης και δεν θα ξεθωριάσει με την χρήση, έτσι αυξάνει αποτελεσματικά τη ζωή λειτουργίας του.<br />Το πληκτρολόγιο έχει σχεδιαστεί έτσι ώστε να ξεκουράζει τα χέρια με την απόσταση των κουμπιών και την χρήση του καρπού να κρατιέται σταθερά πάνω. Θα δυσκολευτείτε να νιώσετε κουρασμένοι.<br /><br /><u><strong>Χαρακτηριστικά:<br /></strong></u><ul><li>Υποστηρίζει μια καινούρια γενιά από αισθητήρες για πιο γρήγορη ανταπόκριση.</li><li>Καινούριο, πολύ λεπτό και στυλάτο πληκτρολόγιο.</li><li>Ταιριάζει σε όλες τις εισόδους USB.</li><li>Ισχυρό καλώδιο 1,5m.</li><li>Είναι συμβατό με τα περισσότερα λειτουργικά συστήματα.</li></ul></div></div></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
36812,Ασύρματο πληκτρολόγιο - WB-8014 - Weibo - 658,Ασύρματο πληκτρολόγιο - WB-8014 - Weibo - 658021,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_658021.jpg,OEM,No Color,1.5,"<div class=""prod-descr""><p>Ασύρματο πληκτρολόγιο 800 – 1600 dpi</p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""it"" data-phrase-index=""0"" data-number-of-phrases=""1""> <strong>Χαρακτηριστικά</strong>:</span></span></p><ul><li>800-1600dpi υψηλής ευκρίνειας και ευαισθησίας με οπτικό αισθητήρα</li><li>Εμβέλεια 10 μέτρα</li><li>104 πλήκτρα enhanced windows layout</li><li>Πρόσβαση με ένα άγγιγμα σε email και web homeintegrated</li><li>Ultra-thin Πλήκτρα</li><li>Συμπαγής, λεπτή και εργονομική σχεδίαση</li><li>Συχνότητα λειτουργίας 2,4 Ghz</li><li>Plug and play</li><li>Σύνδεση USB 3.0 / 2.0 / 1.1</li><li>Εξοικονόμηση ενέργειας on / off</li><li>Εργασία με Windows 98 / ME / 2000 / XP / Vista και Windows 7, OSX</li><li>Υψηλής ταχύτητας Universal Serial Bus</li><li>Wireless Receiver</li></ul><p><strong>*ΔΕΝ περιλαμβάνεται ποντίκι</strong></p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
36813,Ενσύρματο πληκτρολόγιο & ποντίκι - M3,Ενσύρματο πληκτρολόγιο & ποντίκι - M350 - 653507,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_653507.jpg,OEM,No Color,1.0,"<div class=""product-details-more""><div class=""weight""><span class=""VIiyi"" lang=""el""> Σετ Gaming </span><span class=""VIiyi"" lang=""el"">Aoas M-350 </span><span class=""VIiyi"" lang=""el"">με φωτιζόμενο πληκτρολόγιο και ποντίκι</span></div></div><div class=""prod-descr""><p><span class=""VIiyi"" lang=""el"">ΠΛΗΚΤΡΟΛΟΓΙΟ</span></p><ul><li><span class=""VIiyi"" lang=""el"">104 πλήκτρα</span></li><li><span class=""VIiyi"" lang=""el"">Σύνδεση μέσω USB 2.0</span></li><li><span class=""VIiyi"" lang=""el"">Μήκος καλωδίου: 1,50 μέτρων</span></li><li><span class=""VIiyi"" lang=""el"">Συμβατό με Windows και Mac</span></li><li><span class=""VIiyi"" lang=""el"">Αθόρυβα πλήκτρα</span></li><li><span class=""VIiyi"" lang=""el"">Φωτισμός LED 3 χρωμάτων</span></li><li><span class=""VIiyi"" lang=""el"">Σύστημα Plug & Play</span></li></ul><p><span class=""VIiyi"" lang=""el"">ΠΟΝΤΙΚΙ</span></p><ul><li><span class=""VIiyi"" lang=""el"">Σύνδεση USB 2.0</span></li><li><span class=""VIiyi"" lang=""el"">Οπτικός αισθητήρας</span></li><li><span class=""VIiyi"" lang=""el"">Μήκος καλωδίου: 1,50 mts</span></li><li><span class=""VIiyi"" lang=""el"">3 κουμπιά</span></li><li><span class=""VIiyi"" lang=""el"">1000 DPI</span></li><li><span class=""VIiyi"" lang=""el"">Συμβατό με Windows και Mac</span></li><li><span class=""VIiyi"" lang=""el"">Σύστημα Plug & Play</span></li><li><span class=""VIiyi"" lang=""el"">Πολύχρωμος φωτισμός</span></li></ul></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
36927,Ενσύρματο πληκτρολόγιο - WB-533 - Weibo - 65,Ενσύρματο πληκτρολόγιο - WB-533 - Weibo - 655334,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/655334_1310.jpg,OEM,No Color,0.3,"<div id=""tabs-1"">Ενσύρματο Πληκτρολόγιο Weibo με εργονομικό σχεδιασμό.</div><div> </div><div><strong>Χαρακτηριστικά</strong>:</div><div> </div><div>Ελληνικοί Χαρακτήρες: ΝΑΙ</div><div>Σύνδεση: USB</div><div>Μήκος καλωδίου: 1.5μ</div><div>Χρώμα: Μαύρο</div><div>Διαστάσεις: 43 x 13 εκ</div><div>Διαστάσεις συσκευασίας: 45 x 15,5 εκ</div><div>Βάρος προϊόντος: 366γρ</div><div>Βάρος συσκευασίας: 451γρ</div><div class=""clearfix""> </div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
36935,Ενσύρματο πληκτρολόγιο - LED-RGB - M-888  - ,Ενσύρματο πληκτρολόγιο - LED-RGB - M-888  - 651404,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658885_1310.jpg,OEM,No Color,0.3,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""15"">Ενσύρματο πληκτρολόγιο Gaming </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""15"">AOAS-888 </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""15"">με εντυπωσιακό ρυθμιζόμενο φωτισμό LED πολύχρωμο. Εργονομική σχεδίαση και υψηλή ταχύτητα για απολαυστικό Gaming.<br /></span></span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""it"" data-phrase-index=""0"" data-number-of-phrases=""1""> <strong>Χαρακτηριστικά</strong>:</span></span></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""2"" data-number-of-phrases=""15"">Αντιολισθητική βάση</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""4"" data-number-of-phrases=""15"">Πλήκτρα συντόμευσης πολυμέσων</span></span></li><li>Πτυσσόμενα στηρίγματα για κλίση</li><li>104 Πλήκτρα</li><li>Μήκος καλωδίου 1.5m</li><li>Φωτισμός 3 χρωμάτων</li><li>Plug & Play</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""14"" data-number-of-phrases=""15"">Τύπος σύνδεσης: USB 2.0<br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""15"">Χρώμα: Μαύρο</span></span></li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
37214,Ασύρματο πληκτρολόγιο και ποντίκι -,Ασύρματο πληκτρολόγιο και ποντίκι - WB-8012 - Weibo - 658014,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_658014.jpg,OEM,No Color,0.7,<p>Weibo WB-8012 Σετ Ασύρματο Πληκτρολόγιο και Ποντίκι</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Κομψός Εργονομικός Σχεδιασμός</li><li>Έξυπνη λειτουργία εξοικονόμησης ενέργειας</li><li>Εμβέλεια 10 μέτρα</li><li>12 πλήκτρα media</li><li>Διαστάσεις πληκτρολογίου: Π 455 x 160 Β mm</li><li>Υποστηρίζει Windows 10 / Windows 7 / Windows 8 / Vista / XP / Mac OS</li><li>Λειτουργούν με 4 μπαταρίες ΑΑΑ (δεν περιλαμβάνονται)</li><li>Βάρος: 770gr</li></ul>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
37766,Ασύρματο mini πληκτρολόγιο με Αγγλικ�,Ασύρματο mini πληκτρολόγιο με Αγγλικό Touchpad - i8 - 882788 - Black,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/882788.png,OEM,No Color,0.4,"<p>Mini ασύρματο πληκτρολόγιο i8 Backlit με ενσωματωμένο touchpad και εργονομικό σχεδιασμό.</p><p>Προσφέρει αθόρυβη πληκτρολόγηση χάρη στα πλήκτρα μεμβράνης που διαθέτει. Η ακτίνα δράσης του είναι έως 10 μέτρα, ενώ λειτουργεί και με γωνία κλήσης 90 μοιρών.</p><p><strong>Χαρακτηριστικά:</strong></p><p>Γλώσσες εισαγωγής: Ελληνικά, Αγγλικά</p><p>Τροφοδοσία: Αποσπώμενη εσωτερική μπαταρία λιθίου 810mAh</p><p>Φόρτιση μέσω USB θύρας ή με κάθε microUSB φορτιστή</p><p>Διακόπτης λειτουργίας on/off</p><p>Ενσωματωμένο λογισμικό εξοικονόμησης ενέργειας 2.4GHz wireless</p><p>Φωτιζόμενο πληκτρολόγιο με backlight</p><p>Διαστάσεις 144 × 98 × 12mm</p><p>Συμβατό με MAC, Linux, Windows, Windows Mobile, Nokia Symbian, Android, Sony PS3, Apple iPhone & iPad</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
52438,Σετ ενσύρματο πληκτρολόγιο & ποντίκ,Σετ ενσύρματο πληκτρολόγιο & ποντίκι Gaming - DP-K13 - 047086,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/047086.jpg,OEM,No Color,0.5,"Σετ ενσύρματο πληκτρολόγιο & ποντίκι DP-K13 της SGL, με εντυπωσιακό πολύχρωμο backlight LED RGB και υψηλές αποδόσεις, ιδανικό για τους λάτρεις του Gaming. Χαρακτηριστικά πληκτρολογίου:
Αριθμός πλήκτρων: 104,
Ρυθμιζόμενη ένταση και χρωματισμός Backlight,
Μήκος καλωδίου USB: 150 cm,
Bάρος 980 γρ.,
Διαστάσεις: 440 (Μ) x 135 (Π) x 3,5 (Υ) mm,
Χαρακτηριστικά ποντικιού:
Οπτική τεχνολογία υψηλής ακριβείας,
Max ανάλυση: 2400 DPI,
Προσαρμογή DPI: 800/1600/2400 DPI,
Διαστάσεις: 130x65x40mm,
Αριθμός πλήκτρων: 4 & ροδέλα,
Εύκολη σύνδεση plug & play,
Εργονομικός σχεδιασμός, Μήκος του καλωδίου USB: 150 cm,
Βάρος: 129g",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
52441,Σετ ενσύρματο πληκτρολόγιο & ποντίκ,Σετ ενσύρματο πληκτρολόγιο & ποντίκι Gaming - DS-A01 - 047079,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/047079.jpg,OEM,No Color,0.5,"Σετ ενσύρματο πληκτρολόγιο & ποντίκι της SGL, με εντυπωσιακό πολύχρωμο backlight LED RGB και υψηλές αποδόσεις, ιδανικό για τους λάτρεις του Gaming. Χαρακτηριστικά πληκτρολογίου:
Αριθμός πλήκτρων: 104,
Ρυθμιζόμενη ένταση και χρωματισμός Backlight,
Μήκος καλωδίου USB: 180 cm,
Βάρος: 1200g,
Διαστάσεις: 472(L) x 182(Π) x 30(Υ)mm,
Χαρακτηριστικά ποντικιού:
Οπτική τεχνολογία υψηλής ακριβείας,
Max ανάλυση: 3200 DPI,
Προσαρμογή DPI: 1200DPI / 1600DPI / 2400DPI / 3200DPI, 4000 FPS/sec
Διαστάσεις: 140 x 85 x 38 mm,
Αριθμός πλήκτρων: 6 & ροδέλα,
Εύκολη σύνδεση plug & play,
Εργονομικός σχεδιασμός, Μήκος του καλωδίου USB: 150 cm,
Βάρος: 130g",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
52444,Σετ ενσύρματο πληκτρολόγιο & ποντίκ,Σετ ενσύρματο πληκτρολόγιο & ποντίκι Gaming - DS-S18 - 047062,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/047062.jpeg,OEM,No Color,0.5,"Σετ ενσύρματο πληκτρολόγιο & ποντίκι της SGL, με εντυπωσιακό πολύχρωμο backlight LED RGB και υψηλές αποδόσεις, ιδανικό για τους λάτρεις του Gaming. Χαρακτηριστικά πληκτρολογίου:
Αριθμός πλήκτρων: 104,
Ρυθμιζόμενη ένταση και χρωματισμός Backlight,
Μήκος καλωδίου USB: 130 cm,
Bάρος 980 γρ.,
Διαστάσεις: 442 x 132 x 32mm,
Χαρακτηριστικά ποντικιού:
Οπτική τεχνολογία υψηλής ακριβείας,
Max ανάλυση: 2400 DPI,
Προσαρμογή DPI: 800/1600/2400 DPI,
Διαστάσεις: 130x65x40mm,
Αριθμός πλήκτρων: 4 & ροδέλα,
Εύκολη σύνδεση plug & play,
Εργονομικός σχεδιασμός, Μήκος του καλωδίου USB: 130 cm,
Βάρος: 129g",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Πληκτρολόγια
