id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35232,Ασύρματο ηχείο Bluetooth - TG023 - 512215,Ασύρματο ηχείο Bluetooth - TG023 - 512215,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/TG023-Fashion-LED-Flash-Bluetooth-Speaker-Wireless-Stereo-portable-belt-Soundbar-radio-FM-MP3-Music-Player.jpg,OEM,No Color,1,"<p><strong><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Τεχνικά Χαρακτηριστικά:</span></span></strong></p><p><span class=""tlid-translation translation"" lang=""el""> <span class="""" title="""">Έκδοση Bluetooth: 3.0 + EDR</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Υποστήριξη ραδιοφώνου FM</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Στερεοφωνικός ήχος</span></span></p><p><span class=""tlid-translation translation"" lang=""el""> <span class="""" title="""">Ισχύς εξόδου: 5W * 2</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Απόσταση εκπομπής Bluetooth&gt; 10 μέτρα</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Παραμόρφωση: &lt;10%</span> <span class="""" title="""">SNR:&gt; 75dB</span> <span class="""" title="""">AUX IN</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Μικρή φόρτιση USB</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Υποστήριξη υπολογιστή, tablet, κινητού τηλεφώνου, τηλεόρασης και κονσόλας παιχνιδιών</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Αναπαραγωγή μουσικών αρχείων MP3 / WMA / WAV / APE / FLAC από το Micro DS</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Απόκριση συχνότητας: 50Hz-20KHz</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Μπαταρία: 2200mAh</span> </span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Οθόνη: εμφάνιση συχνότητας FM</span> <br /></span></p><p><span class=""tlid-translation translation"" lang=""el""><span title="""">Με μικρόφωνο</span> <br /></span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Μέγεθος: 200 * 74 * 170mm</span> <br /></span></p><p><span class=""tlid-translation translation"" lang=""el""><span title="""">Βάρος: 825g</span></span></p><div class=""notranslate"" style=""all: initial;""> </div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36086,Ασύρματο ηχείο Bluetooth – Bass Speaker - M12 - 88,Ασύρματο ηχείο Bluetooth – Bass Speaker - M12 - 880134 - Red,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/880134_r.png,OEM,No Color,0.4,"<p><span class=""Y2IQFc"" lang=""el""><strong>Χαρακτηριστικά</strong>:</span></p><p><span class=""Y2IQFc"" lang=""el"">Μέθοδος σύνδεσης: Σύνδεση Bluetooth <br />Bluetooth: 4.1 <br />Αποτελεσματική απόσταση: περίπου 10m / 32.81ft <br />Λειτουργία λειτουργίας: USB <br />Τύπος διασύνδεσης: USB <br />Χωρητικότητα μπαταρίας: 300MAH <br />Εύρος απόκρισης συχνότητας: 100HZ-20KHZ <br />Ισχύς εξόδου: 2W * 1 <br />Αναλογία σήματος προς θόρυβο: ≥ 60db <br />Κανάλι: 2 Χρόνος χρήσης: 4-6H <br />Εκτεταμένος χώρος αποθήκευσης: δεν υποστηρίζεται <br /><br /></span></p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36526,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - Green,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - Green,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/Screenshot_2021-04-14-Big-Pea-Iphone-earphone-shape-Bluetooth-tf-card-mic-usb-New-MK-301-stylish-design-Portable-bluetoo....png,OEM,No Color,0.6,"<p>Επαναφορτιζόμενο ηχείο Bluetooth σε εντυπωσιακό σχεδιασμό μεγάλου earbud, με εξαιρετικό ήχο stereo.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Έκδοση Bluetooth: 5.0</li><li>Εμβέλεια: 10 μ.</li><li>Αυτονομία μπαταρίας: 3 ώρες</li><li>Ραδιόφωνο FM</li><li>Υποδοχή κάρτας μνήμης</li><li>Υποδοχή AUX</li><li>Υποδοχή USB</li><li>Μικρόφωνο HD</li><li>Πλήκτρα ρυθμίσεων</li><li>Ισχύς: 5W</li><li>Τάση: 5V</li><li>Διαστάσεις: 21,2 x 14,8 x 11,4 cm</li></ul><p>*Προσοχή: να μην εκτίθεται παρατεταμένα στον ήλιο και σε υψηλές θερμοκρασίες</p><p> </p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36528,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - White,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - White,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/mk301-1.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενο ηχείο Bluetooth σε εντυπωσιακό σχεδιασμό μεγάλου earbud, με εξαιρετικό ήχο stereo.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Έκδοση Bluetooth: 5.0</li><li>Εμβέλεια: 10 μ.</li><li>Αυτονομία μπαταρίας: 3 ώρες</li><li>Ραδιόφωνο FM</li><li>Υποδοχή κάρτας μνήμης</li><li>Υποδοχή AUX</li><li>Υποδοχή USB</li><li>Μικρόφωνο HD</li><li>Πλήκτρα ρυθμίσεων</li><li>Ισχύς: 5W</li><li>Τάση: 5V</li><li>Διαστάσεις: 21,2 x 14,8 x 11,4 cm</li></ul><p>*Προσοχή: να μην εκτίθεται παρατεταμένα στον ήλιο και σε υψηλές θερμοκρασίες</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36529,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - Black,Ασύρματο ηχείο Bluetooth - MK301 - 882856 - Black,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1-1296x972-1.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενο ηχείο Bluetooth σε εντυπωσιακό σχεδιασμό μεγάλου earbud, με εξαιρετικό ήχο stereo.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Έκδοση Bluetooth: 5.0</li><li>Εμβέλεια: 10 μ.</li><li>Αυτονομία μπαταρίας: 3 ώρες</li><li>Ραδιόφωνο FM</li><li>Υποδοχή κάρτας μνήμης</li><li>Υποδοχή AUX</li><li>Υποδοχή USB</li><li>Μικρόφωνο HD</li><li>Πλήκτρα ρυθμίσεων</li><li>Ισχύς: 5W</li><li>Τάση: 5V</li><li>Διαστάσεις: 21,2 x 14,8 x 11,4 cm</li></ul><p>*Προσοχή: να μην εκτίθεται παρατεταμένα στον ήλιο και σε υψηλές θερμοκρασίες</p><p> </p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36693,Ασύρματο ηχείο Bluetooth - KMS 5 - 860056,Ασύρματο ηχείο Bluetooth - KMS 5 - 860056,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/860056-1.png,OEM,No Color,0.6,"<div class=""highlight""><div>Ασύρματο ηχείο Bluetooth με εξαιρετική απόδοση ήχου και πρακτικό σχεδιασμό για μεταφορά παντού.</div><div> </div><div><strong>Χαρακτηριστικά</strong>:<ul><li>Θύρες: USB, κάρτας μνήμης TF, Micro SD, AUX</li><li>Εκδοση Bluetooth: 5.0</li><li>Εύρος Bluetooth: 10m</li><li>FM ραδιόφωνο</li><li>Ισχύς εξόδου: 10w</li><li>Μπαταρία: 1200mAh</li><li>Χρόνος λειτουργίας: έως 4 ώρες</li><li>Χρόνος φόρτισης: 2 ώρες</li><li>Τάση φόρτισης: 5V(USB)</li><li>Διαστάσεις: 22 x 8cm</li><li>Βάρος: 0.6362KG</li></ul><strong>Διατίθεται σε: μαύρο, μπλε, κόκκινο, γκρι, πράσινο χρώμα</strong></div><div>-Σημειώστε το χρώμα επιλογής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36694,Ασύρματο ηχείο Bluetooth ηλιακής φόρτισ,Ασύρματο ηχείο Bluetooth ηλιακής φόρτισης – Solar Speaker – NS127S - 881407 - Brown,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881407_brown.png,OEM,No Color,0.9,"<div id=""tab-description"" class=""panel entry-content wc-tab""><div>Ασύρματο ηχείο Bluetooth με εξαιρετική απόδοση ήχου και πρακτικό σχεδιασμό για μεταφορά παντού. Διαθέτει φακό LED και ηλιακό πάνελ φόρτισης.</div><div> </div><div><strong><span data-spm-anchor-id=""a2g0o.detail.1000023.i1.5cc519e6hvEQv9"">Χαρακτηριστικά:</span></strong></div><ul><li>Ισχύς: 5W</li><li>Θύρες: TF card, USB</li><li>Φακός LED</li><li>Φόρτιση: 1 x 18650 Lithium battery (with Micro USB jack)</li><li>Συχνότητες ραδιοφώνου: FM: 87.5 – 108 (64-108) MHz</li><li>Hλιακή φόρτιση</li><li>Διάσταση ηχείου: 2.25""""</li></ul><p> </p><div> </div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36750,Ασύρματο ηχείο Bluetooth - AKD-2102S - 882039,Ασύρματο ηχείο Bluetooth - AKD-2102S - 882039,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_882039.jpg,OEM,No Color,0.4,"<p>Ασύρματο ηχείο Bluetooth AKD-2102S με υψηλής ποιότητας ήχο και μεγάλη αυτονομία μπαταρίας.</p><p>Λειτουργίες: Συμβατό με όλες τις συσκευές Bluetooth, Θύρες AUX, USB, SD, Ραδιόφωνο FM</p><p><strong>Τεχνικά χαρακτηριστικά:</strong></p><table class=""all magic-5""><tbody><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"" data-spm-anchor-id=""a2700.details.0.i25.578a478dOdiZZp"">Εύρος μετάδοσης Bluetooth</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">10M</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Audio noise ratio</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">≥90db</div></td></tr><tr><td colspan=""1"" rowspan=""1"">Μπαταρία</td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">1200mAh</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Τάση</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">3.7V</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Χρόνος λειτουργίας</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">5-6 hours</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Μέγεθος ηχείου</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">OD 57mm </div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Ισχύς ηχείου</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">4 Ω / 5W</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Συχνότητα</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">120hz-20khz</div></td></tr><tr><td colspan=""1"" rowspan=""1""><div class=""magic-6"">Διαστάσεις προιόντος</div></td><td colspan=""1"" rowspan=""1""><div class=""magic-7"">220*74*170mm</div></td></tr><tr><td colspan=""1"" rowspan=""1"">Τάση φόρτισης</td><td colspan=""1"" rowspan=""1"">5V / 500MA</td></tr><tr><td colspan=""1"" rowspan=""1"">Ισχύς εξόδου</td><td colspan=""1"" rowspan=""1"">10W</td></tr></tbody></table><p><strong>Διατίθεται σε: πράσινο, μπλε, μαύρο, γκρι, κόκκινο χρώμα</strong></p><p>Σημειώστε το χρώμα προτίμησης σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36751,Ασύρματο ηχείο Bluetooth - Solar - NS123S - 881391 -,Ασύρματο ηχείο Bluetooth - Solar - NS123S - 881391 - Black,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881391_b.png,OEM,No Color,0.4,"<div class=""rte text--pull""><p>Ηλιακό Φορητό Ηχείο Bluetooth με πλαινό φακό LED και λουράκι για εύκολη μεταφορά.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Bluetooth</li><li>Ισχύς: 5W</li><li>Θύρα για κάρτα μνήμης: TF card</li><li>Θύρα USΒ</li><li>Συχνότητες ραδιοφώνου<strong>: </strong>FM: 87.5 – 108 (64-108) MHz</li><li>Μπαταρία 18650 Lithium</li><li>Φόρτιση με Micro USB jack (περιλαμβάνεται)</li><li>Ισχυρός φακός LED - Flashlight</li><li>Ηλιακή φόρτιση για μεγαλύτερο χρόνο αυτονομίας μπαταρίας</li><li>Διάσταση ηχείου: 2.25 INCH, 52Hz 4OU 5W</li></ul></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
36752,Ασύρματο ηχείο Bluetooth - Solar - NS95S - 881384,Ασύρματο ηχείο Bluetooth - Solar - NS95S - 881384,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_881384.jpg,OEM,No Color,0.4,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Το φορητό Βluetooth ηχείο με ισχύ 5 watt, είναι full range με υψηλής ποιότητας ήχο. Διαθέτει ηλιακό πάνελ φόρτισης για έξτρα διάρκεια μπαταρίας και χρησιμοποιείται ασύρματα και ενσύρματα ενώ μπορεί εύκολα να μεταφερθεί παντού.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li class=""main"">Ραδιόφωνο FM</li><li class=""main"">Ηands free για να μιλάτε μέσω ανοιχτής ακρόασης</li><li>Μπαταρία: 1200mAh</li><li>Ηλιακό πάνελ 6V, 1W</li><li>Θύρες: USB / SD / AUX</li><li>Με πλαινό φακό LED ισχυρού φωτισμού</li></ul><p><strong>Διατίθεται σε: μπλε, μαύρο, καφέ χρώμα</strong> </p><p>Σημειώστε το χρώμα προτίμησης σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας</p></div></div><div class=""notranslate"" style=""all: initial;""> </div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ηχεία Bluetooth
