id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36792,Επαναφορτιζόμενο ραδιόφωνο Retro - M115-,Επαναφορτιζόμενο ραδιόφωνο Retro - M115-BT - 861152,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1702_861152-1.jpg,OEM,No Color,0.7,"<p>Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Ραδιόφωνο FM/AM/SW1-8 10 Band radio</li><li>Θύρες: USB/SD/TF Card</li><li>Bluetooth</li><li>Ισχύς: DC 6V</li><li>Τάση: AC 220V – Charger</li><li>Διαθέτει xερούλι μεταφοράς.</li><li>Διαθέτει τηλεχειριστήριο</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37001,Επαναφορτιζόμενο ραδιόφωνο Retro - M-113,Επαναφορτιζόμενο ραδιόφωνο Retro - M-113-BT - 861138,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1702_861138-1.jpg,OEM,No Color,0.5,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Το επιτραπέζιο ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα και κλασικό ρετρό στυλ που θυμίζει μια παλαιότερη εποχή. Επιπλέον διαθέτει υποδοχή AUX για να συνδέσετε ενσύρματα συσκευές όπως mp3 και iPod.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul class=""columns-list""><li>Τύπος Δέκτη: Αναλογικό</li><li>Υποστηριζόμενες Συχνότητες: AM, FM, SW</li><li>Συνδεσιμότητα: AUX, USB</li><li>Bluetooth</li><li>Ειδικά Χαρακτηριστικά: Retro, Ενσωματωμένα Ηχεία, Κάρτα Μνήμης</li><li>Τροφοδοσία: Επαναφορτιζόμενο</li><li>Διαθέτει τηλεχειριστήριο</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37106,Επαναφορτιζόμενο ραδιόφωνο Retro - M-529,Επαναφορτιζόμενο ραδιόφωνο Retro - M-529-BT - 105296,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/105296_1511-1.jpg,OEM,No Color,0.3,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ. Διαθέτει ηλιακό πάνελ στο επάνω μέρος για έξτρα αυτονομία μπαταρίας.</p><p><strong>Χαρακτηριστικά:</strong></p><ul class=""columns-list""><li>Τύπος Δέκτη: Αναλογικό</li><li>Bluetooth</li><li>Υποστηριζόμενες Συχνότητες: AM, FM, SW</li><li>Συνδεσιμότητα: USB</li><li>Ειδικά Χαρακτηριστικά: Retro, Κάρτα Μνήμης</li><li>Τροφοδοσία: Επαναφορτιζόμενο</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37109,Επαναφορτιζόμενο ραδιόφωνο Retro - MD-50,Επαναφορτιζόμενο ραδιόφωνο Retro - MD-506-BT - 865061,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_865061-1.jpg,OEM,No Color,0.3,"<p>Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ.</p><p><strong>Χαρακτηριστικά:</strong></p><ul class=""two-columns-list""><li>Συχνότητες: AM / FM</li><li>FM/MW/SW 3 Band</li><li>Είσοδος USB</li><li>Bluetooth</li><li>Υποστήριξη κάρτας μνήμης</li><li>Μπαταρία: 1200MA Li battery</li></ul><div class=""notranslate"" style=""all: initial;""> </div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37307,Επαναφορτιζόμενο ραδιόφωνο Retro - MD505,Επαναφορτιζόμενο ραδιόφωνο Retro - MD505-BT - 865054,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/865054.png,OEM,No Color,0.6,"<p>Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ.</p><p><strong>Χαρακτηριστικά:</strong></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""0"" data-number-of-phrases=""20"">Διαθέτει υποδοχή USB και TF, Bluetooth</span>, ραδιόφωνο <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""2"" data-number-of-phrases=""20"">FM, AM, SW, δυνατό </span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""4"" data-number-of-phrases=""20"">ηχείο και υποδοχή j</span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""8"" data-number-of-phrases=""20"">ack 3.5mm.</span> Διαθέτει επαναφορτιζόμενη <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""10"" data-number-of-phrases=""20"">μπαταρία</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""12"" data-number-of-phrases=""20"">5V.</span><br /></span></p><p>Η μπαταρία φορτίζεται πλήρως στις 3 ώρες και η διάρκεια χρήσης είναι έως και 5-6 ώρες.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37308,Επαναφορτιζόμενο ραδιόφωνο Retro - M530-,Επαναφορτιζόμενο ραδιόφωνο Retro - M530-BTS - 105302,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/105302.png,OEM,No Color,0.5,"<p>Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ.</p><p><strong>Xαρακτηριστικά:</strong></p><ul><li>Bluetooth</li><li>Διαθέτει μπάντες ραδιοφώνου am/fm/sw</li><li>Δέχεται aux και jack</li><li>Τάση: 220V/50 mHz - 3V</li><li>Έχει υποδοχές για sd και usb</li><li>Βάρος: 0.591 kg</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37311,Επαναφορτιζόμενο ραδιόφωνο Retro - M1912,Επαναφορτιζόμενο ραδιόφωνο Retro - M1912-BT - 119125,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/119125.png,OEM,No Color,0.6,"<p>Φορητό ραδιόφωνο με υψηλή ποιότητα στερεοφωνικού ήχου, σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ.</p><p><strong>Χαρακτηριστικά:</strong></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""0"" data-number-of-phrases=""20"">Διαθέτει υποδοχή USB και TF, Bluetooth 5.0</span>, ραδιόφωνο <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""2"" data-number-of-phrases=""20"">FM, AM, SW, δυνατό </span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""4"" data-number-of-phrases=""20"">ηχείο και υποδοχή j</span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""8"" data-number-of-phrases=""20"">ack 3.5mm.</span> <br />Διαθέτει επαναφορτιζόμενη <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""10"" data-number-of-phrases=""20"">μπαταρία</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ru"" data-phrase-index=""12"" data-number-of-phrases=""20"">5V.</span><br /></span></p><p>Η μπαταρία φορτίζεται πλήρως στις 3 ώρες και η διάρκεια χρήσης είναι έως και 5-6 ώρες.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37353,Επαναφορτιζόμενο ραδιόφωνο Retro - M-191,Επαναφορτιζόμενο ραδιόφωνο Retro - M-1917-BT - 119176,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/119176.png,OEM,No Color,0.5,"<p>Φορητό ραδιόφωνο σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ. Προσφέρει υψηλή ποιότητα ήχου χάρη στα στερεοφωνικά ηχεία του ενώ η πτυσσόμενη κεραία του, παρέχει σταθερό ραδιοφωνικό σήμα.<br />Μπορείτε να πάρετε την αγαπημένη σας μουσική παντού, καθώς είναι πρακτικό και εύκολο στη μεταφορά.</p><p><strong>Χαρακτηριστικά:</strong></p><p>Eνσωματωμένη επαναφορτιζόμενη μπαταρία.<br />Διαθέτει Bluetooth και θύρες USB και κάρτας μνήμης TF.</p><p> </p><p><strong> </strong></p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37479,Επαναφορτιζόμενο ραδιόφωνο Retro - M1705,Επαναφορτιζόμενο ραδιόφωνο Retro - M1705-BT - 017056,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/017056.jpg,OEM,No Color,0.5,"<p>Φορητό ραδιόφωνο σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ. Προσφέρει υψηλή ποιότητα ήχου χάρη στα στερεοφωνικά ηχεία του ενώ η πτυσσόμενη κεραία του, παρέχει σταθερό ραδιοφωνικό σήμα.<br />Μπορείτε να πάρετε την αγαπημένη σας μουσική παντού, καθώς είναι πρακτικό και εύκολο στη μεταφορά.</p><p>Χαρακτηριστικά:</p><p>Eνσωματωμένη επαναφορτιζόμενη μπαταρία<br />Radio bands: AM, FM, SW<br />Tuner: Αναλογικό<br />Δέχεται: USB/SD/MMC/Jack 3.5mm <br />Διαθέτει: Bluetooth 4.1<br />Μπαταρία: Type-D (Χ2)<br />Power: DC 5V<br />Διαστάσεις: 200x80x110mm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
37522,Επαναφορτιζόμενο ραδιόφωνο Retro - MU-11,Επαναφορτιζόμενο ραδιόφωνο Retro - MU-115BT - 121155 - Gold,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/121155.jpg,OEM,No Color,0.6,"<p>Φορητό ραδιόφωνο σε πανέμορφο Retro σχεδιασμό για τους λάτρεις του Vintage στυλ. Προσφέρει υψηλή ποιότητα ήχου χάρη στα στερεοφωνικά ηχεία του ενώ η πτυσσόμενη κεραία του, παρέχει σταθερό ραδιοφωνικό σήμα.<br />Μπορείτε να πάρετε την αγαπημένη σας μουσική παντού, καθώς είναι πρακτικό και εύκολο στη μεταφορά.</p><p><strong><span title=""Caracteristici tehnice:     "">Χαρακτηριστικά:</span></strong></p><ul><li><span title=""FM, AM si SW3     "">MP3, FM, AM και SW3(παγκοσμίου λήψεως)<br /></span></li><li><span title=""Redare fisiere Mp3 de pe USB, card SD/TF     "">Αναπαραγωγή αρχείων Mp3 από κάρτα USB, SD / TF<br /></span></li><li>Στερεοφωνικός ήχος</li><li><span title=""Baterie reincarcabila incorporata     "">Ενσωματωμένη επαναφορτιζόμενη μπαταρία</span></li><li><span title=""Baterie reincarcabila incorporata     "">Μπορεί να λειτουργήσει με 2 μπαταρίες UM-11</span></li><li><span title=""Baterie reincarcabila incorporata     "">Φόρτιση με καλώδιο (περιλαμβάνεται)</span></li><li><span title=""Baterie reincarcabila incorporata     "">Φόρτιση με απλό καλώδιο microUSB από θύρα DC 5V (καλώδιο δεν περιλαμβάνεται)<br /></span></li><li><span title=""Intrare Aux in     "">Είσοδος Aux in</span></li><li><span title=""Dimensiuni: 23x13x9 cm"">Διαστάσεις: 23x13x9 εκ<br /><strong><br />Πλήκτρα & υποδοχές:</strong><br /></span></li><li class=""class"">Πλήκτρα: αναπαραγωγή/παύση, προηγούμενο, επόμενο, mode,</li><li class=""class"">Led ένδειξη φόρτισης</li><li class=""class"">Ροοστατικοί διακόπτες με φωτιζόμενο στεφάνι</li><li class=""class"">Υποδοχές: microUSB, USB, mmc/sd, 3.5mm jack line in.</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Ραδιόφωνα Retro
