id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35468,Μπαταρία πομποδέκτη για Baofeng UV-6R - 7.4V,Μπαταρία πομποδέκτη για Baofeng UV-6R - 7.4V - BL-6R - 1800mah  - 180066,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/μπαταρία-πομποδέκτη-baofeng-uv-6r-1800mah-74v.jpg,OEM,No Color,0.4,<p>Μπαταρία πομποδέκτη BL-6L για Baofeng UV-6R<br />Type: Battery Li-ion<br />Χωρητικότητα: 1800mAh<br />Τάση: 7.4 V<br />Αυτονομία: 8-10 ώρες<br />Θερμοκρασία λειτουργίας: -20℃ to 60℃</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
36635,Κεραία πομποδέκτη εύκαμπτη - 80cm - Femal,Κεραία πομποδέκτη εύκαμπτη - 80cm - Female - 621809,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_621809.jpg,OEM,No Color,0.2,<div>Σύνδεση: SMA-Female</div><div>Μήκος: 80cm</div><div>Max Power: 20 Watts</div><div>Gain: 5.0dBi</div><div>Band: Dual Band VHF/UHF</div><div>Frequency Range: 144/430MhzMHz</div><div>VSWR: &lt;1.5</div><div>Συμβατή με: Baofeng UV-5R UV-82</div>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
36989,Μικρόφωνο ενδοεπικοινωνίας πομποδ�,Μικρόφωνο ενδοεπικοινωνίας πομποδέκτη - Baofeng - K26 - 012619,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2004_012619-1.jpg,OEM,No Color,0.3,"<div id=""description"" class=""data item content"" role=""tabpanel"" aria-labelledby=""tab-label-description"" data-role=""content"" aria-hidden=""false""><div class=""product attribute description""><div class=""value""><div class=""module-body""><div class=""module-item module-item-1 no-expand""><div class=""block-body expand-block""><div class=""block-wrapper""><div class=""block-content  block-description""><p>Dual Band μικρόφωνο ενδοεπικοινωνίας για Baofeng UV-5R, Plus GT-3, UV-82L, BF-888s.</p><p>Διαθέτει PTT μικρόφωνο και κλιπ τοποθέτησης</p><ul><li>Διάμετρος ηχείου: 36mm</li><li>Output Level: 128dB</li><li>Rated Input Power: 0,35W</li><li>Max Input Power: 0.5W</li><li>Output Impedance: 8 Ohms</li></ul></div></div></div></div></div></div></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37003,Ηχείο ασυρμάτου - 3.5mm - External Speaker - KES - ,Ηχείο ασυρμάτου - 3.5mm - External Speaker - KES - 913034,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/913034_811.jpeg,OEM,No Color,1,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ηχείο εξωτερικής σύνδεσης με βύσμα Jack 3.5 mm, κατάλληλο για χρήση ως εξωτερικό ηχείο αυτοκινήτου ή κινητού τηλεφώνου. </span></span></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ισχύς εξόδου: 5W </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Αντίσταση: 8 ohms </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Βύσμα: Mono Jack 3,5 mm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Μήκος καλωδίου: 1,8 m </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις : 13 x 6,5 x 6 cm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Περιλαμβάνονται 2 x βίδες τοποθέτησης</span></span></li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37461,Θήκη μπαταριών πομποδέκτη για Baofeng 6,Θήκη μπαταριών πομποδέκτη για Baofeng 6R - 6Χ 3Α - 110285,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/110285.png,OEM,No Color,0.2,"Θήκη μπαταριών πομποδέκτη για λειτουργία χωρίς επαναφορτιζόμενη μπαταρία. Προσθέτετε 6 μπαταρίες 3Α και μπορείτε να λειτουργήσετε τον πομποδέκτη μέχρι να εξαντληθούν. Χωρίς καλώδια και φορτιστές. Απλά αφαιρείτε την επαναφορτιζόμενη μπαταρία και τοποθετείτε την θήκη με τις μπαταρίες. 

Κατάλληλο για χρήστες που θέλουν εναλλακτική λύση στην παροχή ισχύος του πομποδέκτη.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37549,Μαγνητική βάση κεραίας πομποδέκτη �,Μαγνητική βάση κεραίας πομποδέκτη σε SMA Female - 5m - 320715,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/320715.jpg,OEM,No Color,1,<p>Μαγνητική βάση κεραίας πομποδέκτη σε SMA θηλυκό. <br />Μήκος καλωδίου: 5m</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37558,Φορτιστής μπαταρίας πομποδέκτη για,Φορτιστής μπαταρίας πομποδέκτη για UV82 - 084634,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/084634.jpg,OEM,No Color,0.2,<ul><li>Βάση φόρτισης για πομποδέκτες</li><li>Συμβατή με: Baofeng UV-82</li><li>Έξοδος: DC 10V 500mA</li><li>Είσοδος: AC 100-240V 0.25A</li></ul>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37640,Φορτιστής μπαταρίας πομποδέκτη για,Φορτιστής μπαταρίας πομποδέκτη για UV8000D - 480019,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/480019_811.jpg,OEM,No Color,0.3,"<ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""4"" data-number-of-phrases=""31"">Τροφοδοσία: </span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""7"" data-number-of-phrases=""31"">110-260V</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""9"" data-number-of-phrases=""31"">50-60Hz</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""11"" data-number-of-phrases=""31"">Output: </span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""14"" data-number-of-phrases=""31"">DC </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""26"" data-number-of-phrases=""31"">8.6, 400-450mAh </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""14"" data-number-of-phrases=""31"">Input: DC 12,5V</span> </span></li><li>Με λυχνία ένδειξης φόρτισης</li></ul><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""28"" data-number-of-phrases=""31"">Συμβατό με μοντέλα πομποδέκτη:</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""30"" data-number-of-phrases=""31"">TYT TH-UV8000D,  TH-UV8000E,  TH-UV8000SE</span></span></p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
37644,Κεραία πομποδέκτη εύκαμπτη - Diamond - RH,Κεραία πομποδέκτη εύκαμπτη - Diamond - RH-701 - 070153 - Female,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/070153.jpg,OEM,No Color,0.2,"<p class=""product-name"" data-spm-anchor-id=""2114.10010108.1000016.i0.5c03687eUQMTRS"">Συμβατή με Baofeng UV-5R, UV-S9, BF-UVB3 Plus 888S, UV-5RE, UV-82 Plus.</p><p>Εύρος συχνοτήτων: 144/430MHz (2m/70cm).<br />Απολαβή: 2.15dBi (430MHz).<br />Μέγιστη ισχύς: 10W.<br />Σύνθετη αντίσταση: 50Ω.<br />Ύψος: 21 εκατοστά.<br />Βάρος: 42 γραμμάρια.<br />Κονέκτορας: SMA - Female<br />Τύπος: 1/4wave(144MHz), 1/2wave radialless(430MHz), 120/150/300/450/800/900MHz μόνο στη λήψη.</p><p> </p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
38212,Κεραία πομποδέκτη εύκαμπτη - Diamond - RH,Κεραία πομποδέκτη εύκαμπτη - Diamond - RH-701 - 070153 - Male,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/070153.jpg,OEM,No Color,0.2,"<p class=""product-name"" data-spm-anchor-id=""2114.10010108.1000016.i0.5c03687eUQMTRS"">Συμβατή με Baofeng UV-5R, UV-S9, BF-UVB3 Plus 888S, UV-5RE, UV-82 Plus.</p><p>Εύρος συχνοτήτων: 144/430MHz (2m/70cm).<br />Απολαβή: 2.15dBi (430MHz).<br />Μέγιστη ισχύς: 10W.<br />Σύνθετη αντίσταση: 50Ω.<br />Ύψος: 21.5 εκατοστά.<br />Βάρος: 42 γραμμάρια.<br />Κονέκτορας: SMA - Male<br />Τύπος: 1/4wave(144MHz), 1/2wave radialless(430MHz), 120/150/300/450/800/900MHz μόνο στη λήψη.</p><p> </p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Αξεσουάρ πομποδεκτών
