id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
58680,Φορητό σετ μαγειρικής εξωτερικού χ�,Φορητό σετ μαγειρικής εξωτερικού χώρου - SK21 - 270744,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270744.jpg,OEM,No Color,8.0,"Φορητό σετ μαγειρικής εξωτερικού χώρου SK21, με 3 σκεύη: κατσαρόλα, τηγάνι και βραστήρα. Τα σκεύη διαθέτουν ισχυρή αντικολλητική επιφάνεια και είναι σχεδιασμένα ώστε να εφαρμόζουν το ένα μέσα στο άλλο κάνοντας την μεταφορά τους ιδιαίτερα εύκολη. Ιδανικό σετ για το camping, το πικ νικ και υπαίθριες δραστηριότητες. Περιλαμβάνεται θήκη μεταφοράς.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58683,Πολυεργαλείο σουγιάς-πένσα-κατσαβί,Πολυεργαλείο σουγιάς-πένσα-κατσαβίδι - SK210 - 270737,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270737-1.jpg,OEM,No Color,3.0,"Πολυεργαλείο επιβίωσης, κατάλληλο για camping, πεζοπορία, κυνήγι κτλ.
Κατασκευασμένο από ανοξείδωτο ατσάλι με λαβή αλουμινίου, πρακτικό και εύκολο στη χρήση, καθώς όλα τα εργαλεία ανοίγουν με το ένα χέρι.
Τα εργαλεία ασφαλίζουν στο άνοιγμα, επιτρέποντας την ασφαλή χρήση του.
Η συσκευασία περιλαμβάνει θήκη μεταφοράς.
Χαρακτηριστικά:
    Ατσάλι 2Cr13.
    Λαβή Αλουμινίου.
    Διαστάσεις: 
    Βάρος 103gr.
Εργαλεία : Πένσα με κόφτη, Λίμα, Πριόνι, Κατσαβίδι με 12 κεφαλές , Σταυροκατσάβιδο, Μαχαίρι, Ανοιχτήρι, Ακίδα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58686,Φορητή εστία μαγειρέματος αντιανεμ,Φορητή εστία μαγειρέματος αντιανεμική - SK225 - 270729,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270729-1.jpeg,OEM,No Color,5.0,"Εστία μαγειρέματος εξωτερικού χώρου, με αντιανεμικό κάλυμμα και πιεζοηλεκτρική ανάφλεξη. Λειτουργεί με ανταλλακτική φιάλη Βουτανίου.
Κατανάλωση: 100 g/h
Θερμαντική ικανότητα: 4000 BTU
Διαστάσεις: 150 x 150 x 120 mm
Βάρος: 460 gr",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58689,Φορητή εστία μαγειρέματος αντιανεμ,Φορητή εστία μαγειρέματος αντιανεμική - SK223 - 270713,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270713.jpeg,OEM,No Color,5.0,"Εστία Μαγειρέματος Αντιανεμική Φορητή 416gr ZT-202
Φορητή εστία μαγειρέματος με πιεζοηλεκτρική ανάφλεξη.
Λειτουργεί με ανταλλακτική φιάλη Βουτανίου/ Προπανίου (δεν περιλαμβάνεται)
Κατανάλωση: 90 gr/h
Ισχύς: 2800W
Βάρος: 416gr
Διαστάσεις: 112 x 112 x 95 mm
Βάρος: 460 gr",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58692,Σετ εργαλείων μπάρμπεκιου - SK226 - 270706,Σετ εργαλείων μπάρμπεκιου - SK226 - 270706,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270706.jpg,OEM,No Color,2.0,"Πλήρες σετ 6 τεμαχίων εργαλείων μπάρμπεκιου σε πρακτική, ανθεκτική κασετίνα μεταφοράς με χειρολαβή. Κατασκευασμένα από ανοξείδωτο ατσάλι. Το σετ περιλαμβάνει: σπάτουλα, μαχαίρι, πινέλο σιλικόνης, βούρτσα καθαρισμού σχάρας, πιρούνα, τσιμπίδα. Διαστάσεις κασετίνας: 37x14x7cm. Μήκος εργαλείων: 35cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58695,Πτυσσόμενο πολυλειτουργικό φτυάρι ,Πτυσσόμενο πολυλειτουργικό φτυάρι επιβίωσης με εργαλεία - 109 - 270690,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270690-1.jpg,OEM,No Color,2.0,"Πτυσσόμενο πολυλειτουργικό φτυάρι επιβίωσης με ενσωματωμένα εργαλεία: πριόνι, κατσαβίδι και θραύστη γυαλιού. Ένα πλήρες αξεσουάρ απαραίτητο για το κυνήγι, το camping, την πεζοπορία, την ορειβασία και κάθε είδους υπαίθρια δραστηριότητα και χόμπυ που απαιτεί να έχετε μαζί σας σημαντικά, πρακτικά εργαλεία με εύκολη δυνατόττα μεταφοράς, σε δύσκολες συνθήκες.
Συνολικό μήκος: 680 mm (τρίσπαστη λαβή)
Μήκος : 164 mm
Πλάτος: 130 mm
Συνολικό βάρος: 1100 g
Αριθμός εξαρτημάτων: 4
Αριθμός τμημάτων επέκτασης: 3, Υλικό κεφαλής φτυαριού: 3CR13, Υψηλή ποιότητα υλικών, 
Ανθεκτικό στη διάβρωση.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58698,Φτυάρι μυτερό - 202 - 68cm - 270683,Φτυάρι μυτερό - 202 - 68cm - 270683,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/1f3b52029637fe6acabab907704fcbe5.jpg,OEM,No Color,2.0,Φτυάρι μυτερό με εργονομική λαβή τύπου D. Μήκος: 68cm.,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58701,Φτυάρι μυτερό - 209 - 74cm - 270676,Φτυάρι μυτερό - 209 - 74cm - 270676,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/b2bb2c91a8c2eb79f69d9965b325a59a.jpg,OEM,No Color,2.0,Φτυάρι μυτερό με εργονομική λαβή τύπου D. Μήκος: 74cm.,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58707,Πτυσσόμενο φτυάρι - Πτυοσκάπανο - 103-,Πτυσσόμενο φτυάρι - Πτυοσκάπανο - 103-1 - 47cm - 270652,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270669.jpg,OEM,No Color,2.0,"Πολυεργαλείο φτυάρι, σκαπτικό, και πριόνι, ένα πρακτικό εργαλείο για το σπίτι, την έξοχή, το camping, το αυτοκίνητο!
Ελαφρύ, μικρό και εύκολο στην μεταφορά.
Διαθέτει στιβαρή εργονομική λαβή.
Διαθέτει μια πριονωτή άκρη για να πριονίζετε μικρα κλαδιά και κορμούς.
Αναδιπλούμενο, με ειδικό τσαντάκι μεταφοράς για να το παίρνετε μαζί σας παντού. Μήκος: 47cm σε πλήρη ανάπτυξη/22cm σε πλήρη σύμπτυξη. Μήκος λεπίδας σκαπτικού: 10cm.
Μήκος λεπίδας φτυαριού: 17cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
58710,Ζώνη στρατιωτικού τύπου - Y4 - 270645 - Blac,Ζώνη στρατιωτικού τύπου - Y4 - 270645 - Black,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270645_b.jpg,OEM,No Color,0.8,"Ζώνη-ιμάντας Y4 στρατιωτικού τύπου, κατασκευασμένη από ανθεκτικό νάιλον και πλαστικό κλιπ με γρήγορη απασφάλιση. Εύκολα ρυθμιζόμενο μήκος με ταινία Velcro. Mήκος: έως 120cm, Πλάτος 5cm, Βάρος: 210gr.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Είδη κυνηγιού  πεζοπορίας
