id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38298,Κιάλια - 8*42 - 590040,Κιάλια - 8*42 - 590040,in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/590040_1310.jpg,OEM,No Color,0.4,"<p>Το σώμα είναι κατασκευασμένο από ελαφρύ πλαστικό και τυλιγμένο με καουτσούκ έτσι ώστε να είναι ανθεκτικό σε πεσίματα και γρατσουνιές. <br />Τα προσοφθάλμια είναι κατασκευασμένα από διαφανές γυαλί, με υψηλή αντίθεση και φακούς επικαλυμμένους με anti-glare.</p><p>Περιλαμβάνεται πρακτική θήκη.<br />Μεγέθυνση: 8x<br />Αντικειμενική διάμετρος φακού: 42mm</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
38299,Κιάλια - 20*50 - 713612,Κιάλια - 20*50 - 713612,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/713612.jpg,OEM,No Color,0.4,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p>Το σώμα είναι κατασκευασμένο από ελαφρύ πλαστικό και τυλιγμένο με καουτσούκ έτσι ώστε να είναι ανθεκτικό σε πεσίματα και γρατσουνιές. <br />Τα προσοφθάλμια είναι κατασκευασμένα από διαφανές γυαλί, με υψηλή αντίθεση και φακούς επικαλυμμένους με anti-glare.</p><p>Περιλαμβάνεται πρακτική θήκη.<br />Μεγέθυνση: 20x<br />Αντικειμενική διάμετρος φακού: 50mm</p></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
38300,Κιάλια - 158 - 4*50 - 890210,Κιάλια - 158 - 4*50 - 890210,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_890210.jpg,OEM,No Color,0.4,"<div class=""content clearfix""><div id=""tab-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" role=""tabpanel"" aria-labelledby=""tab-title-description""><p>Το σώμα είναι κατασκευασμένο από ελαφρύ πλαστικό και τυλιγμένο με καουτσούκ έτσι ώστε να είναι ανθεκτικό σε πεσίματα και γρατσουνιές. <br />Τα προσοφθάλμια είναι κατασκευασμένα από διαφανές γυαλί, με υψηλή αντίθεση και φακούς επικαλυμμένους με anti-glare.</p><p>Περιλαμβάνεται πρακτική θήκη.</p><p>Μεγέθυνση: 4x</p></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
39626,Κιάλια - Mini - KL-1025 - 10*25 - 340080,Κιάλια - Mini - KL-1025 - 10*25 - 340080,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/340080.jpg,OEM,No Color,0.8,"<p>Χαρακτηριστικά:</p><p>Το σώμα είναι κατασκευασμένο από ελαφρύ πλαστικό και τυλιγμένο με καουτσούκ έτσι ώστε να είναι ανθεκτικό σε πεσίματα και γρατσουνιές. <br />Τα προσοφθάλμια είναι κατασκευασμένα από διαφανές γυαλί, με υψηλή αντίθεση και φακούς επικαλυμμένους με anti-glare.</p><p>Περιλαμβάνεται πρακτική θήκη.<br />Μεγέθυνση: 10x<br />Αντικειμενική διάμετρος φακού: 25mm</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105248,Μονοκιάλι - 20*50 - 112579,Μονοκιάλι - 20*50 - 112579,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/583b8c56a0c26341f6316600fbbbfa44.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105251,Μονοκιάλι - 10*42 - 112685,Μονοκιάλι - 10*42 - 112685,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/0b483fab1ae70ac0d7f5d20b500941f4.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105254,Μονοκιάλι - 12*50 - 112593,Μονοκιάλι - 12*50 - 112593,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ab3232d2ab499ec2318e7e7fe447bc10.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105257,Μονοκιάλι - 10-32*42 - 112586,Μονοκιάλι - 10-32*42 - 112586,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/95ef094323b1bef7ac8c8295046907cb.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105260,Κιάλια - 60*90 - 112708,Κιάλια - 60*90 - 112708,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9a3b59bbe2a20e822e449e8ba44e6610.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
105263,Κιάλια - 30*60 - 112678,Κιάλια - 30*60 - 112678,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d84f4657d8769c753dbb36e8e09625d8.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Κιάλια
