id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36617,Ομπρέλα θαλάσσης & camping - 120cm - 213235,Ομπρέλα θαλάσσης & camping - 120cm - 213235,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_213235.jpg,OEM,No Color,8.0,"<p>Ομπρέλα παραλίας με σχέδιο, 1.2μ</p><dl><dt>UV Προστασία: Όχι</dt></dl><dl><dt>Σπαστές: Ναι</dt></dl><dl><dt>Χρώμα: Πολύχρωμο</dt></dl>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49117,Ομπρέλα κήπου - YB3099 - 585373,Ομπρέλα κήπου - YB3099 - 585373,in stock,new,59.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585373.png,OEM,No Color,12.0,"Ομπρέλα κήπου με ισχύρο σκελετό αλουμινίου, πανί από 100% αδιάβροχο πολυεστερικό ύφασμα και βάση. Διαθέτει αντιανεμική σχεδίαση και ρυθμιζόμενο ύψος.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49120,Ομπρέλα κήπου κρεμαστή - YB3012 - 585366,Ομπρέλα κήπου κρεμαστή - YB3012 - 585366,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585366.png,OEM,No Color,20.0,"Ομπρέλα κήπου κρεμαστή με ισχύρο σκελετό αλουμινίου και πανί από 100% αδιάβροχο πολυεστερικό ύφασμα με προστασία UV. Διαθέτει αντιανεμική σχεδίαση, ρυθμιζόμενο ύψος, σταθερή βάση και μηχανισμό Easy Open για εύκολο άνοιγμα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49123,Ομπρέλα κήπου κρεμαστή - YB3097 - 585359,Ομπρέλα κήπου κρεμαστή - YB3097 - 585359,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585359.png,OEM,No Color,20.0,"Ομπρέλα κήπου κρεμαστή, τετράγωνη με ισχύρο σκελετό αλουμινίου και πανί από 100% αδιάβροχο πολυεστερικό ύφασμα με προστασία UV. Διαθέτει αντιανεμική σχεδίαση, ρυθμιζόμενο ύψος, σταθερή βάση και μηχανισμό Easy Open για εύκολο άνοιγμα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49126,Κούνια κήπου 2θέσια - YB3106 - 585342,Κούνια κήπου 2θέσια - YB3106 - 585342,in stock,new,117 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585342.png,OEM,No Color,50.0,"Κούνια κήπου διθέσια με ισχυρό σιδερένιο σκελετό και προστατευτική τέντα. Ιδανική για απολαυστικες στιγμές χαλάρωσης στο μπαλκόνι σας, την βεράντα, τον κήπο, το εξοχικό σας. Αντοχή βάρους έως 200kg.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49129,Κούνια κήπου 2θέσια - YB3106 - 585335,Κούνια κήπου 2θέσια - YB3106 - 585335,in stock,new,99 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585335.png,OEM,No Color,50.0,"Κούνια κήπου διθέσια με ισχυρό σιδερένιο σκελετό και προστατευτική τέντα. Ιδανική για απολαυστικες στιγμές χαλάρωσης στο μπαλκόνι σας, την βεράντα, τον κήπο, το εξοχικό σας. Αντοχή βάρους έως 200kg.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49135,Βάση ομπρέλας κήπου νερού/άμμου - YB30,Βάση ομπρέλας κήπου νερού/άμμου - YB30941 - 585311,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585311.png,OEM,No Color,4.0,"Βάση ομπρέλας κήπου πλαστική, νερού/άμμου. Διαθέτει πλαϊνές χειρολαβές για εύκολη μεταφορά. Γεμίστε πλήρως τη βάση με νερό ή άμμο για απόλυτη σταθερότητα. 
Διάμετρος σωλήνα έως και 3.5cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49138,Βάση ομπρέλας κήπου - Πτυσσόμενη - YB3,Βάση ομπρέλας κήπου - Πτυσσόμενη - YB3094 - 585304,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585304.png,OEM,No Color,2.0,"Βάση ομπρέλας κήπου πτυσσόμενη για εύκολη μεταφορά. Ανθεκτική κατασκευή από αλουμίνιο και πλαστικό, με ρυθμιζόμενη διάμετρο σωλήνα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49141,Ομπρέλα θαλάσσης & camping - YB3067 - 120cm - 5852,Ομπρέλα θαλάσσης & camping - YB3067 - 120cm - 585298,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585298.png,OEM,No Color,9.0,"Ομπρέλα θαλάσσης με σχέδιο, ιδανική για την παραλία, το camping ή τον κήπο σας. Με πανί από 100% αδιάβροχο πολυεστερικό ύφασμα. Διαθέτει βάση 2 τμημάτων, δίσπαστη, αιχμηρό τελείωμα για εύκολη τοποθέτηση στην άμμο και ρυθμιζόμενο ύψος με σταθεροποιητή-κλιπ. Διάμετρος ανοιχτή: 120cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
49144,Ομπρέλα θαλάσσης & camping - YB3067 - 120cm - 5852,Ομπρέλα θαλάσσης & camping - YB3067 - 120cm - 585281,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/585281.png,OEM,No Color,9.0,"Ομπρέλα θαλάσσης με σχέδιο, ιδανική για την παραλία, το camping ή τον κήπο σας. Με πανί από 100% αδιάβροχο πολυεστερικό ύφασμα. Διαθέτει βάση 2 τμημάτων, δίσπαστη, αιχμηρό τελείωμα για εύκολη τοποθέτηση στην άμμο και ρυθμιζόμενο ύψος με σταθεροποιητή-κλιπ. Διάμετρος ανοιχτή: 120cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Ομπρέλες θαλάσσης
