id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
58734,Σακίδιο πλάτης/στήθους - One Strap - BL050-B1,Σακίδιο πλάτης/στήθους - One Strap - BL050-B14 - 270546,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/be4ffc7317dda11289996573a875843a.jpg,OEM,No Color,3.0,"Σακίδιο πλάτης/στήθους - One Strap ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Διαθέτει: πολλαπλές θήκες, ζώνη μέσης για έξτρα σταθερότητα, ρυθμιζόμενο λουρί με κλιπ ταχείας απελευθέρωσης και κρίκο κρεμάσματος. Εξωτερικό υλικό: 100% polyester (600D)
Επένδυση: 100% polyester
Γέμιση: 60% polyethylene, 20% trivinyl, 20% acetate

Διαστάσεις: Υ27 cm x Π21 cm x Β10 cm
Χωρητικότητα: 7lt
Βάρος: 622gr",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58737,Σακίδιο πλάτης/στήθους - One Strap - BL061 - ,Σακίδιο πλάτης/στήθους - One Strap - BL061 - 270515,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/118453bef3fce32aa804153b375ba21a.jpg,OEM,No Color,3.0,"Σακίδιο πλάτης/στήθους - One Strap ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Διαθέτει: πολλαπλές θήκες, ζώνη μέσης για έξτρα σταθερότητα, ρυθμιζόμενο λουρί με κλιπ ταχείας απελευθέρωσης. Εξωτερικό υλικό: 100% polyester (600D)
Επένδυση: 100% polyester
Γέμιση: 60% polyethylene, 20% trivinyl, 20% acetate

Διαστάσεις: Υ26 cm x Π20 cm x Β10 cm
Χωρητικότητα: 7lt",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58740,Σακίδιο πλάτης/στήθους - One Strap - BL014 - ,Σακίδιο πλάτης/στήθους - One Strap - BL014 - 270447,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2a8eb2aa74e847c9cddd528a364ec9e3.jpg,OEM,No Color,5.0,"Σακίδιο πλάτης/στήθους - One Strap ιδανικό για πεζοπορία, camping, εξωτερικές δραστηριότητες και χόμπυ. Διαθέτει: πολλαπλές θήκες, ζώνη μέσης για έξτρα σταθερότητα, ρυθμιζόμενο λουρί με κλιπ ταχείας απελευθέρωσης. Εξωτερικό υλικό: 100% polyester (600D)
Επένδυση: 100% polyester
Διαστάσεις:  40*20*15 εκ",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58743,Τσαντάκι μηρού - BL010 - 270430,Τσαντάκι μηρού - BL010 - 270430,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/564024282259ae7af00fcbfcdd052bac.jpg,OEM,No Color,0.8,"Τσαντάκι ποδιού με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό αδιάβροχο Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και κλιπς και κρίκο-κρεμάστρα.
Διπλός, ρυθμιζόμενος ιμάντας μέσης και ποδιού που ασφαλίζει με κλιπ. 
Χωρητικότητα: 2 lt.
Διαστάσεις: ύψος:30cm, πλάτος:12cm, βάθος:11cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58746,Τσαντάκι μηρού - LP1003 - 270539,Τσαντάκι μηρού - LP1003 - 270539,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a88246d105474a83533fcf3462552ef5.jpg,OEM,No Color,0.8,"Τσαντάκι ποδιού με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό, αδιάβροχο Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και κλιπς και κρίκο-κρεμάστρα.
Διπλός, ρυθμιζόμενος ιμάντας μέσης και ποδιού που ασφαλίζει με κλιπ. 
Χωρητικότητα: 2 lt.
Διαστάσεις: ύψος:30cm, πλάτος:12cm, βάθος:11cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58749,Τσάντα εκστρατείας μέσης - BL083 - 270522,Τσάντα εκστρατείας μέσης - BL083 - 270522,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/f247fbad8a1334b981751f51dbaf824f.jpg,OEM,No Color,1.5,"Τσαντάκι μέσης με πολλαπλές θήκες και θήκη μπουκαλιού, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και κλιπς και κρίκο-κρεμάστρα.
Ρυθμιζόμενος, σταθερος ιμάντας μέσης που ασφαλίζει με κλιπ. 
Βάρος συσκευασίας: 0,356 kg
Μέγεθος συσκευασίας (Μ x Π x Υ): 29 x 19 x 3cm
Μέγιστο μήκος ιμάντα 120cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58752,Τσαντάκι ζώνης - BL135 - 270508,Τσαντάκι ζώνης - BL135 - 270508,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/ec1e4175614fd6f6f3b4b610d2f4ccdb.jpg,OEM,No Color,3.0,"Τσαντάκι ζώνης με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα και το smartphone σας, που κλείνουν με φερμουάρ και κλιπς.
Διαστάσεις: 18 x 12 x 6cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58755,Τσαντάκι ώμου-ζώνης - BL133 - 270492,Τσαντάκι ώμου-ζώνης - BL133 - 270492,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/845c78fb86d3b76cf3a416aa972edde3.jpg,OEM,No Color,1.0,"Τσαντάκι ώμου και ζώνης με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα και το smartphone σας, που κλείνουν με φερμουάρ και κλιπς. Ρυθμιζόμενο, αφαιρούμενο λουρί ώμου. Ιμάντες τοποθέτησης στη ζώνη. 
Διαστάσεις: 17 x 11 x 5cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58758,Τσάντα Πρώτων Βοηθειών - BL032 - 270485,Τσάντα Πρώτων Βοηθειών - BL032 - 270485,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/1a61a0a04f43d373293d0b258778a61d.jpg,OEM,No Color,1.0,"Στρατιωτικού τύπου τσαντάκι ζώνης πρώτων βοηθειών-φαρμακείο με πολλαπλές θήκες.  Κατασκευασμένο από ανθεκτικό Nylon 600D με ιμάντα ασφαλείας.
Διαστάσεις: 20 x 15 x 8cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58761,Τσαντάκι μέσης - BL026 - 270478,Τσαντάκι μέσης - BL026 - 270478,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/7417b3322f29d296f5388709a56542af.jpg,OEM,No Color,1.0,"Τσαντάκι μέσης με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό, αδιάβροχο Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και 3 κρίκους-κρεμάστρες.
Ρυθμιζόμενος ιμάντας μέσης που ασφαλίζει με κλιπ. 
Διαστάσεις: 35x16cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58764,Τσαντάκι μέσης - BL025 - 270461,Τσαντάκι μέσης - BL025 - 270461,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/89980ded5eef4653c0f5e8e8c5c21851.jpg,OEM,No Color,1.0,"Τσαντάκι μέσης με πολλαπλές θήκες, ιδανικό για πεζοπορία, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό, αδιάβροχο Nylon 800D.
Διαθέτει θήκες για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και 3 κρίκους-κρεμάστρες.
Ρυθμιζόμενος ιμάντας μέσης που ασφαλίζει με κλιπ. 
Διαστάσεις: 35x16cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58767,Υδροδοχείο πλάτης - BL01 - 3L - 270454,Υδροδοχείο πλάτης - BL01 - 3L - 270454,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/81ec47dbd4c7b5fa0b88f9ceb467b3ae.jpg,OEM,No Color,3.0,"ΣΑΚΙΔΙΟ ΤΑΚΤΙΚΗΣ ΕΝΥΔΑΤΩΣΗΣ ΠΑΓΟΥΡΙ 3ΛΙΤΡΑ ΓΙΑ ΠΕΖΟΠΟΡΙΑ, ΠΟΔΗΛΑΣΙΑ, ΤΡΕΞΙΜΟ, ΑΝΑΡΡΙΧΗΣΗ, ΠΕΡΠΑΤΗΜΑ κτλ.
Κατασκευασμένο από αδιάβροχο νάιλον υλικό υψηλής πυκνότητας 600D.
Διαθέτει σωλήνα με βαλβίδα δαγκώματος ενεργοποίησης/απενεργοποίησης, κατάλληλη για τον έλεγχο της ροής του νερού
Ρυθμιζόμενος ιμάντας ώμου και ζώνη στο στήθος, κατάλληλα για βαριά μεταφορά. Διαστάσεις: 43x18",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58770,Σακίδιο πλάτης - BL113 - 270423,Σακίδιο πλάτης - BL113 - 270423,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/e1000b04c9ca589fa2ca3b936a80ee4a.jpg,OEM,No Color,4.0,"Σακίδιο πλάτης στρατωτικού τύπου, ιδανικό για εκδρομή, πεζοπορία, camping, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό, αδιάβροχο Nylon 800D.
Διαθέτει πολλαπλές θήκες, εσωτερικές και εξωτερικές, για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και ασφαλίζει με κλιπς.
Ρυθμιζόμενοι ιμάντες ώμου με προστατευτικό μαξιλαράκι. Διαστάσεις: 56x28x25cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
58773,Σακίδιο πλάτης - BL112-3P - 270416,Σακίδιο πλάτης - BL112-3P - 270416,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/8631ef246aee99e3821f656dee623de2.jpg,OEM,No Color,4.0,"Σακίδιο πλάτης στρατωτικού τύπου, ιδανικό για εκδρομή, πεζοπορία, camping, εξωτερικές δραστηριότητες και χόμπυ. Κατασκευασμένο από ανθεκτικό, αδιάβροχο Nylon 800D.
Διαθέτει πολλαπλές θήκες, εσωτερικές και εξωτερικές, για όλα σας τα αντικείμενα που κλείνουν με φερμουάρ και ασφαλίζει με κλιπς.
Ρυθμιζόμενοι ιμάντες ώμου με προστατευτικό μαξιλαράκι. Διαστάσεις: 45x23x25cm",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Σακίδια
