id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38813,Ασύρματο ηχείο Bluetooth - BTS -06 - Αδιάβρο�,Ασύρματο ηχείο Bluetooth - BTS -06 - Αδιάβροχο - 883785 - Pink,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/883785_pink.png,OEM,No Color,0.3,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ασύρματο Mini ηχείο με καθαρό στερεοφωνικό ήχο, σε πρωτότυπο σχεδιασμό, με βεντούζα που μπορεί να τοποθετηθεί οπουδήποτε (σε τζάμι, πλακάκι, έπιπλο, στο πίσω μέρος του κινητού κτλ). Είναι αδιάβροχο και μπορείτε να το πάρετε μαζί σας στο μπάνιο σας ή στη θάλασσα για να μην αποχωρίζεστε ποτέ την αγαπημένη σας μουσική.<br /></span></span></p><p><strong>Χαρακτηριστικά:</strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Bluetooth: V3.0 + EDR </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ονομασία Bluetooth: BTS-06</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Εύρος μετάδοσης: 10m</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Τάση μπαταρίας: 3,7V, 600Mah </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Αυτονομία μπαταρίας: έως 4 ώρες (λειτουργία σε μέση ένταση) </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος φόρτισης: 4 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ενσωματωμένο μικρόφωνο για απάντηση σε κλήσεις hands-free</span></span></li><li>Αυτόματη απενεργοποίηση μετά από 4 λεπτά αδράνειας</li><li>Λυχνία ένδειξης φόρτισης</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις: 8.5 x 5cm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Υλικό: σιλικόνη + ABS. </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Συμβατό με όλες τις συσκευές που διαθέτουν Bluetooth</span></span></li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
38814,Ασύρματο ηχείο Bluetooth - BTS -06 - Αδιάβρο�,Ασύρματο ηχείο Bluetooth - BTS -06 - Αδιάβροχο - 883785 - Yellow,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/883785_yellow.png,OEM,No Color,0.3,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ασύρματο Mini ηχείο με καθαρό στερεοφωνικό ήχο, σε πρωτότυπο σχεδιασμό, με βεντούζα που μπορεί να τοποθετηθεί οπουδήποτε (σε τζάμι, πλακάκι, έπιπλο, στο πίσω μέρος του κινητού κτλ). Είναι αδιάβροχο και μπορείτε να το πάρετε μαζί σας στο μπάνιο σας ή στη θάλασσα για να μην αποχωρίζεστε ποτέ την αγαπημένη σας μουσική.<br /></span></span></p><p><strong>Χαρακτηριστικά:</strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Bluetooth: V3.0 + EDR </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ονομασία Bluetooth: BTS-06</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Εύρος μετάδοσης: 10m</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Τάση μπαταρίας: 3,7V, 600Mah </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Αυτονομία μπαταρίας: έως 4 ώρες (λειτουργία σε μέση ένταση) </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος φόρτισης: 4 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ενσωματωμένο μικρόφωνο για απάντηση σε κλήσεις hands-free</span></span></li><li>Αυτόματη απενεργοποίηση μετά από 4 λεπτά αδράνειας</li><li>Λυχνία ένδειξης φόρτισης</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις: 8.5 x 5cm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Υλικό: σιλικόνη + ABS. </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Συμβατό με όλες τις συσκευές που διαθέτουν Bluetooth</span></span></li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
38815,Ασύρματο ηχείο Bluetooth -  BTS -06 - Αδιάβρο,Ασύρματο ηχείο Bluetooth -  BTS -06 - Αδιάβροχο - 883785 - Black,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/883785_black.png,OEM,No Color,0.3,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ασύρματο Mini ηχείο με καθαρό στερεοφωνικό ήχο, σε πρωτότυπο σχεδιασμό, με βεντούζα που μπορεί να τοποθετηθεί οπουδήποτε (σε τζάμι, πλακάκι, έπιπλο, στο πίσω μέρος του κινητού κτλ). Είναι αδιάβροχο και μπορείτε να το πάρετε μαζί σας στο μπάνιο σας ή στη θάλασσα για να μην αποχωρίζεστε ποτέ την αγαπημένη σας μουσική.<br /></span></span></p><p><strong>Χαρακτηριστικά:</strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Bluetooth: V3.0 + EDR </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ονομασία Bluetooth: BTS-06</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Εύρος μετάδοσης: 10m</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Τάση μπαταρίας: 3,7V, 600Mah </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Αυτονομία μπαταρίας: έως 4 ώρες (λειτουργία σε μέση ένταση) </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χρόνος φόρτισης: 4 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ενσωματωμένο μικρόφωνο για απάντηση σε κλήσεις hands-free</span></span></li><li>Αυτόματη απενεργοποίηση μετά από 4 λεπτά αδράνειας</li><li>Λυχνία ένδειξης φόρτισης</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Διαστάσεις: 8.5 x 5cm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Υλικό: σιλικόνη + ABS. </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""es"" data-phrase-index=""0"" data-number-of-phrases=""1"">Συμβατό με όλες τις συσκευές που διαθέτουν Bluetooth</span></span></li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39103,Αδιάβροχο - 2371-EVA - One Sized - 156932 - Blue,Αδιάβροχο - 2371-EVA - One Sized - 156932 - Blue,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/156932.jpg,OEM,No Color,0.1,"<p>Αδιάβροχο πανωφόρι 2371-EVA, One Sized, με κουκούλα, από υλικό υψηλής ανθεκτικότητας.<br />Μήκος: 120cm<br />Χρώμα: Μπλε</p><p> </p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39104,Αδιάβροχο - 2371-EVA - One Sized - 156932 - Purple,Αδιάβροχο - 2371-EVA - One Sized - 156932 - Purple,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152388_pu.jpg,OEM,No Color,0.1,"<p>Αδιάβροχο πανωφόρι 2371-EVA, One Sized, με κουκούλα, από υλικό υψηλής ανθεκτικότητας.<br />Μήκος: 120cm<br />Χρώμα: Μωβ</p><p> </p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39153,Αδιάβροχο - One sized - 673233,Αδιάβροχο - One sized - 673233,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_673233.jpg,OEM,No Color,1.0,"<p>Αδιάβροχο πανωφόρι One sized, μαύρου χρώματος, από υλικό υψηλής ανθεκτικότητας και προστασίας. Διαθέτει κουκούλα και είναι ριχτό, χωρίς μανίκια για να φοριέται εύκολα πάνω από κάθε ρούχο ή μπουφάν ενώ παράλληλα μπορείτε να καλύψετε το backpack της πλάτης σας ή οτιδήποτε μεταφέρετε μαζί σας.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39674,Αδιάβροχη φόρμα εργασίας με τιράντ�,Αδιάβροχη φόρμα εργασίας με τιράντες - One Sized - 270317 - Yellow,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/270317.jpg,OEM,No Color,1.5,"<p>Αδιάβροχη φόρμα με κουκούλα, One Sized, σε κίτρινο χρώμα με ρυθμιζόμενες τιράντες στο εσωτερικό μέρος.<br />Κατασκευασμένη από υψηλής ποιότητας, ανθεκτικό, αδιάβροχο υλικό, με άνετη εφαρμογή.<br />Καλύπτει μέχρι XL.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39675,Αδιάβροχη φόρμα εργασίας με ανακλα�,Αδιάβροχη φόρμα εργασίας με ανακλαστικά - One Sized - 270287,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/270287.jpg,OEM,No Color,5.5,"<p>Αδιάβροχη φόρμα με κουκούλα, One Sized, σε κίτρινο φωσφοριζέ χρώμα με ανακλαστικές λωρίδες στο επάνω και κάτω μέρος.<br />Κατασκευασμένη από υψηλής ποιότητας, ανθεκτικό, αδιάβροχο υλικό, με άνετη εφαρμογή.<br />Καλύπτει μέχρι XL.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39676,Αδιάβροχη φόρμα - One Sized - 270263 - Army Grey,Αδιάβροχη φόρμα - One Sized - 270263 - Army Grey,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/270263-1.png,OEM,No Color,1.5,"<p>Αδιάβροχη φόρμα σε χρώμα παραλλαγής, One Sized, με κουκούλα και ανακλαστικές λωρίδες. Καλύπτει μέχρι XL.<br />Κατασκευασμένη από υψηλής ποιότητας, ανθεκτικό, αδιάβροχο υλικό, με άνετη εφαρμογή.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
39677,Αδιάβροχη φόρμα - One Sized - 270300 - Yellow,Αδιάβροχη φόρμα - One Sized - 270300 - Yellow,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/270300.jpg,OEM,No Color,1.5,"<p>Αδιάβροχη φόρμα με κουκούλα, One Sized - Καλύπτει μέχρι XL.<br />Κατασκευασμένη από υψηλής ποιότητας, ανθεκτικό, αδιάβροχο υλικό, με άνετη εφαρμογή.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Αδιάβροχα  γαλότσες
