id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35924,Αυτόματη ομπρέλα - Tradesor - 673059,Αυτόματη ομπρέλα - Tradesor - 673059,in stock,new,3.96 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/673059.png,OEM,No Color,0.7,"<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. Διαθέτει υψηλής ποιότητας, ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
38868,Αυτόματη ομπρέλα - 307 - Tradesor - 714857 - Black,Αυτόματη ομπρέλα - 307 - Tradesor - 714857 - Black,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/714857_1009.jpg,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μαύρο</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
38951,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Purpl,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Purple,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/714765_pu.jpg,OEM,No Color,0.7,"<p>Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Διαθέτει υφασμάτινη θήκη.<br />Χρώμα: μαύρο</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
38952,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Red,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Red,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/714765_r.jpg,OEM,No Color,0.7,"<p>Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Διαθέτει υφασμάτινη θήκη.<br />Χρώμα: μαύρο</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
38953,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Green,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Green,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/714765_g.jpg,OEM,No Color,0.7,"<p>Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Διαθέτει υφασμάτινη θήκη.<br />Χρώμα: μαύρο</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
38954,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Blue,Αυτόματη ομπρέλα - 307 - Tradesor - 714765 - Blue,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/714765_bl.jpg,OEM,No Color,0.7,"<p>Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Διαθέτει υφασμάτινη θήκη.<br />Χρώμα: μαύρο</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39223,Αυτόματη ομπρέλα - Tradesor - 705038 - Blue,Αυτόματη ομπρέλα - Tradesor - 705038 - Blue,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/705038_bl.jpg,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39224,Αυτόματη ομπρέλα - Tradesor - 705021 - Black,Αυτόματη ομπρέλα - Tradesor - 705021 - Black,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/705021_b.png,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39227,Αυτόματη ομπρέλα - 70cm - Tradesor - 908017 - Blac,Αυτόματη ομπρέλα - 70cm - Tradesor - 908017 - Black,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/908017-PhotoRoom.jpg,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39228,Αυτόματη ομπρέλα - 70cm - Tradesor - 908000 - Blac,Αυτόματη ομπρέλα - 70cm - Tradesor - 908000 - Black,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/908000_b.jpg,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39287,Αυτόματη ομπρέλα - Tradesor - 705038 - Red,Αυτόματη ομπρέλα - Tradesor - 705038 - Red,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/705038_dr.png,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
39288,Αυτόματη ομπρέλα - Tradesor - 705038 - Black,Αυτόματη ομπρέλα - Tradesor - 705038 - Black,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/705038_b.png,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
58008,Αυτόματη ομπρέλα – 70# - Tradesor - 585960,Αυτόματη ομπρέλα – 70# - Tradesor - 585960,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/e34148a699ac9b41e4ff899e07dbab76.jpg,OEM,No Color,0.8,"Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.
Διαθέτει υφασμάτινη θήκη.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
58011,Αυτόματη ομπρέλα – 3502E - Tradesor - 635026,Αυτόματη ομπρέλα – 3502E - Tradesor - 635026,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2155c264c187e1e7ec5f8f66c10c44e4.jpg,OEM,No Color,0.8,"Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.
Διαθέτει υφασμάτινη θήκη.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
58014,Αυτόματη ομπρέλα – 70# - 8K - Tradesor - 586004,Αυτόματη ομπρέλα – 70# - 8K - Tradesor - 586004,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/c71fd3f010beb145312d140a6cd881bc.jpg,OEM,No Color,0.8,"Ομπρέλα Tradesor πτυσσόμενη, με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.
Διαθέτει υφασμάτινη θήκη.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Σπαστές ομπρέλες
