id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35837,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678113,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678113.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35838,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678134,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678134.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35839,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678104,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678104.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35840,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678111,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678111.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35841,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678009,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678009.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35842,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678080,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678080.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35843,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678032,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678032.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35844,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678119,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678119.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35845,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678099,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678099-2.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
35846,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin,Σετ 12Χ - Πολυεστερικό μαγνητάκι - Resin Magnet - 678052,in stock,new,9.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678052.jpg,OEM,No Color,0.8,"Υψηλής ποιότητας χειροποίητα τουριστικά μαγνητάκια. Μπορείτε να δημιουργήσετε το δικό σας τοπωνύμιο κατόπιν ειδικής παραγγελίας. Η παραγγελία ενός τεμαχίου δεν είναι διαθέσιμη, το σετ περιέχει 12 τεμάχια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Τουριστικά  εποχιακά είδη>Μαγνητάκια
