id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35160,Σπάτουλα - 10cm - Finder - 195006,Σπάτουλα - 10cm - Finder - 195006,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_195002-1.jpg,OEM,No Color,0.2,"<p>Σπάτουλα από ανοξείδωτο ατσάλι και λαβή τύπου PP+TPR</p><p>Μέγεθος: 4""""</p><p>Hardness: 38-42HRC</p><p>Πάχος: 0.7mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35161,Σπάτουλα - 15cm - Finder - 195008,Σπάτουλα - 15cm - Finder - 195008,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_195002-1.jpg,OEM,No Color,0.2,"<p>Σπάτουλα από ανοξείδωτο ατσάλι και λαβή τύπου PP+TPR</p><p>Μέγεθος: 6""""</p><p>Hardness: 38-42HRC</p><p>Πάχος: 0.7mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35225,"Πινέλο βαφής - Finder - 4"""" - 195030","Πινέλο βαφής - Finder - 4"""" - 195030",in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_195026.jpg,OEM,No Color,0.2,"<p>Πινέλο βαφής από 100% βούρτσα PET και πλαστική λαβή</p><p>Μέγεθος: 4""""</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35398,Πινέλο βαφής - 2.5'' - Finder - 195028,Πινέλο βαφής - 2.5'' - Finder - 195028,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_195026.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% βούρτσα PET και πλαστική λαβή</p><p>Μέγεθος: 2.5''</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35399,Πινέλο βαφής - 3'' - Finder - 195029,Πινέλο βαφής - 3'' - Finder - 195029,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_195026.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% βούρτσα PET και πλαστική λαβή</p><p>Μέγεθος: 3''</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35489,Σπάτουλα - 12.7cm - Finder - 195007,Σπάτουλα - 12.7cm - Finder - 195007,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_195002-1.jpg,OEM,No Color,0.2,<p>Σπάτουλα από ανοξείδωτο ατσάλι και λαβή τύπου PP+TPR</p><p>Μέγεθος: 5''</p><p>Hardness: 38-42HRC</p><p>Πάχος: 0.7mm</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35497,Πινέλο βαφής - Finder - 6' - 195024,Πινέλο βαφής - Finder - 6' - 195024,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πινέλο-βαψίματος-finder-195024-6.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% βούρτσα PET και πλαστική λαβή</p><p>Μέγεθος: 6'</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35498,Πινέλο βαφής - Finder - 5' - 195023,Πινέλο βαφής - Finder - 5' - 195023,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πινέλο-βαψίματος-finder-195023-5.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% βούρτσα PET και πλαστική λαβή</p><p>Μέγεθος: 5''</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35499,Πινέλο βαφής - 10cm - Finder - 195246,Πινέλο βαφής - 10cm - Finder - 195246,in stock,new,3.24 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πινέλο-βαψίματος-4mm-finder-195246.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% πολυεστέρα</p><p>Μέγεθος: 4''</p><p>Λαβή τύπου PP+TPR μήκους 160mm</p><p>Καθαρό βάρος: 157g</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
35500,Πινέλο βαφής - 7.6cm - Finder - 195245,Πινέλο βαφής - 7.6cm - Finder - 195245,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πινέλο-βαψίματος-3mm-finder-195245.jpg,OEM,No Color,0.2,<p>Πινέλο βαφής από 100% πολυεστέρα</p><p>Μέγεθος: 3''</p><p>Λαβή τύπου PP+TPR μήκους 150mm</p><p>Καθαρό βάρος: 123g</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Είδη βαψίματος  οικοδομικά
