id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35147,Μηχάνημα πλυσίματος οχημάτων - 2000W - ,Μηχάνημα πλυσίματος οχημάτων - 2000W - Finder - 194216,in stock,new,234 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/43.png,OEM,No Color,20.0,"<p><span class=""tlid-translation translation"" lang=""el""><span title="""">Κινητήρας 2000 Watt για μέγιστη καθαριότητα.</span> <span class="""" title="""">Χρησιμοποιείται με βιομηχανικό κινητήρα που ψύχεται με αέρα και η ισχύς της πίεσης του νερού που θα εκτοξευτεί, καθαρίζει εύκολα ακαθαρσίες και βρωμιά. <br /></span></span></p><ul><li>Μέγιστη πίεση: 135bar</li><li>Μέση πίεση: 90bar</li><li>Διαστάσεις συσκευασίας: 64 x 44 cm</li><li> </li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
35154,Μηχάνημα πλυσίματος οχημάτων - 1900W - ,Μηχάνημα πλυσίματος οχημάτων - 1900W - Finder - 194214,in stock,new,198 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/43.png,OEM,No Color,20.0,"<p><span class=""tlid-translation translation"" lang=""el""><span title="""">Κινητήρας 1900 Watt για μέγιστη καθαριότητα.</span> <span class="""" title="""">Χρησιμοποιείται με βιομηχανικό κινητήρα που ψύχεται με αέρα και η ισχύς της πίεσης του νερού που θα εκτοξευτεί, καθαρίζει εύκολα ακαθαρσίες και βρωμιά. <br /></span></span></p><ul><li>Διαστάσεις συσκευασίας: 34 x 87 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
35384,Ανταλλακτικές λάμες σιδηροπρίονου ,Ανταλλακτικές λάμες σιδηροπρίονου - Finder - Hacksaw - Medium - 191573,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πριονολεπίδα-finder-hacksaw-medium-191573.jpg,OEM,No Color,0.2,"<p>Ανταλλακτικές λάμες σιδηροπρίονου, σετ 3 τεμαχίων, μεγέθους 12''*24T, φτιαγμένη από υλικό T15</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
35402,Ράσπα ξύλου - 3pcs - Finder - 195924,Ράσπα ξύλου - 3pcs - Finder - 195924,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/YW4-A061.jpg,OEM,No Color,0.2,<p>Σετ 3τμχ ράσπα ξύλου από T10 ατσάλι και λαβή τύπου PP</p><p>Μέγεθος: 200mm/8''</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36248,Σετ εργαλεία με θήκη - 60τμχ - Finder - 19257,Σετ εργαλεία με θήκη - 60τμχ - Finder - 192573,in stock,new,81 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_192573.jpg,OEM,No Color,3.2,"<p>Level 1pc</p><p>Electric drill 1 pc</p><p>Three parts box 40 pcs</p><p>Twist drill bit 3 pcs</p><p>Pruning shear 1 pc</p><p>6*100 screwdriver 2 pcs</p><p>8"""" adjustable wrench 1pc</p><p>Ball point hex key 5 pcs</p><p>250g claw hammer 1 pc</p><p>PVC tape 1 pc</p><p>Utility knife 1 pc</p><p>Measuring tape 3m 1 pc</p><p>6"""" combination plier 1 pc</p><p>2-way tester pen 1 pc</p><p>Plastic box 1 pc</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36252,"Εργαλειοθήκη - 13"""" - Finder - 194148","Εργαλειοθήκη - 13"""" - Finder - 194148",in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_194148.jpg,OEM,No Color,0.6,"<p>Μέγεθος: 13""""</p><p>Φτιαγμένη από 600D Oxford</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36259,Μηχάνημα συγκόλλησης IGBT - MMA - 160 - Finder,Μηχάνημα συγκόλλησης IGBT - MMA - 160 - Finder - 197220,in stock,new,144 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_197220.jpg,OEM,No Color,12.0,"<p><span class=""tlid-translation translation"" lang=""el""><span title="""">Τάση εισόδου (V): 220V</span><br /><span class="""" title="""">Συχνότητα (HZ): 50 / 60HZ</span><br /><span class="""" title="""">Ονομαστική χωρητικότητα εισόδου (KVA): 6.6</span><br /><span class="""" title="""">Κύκλος λειτουργίας: 140A-35%</span><br /><span class="""" title="""">Τρέχουσα είσοδος: 30</span><br /><span class="""" title="""">Ρεύμα εξόδου: 30-140</span><br /><span class="""" title="""">Τάση χωρίς φορτίο (V): 80V</span><br /><span class="""" title="""">Ηλεκτρόδιο (mm): 2,0-4,0 mm</span><br /><span class="""" title="""">Κατηγορία μόνωσης: H</span><br /><span class="""" title="""">Βαθμός προστασίας: IP21S</span><br /><span class="""" title="""">Βάρος: 4,6 κιλά</span></span></p><ul><li>Διαστάσεις συσκευασίας: 40 x 27 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36260,Μηχάνημα ηλεκτροκόλλησης - Inverter - IGBT,Μηχάνημα ηλεκτροκόλλησης - Inverter - IGBT - MMA - 200Α - Finder - 197221,in stock,new,198 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/197222_1511.jpg,OEM,No Color,15.0,"<p><span class=""tlid-translation translation"" lang=""el"" tabindex=""-1""><span class="""" title="""">Τάση εισόδου (V): 220V</span><br /><span class="""" title="""">Συχνότητα (HZ): 50 / 60HZ</span><br /><span class="""" title="""">Ονομαστική χωρητικότητα εισόδου (KVA): 7.5</span><br /><span class="""" title="""">Κύκλος λειτουργίας: 150A-35%</span><br /><span class=""alt-edited"" title="""">Είσοδος Currenton: 34</span><br /><span class="""" title="""">Ρεύμα εξόδου: 30-150</span><br /><span class="""" title="""">Τάση χωρίς φορτίο (V): 80V</span><br /><span class="""" title="""">Ηλεκτρόδιο (mm): 2,0-4,0 mm</span><br /><span class="""" title="""">Κατηγορία μόνωσης: H</span><br /><span class="""" title="""">Βαθμός προστασίας: IP21S</span><br /><span title="""">Βάρος: 4,7 κιλά</span></span></p><ul><li>Διαστάσεις συσκευασίας: 41 x 28 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36406,Ηλεκτρικό κολλητήρι - Σετ - 40W - Finder - 1,Ηλεκτρικό κολλητήρι - Σετ - 40W - Finder - 194866,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_194866.jpg,OEM,No Color,1.2,"<p>Ηλεκτρικό κολλητήρι - Σετ - 40W, Finder</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
36591,"Μέγγενη πάγκου - 6""/100mm - Finder  - 190289","Μέγγενη πάγκου - 6""/100mm - Finder  - 190289",in stock,new,77.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_190289.jpg,OEM,No Color,25.0,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Το σαγόνι είναι κατασκευασμένο από χάλυβα υψηλής περιεκτικότητας σε άνθρακα</span>. </span></p><p><span class=""VIiyi"" lang=""el"">Με περιστρεφόμενη βάση.</span></p><p class=""heading-title"">ΑΝΟΙΓΜΑ : 190mm</p><p class=""heading-title""> ΙΝΤΣΕΣ: 6""         </p><p class=""heading-title"">ΣΙΑΓΩΝΑΣ: 150mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά Εργαλεία Finder©
