id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37742,Επαναφορτιζόμενο θαμνοκοπτικό - Μπ�,Επαναφορτιζόμενο θαμνοκοπτικό - Μπορντουροψάλιδο - 24V - SK5 - 865317,in stock,new,90 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/865317.png,OEM,No Color,8.0,"<p>Φορητό ηλεκτρικό χλοοκοπτικό χειρός 24V, με εργονομικό μικρό μέγεθος για άνετη χρήση.</p><p>Χαρακτηριστικά:<br />Μπαταρία 24V<br />Διάμετρος κοπής: 130mm/230mm<br />Επαναφορτιζόμενη μπαταρία Λιθίου 1.5-3.0/2.0-4.0 Ah<br />Τάση φόρτισης 100-240V AC, 50-60Hz<br />Ρεύμα φόρτισης: 0.8Α<br />Βάρος (χωρίς μπαταρία-με λεπίδα): 0.8kg<br />Διαστάσεις συσκευασίας: 36 x 13.5 x 12.5cm<br />Περιλαμβάνει 1 μπαταρία</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
37743,Επαναφορτιζόμενο κοπτικό κήπου – 25,Επαναφορτιζόμενο κοπτικό κήπου – 25mm – ΤΒ-001 - 16.8V – 512378,in stock,new,135 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/512378.png,OEM,No Color,8.0,<p><strong>Τεχνικά Χαρακτηριστικά:</strong> <br />Άνοιγμα λεπίδας/Διάμετρος κοπής: ∅ 28mm <br />Μπαταρία: 16.8V 2Ah <br />Διάρκεια χρήσης: έως 2 ώρες<br />Διάρκεια φόρτισης: 3 ώρες<br />Ισχύς Max: 350W / 42Wh<br />Βάρος συνολικό: 1100gr <br />Διαστάσεις κοπτικού: 25.4 x 10 x 5.5cm<br />Διαστάσεις Μπαταρίας: 11.6 x 7.5 x 4.3cm<br />Περιλαμβάνονται 2 μπαταρίες.</p><ul><li>Διαστάσεις συσκευασίας: 29 x 26 cm</li></ul>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
37744,Επαναφορτιζόμενο κοπτικό κήπου – 32,Επαναφορτιζόμενο κοπτικό κήπου – 32mm – 21V – 512385,in stock,new,171 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/512385.png,OEM,No Color,8.0,<p><strong>Τεχνικά Χαρακτηριστικά:</strong><br />Άνοιγμα λεπίδας: ∅ 32mm <br />Διάμετρος κοπής: 32mm <br />Μπαταρία: 21V 2Ah <br />Διάρκεια χρήσης: έως 2 ώρες <br />Ισχύς Max: 300W <br />Περιλαμβάνονται 2 μπαταρίες.</p><ul><li>Διαστάσεις συσκευασίας: 30 x 26 cm</li></ul>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
37754,Επαναφορτιζόμενο κοπτικό κήπου - SC-8,Επαναφορτιζόμενο κοπτικό κήπου - SC-8601 - 582210,in stock,new,135 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/582210_811.jpg,OEM,No Color,8.0,"<p>Ηλεκτρικό φορητό κοπτικό κήπου – SC-8601 με εργονομική σχεδίαση και μεγάλη αυτονομία μπαταρίας.</p><p>Χαρακτηριστικά:</p><ul><li>Λεπίδα από ανοξείδωτο ατσάλι, ανθεκτική σε συνεχή, σκληρή χρήση</li><li>Αντιολισθητική λαβή</li><li>Διάμετρος κοπής: έως 25mm</li><li>Μπαταρία Λιθίου DC16.8V, 2000mAh</li><li>Αυτονομία μπαταρίας: έως 4 ώρες (Περιλαμβάνονται 2 μπαταρίες – Συνολικός χρόνος χρήσης έως 8 ώρες)</li><li>Χρόνος φόρτισης: 2 ώρες</li><li>Φωτεινή λυχνία λειτουργίας</li><li>Διαστάσεις κοπτικού: 28 x 9cm</li><li>Βάρος κοπτικού: 0.95kg</li><li>Διαστάσεις συσκευασίας: 30 x 23 cm</li><li> </li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
38058,Κλαδευτήρι - 200mm/8'' - Finder - 191637,Κλαδευτήρι - 200mm/8'' - Finder - 191637,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191637.jpg,OEM,No Color,0.9,"<p>Κλαδευτήρι μεγέθους 200mm/8'', Finder με εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
38507,"Ψαλίδι κλαδέματος - H1009 - 27"" - Finder - 191604","Ψαλίδι κλαδέματος - H1009 - 27"" - Finder - 191604",in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191604_1511.jpg,OEM,No Color,4,"<p>Μακριά ψαλίδα κλαδέματος με ισχυρή λεπίδα από ανθρακούχο χάλυβα και χαλυβδοσωλήνα με αντιολισθητικές λαβές.<br />Μέγεθος: 27""""/68.5cm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
39269,"Ψαλίδι θάμνων/χλόης - Hedge Shear - H008 - 21"""" ","Ψαλίδι θάμνων/χλόης - Hedge Shear - H008 - 21"""" - Finder - 191603",in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191603_1511.jpg,OEM,No Color,4.0,"<p>Ψαλίδι/κοπτικό κήπου ιδανικό για κλάδεμα θάμνων και χλόης, τύπου Hedge Shear - H008 της Finder, <br />με εργονομική αντιολισθητική λαβή.<br />Μέγεθος: 21""""</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
39270,"Ψαλίδι κλαδέματος χειρός - 250mm/10"" - Find","Ψαλίδι κλαδέματος χειρός - 250mm/10"" - Finder - 191668",in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191668_1511-1.jpg,OEM,No Color,3.5,"<p>Ψαλίδι/κοπτικό της Finder, κατάλληλο για κλάδεμα, κηπουρική και άλλες επαγγελματικές εργασίες. <br />Ισχυρή ατσάλινη κατασκευή και εργονομική λαβή.<br />Μέγεθος 250mm/10"".</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
39487,Κλαδευτήρι – 200mm/8″ – Finder – 191667,Κλαδευτήρι – 200mm/8″ – Finder – 191667,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191667.jpg,OEM,No Color,0.5,<p>Μέγεθος: 200mm/8″»</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι και πλαστική λαβή.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
54058,Επαναφορτιζόμενο κοπτικό κήπου – 3.,Επαναφορτιζόμενο κοπτικό κήπου – 3.0 - 512361,in stock,new,171 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/d3a46d9684257a5f914458a8b2b65edc.jpg,OEM,No Color,3.0,"Άνοιγμα λεπίδας: ∅ 30mm
Διάμετρος κοπής: 30mm
Ονομαστική τάση: DC 21V
Μπαταρία: 21V 2Ah / 42Wh
Διάρκεια μπαταρίας: έως 3.5 ώρες
Βάρος: 1200gr
Περιλαμβάνονται 2 μπαταρίες.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπτικά εργαλεία κήπου
