id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35509,Ματσόλα - 60cm - Finder - 191301,Ματσόλα - 60cm - Finder - 191301,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/σφυρί-από-καουτσούκ-24mm-finder-191301.jpg,OEM,No Color,2,<p>Σφυρί ματσόλα φτιαγμένο από καοτσούκ.</p><p> Μέγεθος: 24OZ</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
35510,Ματσόλα  - 50cm - Finder - 191300,Ματσόλα  - 50cm - Finder - 191300,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/σφυρί-από-καουτσούκ-20mm-finder-191300.jpg,OEM,No Color,2,<p>Σφυρί ματσόλα φτιαγμένο από καοτσούκ.</p><p> Μέγεθος: 20OZ</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
35511,Ματσόλα - 450g - Finder - 191299,Ματσόλα - 450g - Finder - 191299,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/σφυρί-από-καουτσούκ-16mm-finder-191299.jpg,OEM,No Color,2,<p>Σφυρί ματσόλα φτιαγμένο από εξαιρετικά ανθεκτικό καουτσούκ.</p><p> Μέγεθος: 16OZ/450gr </p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
35512,Ματσόλα - 12mm - Finder - 191298,Ματσόλα - 12mm - Finder - 191298,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/σφυρί-από-καουτσούκ-12mm-finder-191298.jpg,OEM,No Color,2,<p>Σφυρί ματσόλα φτιαγμένο από καοτσούκ.</p><p> Μέγεθος: 12OZ</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
36244,Ματσόλα - 1300g - Finder - 191302,Ματσόλα - 1300g - Finder - 191302,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_191302.jpg,OEM,No Color,2,<p>Σφυρί ματσόλα φτιαγμένο από εξαιρετικά ανθεκτικό καουτσούκ.</p><p> Μέγεθος: 45OZ/1300gr </p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
36593,Σφυρί - 800g - Finder 191315,Σφυρί - 800g - Finder 191315,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_191315.jpg,OEM,No Color,1.5,"<p>Σφυρί Finder, 800G</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
37118,Βαριοπούλα  - 1500g - Finder - 191320,Βαριοπούλα  - 1500g - Finder - 191320,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191320_1511.jpg,OEM,No Color,3,"<p>Σφυρί βαριοπούλα 1.5kg, Finder, με εργονομική αντιολισθητική λαβή.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
37119,Βαριοπούλα  - 2000g - Finder - 191335,Βαριοπούλα  - 2000g - Finder - 191335,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/191335_1511.jpg,OEM,No Color,4,"<p>Σφυρί βαριοπούλα 2kg, Finder, με εργονομική αντιολισθητική λαβή.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
55710,Σφυρί - Προκοβγάλτης - 250g - Finder - 191260,Σφυρί - Προκοβγάλτης - 250g - Finder - 191260,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/77fed9a0224048d02c99e916b5693f70.jpg,OEM,No Color,0.8,"Σφυρί - Προκοβγάλτης βάρους 250g - Finder, με ξύλινη λαβή.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
55713,Σφυρί - 300g - Finder - 191313,Σφυρί - 300g - Finder - 191313,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_191313-1.jpg,OEM,No Color,0.8,Σφυρί Finder βάρους 300g με εργονομική αντιολισθητική λαβή.,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Σφυριά - Bαριοπούλες - Tσεκούρια
