id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35558,Κεφαλή σμιλευτή - Βελόνι - 17Χ400mm - Finder,Κεφαλή σμιλευτή - Βελόνι - 17Χ400mm - Finder - 196346,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762417995136171.jpg,OEM,No Color,0.2,<p>17*400*40 - Φτιαγμένο από ατσάλι 40cr</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35559,Κεφαλή σμιλευτή - Βελόνι - 17Χ280mm - Finder,Κεφαλή σμιλευτή - Βελόνι - 17Χ280mm - Finder - 196345,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762417187602023.jpg,OEM,No Color,0.2,<p>17*280*40 - Φτιαγμένο από ατσάλι 40cr</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35561,Τρυπάνι σιδήρου - 9mm - Finder - 196201,Τρυπάνι σιδήρου - 9mm - Finder - 196201,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.4,"<p>Τρυπάνι σιδήρου μεγέθους 9mm, σετ 5 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35562,Τρυπάνι σιδήρου - 8mm - Finder - 196200,Τρυπάνι σιδήρου - 8mm - Finder - 196200,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.4,"<p>Τρυπάνι σιδήρου μεγέθους 8mm, σετ 5 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35563,Τρυπάνι σιδήρου - 7mm - Finder - 196199,Τρυπάνι σιδήρου - 7mm - Finder - 196199,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.4,"<p>Τρυπάνι σιδήρου μεγέθους 7mm, σετ 5 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35564,Τρυπάνι σιδήρου - 6mm - Finder - 196198,Τρυπάνι σιδήρου - 6mm - Finder - 196198,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.3,"<p>Τρυπάνι σιδήρου μεγέθους 6mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35565,Τρυπάνι σιδήρου - 4mm - Finder - 196196,Τρυπάνι σιδήρου - 4mm - Finder - 196196,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.3,"<p>Τρυπάνι σιδήρου μεγέθους 4mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35566,Τρυπάνι σιδήρου - 2mm - Finder - 196194,Τρυπάνι σιδήρου - 2mm - Finder - 196194,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.2,"<p>Τρυπάνι σιδήρου μεγέθους 2mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35567,Τρυπάνι σιδήρου - 1mm - Finder - 196193,Τρυπάνι σιδήρου - 1mm - Finder - 196193,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.2,"<p>Τρυπάνι σιδήρου μεγέθους 1mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35568,Τρυπάνι μπετού SDS - 14Χ260mm - Finder - 195827,Τρυπάνι μπετού SDS - 14Χ260mm - Finder - 195827,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762403674404855.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 10Χ260mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35569,Τρυπάνι μπετού SDS - 14Χ210mm - Finder - 195826,Τρυπάνι μπετού SDS - 14Χ210mm - Finder - 195826,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762403038915907.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 14Χ210mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35570,Τρυπάνι μπετού SDS - 12Χ310mm - Finder - 195819,Τρυπάνι μπετού SDS - 12Χ310mm - Finder - 195819,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762401973245718.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 12Χ310mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35571,Τρυπάνι μπετού SDS - 12Χ260mm - Finder - 195818,Τρυπάνι μπετού SDS - 12Χ260mm - Finder - 195818,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762406387421664.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 12Χ260mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35572,Τρυπάνι μπετού SDS - 10Χ210mm - Finder - 195809,Τρυπάνι μπετού SDS - 10Χ210mm - Finder - 195809,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762401001956730.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 10Χ210mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35573,Τρυπάνι μπετού SDS - 10Χ160mm - Finder - 195808,Τρυπάνι μπετού SDS - 10Χ160mm - Finder - 195808,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762400430352257.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 10Χ160mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35574,Τρυπάνι μπετού SDS - 8Χ210mm - Finder - 195803,Τρυπάνι μπετού SDS - 8Χ210mm - Finder - 195803,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762399469361366.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 8Χ210mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35575,Τρυπάνι μπετού SDS - 8Χ160mm - Finder - 195802,Τρυπάνι μπετού SDS - 8Χ160mm - Finder - 195802,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762398765456583.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 8Χ160mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35576,Τρυπάνι μπετού SDS - 6Χ160mm - Finder - 195795,Τρυπάνι μπετού SDS - 6Χ160mm - Finder - 195795,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762398130378592.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 6Χ160mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35577,Τρυπάνι μπετού SDS - 6Χ110mm - Finder - 195794,Τρυπάνι μπετού SDS - 6Χ110mm - Finder - 195794,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762394607199831.jpg,OEM,No Color,0.6,<p>Τρυπάνι μπετού SDS μεγέθους 6Χ110mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35578,Τρυπάνι ξύλου - 8Χ230mm - Finder - 195721,Τρυπάνι ξύλου - 8Χ230mm - Finder - 195721,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762393945546581.jpg,OEM,No Color,0.6,"<p>Τρυπάνι ξύλου μεγέθους 8Χ230mm, Finder</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
35579,Τρυπάνι ξύλου - 8Χ150mm - Finder - 195720,Τρυπάνι ξύλου - 8Χ150mm - Finder - 195720,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762393279416349.jpg,OEM,No Color,0.6,"<p>Τρυπάνι ξύλου μεγέθους 8Χ150mm, Finder</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
36590,Καλέμι με επίπεδη σμίλη - Finder - 195890,Καλέμι με επίπεδη σμίλη - Finder - 195890,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_195890.jpg,OEM,No Color,0.6,"<p>Καλέμι με επίπεδη σμίλη, Finder</p><p>Μέγεθος: 19 x 16 x 305 mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
37291,Τρυπάνι μπετού SDS - 10x110mm - Finder - 195807,Τρυπάνι μπετού SDS - 10x110mm - Finder - 195807,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/195807.png,OEM,No Color,0.6,"<p>Τρυπάνι μπετού SDS, Finder<br />Διαστάσεις: 10x110mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
38415,Τρυπάνι σιδήρου - 3mm - Finder - 196195,Τρυπάνι σιδήρου - 3mm - Finder - 196195,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.2,"<p>Τρυπάνι σιδήρου μεγέθους 3mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
39261,Καλέμι SDS - 250x40mm - Finder - 196324,Καλέμι SDS - 250x40mm - Finder - 196324,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196324.png,OEM,No Color,0.5,"<p>Καλέμι SDS plus πλατύ, μεγέθους 250x40mm από την Finder.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
39276,Τρυπάνι σιδήρου - 5mm - 10pcs - Finder - 196197,Τρυπάνι σιδήρου - 5mm - 10pcs - Finder - 196197,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196195.jpg,OEM,No Color,0.3,"<p>Τρυπάνι σιδήρου μεγέθους 5mm, σετ 10 τεμαχίων.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56010,Διαμαντοκορώνα μπετού - 85x22x110mm - Finder ,Διαμαντοκορώνα μπετού - 85x22x110mm - Finder - 196030,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/3521ea93599dd66b6a0faed0cfed0745.jpg,OEM,No Color,1.0,Διαμαντοκορώνα μπετού μεγέθους 85x22x110mm - Finder.,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56013,Διαμαντοκορώνα μπετού - 50x22x110mm - Finder ,Διαμαντοκορώνα μπετού - 50x22x110mm - Finder - 196029,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/13aff71523d1039009683aba8cbae6ae.jpg,OEM,No Color,1.0,Διαμαντοκορώνα μπετού μεγέθους 50x22x110mm- Finder.,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56016,Διαμαντοκορώνα μπετού - 40x22x110mm - Finder ,Διαμαντοκορώνα μπετού - 40x22x110mm - Finder - 196028,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/e8b73d10ef6433bcabf0d3f409feb3eb.jpg,OEM,No Color,1.0,Διαμαντοκορώνα μπετού μεγέθους 40x22x110mm  - Finder.,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56019,Διαμαντοκορώνα μπετού - 35x22x110mm - Finder ,Διαμαντοκορώνα μπετού - 35x22x110mm - Finder - 196027,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2c397bd7fefdd4507fb1326e261e89af.jpg,OEM,No Color,1.0,Διαμαντοκορώνα μπετού μεγέθους 35x22x110mm - Finder.,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56022,Καλέμι SDS - 17X280X25mm - Finder - 196351,Καλέμι SDS - 17X280X25mm - Finder - 196351,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/9a9da20a2495ea4d789377f3c975cdd3.jpg,OEM,No Color,0.8,"Καλέμι SDS, μεγέθους 17X280X25mm - Finder.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56025,Καλέμι SDS MAX - 18X600X50mm - Finder - 196342,Καλέμι SDS MAX - 18X600X50mm - Finder - 196342,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a828f49b4faed796fb9ca9c576f3b1b3.jpg,OEM,No Color,0.8,"<p>Καλέμι SDS MAX, μεγέθους 18X600X50mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56028,Καλέμι SDS MAX - 18X600X25mm - Finder - 196340,Καλέμι SDS MAX - 18X600X25mm - Finder - 196340,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/7ec2492dce49413578b6fcc9e43011a0.jpg,OEM,No Color,0.8,"<p>Καλέμι SDS MAX, μεγέθους 18X600X25mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56031,Καλέμι SDS MAX - 18X600X22mm - Finder - 196339,Καλέμι SDS MAX - 18X600X22mm - Finder - 196339,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/6535f9645b2f4a6ef8e0384ac61898a3.jpg,OEM,No Color,0.8,"<p>Καλέμι SDS MAX, μεγέθους 18X600X22mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56034,Καλέμι SDS MAX - 18X500X22mm - Finder - 196338,Καλέμι SDS MAX - 18X500X22mm - Finder - 196338,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/32a3ac2dac72581e3f2f11cfb90d8f09.jpg,OEM,No Color,0.8,"<p>Καλέμι SDS MAX, μεγέθους 18X500X22mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56037,Καλέμι SDS - 18X400X50mm - Finder - 196337,Καλέμι SDS - 18X400X50mm - Finder - 196337,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2e58fcef1a2ba612606b701e455c9693.jpg,OEM,No Color,0.8,<p>Καλέμι SDS μεγέθους 18X400X50mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56040,Βελόνι SDS MAX - 18X600mm - Finder - 196335,Βελόνι SDS MAX - 18X600mm - Finder - 196335,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/3ee87c93ca60204d699b577773cd2634.jpg,OEM,No Color,0.8,"<p>Βελόνι SDS MAX, μεγέθους 18X600mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56043,Βελόνι SDS MAX - 18X500mm - Finder - 196334,Βελόνι SDS MAX - 18X500mm - Finder - 196334,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/5c4ee633dc4bb2cec392ba7c627182a9.jpg,OEM,No Color,0.8,"<p>Βελόνι SDS MAX, μεγέθους 18X500mm - Finder.<br />Περιλαμβάνεται 1 τεμάχιο.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56046,Τρυπάνι ξύλου - 30x400mm - Finder - 196531,Τρυπάνι ξύλου - 30x400mm - Finder - 196531,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/4bf9108fc5124139bd2f19b139f0252b.jpg,OEM,No Color,0.8,"Τρυπάνι ξύλου, μεγέθους 30x400mm - Finder.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56049,Τρυπάνι ξύλου - 28x400mm - Finder - 196530,Τρυπάνι ξύλου - 28x400mm - Finder - 196530,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2a398a75a3512922e6e1ea7c9d6d3eb1.jpg,OEM,No Color,0.8,"Τρυπάνι ξύλου, μεγέθους 28x400mm - Finder.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56052,Τρυπάνι ξύλου - 24x400mm - Finder - 196529,Τρυπάνι ξύλου - 24x400mm - Finder - 196529,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/aadeb5d81439d012a7642a75a83e4f4f.jpg,OEM,No Color,0.8,"Τρυπάνι ξύλου, μεγέθους 24x400mm - Finder.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
56055,Τρυπάνι ξύλου - 22x400mm - Finder - 196528,Τρυπάνι ξύλου - 22x400mm - Finder - 196528,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/f9289af81c17d640d10f7edf6a880537.jpg,OEM,No Color,0.8,"Τρυπάνι ξύλου, μεγέθους 22x400mm - Finder.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Τρυπάνια  καλέμια
