id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35463,Βάση ψύξης και στήριξης Laptop - N168 - 67280,Βάση ψύξης και στήριξης Laptop - N168 - 672809,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/636075744965360428_HAPK-DE-TAN-NHIET-NOTEBOOK-N168-00006134.png,OEM,No Color,0.3,"<p>Για λαπτοπ από 9” έως 15” ίντσες. Το Cooler N168 15”, Διαθέτει ρυθμιζόμενη γωνία κλήσης για καλύτερη εργονομία, Σουπερ σλιμ σχεδιασμός (2cm) για να το χεις πάντα μαζί σου!  Με μεγάλο ανεμιστήρα 135mm στα 750-1500RPM. Το notebook σας δεν θα ζεσταθεί ποτέ! Ελαφρύ και απόλυτα αθόρυβο</p><hr /><p>Διαστάσεις προϊόντος: 30 x 22 cm</p><p>Διαστάσεις κουτιού: 32 x 25 cm</p><p>Βάρος προϊόντος: 0,36kg</p><p>Βάρος κουτιού: 0,5kg</p>",Είδη TV  Η/Υ  laptop
36096,Κεραία - Δέκτης WiFi - USB - 881056,Κεραία - Δέκτης WiFi - USB - 881056,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_881056_1.jpg,OEM,No Color,0.1,"<p>Η πολυκατευθυντική κεραία εσωτερικής χρήσης μπορεί να αυξήσει το αποτελεσματικό εύρος ασύρματης λειτουργίας για ασύρματες συσκευές.</p><p>Δεδομένου ότι η κεραία παρέχει κέρδος <strong>4.5dBi</strong> μπορεί να συνδεθεί σε ένα ασύρματο access point ή router για να βελτιώσει τη μετάδοση και τη λήψη του σήματος σε κατεύθυνση 360 μοιρών και να παρέχει ασύρματη κάλυψη σήματος από ένα σημείο σε πολλαπλά σημεία. <br />Η κεραία μπορεί να χρησιμοποιηθεί σε ασύρματες συσκευές με αποσπώμενες κεραίες μικρότερου κέρδους για μετάδοση/λήψη σήματος.</p><p>Διαθέτει βύσμα <strong>RP-SMA </strong>και μπορεί να συνδεθεί με ασύρματη συσκευή εξοπλισμένη με δέκτη RP SMA. Απλώς καταργήστε την υπάρχουσα αποσπώμενη κεραία από το ασύρματο access point ή το router και να συνδέσετε την κεραία, στο δέκτη RP-SMA της ασύρματης συσκευής.</p><table class=""c-pip__specification-table c-specification-table""><tbody><tr><td class=""c-specification-table__td c-specification-table__td--first last""><label id=""param_432"">Μεταφορά </label></td><td class=""c-specification-table__td c-specification-table__td--middle last"">150Mbps</td></tr></tbody></table>",Είδη TV  Η/Υ  laptop
36384,Κάμερα Η/Υ - Webcam - Full HD - USB - Q25 - 882566,Κάμερα Η/Υ - Webcam - Full HD - USB - Q25 - 882566,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_882566.jpg,OEM,No Color,0.4,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""it"" data-phrase-index=""0"" data-number-of-phrases=""1""> <strong>Χαρακτηριστικά</strong>:</span></span></p><p>- Video Resolution: 2592 x 1944 pixel<br />- Camera: 4 Megapixel<br />- Field of view: 106°<br />- Frame Rate: 30fps<br />- Διαθέτει μικρόφωνο<br />- Plug Type: USB 2.0<br />- Μήκος καλωδίου: 1.4 μέτρα<br />- Διαστάσεις: 73x26x33mm<br />- Weight : 87gr</p>",Είδη TV  Η/Υ  laptop
36386,Κάμερα Η/Υ - Webcam - Full HD - USB - X55 - 882610,Κάμερα Η/Υ - Webcam - Full HD - USB - X55 - 882610,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_882610.jpg,OEM,No Color,0.4,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""it"" data-phrase-index=""0"" data-number-of-phrases=""1""> <strong>Χαρακτηριστικά</strong>:</span></span></span></p><p><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""2"">Pixels: 2 Mega</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""4"">Μέγιστη</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""5"">Ανάλυση: 1920x1080</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""7"">Απεικόνιση: Ψηφιακή</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""9"">Εύρος εστίασης: 3 cm</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""11"">Τύπος διασύνδεσης: USB</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""15"">Αισθητήρας εικόνας: CMOS</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""17"">Αυτόματη εστίαση: Όχι</span></span></p><p>Μικρόφωνο: Ναι</p>",Είδη TV  Η/Υ  laptop
36387,Κάμερα Η/Υ - Webcam - Full HD - USB - X82 - 882603,Κάμερα Η/Υ - Webcam - Full HD - USB - X82 - 882603,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_882603.jpg,OEM,No Color,0.4,"<p>USB Webcam Mobilis X82 Full HD 1080P 1920×1080 με Ενσωματωμένο Μικρόφωνο 3.5mm Μαύρη.</p><p>Ένα ολοκληρωμένο πακέτο περιφερειακών για τον υπολογιστή σας σε μία μικρή συσκευασία!</p><p>Η κάμερα με ενσωματωμένο μικρόφωνο σας επιτρέπει να έχετε μια ολοκληρωμένη εμπειρία βιντεοκλήσεων και τηλεσυνδιασκέψεων σε οποιαδήποτε πλατφόρμα με ανάλυση Full High Definition.</p><p>Δεν απαιτεί την εγκατάσταση πολύπλοκων εφαρμογών και είναι έτοιμη με μια απλή σύνδεση να δουλέψει. Το μικρόφωνο δουλεύει με τεχνολογία μείωσης θορύβου και συνδέεται μέσω jack 3.5mm, ενώ ο σχεδιασμός της σας επιτρέπει να την στηρίξετε σε κάθε επιφάνεια.</p>",Είδη TV  Η/Υ  laptop
36418,Ενισχυτής σήματος Wifi - Wifi Repeater – PIX-LI,Ενισχυτής σήματος Wifi - Wifi Repeater – PIX-LINK - WR03 - 080339,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_080339.jpg,OEM,No Color,0.3,"<div id=""tab-description"" class=""tab-pane""><p>Επέκταση κάλυψης Wi-Fi: Παρέχει σήμα Wi-Fi σε δυσπρόσιτες περιοχές του σπιτιού ή του γραφείου σας, εξαλείφοντας σχεδόν τα νεκρά σημεία</p><p>Ενισχύστε τη συνδεσιμότητα σας: Επιταχύνει έως και 300Mbps για streaming βίντεο</p><p>Εύκολη εγκατάσταση: Η εύκολη εγκατάσταση μπορεί να πραγματοποιηθεί μέσω φορητού υπολογιστή, συσκευής smartphone ή συσκευής tablet.</p><p>Συνδέεται σε μια τυπική πρίζα τοίχου.</p><p>Ευρεία συμβατότητα: Λειτουργεί με όλες τις μάρκες router και μόντεμ router 2.4GHz</p><p>WiFi παντού<br />Σχεδιασμένο για να επεκτείνει ένα υπάρχον ασύρματο δίκτυο για να παρέχει αξιόπιστο σταθερό και ισχυρό σήμα σε δύσκολη περιοχή, έτσι ώστε να εξαλειφθούν οι νεκρές ζώνες.<br />Επέκταση ασύρματης κάλυψης σε όλα τα δίκτυα WLAN (*προϋπόθεση ο ορισμός τοy υπάρχοντος WiFi ως «ορατό»)</p><p>Η ενσωματωμένη κεραμική κεραία 2dBi παρέχει αξιόπιστη μετάδοση σήματος<br />Μεταδώστε βίντεο και αναπαράγετε παιχνίδια χωρίς να περιμένετε προσωρινή αποθήκευση</p><p>Δημιουργεί ένα wifi hotspot ώστε πολλοί διαφορετικοί χρήστες να μοιράζονται το ίδιο δίκτυο</p><p>Πατώντας το πλήκτρο WPS καθιστάτε ασφαλές το ασύρματο δίκτυο σας</p><p>Λειτουργία αναμετάδοσης<br />Επέκταση υπάρχοντος ασύρματου δικτύου, βελτίωση της ισχύος του σήματος και μεγιστοποίηση της κάλυψης</p><p>Λειτουργία σημείου πρόσβασης (access point)<br />Δημιουργήστε ένα ασύρματο δίκτυο για άλλες συσκευές Wi-Fi, μοιραστείτε το με τους φίλους σας</p><p>Ενσωματωμένη κεραία<br />Δύο εσωτερικές ενσωματωμένες κεραίες μειώνουν την παρεμβολή σήματος</p><p><strong>Προδιαγραφές:</strong><br />1. Λειτουργία: 040<br />2. Αποθήκευση: 1070<br />3. Τάση: 110V-240V<br />4. 2,4 GHz<br />5. Μέγιστη ασφάλεια WLAN με WPA2, WPA και WEP (128/64)</p><p><strong>Η συσκευασία περιλαμβάνει:</strong><br />1 x Wireless-N Mini Repeater<br />1 x RJ-45 καλώδιο δικτύου<br />1 x Εγχειρίδιο χρήστη στα Αγγλικά</p></div>",Είδη TV  Η/Υ  laptop
36605,Ενισχυτής σήματος Wifi - Wifi Repeater – PIX-LI,Ενισχυτής σήματος Wifi - Wifi Repeater – PIX-LINK - WR09 - 080308,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_080308.jpg,OEM,No Color,0.3,"<div class=""rte""><div id=""column_e1a378e"" data-title=""Column"" data-image=""https://www.fb.gr/image/cache/no_image-40x40.png""><div data-id=""column_e1a378e""><div id=""image_c5fe763"" data-id=""image_c5fe763"" data-title=""Image"" data-image=""https://www.fb.gr/image/catalog/d_visual_designer/image.svg""><div data-id=""image_c5fe763""><strong>Χαρακτηριστικά:</strong></div><div data-id=""image_c5fe763""><ul><li>Περιοχή κάλυψης: εσωτερική 30 μ., εξωτερική 50 μ.</li><li>Θύρα WAN, θύρα LAN (1 x 10 / 100Mbps)</li><li>Ρυθμός σήματος: 2,4GHz, 300Mbps</li><li>Ασύρματη ασφάλεια: υποστήριξη 64/128 bit WEP, WPA - PSK / WPA2 - PSK, 802.1x</li><li>Ισχύς μετάδοσης: μικρότερη από 20dBm</li><li>Θερμοκρασία λειτουργίας: 0 - 40 °C</li><li>Θερμοκρασία αποθήκευσης: -40 - 70 °C</li><li>Υγρασία λειτουργίας: 10 - 90% (χωρίς συμπύκνωση)</li><li>Υγρασία αποθήκευσης: 5 - 90% (χωρίς συμπύκνωση)</li><li>Είσοδος: AC 100 - 240V, 50/60Hz</li><li>Έξοδος: 5V/1A</li><li>Πρότυπα και πρωτόκολλα: Wi-Fi 802.11a, Wi-Fi 802.11b/g/n</li><li>Υποστηρίζει WPS</li><li>Υποστηριζόμενη συχνότητα Wi-Fi: 2.4G</li><li>Ενσύρματο ποσοστό μεταφοράς: 10 / 100Mbps</li><li>Ασύρματη σύνδεση: Ναι</li><li>Διαστάσεις: 18,3 x 6,1 x 3 εκ.</li></ul><strong>Περιεχόμενα συσκευασίας:</strong><br />1 x PIX-LINK LV-WR09<br />Οδηγίες χρήσης στα Αγγλικά</div></div></div></div></div>",Είδη TV  Η/Υ  laptop
36627,Κάμερα Η/Υ - Webcam - Full HD - Q16 - USB - 883273,Κάμερα Η/Υ - Webcam - Full HD - Q16 - USB - 883273,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_883273.jpg,OEM,No Color,0.4,"<p>Web Κάμερα Q16</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Φακός: φακός HD</li><li>Τύπος αισθητήρα: CMOS</li><li>Μορφή βίντεο: AVI</li><li>Ρυθμός καρέ: 30FPS</li><li>Μήκος καλωδίου USB: 120cm</li><li>Μορφή φωτογραφίας: BMP JPG</li><li>Ανάλυση: 1920 * 1080 P</li><li>Μορφή εξόδου: M-JPEG</li><li>Τύπος διασύνδεσης: USB2.0</li><li>Έλεγχος Flicker: 50Hz</li><li>Μικρόφωνο: ενσωματωμένο μικρόφωνο</li><li>Εύρος εστίασης: 20mm</li><li>Μέγεθος προϊόντος: 70mm * 50.7mm * 44mm</li><li>Εξοπλισμός υποστήριξης: υποστήριξη υπολογιστών mainstream windows 2000, XP, Vista, Win7, Win8, Win10, Mac OS, Linux και άλλα λειτουργικά συστήματα.</li></ul>",Είδη TV  Η/Υ  laptop
36676,Gaming Mousepad - K9 - Weibo - 650094,Gaming Mousepad - K9 - Weibo - 650094,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_650094.jpg,OEM,No Color,0.2,<p>Gaming Mousepad K9 Weibo</p><p>Διαστάσεις: 70 x 35cm</p><p>Χρώμα: μαύρο με κόκκινη περιμετρική ραφή</p>,Είδη TV  Η/Υ  laptop
36851,Βάση ψύξης και στήριξης Laptop - N192 - 78389,Βάση ψύξης και στήριξης Laptop - N192 - 783894,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_783894.png,OEM,No Color,1.0,"<p>Βάση ψύξης Laptop με ισχυρούς ανεμιστήρες και αθόρυβη λειτουργία.</p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""it"" data-phrase-index=""0"" data-number-of-phrases=""1""> <strong>Χαρακτηριστικά</strong>:</span></span></p><ul><li>Αντιολισθητική βάση</li><li>Υψηλή απόδοση ψύξης</li><li>Αθόρυβος ανεμιστήρας</li><li>Διαστάσεις: 33 x 25 x 2.5cm</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""32"">Διαστάσεις ανεμιστήρα: 2x 140x 140x 15 mm</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""34"">Ταχύτητα ανεμιστήρα: 750 - 1500rpm</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""36"">Ροή αέρα: 23 - 44 cfm</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""46"">Τάση: </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""46"">DC</span> </span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""46""> 5V <br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""48"">Ισχύς εισόδου: 3W</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""50"">Καθαρό βάρος: 1,0 kg</span> </span></li><li>Κατάλληλο για Laptop έως 17""""</li><li>Σύνδεση στην θύρα USB του Η/Υ</li></ul>",Είδη TV  Η/Υ  laptop
