id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36394,Σπιράλ ντουζιέρας - 1.5m - Shower Hose - 102174,Σπιράλ ντουζιέρας - 1.5m - Shower Hose - 102174,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_102174.jpg,OEM,No Color,0.2,"<p>Σπιράλ ντουζιέρας, inox, μήκους 1.5m.</p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
37364,Σπιράλ ντουζιέρας - 1.5m - 078285,Σπιράλ ντουζιέρας - 1.5m - 078285,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/078285.png,OEM,No Color,0.2,"<ul><li><span style=""font-family: Tahoma;"">150cm</span></li><li>Διπλής ασφαλείας</li><li>Με μεγαλύτερη εσωτερική διάμετρο για αυξημένη ροή νερού.</li><li>Ιδανικό για χαμηλές πιέσεις.</li></ul>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
37525,Σπιράλ ντουζιέρας - 1.5m - 102198,Σπιράλ ντουζιέρας - 1.5m - 102198,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/102198.jpg,OEM,No Color,0.4,"<p>Σπιράλ ντουζιέρας inox, μήκους 1.5m</p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
37526,Σπιράλ ντουζιέρας - 1.5m - 811724,Σπιράλ ντουζιέρας - 1.5m - 811724,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/811724.jpg,OEM,No Color,0.4,"<p>Σπιράλ ντουζιέρας inox, με λεπτές ραβδώσεις, μήκους 1.5m</p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38580,Σπιράλ ντουζιέρας - 0022 - 2m - 800224,Σπιράλ ντουζιέρας - 0022 - 2m - 800224,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_800224-1.jpg,OEM,No Color,0.5,"<p>Σπιράλ ντουζιέρας inox, μήκους 2m</p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38582,Τηλέφωνο ντουζ με σπιράλ και επιλογ,Τηλέφωνο ντουζ με σπιράλ και επιλογές πίεσης - HS-2019-5 - 1.5m - 152118,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152118-1.jpg,OEM,No Color,0.3,"<p>Τηλέφωνο-ακροφύσιο ντουζιέρας με 3 επιλογές πίεσης και σπιράλ σωλήνα μήκους 1.5 μέτρου, με όλα τα παρελκόμενα τοποθέτησης. <br />Εύκολη τοποθέτηση σε όλες τις βρύσες μπανιέρας και ντουζιέρας.<br />Υψηλή ποιότητα κατασκευής. </p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38583,Τηλέφωνο ντουζ με σπιράλ και επιλογ,Τηλέφωνο ντουζ με σπιράλ και επιλογές πίεσης - 2020-22 - 1.5m - 152101,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152101-1.jpg,OEM,No Color,0.3,"<p>Τηλέφωνο-ακροφύσιο ντουζιέρας με 3 επιλογές πίεσης και σπιράλ σωλήνα μήκους 1.5 μέτρου, με όλα τα παρελκόμενα τοποθέτησης. <br />Εύκολη τοποθέτηση σε όλες τις βρύσες μπανιέρας και ντουζιέρας.<br />Υψηλή ποιότητα κατασκευής. </p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38584,Τηλέφωνο ντουζ με σπιράλ και επιλογ,Τηλέφωνο ντουζ με σπιράλ και επιλογές πίεσης - J615 - 1.5m - 152095,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152095-1.jpg,OEM,No Color,0.3,"<p>Τηλέφωνο-ακροφύσιο ντουζιέρας με 3 επιλογές πίεσης και σπιράλ σωλήνα μήκους 1.5 μέτρου, με όλα τα παρελκόμενα τοποθέτησης. <br />Εύκολη τοποθέτηση σε όλες τις βρύσες μπανιέρας και ντουζιέρας.<br />Υψηλή ποιότητα κατασκευής. </p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38585,Τηλέφωνο ντουζ με σπιράλ και επιλογ,Τηλέφωνο ντουζ με σπιράλ και επιλογές πίεσης - Μαύρο - 1.5m - 152088,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152088-1.jpg,OEM,No Color,0.3,"<p>Τηλέφωνο-ακροφύσιο ντουζιέρας με 3 επιλογές πίεσης και σπιράλ σωλήνα μήκους 1.5 μέτρου, με όλα τα παρελκόμενα τοποθέτησης. <br />Εύκολη τοποθέτηση σε όλες τις βρύσες μπανιέρας και ντουζιέρας.<br />Υψηλή ποιότητα κατασκευής. <br />Χρώμα: μαύρο.</p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
38586,Τηλέφωνο ντουζ - 152071,Τηλέφωνο ντουζ - 152071,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/152071-1.jpg,OEM,No Color,0.3,"<p>Τηλέφωνο-ακροφύσιο ντουζιέρας, επιχρωμιωμένο, με 3 επιλογές πίεσης.<br />Εύκολη σύνδεση σε όλα τα κοινά σπιράλ ντουζιέρας.<br />Υψηλή ποιότητα κατασκευής. </p>",Είδη μπάνιου>Τηλέφωνα ντους  σπιράλ
