id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
39627,Ενσύρματο τηλέφωνο τύπου γόνδολα - �,Ενσύρματο τηλέφωνο τύπου γόνδολα - Β367 - Leboss - 701082 - White,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/701082_.jpg,OEM,No Color,1.5,"<p>Ενσύρματο τηλέφωνο της Leboss, κατάλληλο για χρήση γραφείου ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση. Έχει λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό όποιου σας καλεί.</p>",Οικιακά είδη>Τηλεφωνικές συσκευές
39628,Ενσύρματο τηλέφωνο - B699  - Leboss - 056665 - L,Ενσύρματο τηλέφωνο - B699  - Leboss - 056665 - Light Black,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/056665.png,OEM,No Color,1.5,"<p>Ενσύρματο τηλέφωνο της Leboss, κατάλληλο για χρήση γραφείου ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση. Έχει λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό όποιου σας καλεί.</p>",Οικιακά είδη>Τηλεφωνικές συσκευές
39629,Ενσύρματο τηλέφωνο - B365  - Leboss - 003652,Ενσύρματο τηλέφωνο - B365  - Leboss - 003652,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/003652.jpg,OEM,No Color,1.5,"<p>Ενσύρματο τηλέφωνο της Leboss, κατάλληλο για χρήση γραφείου ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση. Έχει λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό όποιου σας καλεί.</p>",Οικιακά είδη>Τηλεφωνικές συσκευές
39898,Ενσύρματο τηλέφωνο τύπου γόνδολα - �,Ενσύρματο τηλέφωνο τύπου γόνδολα - Β367 - Leboss - 701082 - Black,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/701082_b.jpg,OEM,No Color,1.5,"<p>Ενσύρματο τηλέφωνο της Leboss, κατάλληλο για χρήση γραφείου ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση. Έχει λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό όποιου σας καλεί.</p>",Οικιακά είδη>Τηλεφωνικές συσκευές
39936,Ενσύρματο τηλέφωνο - 8862  - Zeetel - 735537 - B,Ενσύρματο τηλέφωνο - 8862  - Zeetel - 735537 - Black,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/735537_b.jpg,OEM,No Color,1.5,"<p>Ενσύρματο τηλέφωνο της Zeetel, κατάλληλο για χρήση γραφείου ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση. <br />Διαθέτει: <br />ψηφιακή οθόνη, <br />λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,<br />λειτουργία ανοιχτής ακρόασης, αναμονής και μεταφοράς γραμμής.</p><p>Χρώμα: Κόκκινο</p><p> </p>",Οικιακά είδη>Τηλεφωνικές συσκευές
59744,Ενσύρματο σταθερό τηλέφωνο - L51 - 700511,Ενσύρματο σταθερό τηλέφωνο - L51 - 700511 - Black,in stock,new,13.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/700511.jpg,OEM,No Color,1.0,"Ενσύρματο τηλέφωνο, κατάλληλο για οικιακή χρήση ή χρήση γραφείου, ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση.
Διαθέτει:
Ευδιάκριτη ψηφιακή οθόνη φωτιζόμενη, Μεγάλα πλήκτρα ψηφίων, 
Λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,
Ανοιχτή ακρόαση, Λειτουργία αναμονής, Μεταφορά γραμμής, Ρυθμιζόμενη ένταση με επιλογές ήχων, Μνήμες άμεσης κλήσης, Μνήμη εισερχομένων κλήσεων, Ένδειξη ημερομηνίας και ώρας, 
Δυνατότητα Redial τελευταίας κλήσης.",Οικιακά είδη>Τηλεφωνικές συσκευές
59747,Ενσύρματο σταθερό τηλέφωνο - L25 - 700252,Ενσύρματο σταθερό τηλέφωνο - L25 - 700252 - White,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/700252.jpg,OEM,No Color,1.0,"Ενσύρματο τηλέφωνο, κατάλληλο για οικιακή χρήση ή χρήση γραφείου, ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση.
Διαθέτει:
Ευδιάκριτη ψηφιακή οθόνη φωτιζόμενη, Μεγάλα πλήκτρα ψηφίων, 
Λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,
Ανοιχτή ακρόαση, Λειτουργία αναμονής, Μεταφορά γραμμής, Ρυθμιζόμενη ένταση με επιλογές ήχων, Μνήμες άμεσης κλήσης, Μνήμη εισερχομένων κλήσεων, Ένδειξη ημερομηνίας και ώρας, 
Δυνατότητα Redial τελευταίας κλήσης.",Οικιακά είδη>Τηλεφωνικές συσκευές
59750,Ενσύρματο σταθερό τηλέφωνο - 6006 - 06006,Ενσύρματο σταθερό τηλέφωνο - 6006 - 060068 - Black,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/060068-Αντιγραφή.jpg,OEM,No Color,1.0,"Ενσύρματο τηλέφωνο, κατάλληλο για οικιακή χρήση ή χρήση γραφείου, ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση.
Διαθέτει:
Ευδιάκριτη ψηφιακή οθόνη φωτιζόμενη, Μεγάλα πλήκτρα ψηφίων, 
Λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,
Ανοιχτή ακρόαση, Λειτουργία αναμονής, Μεταφορά γραμμής, Ρυθμιζόμενη ένταση με επιλογές ήχων, Μνήμες άμεσης κλήσης, Μνήμη εισερχομένων κλήσεων, Ένδειξη ημερομηνίας και ώρας, 
Δυνατότητα Redial τελευταίας κλήσης.",Οικιακά είδη>Τηλεφωνικές συσκευές
59753,Ενσύρματο σταθερό τηλέφωνο - 6004 - 06004,Ενσύρματο σταθερό τηλέφωνο - 6004 - 060044 - White,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/060044.jpg,OEM,No Color,1.0,"Ενσύρματο τηλέφωνο, κατάλληλο για οικιακή χρήση ή χρήση γραφείου, ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση.
Διαθέτει:
Ευδιάκριτη ψηφιακή οθόνη φωτιζόμενη, Μεγάλα πλήκτρα ψηφίων, 
Λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,
Ανοιχτή ακρόαση, Λειτουργία αναμονής, Μεταφορά γραμμής, Ρυθμιζόμενη ένταση με επιλογές ήχων, Μνήμες άμεσης κλήσης, Μνήμη εισερχομένων κλήσεων, Ένδειξη ημερομηνίας και ώρας, 
Δυνατότητα Redial τελευταίας κλήσης.",Οικιακά είδη>Τηλεφωνικές συσκευές
59756,Ενσύρματο σταθερό τηλέφωνο - 6003 - 06003,Ενσύρματο σταθερό τηλέφωνο - 6003 - 060037 - Black,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/060037.jpg,OEM,No Color,1.0,"Ενσύρματο τηλέφωνο, κατάλληλο για οικιακή χρήση ή χρήση γραφείου, ως μια πιο πρακτική λύση από κάποιο ασύρματο που χρειάζεται τακτική φόρτιση.
Διαθέτει:
Ευδιάκριτη ψηφιακή οθόνη φωτιζόμενη, Μεγάλα πλήκτρα ψηφίων, 
Λειτουργία αναγνώρισης κλήσης για να βλέπετε στην οθόνη τον αριθμό που σας καλεί,
Ανοιχτή ακρόαση, Λειτουργία αναμονής, Μεταφορά γραμμής, Ρυθμιζόμενη ένταση με επιλογές ήχων, Μνήμες άμεσης κλήσης, Μνήμη εισερχομένων κλήσεων, Ένδειξη ημερομηνίας και ώρας, 
Δυνατότητα Redial τελευταίας κλήσης.",Οικιακά είδη>Τηλεφωνικές συσκευές
