id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36895,Bubble Pop It Fidget - 30cm - 333311,Bubble Pop It Fidget - 30cm - 333311,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333311_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36897,Bubble Pop It Fidget - 35cm - 333315,Bubble Pop It Fidget - 35cm - 333315,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333315_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Χρώμα: πολύχρωμο (οι χρωματικοί τόνοι είναι πιθανό να διαφέρουν ελαφρώς απ' τους εικονιζόμενους)</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36898,Bubble Pop It Fidget - 42cm - 333316,Bubble Pop It Fidget - 42cm - 333316,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333316_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36899,Bubble Pop It Fidget - 42cm - 333330,Bubble Pop It Fidget - 42cm - 333330,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333330_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36900,Bubble Pop It Fidget - 35cm - 333332,Bubble Pop It Fidget - 35cm - 333332,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333332_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36902,Bubble Pop It Fidget - 30cm - 333336,Bubble Pop It Fidget - 30cm - 333336,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333336_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36903,Bubble Pop It Fidget - 25cm - 333337,Bubble Pop It Fidget - 25cm - 333337,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333337_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Διαθέσιμο στα εικονιζόμενα χρώματα. Περιέχονται 2 ζάρια.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36904,Bubble Pop It Fidget - 30cm - 333380,Bubble Pop It Fidget - 30cm - 333380,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333380_1310.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36905,Bubble Pop It Fidget - 10-13cm - 333381,Bubble Pop It Fidget - 10-13cm - 333381,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333381_1310.jpg,OEM,No Color,0.2,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Διαθέσιμα τα εικονιζόμενα σχέδια - Αποστολή σχεδίου κατόπιν διαθεσιμότητας.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
36906,Bubble Pop It Fidget - 10cm - 333382,Bubble Pop It Fidget - 10cm - 333382,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/333382_1310.jpg,OEM,No Color,0.2,"<div class=""prod-descr""><p>Το νέο παιχνίδι με αγχολυτικές ιδιότητες που έχει κατακτήσει τον κόσμο κάθε ηλικίας ήρθε σε πολλά χρώματα, σχέδια και μεγέθη!</p><p>Παίξτε ατελείωτα με όλη την οικογένεια ή την παρέα σας ενώ παράλληλα ανακουφίζεστε από το άγχος της καθημερινότητας και εξασκείτε την λεπτή κινητικότητα και το πνεύμα! Κατάλληλο για παιδιά με υπερκινητικότητα ή αυτισμό.</p><p>Κατάλληλο για παιδιά άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Pop-it  Fidget
