id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35150,Βρεφικό παιχνίδι μπάνιου - 8366-1,Βρεφικό παιχνίδι μπάνιου - 8366-1,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15575905650214651-1.jpg,OEM,No Color,0.5,"<p>Βρεφικό παιχνίδι για το μπάνιο.</p><p>Υπέροχη τσουλήθρα με μπάλες και ζωάκια, με όμορφα χρώματα για να παίζει το μωράκι σας την ώρα του μπάνιου.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 2 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
37248,Μαϊμουδάκι που σκαρφαλώνει - 25859E - 693,Μαϊμουδάκι που σκαρφαλώνει - 25859E - 693801,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/693801.jpg,OEM,No Color,2.5,<p>Βρεφικό-παιδικό παιχνίδι μαϊμουδάκι που σκαρφαλώνει στο σχοινί.</p><p>Διαστάσεις συσκευασίας: 25 x 22 x 7cm</p><p>Οι μπαταρίες δεν περιλαμβάνονται.</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
37250,Βρεφικό ουράνιο τόξο με μουσική και,Βρεφικό ουράνιο τόξο με μουσική και φωτισμό - 8007 - 121558,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/121558.jpg,OEM,No Color,1.0,<p>Διαστάσεις συσκευασίας: 15 x 24 x 6cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
37438,Βρεφικό παιχνίδι - Hammer - 332 - 235542,Βρεφικό παιχνίδι - Hammer - 332 - 235542,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/235542.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 14.5 x 28.5 x 14cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
37668,Μαϊμουδάκι που σκαρφαλώνει - 25859E - 807,Μαϊμουδάκι που σκαρφαλώνει - 25859E - 807208,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/693801.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 25 x 22 x 7cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
37686,Βρεφικό ουράνιο τόξο με μουσική και,Βρεφικό ουράνιο τόξο με μουσική και φωτισμό – 8007 - 200131,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/200131-1.jpg,OEM,No Color,1.0,<p>Διαστάσεις συσκευασίας: 16 x 24 x 10cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
38705,Βρεφικό παιχνίδι Ακορντεόν - 997-18A - 08,Βρεφικό παιχνίδι Ακορντεόν - 997-18A - 080600 - Blue,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/080600.jpg,OEM,No Color,2.0,"<p>Βρεφικό παιχνίδι Ακορντεόν με πολύχρωμο φωτισμό, λαβές στα πλαϊνά και εκπαιδευτικούς ήχους από διάφορα ζωάκια.<br />Ιδανικό για τα πρώτα βήματα του μωρού στην πρώιμη εκπαίδευση και για την εξάσκηση της λεπτής κινητικότητας του.</p><p>Διαστάσεις προϊόντος: 27 x 12 x 5cm<br />Διαστάσεις συσκευασίας: 28 x 14 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
38751,Βρεφικό παιχνίδι Ακορντεόν - 997-18A - 08,Βρεφικό παιχνίδι Ακορντεόν - 997-18A - 080600 - Pink,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/080600_pi.jpg,OEM,No Color,2.0,"<p>Βρεφικό παιχνίδι Ακορντεόν με πολύχρωμο φωτισμό, λαβές στα πλαϊνά και εκπαιδευτικούς ήχους από διάφορα ζωάκια.<br />Ιδανικό για τα πρώτα βήματα του μωρού στην πρώιμη εκπαίδευση και για την εξάσκηση της λεπτής κινητικότητας του.</p><p>Διαστάσεις προϊόντος: 27 x 12 x 5cm<br />Διαστάσεις συσκευασίας: 28 x 14 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
97831,Βρεφικό σετ κουδουνίστρες - SF2020 - 22191,Βρεφικό σετ κουδουνίστρες - SF2020 - 221917,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ecbfdbcfc988502bb6f421f6792c905f.jpg,OEM,No Color,2.0,<p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας 10 μηνών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
97915,Βρεφικό αισθητηριακό παιχνίδι - 2866 -,Βρεφικό αισθητηριακό παιχνίδι - 2866 - 222472,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/625a38a8ee5b2e764ea7e53e85666a43.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Βρεφικά παιχνίδια
