id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
97918,Επιτραπέζιο παιχνίδι στρατηγικής - ,Επιτραπέζιο παιχνίδι στρατηγικής - Sea Battle - 1292 - 222409,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9e20e60ae01281f4f398f86d8f584d54.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103165,Σετ βαλιτσάκι σκάκι - 7F707 - 221412,Σετ βαλιτσάκι σκάκι - 7F707 - 221412,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/97eeb5f85bc42399b1425d198e3ae08d.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103577,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2023-14 - 677106,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/b65fad504a81042d4b0b04ecfbd47393.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103580,Επιτραπέζιο παιχνίδι - Track Maze - 34pcs - D2,Επιτραπέζιο παιχνίδι - Track Maze - 34pcs - D2023-2 - 677105,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/f40ba493403f4870637dd9a487d9707d.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103583,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2023-15 - 677104,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/fcc6615ea93d89a9dead97a3dc0d42de.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103586,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2,Επιτραπέζιο παιχνίδι - Block Track - 42pcs - 2023-13 - 677103,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/c7a0a90a67de87b7edc7a4b5c87ef4eb.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103589,Επιτραπέζιο παιχνίδι - Block Track - 34pcs - 2,Επιτραπέζιο παιχνίδι - Block Track - 34pcs - 2023-2 - 677102,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d336c7c344c478521caba777947148ec.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103592,Επιτραπέζιο παιχνίδι - Block Track - 34pcs - 2,Επιτραπέζιο παιχνίδι - Block Track - 34pcs - 2023-1 - 677101,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/825d0bf6b880104c0f615d290830ad41.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
103989,Τυχερό παιχνίδι - Bingo - A3-1143C - 534799,Τυχερό παιχνίδι - Bingo - A3-1143C - 534799,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ebcdb1e71ef5de5bfef93f4226fd09aa.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
104874,Επιτραπέζιο παιχνίδι - Σκάκι - 638 - 2001,Επιτραπέζιο παιχνίδι - Σκάκι - 638 - 200126,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/f9ff0c2fbc089e0e4cde4c3c1aad8703.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Επιτραπέζια παιχνίδια
