id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37938,Παιδικό σετ αστυνομικού - 999C - 144788,Παιδικό σετ αστυνομικού - 999C - 144788,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/144788.png,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 25.5 x 32.5 x 4cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
39326,Παιδικό σετ στρατιώτη - 558-152 - 161843,Παιδικό σετ στρατιώτη - 558-152 - 161843,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/161843.jpg,OEM,No Color,0.8,<p>Παιδικό σετ στρατιώτη με όλα τα απαραίτητα σύνεργα και αξεσουάρ για να γίνεις ένας πραγματικός πολεμιστής.</p><p>Διαστάσεις συσκευασίας: 38 x 29 x 4.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
39328,Παιδικό σετ στρατιώτη - 222A-7 - 942194,Παιδικό σετ στρατιώτη - 222A-7 - 942194,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/942194.jpg,OEM,No Color,0.8,<p>Παιδικό σετ αστυνομικού με όλα τα απαραίτητα σύνεργα και αξεσουάρ για να γίνεις ένας πραγματικός αστυνομικός.</p><p>Διαστάσεις συσκευασίας: 26 x 32 x 4cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
97843,Παιδικό σετ ιατρικής - A380-166 - 222086,Παιδικό σετ ιατρικής - A380-166 - 222086,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e12d8488f92307e7fd9a6ef50759cdd7.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
97870,Παιδικό σετ εργαλείων - 6204C-5 - 221749,Παιδικό σετ εργαλείων - 6204C-5 - 221749,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/0adc77a9670da8d0f30cadf84db0ca33.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
98313,Παιδικό σετ ιατρικής - A380-173 - 222089,Παιδικό σετ ιατρικής - A380-173 - 222089,in stock,new,6.3 EUR,,,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
98324,Παιδικό σετ εργαλείων - A380-182 - 222096,Παιδικό σετ εργαλείων - A380-182 - 222096,in stock,new,7.2 EUR,,,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
98340,Παιδικό σετ ιατρικής - A380-208 - 222105,Παιδικό σετ ιατρικής - A380-208 - 222105,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/7d9f7ccc2e041dd0be1e74b7cb3a24fc.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
98343,Παιδικό σετ ιατρικής - A380-76 - 222108,Παιδικό σετ ιατρικής - A380-76 - 222108,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/41efbc3919617cf5674d3a5d9f31ae0d.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
99075,Παιδικό σετ εργαλείων - 239-10A - 222570,Παιδικό σετ εργαλείων - 239-10A - 222570,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/6dd5b594d33ae08b62d22ed543cc4632.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
99081,Παιδικό σετ εργαλείων - 838-18A - 222557,Παιδικό σετ εργαλείων - 838-18A - 222557,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/8cb5fea57e43ab133a037bfbb4e5f372.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια επαγγελμάτων
