id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36532,Παιδική καφετιέρα - 820G36 - 105551,Παιδική καφετιέρα - 820G36 - 105551,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/105551.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 70Χ53Χ86 εκ.</p><p>Παιδική καφετιέρα για μικρούς μπαρίστα.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
36759,Σετ παιδικό πλυντήριο πιάτων με κου,Σετ παιδικό πλυντήριο πιάτων με κουζινικά - 688-5 - 189106,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/189106.jpg,OEM,No Color,2.5,<p>Σετ παιδικό πλυντήριο πιάτων με κουζινικά και σκεύη που αλλάζουν χρώμα όταν τα τοποθετήσεις κάτω από το νερό.</p><p>Διαστάσεις συσκευασίας: 42.5 x 28 x 12cm</p><p>Διαστάσεις  προϊόντος: 39.5 x 27 x 36cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
36964,Κουζινομηχανή με αξεσουάρ - 6660-6 - 15748,Κουζινομηχανή με αξεσουάρ - 6660-6 - 157480,in stock,new,13.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/157480.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 18 x 21 x 13cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
36983,Νιπτήρας κουζίνας με αξεσουάρ - 6660-5 ,Νιπτήρας κουζίνας με αξεσουάρ - 6660-5 - 321563,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/321563.png,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 18 x 21 x 13cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37239,Παιχνίδι νιπτήρας με κουζινικά - QF262,Παιχνίδι νιπτήρας με κουζινικά - QF26245G - 702220,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/702220-1.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 28 x 48 x 10cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37240,Πάγκος κουζίνας - 1505A - 629006,Πάγκος κουζίνας - 1505A - 629006,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/629006.jpg,OEM,No Color,2.5,"<p>Πάγκος κουζίνας που στήνεται πανεύκολα, με πλήρες σετ κουζινικών για να έχεις την δική σου ολοκληρωμένη κουζίνα.</p><p>Διαστάσεις συσκευασίας: 58 x 37 x 12cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37440,Παιδικό σετ μαγειρικής - 5716 - 234581,Παιδικό σετ μαγειρικής - 5716 - 234581,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/234598.jpg,OEM,No Color,2.5,"<p>Παιδικό σετ μαγειρικής με πανέμορφα αξεσουάρ και πλήρες σετ συσκευών, σκευών και τροφίμων για να έχεις την δική σου ολοκληρωμένη κουζίνα που θα εντυπωσιάσει τη παρέα σου!</p><p>Διαστάσεις συσκευασίας: 24 x 31cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37441,Παιδικό Barbeque-Grill - 5720 - 234598,Παιδικό Barbeque-Grill - 5720 - 234598,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/234581.jpg,OEM,No Color,2.5,"<p>Παιδικό σετ Barbeque με πλήρες σετ σκευών, τροφίμων και εργαλείων για να έχεις το δικό σου ολοκληρωμένο σετ ψησίματος. Οργάνωσε το πιο συναρπαστικό Barbeque για σένα και όλη την παρέα σου!</p><p>Διαστάσεις συσκευασίας: 29 x 39cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37444,Παιδική ηλεκτρική σκούπα - 525-17A - 525177,Παιδική ηλεκτρική σκούπα - 525-17A - 525177,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/525177.jpg,OEM,No Color,2.5,"<p>Παιδική φορητή ηλεκτρική σκούπα που μετατρέπεται και σε σκουπάκι χειρός, με εναλλασσόμενες κεφαλές. Τώρα έχεις τη δική σου ηλεκτρική σκούπα για να βοηθάς στη καθαριότητα του σπιτιού, διασκεδάζοντας! Σε πανέμορφα χρώματα και με λειτουργία μπαταρίας για να προσφέρει μία ρεαλιστική εμπειρία καθαριότητας! </p><p>Διαστάσεις συσκευασίας: 43 x 23.5 x 9cm<br />Διαστάσεις σκούπας: 75 x 18cm</p><p>Λειτουργεί με 5 μπαταρίες ΑΑ (δεν περιλαμβάνονται).</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
37647,Παιδικό σετ πλυντήριο και ηλεκτρικ�,Παιδικό σετ πλυντήριο και ηλεκτρική σκούπα - 528 - 515523,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/515523.png,OEM,No Color,2.5,<p>Παιδικό σετ με πλυντήριο και ηλεκτρική σκούπα για να εξοπλίσεις το δικό σου σπιτάκι με τα απαραίτητα σύνεργα καθαριότητας και να μάθεις να τα χρησιμοποιείς διασκεδάζοντας!</p><p>Διαστάσεις συσκευασίας: 14 x 28 x 8cm<br />Διαστάσεις πλυντηρίου: 10 x 7.5 x 7cm<br />Διαστάσεις σκούπας: 30 x 6.5 x 7.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια μαγειρικής  οικιακών
