id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38691,Σετ φιγούρες Ρομπότ που μετασχηματ�,Σετ φιγούρες Ρομπότ που μετασχηματίζονται - 39-33 - 700050,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700050.jpg,OEM,No Color,2.0,"<p>Σετ φιγούρες Ρομπότ που μετασχηματίζονται εντυπωσιακά σε αυτοκίνητα και δεινόσαυρο.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Διαστάσεις φιγούρας: 10 x 5 x 4cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
38692,Σετ φιγούρες Ρομπότ που μετατρέπον�,Σετ φιγούρες Ρομπότ που μετατρέπονται σε δεινοσαύρους - 339-65 - 700067,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700067.jpg,OEM,No Color,2.0,"<p>Σετ φιγούρες Ρομπότ που μετασχηματίζονται εντυπωσιακά σε δεινοσαύρους.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Διαστάσεις συσκευασίας: 25 x 31 x 6cm<br />Διαστάσεις φιγούρας: 23 x 20cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
38693,Φιγούρα Ρομπότ που μετατρέπεται σε ,Φιγούρα Ρομπότ που μετατρέπεται σε δεινόσαυρο - 339-61 - 700098,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700098-2.jpg,OEM,No Color,2.0,"<p>Φιγούρα Ρομπότ που μετασχηματίζεται εντυπωσιακά σε δεινόσαυρο.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Διαστάσεις συσκευασίας: 24.5 x 15.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />ατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
38694,Φιγούρα Ρομπότ που μετατρέπεται σε ,Φιγούρα Ρομπότ που μετατρέπεται σε δεινόσαυρο - 339-62 - 700081,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700081.jpg,OEM,No Color,2.0,"<p>Φιγούρα Ρομπότ που μετασχηματίζεται εντυπωσιακά σε δεινόσαυρο.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Διαστάσεις συσκευασίας: 19.5 x 12 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
38695,Φιγούρα Ρομπότ που μετατρέπεται σε ,Φιγούρα Ρομπότ που μετατρέπεται σε αυτοκίνητο - 339-63 - 700074,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700074.jpg,OEM,No Color,2.0,"<p>Φιγούρα Ρομπότ που μετασχηματίζεται εντυπωσιακά σε αυτοκίνητο.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Διαστάσεις συσκευασίας: 23 x 20 x 7.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
38737,Φιγούρα Ρομπότ που μετατρέπεται σε ,Φιγούρα Ρομπότ που μετατρέπεται σε αυτοκίνητο - 339-5 - 700128,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700128.jpg,OEM,No Color,2.0,"<p>Φιγούρα Ρομπότ που μετατρέπεται σε αυτοκίνητο 339-5.<br />Δώσε τη μορφή που θέλεις στον ήρωα σου δημιουργικά, ολοκλήρωσε τη συλλογή και ετοιμάσου για ατελείωτα παιχνίδια δράσης με τους φίλους σου.</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97798,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - HF32678AB - 222012,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e08d36112cf41d55095d0a98bf571d84.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97804,Συναρμολογούμενο ρομπότ δεινόσαυρ�,Συναρμολογούμενο ρομπότ δεινόσαυρος - 10036 - 222499,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/4a5b4975d1491a9be7b3b5867cab3f28.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97819,Ρομπότ με κίνηση και ήχο - 606-15 - 222306,Ρομπότ με κίνηση και ήχο - 606-15 - 222306,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/1e3518614c26f75bb65f0c4e5feab0a3.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97828,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 9299AB - 221902,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/462d53282d471bec64b2dadd4bf5bd93.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97899,Κλουβί δεινόσαυρου με ήχο - ZH998-25 - 2220,Κλουβί δεινόσαυρου με ήχο - ZH998-25 - 222061,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d37de206624540df9235098e61bd520d.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97902,Κλουβί panda με ήχο - ZH998-32 - 222059,Κλουβί panda με ήχο - ZH998-32 - 222059,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/445d17a7d320d257f7424c508cee6a90.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97908,Κλουβί παπαγάλου mini με ήχο - ZH998-20 - 222,Κλουβί παπαγάλου mini με ήχο - ZH998-20 - 222065,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d096570b1ac1be2dfdfa59cd12fa305c.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97927,Επαναφορτιζόμενο ρομπότ με κίνηση �,Επαναφορτιζόμενο ρομπότ με κίνηση και ήχο - M606-28 - 222308,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/92d87feb1ccdf18bc3ef496ffc9d5f90.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
97930,Επαναφορτιζόμενο ρομπότ με κίνηση �,Επαναφορτιζόμενο ρομπότ με κίνηση και ήχο - M606-29 - 222309,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e50d6eb16a20ffaa29f1149b4d88d018.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
98113,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 9799AB - 221903,in stock,new,9 EUR,,,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
98114,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 9099AB - 221904,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/2416bd299ea21a4f9de22021e23a6bd5.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
98117,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 9088AB - 222001,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/8bb9417284c92325f8f5443bab7da9b0.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
98120,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 6699AB - 221890,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9b75ca3d27bec2496fd3e38a38d8be13.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
98123,Ρομπότ που μεταμορφώνεται σε αυτοκ�,Ρομπότ που μεταμορφώνεται σε αυτοκίνητο - 328-8AB - 222021,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/caf14fd9f3a46342022648fc03d5551e.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Φιγούρες ηρώων  ζώων
