id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35153,Ψηφιακό ρολόι ξυπνητήρι με ραδιόφω�,Ψηφιακό ρολόι ξυπνητήρι με ραδιόφωνο - CR3193 - 029201,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/CR-3193-550x550-1.jpg,OEM,No Color,0.4,"<div class=""module-body""><div class=""module-item module-item-1 no-expand""><div class=""block-body expand-block""><div class=""block-wrapper""><div class=""block-content  block-description""><p><span style=""font-family: Arial;"">AM/FM-BAND PLL</span></p><p><span style=""font-family: Arial;"">CLOCK RADIO</span></p><p><span style=""font-family: Arial;"">WITH RED LED DISPLAY</span></p><p><span style=""font-family: Arial;"">WAKE UP BY RADIO OR ALARM</span></p><p><span style=""font-family: Arial;"">SLEEP/SNOOZE FUNCRIONS BATTERY BACK-UP MEMORY</span></p></div></div></div></div></div>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
38454,Ψηφιακό ρολόι/ξυπνητήρι με ραδιόφω�,Ψηφιακό ρολόι/ξυπνητήρι με ραδιόφωνο - 1828A - 012119,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_012119.jpg,OEM,No Color,1,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p><strong>Χαρακτηριστικά/Λειτουργίες:</strong><br />-Μεγάλη, ευανάγνωστη οθόνη 1,8 ιντσών με κόκκινο φωτισμό LED, ευανάγνωστη στο σκοτάδι αλλά και σε χώρους με έντονο φωτισμό.<br />-Ψηφιακό ραδιόφωνο AM/FM, με δυνατότητα αποθήκευσης των αγαπημένων σας σταθμών. <br />-Διπλό ξυπνητήρι με λειτουργία snooze/αναβολή<br />-Θύρα USB<br />-Αντίγραφο ασφαλείας μπαταρίας για ρύθμιση ρολογιού και ραδιοφώνου.</p></div>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
38593,Ηλεκτρονικό ψηφιακό ρολόι - 8082 - 980824 ,Ηλεκτρονικό ψηφιακό ρολόι - 8082 - 980824 - Silver,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/980824-1.jpg,OEM,No Color,0.3,"<div class=""large-10 col pb-0 mb-0""><div class=""panel entry-content""><p><strong>Xαρακτηριστικά</strong></p><ul><li>Έγχρωμη φωτιζόμενη LCD οθόνη</li><li>Αισθητήρας ήχου</li><li>Ένδειξη ημερομηνίας και ώρας</li><li>Ψηφιακό θερμόμετρο</li><li>Ξυπνητήρι με μουσική (επιλογή 8 ήχων) και λειτουργία snooze</li><li>Ένδειξη υγρασίας</li><li>Γραφική απεικόνιση</li><li>Αποθήκευση ανώτατης και κατώτατης ένδειξης θερμοκρασίας και υγρασίας</li><li>Ημερολόγιο</li><li>Λειτουργεί με 2 μπαταρίες ΑΑΑ (δεν περιλαμβάνονται)</li><li>Διαστάσεις: 14,5 x 9,0 x 2,5 εκ.</li><li>Βάρος: 146 γραμ.</li></ul></div></div>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50714,Ψηφιακό ρολόι – Ξυπνητήρι - 8009 - 980093,Ψηφιακό ρολόι – Ξυπνητήρι - 8009 - 980093,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/980093.jpg,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50717,Ψηφιακό ρολόι – Ξυπνητήρι - 668 - 006681,Ψηφιακό ρολόι – Ξυπνητήρι - 668 - 006681,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/006681.png,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50720,Ψηφιακό ρολόι – Ξυπνητήρι - 6628 - 466288,Ψηφιακό ρολόι – Ξυπνητήρι - 6628 - 466288,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/466288.png,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50723,Ψηφιακό ρολόι – Ξυπνητήρι - 2519 - 025194,Ψηφιακό ρολόι – Ξυπνητήρι - 2519 - 025194,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/025194.png,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50726,Ψηφιακό ρολόι – Ξυπνητήρι - 6609 - 466097,Ψηφιακό ρολόι – Ξυπνητήρι - 6609 - 466097,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/466097.jpg,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50729,Ψηφιακό ρολόι – Ξυπνητήρι - 6625 - 466257,Ψηφιακό ρολόι – Ξυπνητήρι - 6625 - 466257,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/466257.png,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
50732,Ψηφιακό ρολόι – Ξυπνητήρι - 6627 - 466271,Ψηφιακό ρολόι – Ξυπνητήρι - 6627 - 466271,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/466271.jpg,OEM,No Color,0.8,Ψηφιακό ρολόι–Ξυπνητήρι σε εντυπωσιακό σχεδιασμό και πρακτικό μέγεθος που μπορεί να τοποθετηθεί παντού και να προσδώσει σύγχρονη νότα στο χώρο σας. Διαθέτει φωτισμό backlight και πολλαπλές ενδείξεις.,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Ψηφιακά ξυπνητήρια
