id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35141,Αυτοκαθαριζόμενη βούρτσα για σκύλο,Αυτοκαθαριζόμενη βούρτσα για σκύλους και γάτες - Fur Wizard – 074773,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2206_wizard.jpg,OEM,No Color,0.3,"<div id=""tab-description"" class=""panel entry-content wc-tab"">

Επαναχρησιμοποιούμενη και αυτοκαθαριζόμενη βούρτσα για σκύλους και γάτες.
<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Reusable pet fur remover with self-cleaning base</span></li>
 	<li><span class=""a-list-item"">Double-sided, extra-large lint brush removes fur and lint twice as fast as a one-sided lint brush</span></li>
 	<li><span class=""a-list-item"">One dip in the self-cleaning base removes pet hair from the Fur Wizard lint brush</span></li>
 	<li><span class=""a-list-item"">No refills required – there’s no tape and no mess</span></li>
 	<li><span class=""a-list-item"">Includes Hurricane Fur Wizard, self-cleaning base, and travel size Fur Wizard</span></li>
</ul>
</div>",ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35227,Mini ανεμιστήρας - Mini Fan - USB - Android - Blue - 5,Mini ανεμιστήρας - Mini Fan - USB - Android - Blue - 517012,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/mini-usb-fan-500x500-1.jpg,OEM,No Color,0.2,<p>Mini ανεμιστήρας - Mini Fan - USB - Android mini usb</p>,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35298,Συρραπτικό - S65 Mini - 700655,Συρραπτικό - S65 Mini - 700655,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/a50ba5b2fdd6941ca01f500a2daa328420bda4d0.jpg,OEM,No Color,0.2,,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35325,Χαρτί ετικετών - Label Paper - 11M - 321098,Χαρτί ετικετών - Label Paper - 11M - 321098,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/multicolor-printed-label-500x500-1.jpg,OEM,No Color,0.2,,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35326,Επαγγελματική ψηφιακή ζυγαριά τσέπ,Επαγγελματική ψηφιακή ζυγαριά τσέπης - Notebook - 996022,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20160421172643_oem_nb_s500-550x550w.jpeg,OEM,No Color,0.7,"<p>Επαγγελματική ζυγαριά τσέπης, υψηλής ακριβείας, σε πρακτικό μέγεθος, εύκολη στη μεταφορά.</p><p>Δυνατότητα ζύγισης 500/0.01g.<br />6 επιλογές ζύγισης σε: g, 0z, ct, gn, ozt,dwt<br />Οθόνη LCD 6 ψηφίων<br />Βάση ζύγισης από ανοξείδωτο ατσάλι<br />Διαστάσεις βάσης: 11.5 x 9cm<br />Πλαστικό, ανθεκτικό περίβλημα με καπάκι που κουμπώνει.<br />Συνολικές διαστάσεις: 10 x 16.5cm<br />Χρώμα: Μαύρο<br /><br />Περιλαμβάνονται 2 μπαταρίες ΑΑΑ</p>",ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35341,Εξαεριστήρας 6 ιντσών - APB-15 - 068546,Εξαεριστήρας 6 ιντσών - APB-15 - 068546,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/068546.jpg,OEM,No Color,1,<p><strong>Air delivery:258m</strong><sup><strong>3</strong></sup><strong>  /h</strong></p><p><strong>Fan wheel:φ148mm</strong></p><p><strong>Plate size:238X238mm</strong></p><p><strong>Voltage: 220V</strong></p><p><strong>Size:6’’</strong></p>,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35346,Επαγγελματικός ετικετογράφος - 2 Line ,Επαγγελματικός ετικετογράφος - 2 Line - ΥΗ-689 - 015137,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2lineprinting.jpg,OEM,No Color,0.2,"<p>Μηχάνημα αυτοκόλλητης τοποθέτησης ετικετών - 2 Line - ΥΗ-689, φτιαγμένο από ABS πλαστικό, πολύ εύκολο στην χρήση, 10Χ10 ψηφίων, για ετικέτες 23Χ16 χιλιοστά.</p>",ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35349,Λουρί σκύλου - 1.5 μέτρα - 671666,Λουρί σκύλου - 1.5 μέτρα - 671666,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/xlarge_20190903144917_anthektiko_louri_skylou_dog_pads_n_bones_110_cm_me_samaraki.jpeg,OEM,No Color,0.3,"<p>Διαθέτει σαμαράκι σώματος, έχει ασφαλή λαβή και διατίθεται σε πορτοκαλί, σιέλ, ροζ και κόκκινο χρώμα. Σημειώστε το χρώμα της επιλογής σας στις σημειώσεις της παραγγελίας σας.</p>",ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35404,Μεταλλική κρεμάστρα ρούχων - 201156,Μεταλλική κρεμάστρα ρούχων - 201156,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/201156-47-5.jpg,OEM,No Color,0.3,,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35405,Μεταλλικό πλαίσιο υποδοχής χαρτιού,Μεταλλικό πλαίσιο υποδοχής χαρτιού υγείας - 201333,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/201333-02-K8B-1.jpg,OEM,No Color,0.7,<p>Βιδώνεται εύκολα στον τοίχο και σας βοηθάει να κόβετε με άνεση το χαρτί υγείας.</p>,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35464,Αερόθερμο πρίζας με θερμοστάτη - 500W ,Αερόθερμο πρίζας με θερμοστάτη - 500W - Wonder Warm - 673189,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/便携式陶瓷加热盘管出口400瓦特-奇迹暖.jpg,OEM,No Color,1.1,<p>Νέα και βελτιωμένη μίνι σόμπα πρίζας 500Watt. Οικολογική και πολύ αποτελεσματική.</p><p>Ιδανική για χώρους μέχρι 10-15τμ.</p><p>Διαθέτει θερμοστάτη και ανεμιστήρα 2 ταχυτήτων για να μεταδίδει την ζέστη σε όλο τον χώρο.</p>,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
35742,Ψαλίδι - Tradesor - K021 - 210117,Ψαλίδι - Tradesor - K021 - 210117,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/210117.png,OEM,No Color,0.3,<p>Ψαλίδι γενικής χρήσης με εργονομική λαβή με μεγάλα ανοίγματα για άνετο κράτημα.<br />Λεπίδες από ανοξείδωτο ατσάλι. <br />Συνολικό μήκος: 20cm<br />Μήκος λεπίδας: 8cm<br /><br />Διαθέσιμο χρώμα: κόκκινο</p>,ΣΠΙΤΙ  ΚΑΤΟΙΚΙΔΙΟ
