id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35270,Κουρευτική μηχανή – GM-6053 – Gemei,Κουρευτική μηχανή – GM-6053 – Gemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/6053.jpg,OEM,No Color,0.8,"<p>Υψηλής ποιότητας κουρευτική μηχανή, ιδανική για την περιποίηση μαλλιών και προσώπου. Με εργονομική σχεδίαση για εύκολη χρήση και 4 διαφορετικές σκάλες για να ρυθμίζετε το μήκος κοπής που επιθυμείτε.</p><p><strong>Χαρακτηριστικά:</strong> </p><ul><li>Διακόπτη ON/OFF </li><li>Λεπίδα από ανοξείδωτο ατσάλι με κάλυμμα τιτανίου.</li><li>Ισχύς: 3W</li><li>Τάση: AC220-240V, 50-60Hz</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Χρόνος χρήσης: 60 λεπτά</li><li>Περίβλημα: Πλαστικό</li></ul><p><strong>Η συσκευασία περιλαμβάνει:</strong></p><ul><li>1 x Κουρευτική μηχανή</li><li>1 x Σκάλα 3mm</li><li>1 x Σκάλα 6mm</li><li>1 x Σκάλα 9mm</li><li>1 x Σκάλα 12mm</li><li>1 x Καλώδιο πρίζας</li><li>1 x Λαδάκι λίπανσης</li><li>1 x Βουρτσάκι καθαρισμού</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
35314,Κουρευτική μηχανή - KM-2883 - Kemei,Κουρευτική μηχανή - KM-2883 - Kemei,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/km2883.jpg,OEM,No Color,0.8,"<p>Ισχυρή κουρευτική μηχανή, κατάλληλη για κάθε περιποίηση, με προηγμένο σύστημα κοπής με επίστρωση τιτανίου</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Χαμηλός θόρυβος λειτουργίας</li><li>Eργονομικός σχεδιασμός</li><li>Iσχύς: 3W</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Αυτονομία : 40 λεπτά</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
35321,Κουρευτική μηχανή – GM-6035 – Gemei,Κουρευτική μηχανή – GM-6035 – Gemei,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/Gemei-GM-6035.jpg,OEM,No Color,0.8,"<p>Ισχυρή κουρευτική μηχανή, ιδανική για κάθε αντρική περιποίηση, με εργονομική σχεδίαση για ευκολία χρήσης και πρακτικότητα.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Κεραμικές Λεπίδες τιτανίου</li><li>Δυνατότητα ρύθμισης μήκους κοπής πάνω από το σώμα της μηχανής</li><li>4 οδηγοί κοπής: 3, 6, 9, 12 mm</li><li>Αποσπώμενη μπαταρία λιθίου 1000 mAh</li><li>Συνεχόμενη λειτουργία 4-5 ώρες</li><li>Ενδεικτική λυχνία φόρτισης</li><li>Διάρκεια φόρτισης: 8 ώρες</li><li>Οδηγίες χρήσης στα Αγγλικά</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36063,Κουρευτική μηχανή -  KM-1406 - Kemei,Κουρευτική μηχανή -  KM-1406 - Kemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/km-1406.jpg,OEM,No Color,0.8,"Σετ κουρευτικής μηχανής της εταιρίας Kemei, κατάλληλο για χρήση σε περιοχές όπως τα μαλλιά, τα γενιά και το σώμα. Λειτουργεί με μπαταρία, ενώ απαιτούνται 8 ώρες για μια πλήρη φόρτιση, η οποία παρέχει έως και 60 λεπτά αυτονομίας. Στη συσκευασία περιέχονται 2 εξαρτήματα.

Τύπος: Σετ
Τροφοδοσία Ρεύματος: Μπαταρία
Περιοχή Χρήσης: Μαλλιά/Γένια/Σώμα",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36373,Κουρευτική μηχανή - KM-6362 - Kemei,Κουρευτική μηχανή - KM-6362 - Kemei,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_363625.jpg,OEM,No Color,0.8,"<p>Η κουρευτική μηχανή Kemei KM-6362 διαθέτει λεπίδα από ανοξείδωτο ατσάλι για δύναμη, αντοχή και ακρίβεια στο αποτέλεσμα. Αποτελεί ιδανικό εργαλείο για κάθε αντρική περιποίηση.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Επαναφορτιζόμενη μπαταρία,</li><li>Ενδειξη φόρτισης</li><li>Διάρκεια φόρτισης: 5 ώρες</li><li>Διάρκεια λειτουργίας: 150 λεπτά</li></ul><p><strong>Στη συσκευασία περιλαμβάνοντα επιπλέον:</strong></p><ul><li>3 clips</li><li>καλώδιο φόρτισης</li><li>αξεσουάρ καθαρισμού της μηχανής</li></ul><p> </p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36422,Κουρευτική μηχανή - KM-1245 - Kemei,Κουρευτική μηχανή - KM-1245 - Kemei,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_312456.jpg,OEM,No Color,0.8,"<p>Επαναφορτιζόμενη ηλεκτρική κουρευτική μηχανή για ξηρό ή υγρό ξύρισμα. Ιδανικό μέγεθος για ταξίδια.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Φωτεινή ένδειξη φόρτισης</li><li>Ξηρό ή υγρό ξύρισμα</li><li>Αφαιρούμενη κεφαλή</li><li>Υψηλή ισχύς, χαμηλός θόρυβος</li><li>Τάση: 220V</li><li>Ισχύς: 3W</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Χρόνος χρήσης: έως 45 λεπτά</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36517,Κουρευτική μηχανή - KM-1997 - Kemei,Κουρευτική μηχανή - KM-1997 - Kemei,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_319974-2-1.jpg,OEM,No Color,0.8,"<p>Επαγγελματική, επαναφορτιζόμενη ξυριστική-κουρευτική μηχανή και trimmer Kemei</p><p><strong>Χαρακτηριστικά:</strong></p><div class=""product__specs-data-item""><div class=""product__specs-data-item-term""><ul><li>Προσαρμόσιμη λεπίδα ακριβείας από ανοξείδωτο ατσάλι που πλένεται</li><li>Μήκος λεπιδας: 45 mm</li><li>6 χτενάκια για μήκη κοπής 1.5/3/4.5/6/10/13 mm </li><li>Ενσωματωμένη επαναφορτιζόμενη μπαταρία λιθίου 2000mA</li><li>Χρόνος χρήσης: 210 min</li><li>Χρόνος φόρτισης: 1.5-2 hours</li><li>Τάση: (100-240V, )</li><li>Συχνότητα: 50hz/60Hz</li></ul><div> </div></div><div class=""product__specs-data-item-desc""> </div></div><div class=""product__specs-data-item""><div class=""product__specs-data-item-term""> </div></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36621,Κουρευτική μηχανή - KM-3207 - Kemei,Κουρευτική μηχανή - KM-3207 - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_332072.jpeg,OEM,No Color,0.8,"<p>Φορητή επαναφορτιζόμενη κουρευτική μηχανή KM-3207, με λεπίδα ακριβείας, κατάλληλη για προσωπική και επαγγελματική χρήση.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 3 W</li><li>Συχνότητα: 50 / 60Hz</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Χρόνος εργασίας: 50 λεπτά</li><li>Καθαρό βάρος: 132g</li><li>Μέγεθος: 14.6 * 4 cm / 5.8 *</li></ul><p>Περιλαμβάνεται Εγχειρίδιο χρήσης στα Αγγλικά</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36745,Κουρευτική μηχανή - KM-6366 - Kemei,Κουρευτική μηχανή - KM-6366 - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_363663.jpeg,OEM,No Color,0.8,"<p>Επαναφορτιζόμενη κουρευτική-ξυριστική μηχανή KM-6366. Διαθέτει λεπίδες από ανοξείδωτο ατσάλι υψηλής αντοχής και ανθεκτικότητας. Είναι κατάλληλη για επαγγελματική και οικειακή χρήση. <br />Η φόρτισή της διαρκεί 3-6 ώρες και διαθέτει αυτονομία μπαταρίας έως και 1 ώρα στην ασύρματη χρήση.<br /><strong> </strong></p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Το σετ περιλαμβάνει 3 χτένες για διαφορετικά μήκη κοπής 3,4 & 5mm.</li><li>Περιέχονται επίσης βουρτσάκι καθαρισμού, λαδάκι λίπανσης και καλώδιο φόρτισης USB.</li><li>Ισχύς: 5W</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
36787,Κουρευτική μηχανή - KM-721 - Kemei,Κουρευτική μηχανή - KM-721 - Kemei,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1507_307216.jpg,OEM,No Color,0.8,"<div class=""rte""><p>Επαναφορτιζόμενη κουρευτική μηχανή με λεπίδα ακριβείας από ανοξείδωτο ατσάλι και εργονομικό σχεδιασμό, κατάλληλη για μαλλιά, σώμα και πρόσωπο.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 3W</li><li>Διατίθεται με 4 χτένες για διαφορετικά μήκη κοπής (3, 6, 9, 12mm)</li><li>Λυχνία ένδειξης φόρτισης</li><li>Διαστάσεις συσκευής: 16 x 4cm</li><li><dl class=""do-entry-item""><dt class=""do-entry-item"" data-spm-anchor-id=""a2700.wholesale.0.i27.43b17042otl7Ya""><span class=""attr-name J-attr-name"" title=""Weight"" data-spm-anchor-id=""a2700.wholesale.0.i31.43b17042otl7Ya"">Βάρος: </span>0.283kg</dt></dl></li></ul><p><strong>Το πακέτο περιλαμβάνει:</strong></p><ul><li>1 κουρευτική</li><li>Καλώδιο φόρτισης</li><li>1 βούρτσα καθαρισμού</li><li>4 χτένες</li><li>1 λάδι λίπανσης λεπίδας</li></ul></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Κουρευτικές μηχανές
