id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35274,Ξυριστική μηχανή - S8862 - 4D - 388623,Ξυριστική μηχανή - S8862 - 4D - 388623,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ξυριστική-μηχανή-s8862-4d.jpg,OEM,No Color,0.4,"<p>Επαναφορτιζόμενη Ξυριστική Μηχανή 4D S-8862</p><p>Άψογο, ομοιόμορφο ξύρισμα που δεν ταλαιπωρεί το δέρμα χάρη στη 4D ιδιότητα της ξυριστικής μηχανής S8862.<br />Καινοτόμος εργονομικός σχεδιασμός.<br />Οι κεφαλές της προσαρμόζονται πλήρως στο σχήμα του προσώπου σας και της δίνουν πρόσβαση σε κάθε σημείο χωρίς κόπο. Διαθέτει επιπλέον κεφαλή για τον σωστό καθαρισμό του προσώπου σας μετά το ξύρισμα. Με μία συσκευή το δέρμα σας γίνεται λείο και καθαρό χωρίς ρύπους και νεκρά κύτταρα. <br />Μια πλήρης φόρτιση θα σας δώσει 50 λεπτά συνεχόμενης λειτουργίας, χωρίς καλώδια και περιορισμούς.</p><p><strong>Χαρακτηριστικά :</strong></p><ul><li>4D διπλές λεπίδες ξυρίσματος</li><li>Wet or Dry ξύρισμα</li><li>Κεφαλή για καθαρισμό προσώπου</li><li>Ενδεικτική λυχνία  φόρτισης</li><li>Διάρκεια φόρτισης: 5 ώρες</li><li>55 λεπτά αυτονομίας</li><li>Μπορεί να πλυθεί κάτω από τη βρύση</li><li>Εύκολη τοποθέτηση/αφαίρεση κεφαλής κουμπωτά</li><li>Περιλαμβάνει: προστατευτικό κάλυμμα λεπίδων, προστατευτικό κάλυμμα βούρτσας καθαρισμού, βάση & καλώδιο φόρτισης, βουρτσάκι καθαρισμού</li></ul><p><b>Τεχνικά χαρακτηριστικά</b></p><ul><li>Τροφοδοσία: 2.4V</li><li>Επαναφορτιζόμενη μπαταρία</li><li>Ισχύς: 3W</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
36064,Ξυριστική μηχανή - KM-2712 - Kemei,Ξυριστική μηχανή - KM-2712 - Kemei,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/KEMEI-KM2712.png,OEM,No Color,0.6,"<p>Ξυριστική μηχανή υψηλής απόδοσης και ισχύος για άψογο αποτέλεσμα ακριβείας.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Λεπίδες από ανοξείδωτο χάλυβα</li><li>Ισχύς: 8 W</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Χρόνος λειτουργίας: 60 λεπτά</li><li>3 χτένες (3,6, 9 mm)</li><li>Τάση: 220-240 V</li></ul><p><strong>Περιεχόμενα συσκευασίας:</strong></p><ul><li>1 κουρευτική μηχανή</li><li>1 βούρτσα</li><li>3 χτένες οδηγοί</li><li>1 τροφοδοτικό</li><li>Οδηγίες χρήσης στα Αγγλικά </li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
36261,Ξυριστική μηχανή - ΚΜ-1050 - Kemei,Ξυριστική μηχανή - ΚΜ-1050 - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_310505.jpg,OEM,No Color,0.8,<p>Επαναφορτιζόμενη ξυριστική μηχανή με επαναστατικό σύστημα τριών κεφαλών 3D Floating - Flex and Pivot που αγκαλιάζουν το πρόσωπο για βαθύ και αποτελεσματικό ξύρισμα χωρίς ερεθισμούς.</p><p><b>Χαρακτηριστικά:</b></p><ul><li>Υψηλή ταχύτητα περιστροφής</li><li>Υψηλής αντοχής πλέγμα αλουμινίου.</li><li>Αφαιρούμενη και πλενόμενη κεφαλή.</li><li>Υψηλής αντοχής πλέγμα</li><li>Με διακόπτη on/off</li><li>30 λεπτά συνεχούς λειτουργίας</li><li>12 ώρες φόρτισης</li><li>Voltage: 220V-50Hz 3W</li></ul>,ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
36371,Ξυριστική μηχανή - Trimmer - KM-6185 - Kemei,Ξυριστική μηχανή - Trimmer - KM-6185 - Kemei,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_361850.jpg,OEM,No Color,0.9,"<h4>Ξυριστική Μηχανή Kemei KM-6185</h4><p>Ανώδυνο και αποτελεσματικό ξύρισμα, εύκολα και γρήγορα χωρίς ατέλειες και ερεθισμούς. Επαναφορτιζόμενη για ασύρματη χρήση και εργονομική κατασκευή για εύκολο χειρισμό.</p><p><strong>Στη συσκευασία περιλαμβάνεται:</strong></p><ul><li>Βάση φόρτισης</li><li>Προστατευτικό κάλυμμα των κεφαλών κοπής</li><li>Βούρτσα καθαρισμού</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
36520,Ξυριστική μηχανή - KM-6184 - Kemei,Ξυριστική μηχανή - KM-6184 - Kemei,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_361843.jpg,OEM,No Color,0.8,<p>Επαναφορτιζόμενη ξυριστική μηχανή Kemei ΚΜ6184 με βάση φόρτισης και τεχνολογία φιλική προς το δέρμα που το προστατεύει από τραυματισμούς και ερεθισμούς.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Τάση:110-240V<br />Συχνότητα: 50/60HZ<br />Ισχύς: 3w<br />Διακόπτης Switch</p>,ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
36912,Ξυριστική μηχανή - KM-1900 - Kemei,Ξυριστική μηχανή - KM-1900 - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/319004_1310.jpg,OEM,No Color,0.3,"<section class=""product-description-section block-section""><div class=""section-content""><div class=""product-description ""><div class=""rte-content""><div class=""prod-descr""><div class=""prod-descr""><p>Ξυριστική αδιάβροχη μηχανή ιδανική για τριμάρισμα, ξύρισμα και περιποίηση δύσκολων περιοχών. Ελαφριά, εργονομική σχεδίαση για απόλυτο έλεγχο και υψηλή ακρίβεια σε όλες σας τις κινήσεις.</p><p>Δώστε άψογο σχήμα στα φρύδια σας και αφαιρέστε όλες τις ανεπιθύμητες τρίχες προσώπου εύκολα και γρήγορα. Προσαρμόστε το μήκος που θέλετε να κόψετε επιλέγοντας 1 από τα 4 χτενάκια (1/2/4/6mm) και απομακρύνετε τις κομμένες τρίχες και τα χνούδια με το ειδικό βουρτσάκι. Μπορείτε ακόμη να αφαιρέστε τις ενοχλητικές τρίχες από τα χέρια, τα πόδια, τους ώμους, τις μασχάλες, το λαιμό, την πλάτη κ.α. εύκολα και ανώδυνα.</p><p>Μπορεί να χρησιμοποιηθεί στο μπάνιο σας καθώς διαθέτει υψηλή ανθεκτικότητα στο νερό.</p><p>Το τοξωτό σχήμα της κεφαλής προσαρμόζεται στις γωνίες του προσώπου και του σώματος για απόλυτη ομοιομορφία.</p><p><strong>Τεχνικά χαρακτηριστικά:</strong></p><ul><li>Υψηλή ταχύτητα 13000 στροφών/λεπτό.</li><li>Eξτρα-λεπτή λεπίδα πάχους 0.2mm για απόλυτη ακρίβεια.</li><li>Λυχνία ένδειξης μπαταρίας.</li><li>Ισχύς: 3W</li><li>Input: 5V</li><li>Χρόνος φόρτισης: 2h</li><li>Χρόνος χρήσης: 55min</li><li>Oδηγίες χρήσης στα Αγγλικά</li></ul></div></div></div></div></div></section><section id=""product-details-wrapper"" class=""product-details-section block-section""><h4 class=""section-title""> </h4></section>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
37074,Ξυριστική μηχανή - KM-6330 - Kemei,Ξυριστική μηχανή - KM-6330 - Kemei,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/363304_1511.jpg,OEM,No Color,0.8,"<p>Κουρευτική και ξυριστική μηχανή KM-6330 της Kemei, με όλα τα απαραίτητα αξεσουάρ για κάθε είδους περιποίηση.Περιλαμβάνει 3 εναλλασόμενες κεφαλές για κούρεμα, ξύρισμα και περιποίηση μύτης/αυτιών. Αναβαθμίστε τις καθημερινές συνήθειες περιποίησης σας με μία μόνο συσκευή!<br /><br /><strong>Χαρακτηριστικά:</strong></p><ul><li>Χρόνος χρήσης: έως 60 λεπτά</li><li>Χρόνος φόρτισης: 8 ώρες</li><li>Τάση: 100 – 240V</li><li>Ισχύς: 3W</li><li>Διαστάσεις: 16 x 3cm</li></ul><p><strong>Στη συσκευασία περιλαμβάνονται:</strong></p><ul><li>Συσκευή</li><li>Κεφαλή για μύτη και αυτιά</li><li>Κεφαλή κουρέματος</li><li>Κεφαλή ξυρίσματος</li><li>Χτενάκι κοπής</li><li>Λαδάκι λίπανσης λεπίδας</li><li>Βουρτσάκι καθαρισμού</li><li>Καλώδιο φόρτισης</li><li>Εγχειρίδιο οδηγιών στα Αγγλικά</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
37083,Ξυριστική μηχανή - KM-5558 - Kemei,Ξυριστική μηχανή - KM-5558 - Kemei,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/355583_1511.jpg,OEM,No Color,0.8,"<section class=""product-description-section block-section""><div class=""section-content""><div class=""product-description ""><div class=""rte-content""><p>Κουρευτική και ξυριστική μηχανή KM-5558 Kemei, με όλα τα απαραίτητα αξεσουάρ για κάθε είδους περιποίηση. Οι φιλικές προς το δέρμα λεπίδες από ανοξείδωτο ατσάλι και ο ταχύτατα περιστρεφόμενος κινητήρας από κράμα Silver Pd προσδίδουν επαγγελματική διάσταση στο κούρεμα και το ξύρισμα σας, ενώ ο κομψός σχεδιασμός της εντυπωσιάζει.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Μία φόρτιση 6 ωρών μπορεί να προσφέρει αυτονομία 1 ώρας.</li><li>Τάση: 100-240V 50/60Hz</li><li>Ισχύς: 3W</li></ul><p><strong>Στη συσκευασία περιλαμβάνονται:</strong></p><ul><li>Συσκευή</li><li>Κεφαλή για μύτη και αυτιά</li><li>Κεφαλή κουρέματος</li><li>Κεφαλή ξυρίσματος</li><li>Χτενάκι κοπής</li><li>Λαδάκι λίπανσης λεπίδας</li><li>Βουρτσάκι καθαρισμού</li><li>Καλώδιο φόρτισης</li><li>Εγχειρίδιο οδηγιών στα Αγγλικά</li></ul></div></div></div></section>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
37793,Ξυριστική μηχανή - KM-2803 - Kemei,Ξυριστική μηχανή - KM-2803 - Kemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/328037.jpg,OEM,No Color,0.5,"<div><div><p>Ξυριστική μηχανή Kemei που διαθέτει 3 κεφαλές. Η πρώτη μπορεί να χρησιμοποιηθεί ως trimmer για να αφαιρεί τις τρίχες από τη μύτη και τα αυτιά.<br />Η δεύτερη είναι ιδανική για φροντίσει τα φρύδια, τις φαβορίτες, τα γένια, το μούσι και τις τρίχες στο σβέρκο. Η τρίτη είναι ιδανική για το καθημερινό ξύρισμα και για γένια κάτω των 2mm.</p><p><strong>Χαρακτηριστικά :</strong></p></div><div><section><div><ul><li>Επαναφορτιζόμενη</li><li>Πρωτοποριακός σχεδιασμός τριών κεφαλών</li><li>Αδιάβροχη</li><li>Ανοξείδωτο πλέγμα και λεπίδες</li><li>Ευκολία στο καθάρισμα</li><li>Λειτουργία με καλώδιο/χωρίς καλώδιο.</li><li>Χρόνος φόρτισης: 10 ώρες</li><li>Αυτονομία μπαταρίας: 60 λεπτά</li><li>Ένδειξη φόρτισης</li></ul></div></section></div></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
38033,Ξυριστική μηχανή - KM-1429 - Kemei,Ξυριστική μηχανή - KM-1429 - Kemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/314290.jpg,OEM,No Color,0.3,"<p>Επαναφορτιζόμενη ξυριστική μηχανή KM-1429 της Kemei με 3 διαφορετικές κεφαλές για την περιποίηση μαλλιών, προσώπου, μύτης και αυτιών. <br />Ενα πρακτικό πολυεργαλείο trimmer, ιδανικό για κάθε είδους περιποίηση και ανώδυνη απομάκρυνση των τριχών χωρίς ερεθισμούς. <br />Αδιάβροχη για χρήση και στο ντουζ, με πλενόμενες κεφαλές για εύκολο καθαρισμό.</p><p><strong> Χαρακτηριστικά :</strong></p><p>Ισχύς: 3W<br />Διαστάσεις: 17 x 5 x 4cm<br />Αυτονομία μπαταρίας: έως 60min<br />Χρόνος φόρτισης: 8 ώρες<br />Βάρος: 135gr</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη κομμωτηρίου>Ξυριστικές μηχανές
