id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38419,Μπαλαντέζα - 50m - Finder - 197204,Μπαλαντέζα - 50m - Finder - 197204,in stock,new,144 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_197204.jpg,OEM,No Color,12,"<p>Μπαλαντέζα καρούλι, πλαστική, με χειρολαβή, 50m, Finder</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
38420,Μπαλαντέζα - 25m - Finder - 197203,Μπαλαντέζα - 25m - Finder - 197203,in stock,new,90 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_197203.jpg,OEM,No Color,12,"<p>Μπαλαντέζα καρούλι, πλαστική, με χειρολαβή, 25m, Finder</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
54052,Προέκταση - Μπαλαντέζα - 20m - 675732,Προέκταση - Μπαλαντέζα - 20m - 675732,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/675732.jpg,OEM,No Color,3.0,"Μπαλαντέζα, προέκταση καλωδίου ρεύματος 20 μέτρων, σούκο, με ενισχυμένο κάλυμμα προστασίας.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59488,Κάθετο πολύπριζο 16 θέσεων - Σούκο - 4U,Κάθετο πολύπριζο 16 θέσεων - Σούκο - 4USB - RC-G16P - 016232,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/016232.jpg,OEM,No Color,1.0,"<p>Κάθετο πολύπριζο 16 θέσεων, με 4 θύρες USB και πρίζα Σούκο - RC-G16P.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59491,Κάθετο πολύπριζο 12 θέσεων - Σούκο - 4U,Κάθετο πολύπριζο 12 θέσεων - Σούκο - 4USB - RC-G12P - 012234,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/012234.jpg,OEM,No Color,1.0,"<p>Κάθετο πολύπριζο 12 θέσεων, με 4 θύρες USB και πρίζα Σούκο - RC-G12P.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59494,Κάθετο πολύπριζο 8 θέσεων - Σούκο - 4US,Κάθετο πολύπριζο 8 θέσεων - Σούκο - 4USB - RC-G8P - 008237,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/008237.jpg,OEM,No Color,0.8,"<p>Κάθετο πολύπριζο 8 θέσεων, με 4 θύρες USB και πρίζα Σούκο - RC-G8P.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59497,Κάθετο πολύπριζο 4 θέσεων - Σούκο - 4US,Κάθετο πολύπριζο 4 θέσεων - Σούκο - 4USB - RC-G4P - 004239,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/004239.jpg,OEM,No Color,0.8,"<p>Κάθετο πολύπριζο 4 θέσεων, με 4 θύρες USB και πρίζα Σούκο - RC-G4P.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59500,Κάθετο πολύπριζο 16 θέσεων - Σούκο - 2U,Κάθετο πολύπριζο 16 θέσεων - Σούκο - 2USB - RC-G16P - 016133,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/016133.jpg,OEM,No Color,1.0,<p>Κάθετο πολύπριζο 16 θέσεων με 2 θύρες USB και πρίζα Σούκο - RC-G16P.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59503,Κάθετο πολύπριζο 12 θέσεων - Σούκο - 2U,Κάθετο πολύπριζο 12 θέσεων - Σούκο - 2USB - RC-G12P - 012135,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/012135.jpg,OEM,No Color,1.0,<p>Κάθετο πολύπριζο 12 θέσεων με 2 θύρες USB και πρίζα Σούκο - RC-G12P.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
59506,Κάθετο πολύπριζο 8 θέσεων - Σούκο - 2US,Κάθετο πολύπριζο 8 θέσεων - Σούκο - 2USB - RC-G8P - 008138,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/008138.jpg,OEM,No Color,0.8,<p>Κάθετο πολύπριζο 8 θέσεων με 2 θύρες USB και πρίζα Σούκο - RC-G8P.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Καλωδιώσεις  πολύπριζα
