id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35235,Λάμπα LED COB E27 5W - 258650,Λάμπα LED COB E27 5W - 258650,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E27 5W - 258650,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35239,Λάμπα LED COB E27 3W - 586413,Λάμπα LED COB E27 3W - 586413,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E27 3W - 586413,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35240,Λάμπα LED COB E27 5W - 861244,Λάμπα LED COB E27 5W - 861244,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E27 5W - 861244,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35242,Λάμπα LED COB E14 7W - 586512,Λάμπα LED COB E14 7W - 586512,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E14 7W - 586512,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35243,Λάμπα LED COB E14 5W - 286129,Λάμπα LED COB E14 5W - 286129,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E14 5W - 286129,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35261,Λάμπα εξοικονόμησης ενέργειας 7W E27,Λάμπα εξοικονόμησης ενέργειας 7W E27,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/61i9tvppdhL._SL1100_.jpg,OEM,No Color,0.2,Λάμπα εξοικονόμησης ενέργειας 7W E27,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35275,Λάμπα LED COB E14 3W - 861275,Λάμπα LED COB E14 3W - 861275,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E14 3W - 861275,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35299,Λάμπα εξοικονόμησης ενέργειας 12W E27 ,Λάμπα εξοικονόμησης ενέργειας 12W E27 6500K - 487627,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/61i9tvppdhL._SL1100_.jpg,OEM,No Color,0.2,Λάμπα εξοικονόμησης ενέργειας 12W E27 6500K,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35311,Λάμπα LED COB E14 7W Λευκό θερμό - 861329,Λάμπα LED COB E14 7W Λευκό θερμό - 861329,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,"<p>Λάμπα LED COB E14 7W - 861329</p><h3> </h3><ul><li>Ισχύς: 5 W</li><li>Εφαρμογή: E14</li><li>Lumen: 450 lm</li><li>Γωνία Δέσμης:  -</li><li>Χρώμα: Θερμό Λευκό</li><li>220v</li></ul><div class=""tooltip-container explanation-icon-container light-theme right"" role=""presentation""> </div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
35312,Λάμπα LED COB E27 7W - 861251 - Θερμό φως,Λάμπα LED COB E27 7W - 861251 - Θερμό φως,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/cobgold.jpg,OEM,No Color,0.2,Λάμπα LED COB E27 7W - 861251 - Θερμό φως,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Λάμπες LED
