id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35251,Λάμπα Spotlight - Bulb - GU10 - 5W,Λάμπα Spotlight - Bulb - GU10 - 5W,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/vmax_v_lc1303_01.jpg,OEM,No Color,0.2,Λάμπα Spotlight - Bulb - GU10 - 5W,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
35281,Λάμπα LED - Downlight – 20W - 6500K - 814586,Λάμπα LED - Downlight – 20W - 6500K - 814586,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/017200.jpg,OEM,No Color,0.2,<p>Λάμπα LED Downlight – 20W - 6500K</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
35282,Λάμπα LED - Downlight – 30W - 4000K - 000201,Λάμπα LED - Downlight – 30W - 4000K - 000201,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/017200.jpg,OEM,No Color,0.2,<p>Λάμπα LED Downlight – 30W - 4000K</p><p>Διάμετρος:</p><ul><li>22cm εξωτερικά</li><li>8cm εσωτερικά</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
35295,Λάμπα GU 5.3 12v,Λάμπα GU 5.3 12v,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/mr16-gu53-led-spot-12v-5-watt.jpg,OEM,No Color,0.2,Λάμπα GU 5.3 12v,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
35310,Λάμπα LED - Downlight – 15W - 6500K - 817525,Λάμπα LED - Downlight – 15W - 6500K - 817525,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/017200.jpg,OEM,No Color,0.2,<p>Λάμπα LED Downlight – 15W - 6500K</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
35336,Λάμπα LED - Downlight – 10W - 4000K - 817853,Λάμπα LED - Downlight – 10W - 4000K - 817853,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/017200.jpg,OEM,No Color,0.2,<p>Λάμπα LED Downlight – 10W - 4000K</p><p>Διάμετρος:</p><ul><li>13cm εξωτερικά</li><li>10cm εσωτερικά</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
36133,Φωτιστικό LED - Downlight - 20W - 6500K - 065003,Φωτιστικό LED - Downlight - 20W - 6500K - 065003,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_040009-1.jpg,OEM,No Color,0.8,<p>Φωτιστικό LED - Downlight - 20W - 6500K</p><p>Εξωτερική διάμετρος: 18.5 εκατοστά.<br />Εσωτερική διάμετρος: 16 εκατοστά.<br />Lumens: 1800.<br />Τάση: 165-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
36134,Φωτιστικό LED - Downlight - 15W - 6500K - 565002,Φωτιστικό LED - Downlight - 15W - 6500K - 565002,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_040009-1.jpg,OEM,No Color,0.8,<p>Φωτιστικό LED - Downlight - 15W - 6500K</p><p>Εξωτερική διάμετρος: 16 εκατοστά.<br />Εσωτερική διάμετρος: 14.5 εκατοστά.<br />Lumens: 1350.<br />Τάση: 165-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
36135,Φωτιστικό LED - Downlight - 10W - 6500K - 065001,Φωτιστικό LED - Downlight - 10W - 6500K - 065001,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_040009-1.jpg,OEM,No Color,0.8,<p>Φωτιστικό LED - Downlight - 10W - 6500K</p><p>Εξωτερική διάμετρος: 13 εκατοστά.<br />Εσωτερική διάμετρος: 10.5 εκατοστά.<br />Lumens: 900.<br />Τάση: 165-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
36136,Φωτιστικό LED - Downlight - 7W - 6500K - 765001,Φωτιστικό LED - Downlight - 7W - 6500K - 765001,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_040009-1.jpg,OEM,No Color,0.8,<p>Φωτιστικό LED - Downlight - 7W - 6500K</p><p>Εξωτερική διάμετρος: 9 εκατοστά.<br />Εσωτερική διάμετρος: 7.5 εκατοστά.<br />Lumens: 630.<br />Τάση: 165-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πάνελ  σποτάκια LED
