id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35216,Προβολέας LED - 30W - IP66 - 6000K - 000309,Προβολέας LED - 30W - IP66 - 6000K - 000309,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/προβολέας-led-30w-ip66-6000k.jpg,OEM,No Color,1.7,<p>Προβολέας LED - 30W - IP66 - 6000K</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
35217,Προβολέας LED - 20W - 6000K - IP66 - 010202,Προβολέας LED - 20W - 6000K - IP66 - 010202,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/150wprov.png,OEM,No Color,1.8,"<table id=""dnn_ctr380_ProductPage_BulletListGrid"" cellspacing=""0"">
<tbody>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_0"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">Watt </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">20W</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_1"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">Kelvin </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">6000 Day Light</span>

</div></td>
</tr>
<tr>
<td></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_3"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">Δέσμη - Beam</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">140º</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_4"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">IP - Στεγανότητα</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">66</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_5"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">Led Type</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">SMD</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_6"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Υλικό - Material</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Αλουμίνιο - Aluminium</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_7"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Χρώμα - Color</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Μαύρο - Black</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_8"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">Voltage </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">85V-265V</span>

Διαστάσεις: h:366mm x W:284mm x D:105mm

</div></td>
</tr>
</tbody>
</table>
&nbsp;",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
35218,Προβολέας LED - 10W - IP66 - 6000K - 000101,Προβολέας LED - 10W - IP66 - 6000K - 000101,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/προβολέας-led-10w-6000k.jpg,OEM,No Color,1.1,<p>Προβολέας LED - 10W - IP66 - 6000K</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
35221,Προβολέας LED - 150W - 6000K - IP66 - 011501,Προβολέας LED - 150W - 6000K - IP66 - 011501,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/150wprov.png,OEM,No Color,6.5,"<table id=""dnn_ctr380_ProductPage_BulletListGrid"" cellspacing=""0"">
<tbody>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_0"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">Watt </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">150W</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_1"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">Kelvin </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">6000 Day Light</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_2"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_2"">Lumen </label>13500

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_3"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">Δέσμη - Beam</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">140º</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_4"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">IP - Στεγανότητα</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">66</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_5"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">Led Type</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">SMD</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_6"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Υλικό - Material</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Αλουμίνιο - Aluminium</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_7"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Χρώμα - Color</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Μαύρο - Black</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_8"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">Voltage </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">85V-265V

</span>Διαστάσεις: h:366mm x W:284mm x D:105mm

</div></td>
</tr>
</tbody>
</table>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
35222,Προβολέας LED - 200W - 6000K - IP66 - 012007,Προβολέας LED - 200W - 6000K - IP66 - 012007,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/150wprov.png,OEM,No Color,6.2,"<table id=""dnn_ctr380_ProductPage_BulletListGrid"" cellspacing=""0"">
<tbody>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_0"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">Watt </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_0"">200W</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_1"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">Kelvin </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_1"">6000 Day Light</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_2"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_2"">Lumen </label>13500

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_3"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">Δέσμη - Beam</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_3"">140º</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_4"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">IP - Στεγανότητα</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_4"">66</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_5"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">Led Type</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_5"">SMD</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_6"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Υλικό - Material</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_6"">Αλουμίνιο - Aluminium</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_7"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Χρώμα - Color</label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_7"">Μαύρο - Black</span>

</div></td>
</tr>
<tr>
<td>
<div class=""row"">

<label id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemType_8"" class=""col-xs-4 col-md-3"" for=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">Voltage </label><span id=""dnn_ctr380_ProductPage_BulletListGrid_lblListItemText_8"">85V-265V</span>

Διαστάσεις: h:366mm x W:284mm x D:105mm

</div></td>
</tr>
</tbody>
</table>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
35290,Προβολέας LED – 70W - 098045,Προβολέας LED – 70W - 098045,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/70wpr.jpeg,OEM,No Color,5.1,"<ul>
 	<li>Ισχύς (W) :70W</li>
 	<li>Ρεύμα Τροφοδοσίας (V) :220-240V AC</li>
 	<li>Τύπος Led :LED COB</li>
 	<li>Χρωματισμός Λαμπτήρα : 6500K</li>
 	<li>Μοίρες Απόδοσης Φωτισμού :120°</li>
 	<li>Διάρκεια Ζωής : 30.000h</li>
 	<li>Βαθμός Στεγανότητας : IP65</li>
 	<li> Ένδειξη CE :ΝΑΙ</li>
 	<li>Ύψος : 287mm</li>
 	<li>Μήκος : 287mm</li>
 	<li>Πλάτος : 82mm</li>
 	<li>Αποδοτικότητα lm/W : 80lm/W</li>
 	<li>Συντελεστής Άεργου Ισχύος :&gt;0.60</li>
 	<li>Χρωματική Απόδοση CRI (Ra) :&gt;80</li>
</ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
36098,Προβολέας LED - 10W - IP66 - 001018,Προβολέας LED - 10W - IP66 - 001018,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_001018.jpg,OEM,No Color,1.1,<p>Αδιάβροχος προβολεάς 10W - IP66<br />Διάσταση: 13Χ11Χ4.1 εκατοστά.<br />Lumen: 1200<br />Τάση: 85-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
36144,Προβολέας LED - 150W - IP66 - 011505,Προβολέας LED - 150W - IP66 - 011505,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_011505.jpg,OEM,No Color,6.2,<p>Αδιάβροχος προβολεάς 150W - IP66<br />Διάσταση: 34.5Χ31Χ8 εκατοστά.<br />Lumen: 18000<br />Τάση: 85-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
36145,Προβολέας LED - 30W - IP66 - 003098,Προβολέας LED - 30W - IP66 - 003098,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0107_003098.jpg,OEM,No Color,1.9,<p>Αδιάβροχος προβολεάς 30W - IP66<br />Διάσταση: 19.6Χ17.2Χ5.2 εκατοστά.<br />Lumen: 3600<br />Τάση: 85-265V.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
36934,Προβολέας LED – 30W – IP66 – 034522,Προβολέας LED – 30W – IP66 – 034522,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1702_034522-1.jpg,OEM,No Color,1.4,"<div><div>Ισχυρός, αδιάβροχος (ip65)<b> </b>προβολέας LED για να<b> </b>φωτίσετε οικονομικά κάθε εξωτερικό σημείο του σπιτιού ή της επιχείρησης σας ενώ παράλληλα κρατάτε ασφαλή τον χώρο σας καθώς θα φωτίσει αυτόματα μόλις κάποιος πλησιάσει.</div><div>Διαθέτει ρυθμιζόμενο αισθητήρα κίνησης για να ενεργοποιείται μόνο όποτε τον χρειάζεστε και ρυθμιζόμενο αισθητήρα φωτός. Επιπλέον μπορείτε να επιλέξετε τη διάρκεια του φωτισμού ανάλογα με τις ανάγκες σας και το σημείο που φωτίζετε.</div><div>Είναι ειδικά κατασκευασμένος για εξωτερικό χώρο: είναι υπέρ-ανθεκτικός και αδιάβροχος. </div><div> </div><div>Χαρακτηριστικά:</div><ul><li>Αυτόματος</li><li>Δυνατό, λευκό φως LED</li><li>3 ρυθμίσεις για: ευαισθησία αισθητήρων κίνησης και φωτός και διάρκεια φωτισμού</li><li>Χωρίς ακτινοβολία UV ή IR</li><li>IP65 αδιάβροχος</li><li>120 μοίρες γωνία φωτισμού</li></ul></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Προβολείς LED εξωτερικού χώρου
