id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35303,Υποβρύχιος καταδυτικός φακός - BL-8770 ,Υποβρύχιος καταδυτικός φακός - BL-8770 - Bailong - 487704,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/υποβρήχιος-καταδυτικός-φακός-bl-8770.jpeg,OEM,No Color,0.6,"<div id=""tab-description"" class=""tab-pane tab-content active"">ΥΠΟΒΡΥΧΙΟΣ ΚΑΤΑΔΥΤΙΚΟΣ ΦΑΚΟΣ BAILONG BL-8770<ul><li>Μήκος : 16cm</li><li>Μέγιστο βάθος 80-100m</li><li>100.000 ώρες λειτουργίας LED</li><li>Αντοχή σε δύσκολες καιρικές συνθήκες, Ανθεκτικός σε πτώσεις και στη σκόνη </li><li>Συνεχόμενη λειτουργία σχεδόν 300 λεπτά </li><li>Με εργονομικό design ιδανικό για outdoor δραστηριότητες</li></ul><p><u>Περιέχει:</u></p><ul><li>1x μπαταρία λιθίου 4200mAh</li><li>Καλώδιο USB</li><li>Φορτιστή αυτοκινήτου </li></ul></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
37560,Φακός μπαταρίας LED - Mini - 27LED - 515305,Φακός μπαταρίας LED - Mini - 27LED - 515305,in stock,new,3.96 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/515305.jpg,OEM,No Color,0.4,<p>Επαναφορτιζόμενος φακός LED σε Mini πρακτικό μέγεθος.<br />Προσφέρει ισχύρο φωτισμό με 27 LEDs.<br />Λειτουργεί με 3 μπαταρίες ΑΑ (δεν περιλαμβάνονται)<br />Διαστάσεις: 10 x 4cm</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
38164,Φακός εργασίας LED - Ράβδος - JW823 - 257460,Φακός εργασίας LED - Ράβδος - JW823 - 257460,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257460_812.jpg,OEM,No Color,0.1,"<p>Επαγγελματικός, επαναφορτιζόμενος φακός εργασίας με λαβή. Διαθέτει δύο πλευρές φωτισμού LED – COB, ισχυρού φωτισμού, και γάντζο κρεμάσματος.</p><p><span - =""VIiyi"" lang=""el""><span - =""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""bg"" data-phrase-index=""0"" data-number-of-phrases=""1"">Χαρακτηριστικά:<br />Διαστάσεις: 35 x 3 cm<br />Φόρτιση με καλώδιο USB (περιλαμβάνεται)<br />Ισχύς: 3000mA <br />Υλικό: ABS <br />Τάση λειτουργίας: 3,7V – <br />Φωτεινότητα: 400-800 lumens</span></span></p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
38165,Φακός εργασίας LED - Ράβδος - JW55 - 500554,Φακός εργασίας LED - Ράβδος - JW55 - 500554,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2004_500554.jpg,OEM,No Color,0.1,"<p>Επαναφορτιζόμενος φακός εργασίας COB LED με μαγνήτη.</p><p>Ισχυρός μαγνήτης στην βάση του φακού για να τον στηρίζετε σε μεταλλική επιφάνεια όταν θέλετε να εργαστείτε έχοντας τα χέρια σας ελεύθερα, ενώ διαθέτει περιστροφή 360<sup>o</sup> και πτυσσόμενη κεφαλή για να φωτίζει και τα πιο δυσπρόσιτα σημεία.</p><p>Με ροδέλα-ρυθμιστή φωτεινότητας.<br />Αυτονομία μπαταρίας: έως και 12 ώρες σε χαμηλή ένταση, έως και 4 ώρες στη μέγιστη ένταση<br />Φωτεινή λυχνία ένδειξης φόρτισης<br />Διαστάσεις: 38 x 3cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
38276,Φακός εργασίας LED/COB με μαγνήτη - ZJ07 - ,Φακός εργασίας LED/COB με μαγνήτη - ZJ07 - 257439,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257439_812.jpg,OEM,No Color,0.3,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
38652,Φακός LED μπαταρίας - A18 - LED Strong - 979860,Φακός LED μπαταρίας - A18 - LED Strong - 979860,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/979860.jpg,OEM,No Color,0.4,"<p>Χαρακτηριστικά:</p><ul><li>Zoom Flashlight</li><li><span class=""attr-name J-attr-name"" title=""Battery Type"">Μπαταρίες: 3 x </span>D Size (δεν περιλαμβάνονται)</li><li><span class=""attr-name J-attr-name"" title=""Switch"">3 λειτουργίες: </span>High - Low - Strobe</li><li>Απόσταση φωτισμού: 150m </li><li><span class=""attr-name J-attr-name"" title=""IP Rating"">Αδιαβροχοποίηση: </span>IP65</li><li>Ιδιαίτερα ανθεκτική κατασκευή αλουμινίου</li><li><span class=""attr-name J-attr-name"" title=""Luminous Efficacy(lm/w)"">Luminous Efficacy(lm/w): </span>1200</li><li>Θερμοκρασία φωτός: Ψυχρό λευκό</li><li><span class=""attr-name J-attr-name"" title=""Size"">Διαστάσεις: </span>300*52*38 mm</li><li><span class=""attr-name J-attr-name"" title=""Weight"">Βάρος: </span>303g</li><li><span class=""attr-name J-attr-name"" title=""Certification"">Πιστοποίηση: CE</span>, RoHS</li><li>Διαθέτει πυξίδα στο πίσω μέρος</li><li>Διαθέτει λουράκι μεταφοράς</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
39178,Φακός LED μπαταρίας - Mini - 1159 - 180098,Φακός LED μπαταρίας - Mini - 1159 - 180098,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/180098.jpg,OEM,No Color,0.5,"<p>Φακός χειρός LED σε εργονομικό mini μέγεθος, για να τον έχετε μαζί σας παντού.<br />Διαθέτει μπροστινό και πλαϊνό ισχυρό φακό και ειδικό κλιπ τοποθέτησης.<br />Λειτουργεί με μπαταρίες (δεν περιλαμβάνονται)</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
39445,Φορητός ηλιακός φακός υψηλής απόδο�,Φορητός ηλιακός φακός υψηλής απόδοσης - W5114 – 500172,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/500172_712.jpg,OEM,No Color,2.0,"<p>Φορητός ηλιακός φακός υψηλής απόδοσης W5114 – ΟΕΜ</p><p>Υλικό: ABS + PS</p><p>Τύπος Μπαταρίας: Ενσωματωμένη μπαταρία 2×18650 3000mAh</p><p>Πηγή φωτός LED: P50</p><p>Διάρκεια μπαταρίας 2-6 ώρες (ανάλογα με τη λειτουργία φωτισμού)</p><p>Έξοδος φωτός 800/2500 lumens για ολόκληρο τον φακό</p><p>Λειτουργίες φωτός:</p><p>5 λειτουργίες: ψηλό, χαμηλό στροβοσκόπιο και μπλε/κόκκινο στροβοσκοπικό</p><p>Ζουμ: Χωρίς ζουμ</p><p>Εύρος ακτινοβολίας&gt; 150 τετραγωνικά μέτρα</p><p>Led ColorWhite ως στάνταρ. κόκκινο / UV / κίτρινο / πράσινο (προσαρμόσιμο)</p><p>Πιστοποίηση CE, RoHS, FCC</p><p>Αντοχή στο νερό IPX5</p><p>Μέγεθος φακού: 147 * 150 * 300 mm, <br />Καθαρό βάρος: 632 g</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
39607,Επιτραπέζιος φακός LED - W5106 - 165004,Επιτραπέζιος φακός LED - W5106 - 165004,in stock,new,50.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/165004.png,OEM,No Color,12.0,"<p>Διαθέτει:<br />Φακό P70 LED<br />Lumen: 1800lm<br />4 αποχρώσεις χρώματος<br />Μπορεί να λειτουργήσει έως και 20 ώρες μέσω της πολύ δυνατής επαναφορτιζόμενης μπαταρίας που διαθέτει<br />Διαθέτει powerbank για φόρτιση κινητών συσκευών<br />Φορτίζει με καλώδιο type C<br />Διαθέτει εξωτερικό εφέ τζακιού</p><p>Πολύ εύχρηστος και εύκολος στην μεταφορά, ιδανικός για οικιακή αλλά και επαγγελματική χρήση.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
39660,Φακός LED μπαταρίας - Mini - 18 - 518184,Φακός LED μπαταρίας - Mini - 18 - 518184,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/518184.jpg,OEM,No Color,0.4,"<p>Mini φακός μπαταρίας LED, σε μικρό πρακτικό μέγεθος που μπορεί να αποθηκευτεί και να μεταφερθεί παντού.</p><p>Λειτουργεί με 3 μπαταρίες ΑΑ (δεν περιλαμβάνονται).<br />Διαστάσεις: 8 x 2.5 cm<br />Διαθέτει λουράκι μπρελόκ</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί
