id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35293,Επαναφορτιζόμενος φακός LED - XLM4-T6 - 500,Επαναφορτιζόμενος φακός LED - XLM4-T6 - 500042,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_500042.jpg,OEM,No Color,0.6,"<p>Απόσταση Δέσμης Φωτός : 200 m<br />Χρόνος Διάρκειας Συνεχούς Χρήσης : 5 ώρες<br />Δύναμη Φωτός : 1200 lumens<br />Τύπος Μπαταρίας : 1 x 3,7 V 18650<br />Διαστάσεις : διαμ. 52,8 mm x 160 mm<br />Βάρος : 256,5 gr</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
36339,Επαναφορτιζόμενος φακός LED - BL-2005-P50 -,Επαναφορτιζόμενος φακός LED - BL-2005-P50 - 520057,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_520057.jpg,OEM,No Color,0.4,<p>Επαναφορτιζόμενος φακός - BL2005-P50 </p><div><u>ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ:</u></div><ul><li><div>3 σκάλες φωτισμού:</div></li><li><div>High (φωτεινό) – 100%</div></li><li><div>Μεσαίο (μεσαία) – 50%</div></li><li><div>Ελάχιστη (ασθενής) – 25%</div></li><li><div>Δυνατότητα αυξομείωσης της δέσμης φωτός</div></li><li><div>Εμβέλεια: Έως και 1000m</div></li><li><div>Διάρκεια ζωής: 100.000 ώρες</div></li><li><div>Ο φακός τροφοδοτείται από μια επαναφορτιζόμενη μπαταρία Li-ion 18650 BL26650 3.7V 6800mAH ή 3 μπαταρίες ΑΑΑ με αντάπτορα</div></li><li><div>Διαστάσεις(Μ x Π x Υ): 4.5 x 4 x 16.8cm</div></li><li><div>Καθαρό βάρος: 0.209kg</div></li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37216,Επαναφορτιζόμενος ηλιακός φακός LED ,Επαναφορτιζόμενος ηλιακός φακός LED COB - XG-152 - 257309,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257309_812.jpg,OEM,No Color,0.5,"<p>Πολυλειτουργικός, επαναφορτιζόμενος φακός με ηλιακό πάνελ φόρτισης που προσδίδει μεγαλύτερη διάρκεια στη μπαταρία. Διαθέτει ισχυρό φωτισμό με προβολέα που αποτελείται από 20Led's COB στο πλάι και μπροστινό φακό.</p><p>Διαθέτει 2 εισόδους USB και μπορεί να λειτουργήσει και ως power bank για το κινητό ή το τάμπλετ σας.</p><p>Διαστάσεις: 22.5 x 19cm</p><p>Διάμετρος μπροστινού φακού: 2cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37304,Επαναφορτιζόμενος φακός LED - 3 colors - 4.,Επαναφορτιζόμενος φακός LED - 3 colors - 4.2V - W868A - 326036,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/326036.png,OEM,No Color,0.6,<p>Επαναφορτιζόμενος φακός με 3 ρυθμίσεις φωτισμού και λειτουργία SOS. Διαθέτει οπίσθιο φακό για χρήση σε πάγκο εργασίας.<br />Απόσταση φωτισμού έως και 100 μέτρα.<br />Ισχύς: 30W</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37305,Επαναφορτιζόμενος φακός LED - XJ-001 - 3250,Επαναφορτιζόμενος φακός LED - XJ-001 - 325039,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/325039.png,OEM,No Color,0.3,<p>Φακός με επαναφορτιζόμενη μπαταρία 18650 - 1200mAh και φακό LED-3W. Φορτίζει μέσω USB και το καλώδιο περιλαμβάνεται.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37343,Επαναφορτιζόμενος φακός LED - T55 - 559854,Επαναφορτιζόμενος φακός LED - T55 - 559854,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559854.png,OEM,No Color,0.2,"<div class=""woocommerce-product-details__short-description""><p>Επαναφορτιζόμενος φακός LED με πλαϊνό φως, μικρός και πρακτικός για μεταφορά παντού.</p><p>Φόρτιση με καλώδιο USB</p><p>Μπαταρία: Επαναφορτιζόμενη υψηλής αντοχής</p><p>Μήκος: 10cm</p></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37344,Επαναφορτιζόμενος φακός LED - T69 - 559847,Επαναφορτιζόμενος φακός LED - T69 - 559847,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559847.png,OEM,No Color,0.3,"<p>Επαναφορτιζόμενος φακός LED, μικρός και πρακτικός για μεταφορά παντού.</p><p>Φόρτιση με καλώδιο USB</p><p>Μπαταρία: Επαναφορτιζόμενη υψηλής αντοχής</p><p>Μήκος: 10cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37345,Επαναφορτιζόμενος φακός LED - SL02 - 326029,Επαναφορτιζόμενος φακός LED - SL02 - 326029,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/326029.png,OEM,No Color,0.2,"<p>Επαναφορτιζόμενος φακός χειρός LED, SL02</p><p>Κατανάλωση: 2W</p><p>Μπαταρία: 200mAh</p><div class=""_1YokD2 _2GoDe3""><div class=""_1AtVbE col-6-12""><div class=""_2cM9lP""><div class=""_2418kt""><p>Διαστάσεις: 13 x 10 cm</p></div></div></div></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37504,Επαναφορτιζόμενος φακός LED - Stand-By Ligh,Επαναφορτιζόμενος φακός LED - Stand-By Light - 222 - 616500,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/616500.jpg,OEM,No Color,0.3,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
37559,Επαναφορτιζόμενος φακός LED – BL-8626 –,Επαναφορτιζόμενος φακός LED – BL-8626 – Bailong – 586268,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/586268.jpg,OEM,No Color,0.4,"<div class=""electro-description clearfix""><p>Φακός τεχνολογίας CREE 5K Lumens – πολύ δυνατός, ειδικά σχεδιασμένος για ειδικές εφαρμογές, χόμπυ, ορειβασία – πεζοπορία. <br />Μοντέλο T-8606 με φορτιστή Quick Charger <br />Υλικό κατασκευής – Κράμα Αλουμινίου <br />Αδιάβροχος <br />Αντικραδασμική κατασκευή<br />Χρησιμοποιεί τον LED LUXEON τεχνολογίας CREE <br />500 Lumens <br />Χρόνος ζωής του λαμπτήρα LED – 100,000 ώρες <br />Τροφοδοσία με 2 τρόπους – 1. 3ΧΑΑΑ μπαταρίες σε ειδική θήκη 2. Με την επαναφορτιζόμενη μπαταρία BL-18650 (8800mAH) 3.7V <br />Κουτί Συσκευασίας <br />Κατασκευασμένος από την εταιρία Bailong</p><p>Το κουτί περιλαμβάνει : <br />1 Χ Φακό CREE LED T8606 LUMENS <br />1 X Φορτιστή 220V για την επαναφορτιζόμενη μπαταρία BL-18650 3.7V<br />1 X Φορτιστή Αυτοκινήτου <br />1 X Επαναφορτιζόμενη μπαταρία BL-18650 3.7V (8800mAH) με προστατευτική θήκη <br />1 Χ Εξτρα ειδική θήκη για 3 απλές μπαταρίες ΑΑΑ (βρίσκεται μέσα στον φακό) <br />1 X Λουράκι</p></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί χειρός
