id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35342,Ασύρματο ηχείο Βluetooth Φαναράκι – USB �,Ασύρματο ηχείο Βluetooth Φαναράκι – USB – WS-506 - 876509,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ws506.jpg,OEM,No Color,1,"<p>Ασύρματο ηχείο bluetooth – Φαναράκι – USB – WS-506.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Διαθέτει ραδιόφωνο, bluetooth, usb, κατάλληλο για σαλόνι και μπαλκόνι, με το design του να θυμίζει φαναράκι. 3W - 1800mah επαναφορτιζόμενη μπαταρία. </p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
38145,Επαναφορτιζόμενη λάμπα-φαναράκι LED ,Επαναφορτιζόμενη λάμπα-φαναράκι LED - D41-2 - 182790,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182790.jpg,OEM,No Color,0.2,"<p>Επαναφορτιζόμενη, πολυλειτουργική λάμπα LED, με ηλιακό πάνελ φόρτισης για έξτρα αυτονομία μπαταρίας.<br />Διαθέτει εργονομικό σχεδιασμό με κρεμάστρα, για να μπορεί να τοποθετηθεί οπουδήποτε, ιδανική για Camping, κήπο και φωτισμό υπαίθριων χώρων.</p><p>Θύρα USB 2.0<br />Φόρτιση με καλώδιο USB Type C (περιλαμβάνεται)<br />Ισχυρό ηλιακό πάνελ στο επάνω μέρος που προσφέρει έξτρα αυτονομία μπαταρίας, όταν χρησιμοποιείται σε εξωτερικό χώρο. <br />Διαστάσεις 14 x 11cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
38146,Επαναφορτιζόμενη λάμπα-φαναράκι LED ,Επαναφορτιζόμενη λάμπα-φαναράκι LED - D41-1 - 182783,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182783.jpg,OEM,No Color,0.2,"<p>Επαναφορτιζόμενη, πολυλειτουργική λάμπα LED, με ηλιακό πάνελ φόρτισης για έξτρα αυτονομία μπαταρίας.<br />Διαθέτει εργονομικό σχεδιασμό με κρεμάστρα, για να μπορεί να τοποθετηθεί οπουδήποτε, ιδανική για Camping, κήπο και φωτισμό υπαίθριων χώρων.<br />Διαθέτει επίσης ενσωματωμένο ηχείο Bluetooth, στο οποίο μπορείτε να συνδέσετε ασύρματα το κινητό σας ή οποιαδήποτε συσκευή με Bluetooth και να απολαύσετε παράλληλα την αγαπημένη σας μουσική.</p><p>Θύρα USB 2.0<br />Φόρτιση με καλώδιο USB Type C (περιλαμβάνεται)<br />Ισχυρό ηλιακό πάνελ στο επάνω μέρος που προσφέρει έξτρα αυτονομία μπαταρίας, όταν χρησιμοποιείται σε εξωτερικό χώρο. <br />Διαστάσεις 14 x 11cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
38466,Πολυλειτουργικός φακός LED - T03 - 179050,Πολυλειτουργικός φακός LED - T03 - 179050,in stock,new,46.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/179050.jpg,OEM,No Color,5,"<p>Φορητό φωτιστικό LED με 3 συνδεόμενες εξωτερικές λάμπες και ασύρματο ενσωματωμένο ηχείο. Διαθέτει ηλιακό πάνελ φόρτισης για έξτρα αυτονομία μπαταρίας όταν χρησιμοποιείται σε εξωτερικό χώρο.</p><p>Ψηφιακή οθόνη LCD<br />Θύρες: USB, TF card</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
38779,Φαναράκι LED μπαταρίας - 8008 - 325008,Φαναράκι LED μπαταρίας - 8008 - 325008,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/325008_812-1.png,OEM,No Color,0.5,"<p>Φορητό φαναράκι με λαβή, ιδανικό για το camping, το ψάρεμα και κάθε είδους εξωτερική δραστηριότητα.</p><ul><li><span class=""attr-name J-attr-name"" title=""Color Temperature(CCT)"" data-spm-anchor-id=""a2700.wholesale.0.i14.5767349by1nFXG"">Χρώμα φωτισμού (CCT): Θερμό λευκό.<br /></span></li><li>3 επίπεδα έντασης.</li><li>Αδιαβροχοποίηση: IP65.</li><li>Διαστάσεις: 9.5 x 9 x 12.5cm.</li><li>Ισχύς: 3W.</li><li>Λειτουργεί με 3 μπαταρίες τύπου ΑΑ (δεν περιέχονται).</li><li>Λουράκι/λαβή για μεταφορά ή κρέμασμα.<br />*Το χρώμα του προϊόντος ενδέχεται να διαφέρει από το εικονιζόμενο.</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
39173,Φορητή λάμπα LED με μαγνήτη - ZY717 - 507171,Φορητή λάμπα LED με μαγνήτη - ZY717 - 507171,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_507171.jpg,OEM,No Color,0.5,"<div class=""accordion-body mobile-padding opened-bg-2""><div class=""content clearfix content-card""><div class=""""><p>Με τη φορητή λάμπα μπορείτε να έχετε φως παντού. Μεταφέρεται εύκολα, έχει μαγνήτη και μπορείτε να την κολλήσετε ή να την κρεμάσετε από το κρεμαστράκι που διαθέτει.</p><p>Ιδανική για το κάμπινγκ, το σκάφος, την  αποθήκη, ενώ μπορείτε να την χρησιμοποιήσετε και σαν φακό.</p><p> Με  διακόπτη  λειτουργίας On / Off</p><p>Λειτουργεί με 3 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p></div></div></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
39188,Επαναφορτιζόμενος φακός/φαναράκι LE,Επαναφορτιζόμενος φακός/φαναράκι LED - JA-1953 - 289065,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/289065.jpg,OEM,No Color,0.5,"<p>Πολυλειτουργικός επαναφορτιζόμενος φακός και φαναράκι LED - JA-1953, με κεντρικό μπροστινό φακό και πλαϊνούς φακούς COB.<br />Διαθέτει ηλιακό πάνελ στο πλάι για έξτρα αυτονομία μπαταρίας ενώ διαθέτει θύρα USB με την οποία μπορεί να λειτουργήσει και ως Powerbank.<br />Ισχύς: 3W Light + COB*3 .<br />Ενσωματωμένη μπαταρία λιθίου 18650, 1200mAh .<br />Λυχνία ένδειξης φόρτισης.<br />Πτυσσόμενη χειρολαβή.<br />Κρεμαστράκι.</p><p>*Το χρώμα ενδέχεται να παρουσιάζει διαφορές με το εικονιζόμενο - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
39190,Επαναφορτιζόμενο φωτιστικό/φαναρά�,Επαναφορτιζόμενο φωτιστικό/φαναράκι LED - 6605 - 128612,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/128612.jpg,OEM,No Color,0.5,"<p>Επαναφορτιζόμενο φωτιστικό και φαναράκι LED-6605, με 2 επιφάνειες λευκού φωτισμού. <br />Οι επιφάνειες μπορούν να λειτουργήσουν κλειστές σαν φαναράκι ή να ανοίξουν σε μορφή Τ δημιουργώντας μία μεγάλη λάμπα ισχυρού φωτισμού.<br />Ιδανικό για χρήση στο camping, στον κήπο, στο μπαλκόνι ή σε κάθε είδους εξωτερική δραστηριότητα. <br />Ισχύς: 3W</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
39612,Επαναφορτιζόμενος φακός & φαναράκι ,Επαναφορτιζόμενος φακός & φαναράκι LED – Y06-2 - 182615,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182615.png,OEM,No Color,1.0,"<p>Ο φακός φαναράκι είναι ισχυρός, εξοπλισμένος με LED υψηλής φωτεινότητας 36 SMD και ένα LED 3W.</p><p>Universal φόρτιση USB</p><p>Φόρτιση από οποιαδήποτε μονάδα τροφοδοσίας 5V 1A χρησιμοποιώντας καλώδιο USB-micro USB. Η λάμπα διαθέτει ενσωματωμένη μπαταρία χωρητικότητας 6000 mAh. Ενσωματωμένη μπαταρία λιθίου 3,7 V. <br />Η λάμπα είναι εξοπλισμένη με μια τυπική υποδοχή micro-USB ως θύρα εισόδου φόρτισης και μπορεί να φορτιστεί απευθείας με φορτιστή κινητού τηλεφώνου ή με θύρα εξόδου USB.<br /><br /></p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
39614,Επαναφορτιζόμενο φαναράκι LED και κρ,Επαναφορτιζόμενο φαναράκι LED και κρεμαστό φωτιστικό - XQ-Y01 - 182929 - Black,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182929.png,OEM,No Color,3.0,<p>Επαναφορτιζόμενο φαναράκι LED σε όμορφο retro design που θα δώσει vintage στυλ στον χώρο σας. <br />Φορτίζεται με καλώδιο USB type C (περιλαμβάνεται).<br />Διαθέτει ρυθμιζόμενη θερμοκρασία χρώματος 3 επιπέδων 3500-6000Κ.<br />Επαναφορτιζόμενη μπαταρία 2000mah με αυτονομία φωτισμού έως και 4 ώρες.<br />Κατασκευασμένο από μέταλλο και πλαστικό ABS υλικό.<br />Διαθέτει λαβή/κρεμαστράκι που το μετατρέπει εύκολα σε κρεμαστό φωτιστικό.<br />Διαστάσεις συσκευασίας: 20x14cm</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Επαναφορτιζόμενα φαναράκια
