id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37341,Επαναφορτιζόμενο φωτιστικό φαναρά�,Επαναφορτιζόμενο φωτιστικό φαναράκι κήπου - GD-2203-B - 30W - 559809,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559809.png,OEM,No Color,0.4,"<p class=""main"">Καρφωτό ηλιακό φωτιστικό σε μαύρο χρώμα, που συγκεντρώνει και αποθηκεύει ηλιακή ενέργεια για τη λειτουργία του, ώστε να μη χρειάζεται να συνδεθεί σε παροχή ρεύματος. Διαθέτει αισθητήρα φωτός που του επιτρέπει να ενεργοποιείται αυτόματα κατά τη δύση του ηλίου.</p>

<ul class=""columns-list"">
 	<li>Διαθέτει φωτοκύτταρο</li>
</ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
38769,Ηλιακός προβολέας κήπου LED RGB - 18LED - 18,Ηλιακός προβολέας κήπου LED RGB - 18LED - 182714,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182714.jpg,OEM,No Color,1.0,"<p><strong>LED Ηλιακό Φωτιστικό Κήπου 1,5W, Αδιάβροχο, με ειδικό πάσσαλο τοποθέτησης.</strong><br /><br /><strong>Χαρακτηριστικά:</strong><br />Χρώμα φωτισμού: πολύχρωμο RGB<br />Ισχύς: 1.5W<br />Voltage 6V<br />Φωτεινότητα 600 Lumens<br />Μοίρες 180º<br />Διάρκεια Ζωής 25.000h<br /><span data-spm-anchor-id=""a2g0o.detail.1000023.i0.1a232756pMJhVw"">Μπαταρία: Lithium 18650 3.7V 2200mAh</span><br />Θερμοκρασία -20°C / +40°C<br />Στεγανότητα IP65<br />Χρόνος φωτισμού: έως 8 ώρες<br />Χρόνος φόρτισης 6-8 ώρες σε ηλιοφάνεια<br />CRI Ra &gt; 80<br />Πιστοποίηση CE, RoHs<br /><br />Διαστάσεις προβολέα: 11.5 x 9.5cm<br />Διαστάσεις πάνελ: 14.5 x 9cm<br />Μήκος πασσάλου: 18.5cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
50873,Επαναφορτιζόμενο φωτιστικό κήπου LE,Επαναφορτιζόμενο φωτιστικό κήπου LED - 2204D - 559823,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/78b46dab3a60a2a23b8c0dc4b1678732.jpg,OEM,No Color,0.8,"Καρφωτό ηλιακό φωτιστικό σε μαύρο χρώμα, που συγκεντρώνει και αποθηκεύει ηλιακή ενέργεια για τη λειτουργία του, ώστε να μη χρειάζεται να συνδεθεί σε παροχή ρεύματος.
Διαθέτει αισθητήρα φωτός που του επιτρέπει να ενεργοποιείται αυτόματα κατά τη δύση του ηλίου.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55180,Ηλιακό φωτιστικό LED εξωτερικού χώρο,Ηλιακό φωτιστικό LED εξωτερικού χώρου - Επιτοίχιο - 431329,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/431329.jpg,OEM,No Color,1.0,"Ηλιακό φωτιστικό LED εξωτερικού χώρου, επιτοίχιο, ιδανικό για διακοσμητικό φωτισμό των εξωτερικών χώρων του σπιτιού σας. Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο. Χαρακτηριστικά: Ισχύς: 1W
Εξοικονόμηση Ενέργειας σε Σχέση με Συμβατικό Λαμπτήρα : >80%
Τάση Λειτουργίας/Τροφοδοσία : Φωτοβολταϊκό Πάνελ - Μπαταρία 600mAh
Ονομαστική Διάρκεια Ζωής: 50000 Ώρες
Κύκλος Ενεργοποίησης/Απενεργοποίησης: >50000
Θερμοκρασία Χρώματος Φωτισμού : 3000K
Κατηγορία Χρώματος Φωτισμού CCT : Θερμό Λευκό
Γωνία διάχυσης φωτός : 180° Μοίρες
Δείκτης Χρωματικής Απόδοσης CRI (Ra) : ≥90
Χρωματική Ομοιομορφία : ≤6 SDCM
Συντελεστής Διατήρησης Φωτεινής Ροής : 94%
ΔΙΑΣΤΑΣΕΙΣ & ΒΑΡΟΣ ΠΡΟΪΟΝΤΟΣ
Μήκος : 122mm
Πλάτος : 90mm
Ύψος : 51mm
Βάρος : 117g",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55183,Ηλιακό φωτιστικό-φαναράκι κήπου LED -,Ηλιακό φωτιστικό-φαναράκι κήπου LED - HY-0099 - 431305,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/431305.jpeg,OEM,No Color,1.0,"Ηλιακό φωτιστικό-φαναράκι κήπου LED, επιτοίχιο. Τροφοδοτείται αποκλειστικά από το ενσωματωμένο ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ.
Με αισθητήρα φωτός για αυτόματη ενεργοποίηση μολίς σκοτεινιάσει.
Διαστάσεις Υ x Π x Β: περίπου 25 x 16.5 x 12.5 cm
Χρόνος φόρτισης: περίπου 6-8 ώρες σε ηλιοφάνεια
Χρόνος φωτισμού: έως 8 ώρες
Βάρος: περ. 170 g
Κατασκευασμένο από πλαστικό",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55186,Ηλιακό φωτιστικό κήπου LED - 431312,Ηλιακό φωτιστικό κήπου LED - 431312,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/431312.jpg,OEM,No Color,1.0,"Ηλιακό φωτιστικό κήπου LED πλαστικό, με πάσσαλο τοποθέτησης στο έδαφος. Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ.
    Βαθμός στεγανότητας IP 44
    Υλικό κατασκευής PS/PP
    Μπαταρία 1,2V  CELL Ni-Mh(Περιλαμβάνεται)
    Εύκολη τοποθέτηση Καρφώνεται στο έδαφος.
    Διαστάσεις:310mm*140mm
    Χρώμα: μαύρο
    Εξοικονόμηση Ενέργειας έως 90%
    Λαμπτήρας LED ψυχρό λευκό
    Κατά τη διάρκεια της ημέρας οι ηλιακοί συλλέκτες μετατρέπουν την ηλιακή ενέργεια σε ηλεκτρική ενέργεια που φορτίζει την επαναφορτιζόμενη μπαταρία.
    *Το βράδυ, το φως ανάβει αυτόματα από την συσσωρευμένη ενέργεια .Η διάρκεια του φωτισμού εξαρτάται από την τοποθεσία , τον καιρό και την εποχή,μέχρι 6 ώρες.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55189,Ηλιακό φωτιστικό κήπου LED - 431299,Ηλιακό φωτιστικό κήπου LED - 431299,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/779836a0925b07eaa45aa3e4ed5f0fe1.jpg,OEM,No Color,1.0,"Ηλιακό φωτιστικό-φαναράκι κήπου LED πλαστικό, με πάσσαλο τοποθέτησης στο έδαφος. Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ.
Ύψος: 62cm (μαζί με τον πάσσαλο).
Διάμετρος φαναριού: 16,7 εκατοστά.
Ενσωματώνει λευκό Led φωτισμό και διακοσμητικό παραδοσιακό περίγραμμα.
Ενσωματώνει μπαταρία επαναφορτιζόμενη 1xAA 600mAh (συμπεριλαμβάνεται).
Φωτοβολταϊκός συλλέκτης 2,2V (συμπεριλαμβάνεται, ενσωματωμένος).
Διαθέτει αισθητήρα φωτός και ανάβει αυτόματα όταν σκοτεινιάσει.
Εύκολη εγκατάσταση, απλά βυθίζετε τον πάσσαλο στο χώμα.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55192,Ηλιακό φωτιστικό κήπου LED - HY-0083 - 8pcs -,Ηλιακό φωτιστικό κήπου LED - HY-0083 - 8pcs - 431282,in stock,new,18.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/c79109747eafc3b7adfc735ecd0e07ae.jpg,OEM,No Color,1.0,"<p>Ηλιακό φωτιστικό κήπου LED πλαστικό, με πάσσαλο τοποθέτησης στο έδαφος - <strong>Σετ 8 τεμαχίων.</strong> <br />Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ. Υλικό: Πλαστικό Χρώμα: Μαύρο Διαστάσεις: 8.5x8.5x36.5 εκ. Βάρος: 110 γρ. Χρώμα φωτισμού: Θερμό λευκό Ένταση φωτισμού: 5 lm Δείκτης στεγανότητας: IP44 Τύπος μπαταρίας: ΑΑΑ 1.2V 300mAh Ni-Mh, επαναφορτιζόμενη Χρόνος πλήρους φόρτισης: 8 ώρες σε ηλιοφάνεια. Τοποθέτηση: Καρφωτό στο έδαφος Διαθέτει αισθητήρα φωτός για αυτόματη ενεργοποίηση όταν σκοτεινιάσει.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55195,Ηλιακό φωτιστικό κήπου LED - 2pcs - 431275,Ηλιακό φωτιστικό κήπου LED - 2pcs - 431275,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a4da31b46e2275348e0c0031890422f7.jpg,OEM,No Color,1.0,"<p>Ηλιακό φωτιστικό κήπου LED πλαστικό, με επιτραπέζια βάση αλλά και πάσσαλο τοποθέτησης στο έδαφος - <strong>Σετ 2 τεμαχίων</strong>.<br />Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ. Χρώμα Υλικό: ABS+PVC Στεγανότητα: IP65 Ηλιακό πάνελ: 2V 100mA Χρόνος φόρτισης: 6-8 ώρες σε ηλιοφάνεια Χρόνος φωτισμού: έως 8 ώρες Ενσωματωμένη επαναφορτιζόμενη μπαταρία: NiMH 600mAh Πλήκτρο on/off.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
55198,Ηλιακό φωτιστικό κήπου LED - 2pcs - 431268,Ηλιακό φωτιστικό κήπου LED - 2pcs - 431268,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/84a27349dc16da10eed2ada828759364.jpg,OEM,No Color,1.0,"<p>Ηλιακό φωτιστικό κήπου LED πλαστικό, με επιτραπέζια βάση αλλά και πάσσαλο τοποθέτησης στο έδαφος - <strong>Σετ 2 τεμαχίων</strong>.<br />Τροφοδοτείται αποκλειστικά από το ηλιακό πάνελ και εγκαθιστάται ασύρματα χωρίς καλώδιο, ιδανικό για απόλυτα οικονομικό, διακοσμητικό φωτισμό κήπου-βεράντας κτλ. Χρώμα Υλικό: ABS+PVC Στεγανότητα: IP65 Ηλιακό πάνελ: 2V 100mA Χρόνος φόρτισης: 6-8 ώρες σε ηλιοφάνεια Χρόνος φωτισμού: έως 8 ώρες Ενσωματωμένη επαναφορτιζόμενη μπαταρία: NiMH 600mAh Πλήκτρο on/off.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φαναράκια LED>Φαναράκια κήπου
