id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
107992,Δισκόπλακα μοτοποδηλάτου - 665160,Δισκόπλακα μοτοποδηλάτου - 665160,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/05b1099c1c5b196961257ab45ac33fcc.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108004,Τακάκια φρένων ποδηλάτου - 665032,Τακάκια φρένων ποδηλάτου - 665032,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e3ce76c18cc87ce27e6eb99b63a05d4a.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108017,Κλειδί ποδηλάτου τύπου Y - S64-19A - 8/9/10mm,Κλειδί ποδηλάτου τύπου Y - S64-19A - 8/9/10mm - 652374,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/cea5911dd36511b1eab95ccbe134ba59.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108020,Σετ κλειδιών αφαίρεσης πεταλιέρας �,Σετ κλειδιών αφαίρεσης πεταλιέρας ποδηλάτου - S63-24B - 652329,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/8c576fe6946cb3653b8ef8eb5e44c1b8.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108023,Τιμόνι ποδηλάτου - S61-18 - Soldier - 652169,Τιμόνι ποδηλάτου - S61-18 - Soldier - 652169,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a097d1861045944eb167577cffeb1264.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108027,Ποτήρια πηρουνιού ποδηλατου - S59-04 - 4,Ποτήρια πηρουνιού ποδηλατου - S59-04 - 44mm - 652053,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/817a98f299b9559d2b9a46ad5136e4ae.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108030,Μεσαία τριβή ποδηλάτου - Ρουλεμάν - Z,Μεσαία τριβή ποδηλάτου - Ρουλεμάν - ZS57-24 - 651988,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/167afc6c3de9f05462a3ad0ad1a434d5.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108033,Λεβιέδες ταχυτήτων ποδηλάτου - Λεβι,Λεβιέδες ταχυτήτων ποδηλάτου - Λεβιεδομανέτες - S54-01 - 3+8SPEED - 651858,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ca348fdb02a931b85349ecf01d066aee.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108036,Λεβιέδες ταχυτήτων ποδηλάτου - Λεβι,Λεβιέδες ταχυτήτων ποδηλάτου - Λεβιεδομανέτες - S54-01 - 3+7SPEED - 651841,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/bfce83442670a1d53a7ad00c859d7f77.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108040,Δισκοβραχίονας ποδηλάτου - Μονός - S5,Δισκοβραχίονας ποδηλάτου - Μονός - S53-21-44T - 651827,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/346621aef1cd176109c9c2ec97f69d3a.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108049,Πετάλια ποδηλάτου - 2pcs - S44-39 - 651346,Πετάλια ποδηλάτου - 2pcs - S44-39 - 651346,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/7e42936d282621631bdf50c8a7b0b9e1.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
108052,Πετάλια ποδηλάτου - 2pcs - S44-30 - 651339,Πετάλια ποδηλάτου - 2pcs - S44-30 - 651339,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/beea72c5bb987b9525fd8a5f8b69fb43.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Ανταλλακτικά ποδηλάτου
