id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36325,Ημιαυτόματη τρόμπα – Buster Pump – AB-7808B ,Ημιαυτόματη τρόμπα – Buster Pump – AB-7808B - 494566,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_494566.jpg,OEM,No Color,1,"<p>Τρόμπα ποδιού 12 bar / 170 psi, περιέχονται σετ ακροφυσίων για ποδηλάτα και μπάλες.",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36327,Ημιαυτόματη τρόμπα – Buster Pump – AB-9809E ,Ημιαυτόματη τρόμπα – Buster Pump – AB-9809E - 784153,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_784153.jpg,OEM,No Color,1,<p>Τρόμπα ποδιού 12 bar / 170 psi με μανόμετρο</p><p>Διαστάσεις συσκευασίας: 12 x 17 cm</p>,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36782,Ημιαυτόματη τρόμπα - Buster Pump - 7808 - 494580,Ημιαυτόματη τρόμπα - Buster Pump - 7808 - 494580,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1507_494580.jpg,OEM,No Color,3,<p>Ημιαυτόματη Τρόμπα ποδιού Buster Pump - 7808.</p><ul><li>Περιλαμβάνονται 3 διαφορετικά ακροφύσια.</li><li>Ανθεκτική κατασκευή αλουμινίου</li><li>Εύκολη μεταφορά</li><li>Αντιολισθητική βάση ποδιού</li><li>Διαστάσεις συσκευασίας: 10 x 17cm</li><li> </li></ul>,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36937,Ημιαυτόματη τρόμπα - Buster Pump - AB350 - 90999,Ημιαυτόματη τρόμπα - Buster Pump - AB350 - 909995,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/909995_1310.jpg,OEM,No Color,7,<p>Ημιαυτόματη τρόμπα χειρός  Buster Pump-AB350. Πρακτικό μέγεθος για εύκολη μεταφορά και αποθήκευση και ελαφριά για εύκολη χρήση. Με μεταλλικό στήριγμα για έξτρα σταθερότητα.</p><ul><li>Πίεση αέρος: έως 7 bar/100 psi.</li><li>Μήκος λαβής: 13cm</li><li>Μήκος μεταλλικού στηρίγματος: 12cm</li><li>Περιλαμβάνει 3 διαφορετικούς αντάπτορες</li><li>Μήκος συσκευασίας: 41cm</li><li> </li></ul>,AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36938,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump ,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump - 0810 - 433552,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/433552_1310.jpg,OEM,No Color,7,"<p class=""page-title"">Ημιαυτόματη τρόμπα δαπέδου/χειρός με μανόμετρο.</p><ul><li>Υψός: 80cm</li><li>Βάρος: 1.5kg</li><li>Μήκος συσκευασίας: 68cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36939,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump ,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump - 6532 - 116532,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/116532_1310.jpg,OEM,No Color,7,"<p class=""page-title"">Ημιαυτόματη τρόμπα δαπέδου/χειρός με μανόμετρο.</p><ul><li>Υψός: 80cm</li><li>Βάρος: 1.5kg</li><li>Μήκος συσκευασίας: 64cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
36990,Ημιαυτόματη τρόμπα δαπέδου - 9001B - 0321,Ημιαυτόματη τρόμπα δαπέδου - 9001B - 032100,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/032100_811.jpg,OEM,No Color,7,"<p class=""page-title"">Ημιαυτόματη τρόμπα δαπέδου/χειρός με μανόμετρο.</p><ul><li>Υψός: 70cm</li><li>Βάρος: 1.5kg</li><li>Μήκος συσκευασίας: 57cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
37041,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump ,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump - 809 - 439967,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/439967_811.jpg,OEM,No Color,7,"<p class=""page-title"">Ημιαυτόματη τρόμπα δαπέδου/χειρός με μανόμετρο.</p><ul><li>Υψός: 80cm</li><li>Βάρος: 1.5kg</li><li>Μήκος συσκευασίας: 64cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
38475,Ηλεκτρικό σκουπάκι αυτοκινήτου & τρ,Ηλεκτρικό σκουπάκι αυτοκινήτου & τρόμπα - 4 in 1 - 509982,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1702_509982-1.jpeg,OEM,No Color,0.5,"<p>Ηλεκτρικό σκουπάκι αυτοκινήτου & τρόμπα 2 σε 1.<br />Η ιδανική επιλογή για το αυτοκίνητό σας!</p><p>Είναι εξοπλισμένο με διάφορα ακροφύσια αέρα. <br />Ο συμπαγής σχεδιασμός το καθιστά ελαφρύ και φορητό, εύκολο στη μεταφορά. <br />Εξαιρετική ποιότητα κατασκευής! Διαθέτει φακό για πιο εύκολη χρήση σε σκοτεινά σημεία.<br />Διαθέτει καλώδιο 2 μέτρων<br />Περιλαμβάνονται 3 ανταλλακτικές κεφαλές για διαφορετικά σημεία του αυτοκινήτου και 2 ακροφύσια αέρα</p><p>Working voltage: DC 12V</p><p>Power: 120W</p><p>Material: plastic</p><p>Διαστάσεις συσκευασίας: 36 x 16 cm</p>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
38493,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump ,Ημιαυτόματη τρόμπα δαπέδου - Buster Pump - 3557 - 135578,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_135578-1.jpg,OEM,No Color,7,"<p>Τρόμπα δαπέδου - 12 bar / 170 psi, με μανόμετρο<br />Ελαφριά, μικρού μεγέθους, με εργονομική λαβή για ευκολία χρήσης<br />Ατσάλινο στήριγμα βάσης για σταθερότητα<br />Περιέχονται 2 διαφορετικά είδη ακροφύσιων</p><ul><li>Μήκος συσκευασίας: 68cm</li></ul>",AUTO-MOTO-BIKE>Αξεσουάρ ποδηλάτου  μηχανής>Τρόμπες
