id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36914,Αεροσυμπιεστής οχημάτων - 501 - 12V - 03282,Αεροσυμπιεστής οχημάτων - 501 - 12V - 032827,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_032827-1.jpg,OEM,No Color,3.0,"<ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""39"">Μέγιστη</span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""2"" data-number-of-phrases=""39""> πίεση 140 PSI </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""4"" data-number-of-phrases=""39"">Τροφοδοσία απο τον αναπτήρα αυτοκινήτου </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""39"">Μανόμετρο</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""39"">Μικρό πρακτικό μέγεθος</span> για εύκολη μεταφορά</span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""18"" data-number-of-phrases=""39"">Τάση λειτουργίας: DC 12V</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""20"" data-number-of-phrases=""39"">Μέγιστο ρεύμα: 14Α</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""22"" data-number-of-phrases=""39"">Ποσότητα ροής: 27 L/MIN</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""30"" data-number-of-phrases=""39"">Συνεχής χρόνος λειτουργίας: 15 λεπτά</span></span></li><li>Διαστάσεις συσκευασίας: 19 x 14 cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
36929,Αεροσυμπιεστής οχημάτων - 102-3 - 12V - 512,Αεροσυμπιεστής οχημάτων - 102-3 - 12V - 512111,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1008_512125-1.jpg,OEM,No Color,3,"<ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""0"" data-number-of-phrases=""39"">Μέγιστη</span><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""2"" data-number-of-phrases=""39""> πίεση 150 PSI </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""4"" data-number-of-phrases=""39"">Τροφοδοσία απο τον αναπτήρα αυτοκινήτου </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""39"">Μανόμετρο</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""39"">Μικρό πρακτικό μέγεθος</span> για εύκολη μεταφορά</span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""18"" data-number-of-phrases=""39"">Τάση λειτουργίας: DC 12V</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""20"" data-number-of-phrases=""39"">Μέγιστο ρεύμα: 14Α</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""22"" data-number-of-phrases=""39"">Ποσότητα ροής: 27 L/MIN</span> </span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""30"" data-number-of-phrases=""39"">Συνεχής χρόνος λειτουργίας: 15 λεπτά</span></span></li><li>Διαστάσεις συσκευασίας: 21 x 19 cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
37205,Αεροσυμπιεστής οχημάτων - CY102-5 - 12V - 0,Αεροσυμπιεστής οχημάτων - CY102-5 - 12V - 091004,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/091004_812.png,OEM,No Color,8,<p>Χαρακτηριστικά:</p><ul><li>Power supply: DC12V</li><li>Rated Current: 30A</li><li>Διάμετρος κυλίνδρου: 40mm</li><li>Μέγιστη πίεση 150PSI</li><li>Max Duty Cycle 40min</li><li>Λάστιχο αέρα: 0.25m + 7m PA hose</li><li>Καλώδιο 2m</li><li>Βάρος: 19 kg</li><li>Διαστάσεις συσκευασίας: 30 x 22 cm</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
37771,Αεροσυμπιεστής οχημάτων - 102-15 - 512149,Αεροσυμπιεστής οχημάτων - 102-15 - 512149,in stock,new,126 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1008_512149-1.jpg,OEM,No Color,9.0,"<p>Τεχνικά Χαρακτηριστικά: Καλώδιο σύνδεσης 2,9 μέτρων, 12 V σε αναπτήρα αυτοκινήτου Μανόμετρο πίεσης 0-18 bar Μέγιστη πίεση έως 18 bar Μέγιστη παροχή αέρα έως 4,5 λίτρα/λεπτό Διαστάσεις 195x93x140 mm Βάρος καθ./μικτό 0.61/0.65 kg Εξοπλισμός: Λάστιχο αέρος με ταχυσύνδεσμο, 3 μπέκ για να φουσκώνετε μπάλες, στρώματα αέρος κτλ.</p><p>Διαστάσεις συσκευασίας: 40 x 28 cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
39403,Φορητό αεροσυμπιεστής οχημάτων – HX,Φορητό αεροσυμπιεστής οχημάτων – HX528G – 12/24V – 710255,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/710255_712.jpg,OEM,No Color,5,"<p>Διαθέτει:<br />Τροφοδοσία: DC 12V <br />Διάμετρος κυλίνδρου: 23MM <br />Μέγιστη ροή αέρα: 30L / Min <br />Ονομαστικό ρεύμα: 10A 150PSI <br />υψηλής ποιότητας μανόμετρο <br />3m καλώδιο με λάστιχο <br />0,5m λαστιχένιος σωλήνας με φως LED <br />Ακροφύσια 3pcs <br />LED LIGHTING: 4 τεμ LED φώτα για φωτισμό στο σκοτάδι.<br />Διαστάσεις συσκευασίας: 20 x 16 cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
54109,Ασύρματος αεροσυμπιεστής οχημάτων ,Ασύρματος αεροσυμπιεστής οχημάτων - CX219 - 710231,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/710231_712.png,OEM,No Color,2.0,"Ασύρματο επαναφορτιζόμενο κομπρεσέρ αέρος οχημάτων CX-219 με ψηφιακή οθόνη LCD και φακό LED, σε ιδιαίτερα πρακτικό μέγεθος για να μπορείτε να το έχετε πάντοτε στο αυτοκίνητό σας χωρίς να πιάνει χώρο.

Χαρακτηριστικά:
Τάση εισόδου: 12V
Τάση λειτουργίας: 11.1V
Ισχύς Max: 60W
Current Max: <6A
Output Volume: 20L/min
Πίεση Max: 150PSI
Μήκος σωλήνα: 1m
Χωρητικότητα μπαταρίας: 2000mah x3
Διαστάσεις προϊόντος: 17.2 x 7 x 5cm
Καθαρό βάρος: 578g
Περιλαμβάνονται φορτιστής αναπτήρα αυτοκινήτου, καλώδιο φόρτισης και 4 διαφορετικά ακροφύσια.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
54112,Αεροσυμπιεστής οχημάτων με σετ επι�,Αεροσυμπιεστής οχημάτων με σετ επισκευής ελαστικών - 323 - 710224,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/710224_712.jpg,OEM,No Color,2.0,"Πλήρες Κιτ - Βαλιτσάκι Επισκευής Ελαστικών & Κομπρεσέρ - Τρόμπα Αέρα 25Lt/m Αυτοκίνητου 12V MDB-323

Φτιάξτε το λάστιχο του αυτοκινήτου σας ή της μηχανής σας επιτόπου, γρήγορα και αποτελεσματικά με αυτό το πλήρες σετ επιδιόρθωσης ελαστικών με ενσωματωμένο compressor ισχυρής παροχής 25Lt/m.

Για να μην μείνετε ποτέ ξανά στο δρόμο. Απαραίτητο για κάθε οδηγό και κάθε αυτοκίνητο.
Περιέχει όλα τα αναγκαία εργαλεία που χρειάζονται για την επισκευή του ελαστικού. Περιέχει επιπλέον και υγρό διαλυτικό καουτσούκ για την επισκευή του ελαστικού.
Διαθέτει μακρύ καλώδιο σύνδεσης με τον αναπτήρα του αυτοκινήτου.
Το κιτ περιλαμβάνει ανταλλακτικά για 4 επισκευές ελαστικών με 1 κοπίδι, 2 ""σουβλιά"" και ακροφύσια για την σύνδεση με το λάστιχο.",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
54118,Αεροσυμπιεστής ρεύματος - 102-14 - 220V - 7,Αεροσυμπιεστής ρεύματος - 102-14 - 220V - 758200,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_758200-1.jpg,OEM,No Color,3.0,"Ενσωματωμένο μανόμετρο
Μήκος καλωδίου ρεύματος: 3.5m
Ρυθμός παροχής αέρα:35L/min
Ισχύς εισόδου: 220V

Διαστάσεις συσκευασίας: 21 x 17 cm",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
105807,Ασύρματος αεροσυμπιεστής οχημάτων ,Ασύρματος αεροσυμπιεστής οχημάτων - 1711319/03 - 170412,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/710231_712.png,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
107273,Αεροσυμπιεστής οχημάτων - 1711303B/B1 - 12V,Αεροσυμπιεστής οχημάτων - 1711303B/B1 - 12V - 170649,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/be3e118b54d612be99db7de3fbe48957.jpg,OEM,No Color,3.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Αεροσυμπιεστές
