id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35167,Προβολέας οχημάτων LED - 27W - 238402,Προβολέας οχημάτων LED - 27W - 238402,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/pr27w1.jpg,OEM,No Color,0.5,"<p>Τετράγωνος προβολέας οχημάτων και ομίχλης, 9 LED, 27w. <br />Διαθέτει μία σκάλα φωτισμού.<br />Υψηλή φωτεινότητα και σταθερότητα. <br />Μακρά διάρκεια ζωής, χαμηλής κατανάλωσης. <br />Πάνω από 30,000 ώρες ζωής. <br />Περίβλημα από σκληρό αλουμίνιο,αδιάβροχος. <br />Σύστημα προστασίας το οποίο προστατεύει ακόμα και αν συνδεθεί με λάθος πολικότητα. <br />Κατάλληλο για διαδρομές off-road, φορτηγά, τρακτέρ, περονοφόρα οχήματα, εκσκαφείς.κ.λ.π. <br />Διάσταση 10Χ10 εκατοστά.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
35252,Προβολέας οχημάτων LED - 96W - D3096 - 143096,Προβολέας οχημάτων LED - 96W - D3096 - 143096,in stock,new,99 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/prred.jpeg,OEM,No Color,7,"<p><strong>Χαρακτηριστικά:</strong> <br />Κατάλληλο για: Όλα τα off road οχήματα: φορτηγά, τρακτέρ, μπουλντόζες, γερανοί, κλπ. Ειδικά οχήματα: πυροσβεστικά οχήματα, αυτοκίνητα αστυνομίας, οχήματα διάσωσης. Ακόμη: για τρένα, βάρκες, λεωφορεία. <br />Για εσωτερικό ή εξωτερικό χώρο. <br /><strong>Τεχνικά Χαρακτηριστικά:</strong> <br />Ισχύς: 96W <br />Τάση: 10-30V <br />Φακός: PC Chip: 3W x 32 LEDs <br />Εκπομπή φωτός: 30<sup>o</sup> Spot και 60<sup>o</sup> Flood <br />Επίπεδο Αδιαβροχότητας: IP67 <br />Φωτεινότητα: 8500 lumens <br />Θερμοκρασία φωτός: 6000K <br />Θερμοκρασία λειτουργίας: -40<sup>o</sup>C~+80<sup>o</sup>C <br />Διάρκεια ζωής: 30.000 ώρες <br />Υλικό κατασκευής: περίβλημα από κραμα αλουμινίου Βραχίονας στήριξης από ανοξείδωτο ατσάλι</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
35347,Προβολέας οχημάτων LED - 27W - 238617,Προβολέας οχημάτων LED - 27W - 238617,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/led27w-1.jpg,OEM,No Color,0.5,<p>Ισχύς: 27 Watt <br />Ισοδυναμία ισχύος: 270 Watt <br />Τάση: 10-30 Volt DC <br />Φωτεινότητα: 2430 Lumen <br />Dimming:  Όχι <br />Τύπος χρώματος: Ψυχρό Λευκό 6000 Κelvin <br />Τύπος LED: CREE LED High Power <br />Γωνία διάχυσης φωτός: Δέσμη 30° μοιρών <br />Διάρκειας ζωής: &gt; 30.000 ώρες <br />Πιστοποιητικά: CE και ROHS <br />Βάρος: 600γρ <br />Μήκος: 110mm Πλάτος: 45mm Ύψος: 128mm<br />Διαθέτει μία σκάλα φωτισμού.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
35516,Προβολέας οχημάτων LED - 162W - 190770,Προβολέας οχημάτων LED - 162W - 190770,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190770.jpg,OEM,No Color,0.5,"<p>Προβολέας οχημάτων LED, Στρόγγυλος<br />162W<br />4500 Lumen <br />Αδιάβροχος IP66<br />Διάμετρος 11cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36393,Φανάρι οπισθοπορείας φορτηγού LED - 12,Φανάρι οπισθοπορείας φορτηγού LED - 12V - 81 LED - 170327_12,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_170327.jpg,OEM,No Color,0.9,<p>Φανάρι οπισθοπορείας φορτηγού LED με 81 λαμπτήρες LED.<br />Τάση: 12V</p><p>Διαστάσεις συσκευασίας: 50 x 15 cm</p><p> </p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36396,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγ,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγού LED - 24V - 002109,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_002109.jpg,OEM,No Color,4,<p>Το πακέτο περιέχει 2 τεμάχια από φανάρι φορτηγού 24V.</p><p>Διαστάσεις συσκευασίας: 33 x 14 cm</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36397,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγ,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγού LED - 24V - 002505,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_002505.jpg,OEM,No Color,4,<p>Το πακέτο περιέχει 2 τεμάχια από φανάρι φορτηγού 24V</p><p>Διαστάσεις συσκευασίας: 51 x 13 cm</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36398,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγ,Σετ 2Χ - Φανάρι οπισθοπορείας φορτηγού LED - 24V - 062400,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_062400.jpg,OEM,No Color,4,<p>Το πακέτο περιέχει 2 τεμάχια από φανάρι φορτηγού 24V.</p><p>Διαστάσεις συσκευασίας: 44 x 15 cm</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36626,Περιστρεφόμενος φάρος οχημάτων - Ambe,Περιστρεφόμενος φάρος οχημάτων - Amber 48LED - DC 10-30V - RD205-48 - 238518,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_238518.jpg,OEM,No Color,0.7,"<div class=""electro-description clearfix""><p>Φάρος Έκτακτης Ανάγκης – Προειδοποίησης</p><p>Με 48 LED</p><p>Ιδανικό για χρήση σε σκοτεινούς – ομιχλώδεις καιρούς</p><p>Εξαιρετικά  ισχυρή  λυχνία: αναβοσβήνει  90  φορές  το λεπτό</p><ul><li>Διάμετρος  βάσης: 124 mm</li><li>Μήκος: 120 mm</li><li>Γρήγορη σύνδεση</li><li>Τροφοδοσία ρεύματος  –  10-30V</li><li>Τοποθέτηση: Μαγνήτης / Βίδες</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
36701,Προβολέας οχημάτων LED - 101423 - 420080,Προβολέας οχημάτων LED - 101423 - 420080,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_420080.jpg,OEM,No Color,0.9,<p>Προβολέας οχημάτων LED - 101423</p><p>Διαστάσεις: 13 x 6 cm</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Προβολείς  φώτα όγκου LED
