id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37509,Επαναφορτιζόμενο φωτιστικό δαπέδο�,Επαναφορτιζόμενο φωτιστικό δαπέδου - 5930-2 - 613929,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_613929-1.jpg,OEM,No Color,0.5,,Uncategorized
38270,Επαναφορτιζόμενη λάμπα LED με γάντζο,Επαναφορτιζόμενη λάμπα LED με γάντζο - V101 - 186118,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/186118.png,OEM,No Color,0.2,"<p>Επαναφορτιζόμενη λάμπα LED με γαντζάκι/κρεμάστρα ιδανική για οικονομικό φωτισμό χωρίς περιττά καλώδια, σε κάθε εξωτερικό αλλά και εσωτερικό χώρο.</p>",Uncategorized
97816,Παιχνίδι με τρόμπα φουσκώματος μπα�,Παιχνίδι με τρόμπα φουσκώματος μπαλονιών - KB159-2 - 222413,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/5b535ce08ded7b83550b39832ef65bef.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
97825,Παιχνίδι διάδρομος δεινοσαύρων - BL00,Παιχνίδι διάδρομος δεινοσαύρων - BL006 - 221838,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/dd9ae7aca1b8329820cb0c65234a84c4.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
97840,Όπλο εκτόξευσης χαρτονομισμάτων - Mo,Όπλο εκτόξευσης χαρτονομισμάτων - Money Gun - 2026-2 - 222405,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d8d1790f2f84dd6b9c46444693b214f7.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
98533,Παιχνίδι στόχου με ρουκέτα - Q-6081 - 2231,Παιχνίδι στόχου με ρουκέτα - Q-6081 - 223192,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/0abce86f987eff5c60472b1e79b1037f.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
99486,Σετ βαλιτσάκι δεινοσαύρων - 678-305A - 221,Σετ βαλιτσάκι δεινοσαύρων - 678-305A - 221352,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/e091d3654e34b57413e832683540b2f7.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
99904,Σετ τσαγιού με αξεσουάρ - 007-9 - 221562,Σετ τσαγιού με αξεσουάρ - 007-9 - 221562,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a1b4ff8cb6f50984ee9380c40a93e16e.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
100394,Παιχνίδι αεροδρόμιο - 8877C - 221899,Παιχνίδι αεροδρόμιο - 8877C - 221899,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/8c497537af65377cbaf37679e1898a4e.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
101623,Ηλεκτρονικός δεινόσαυρος - 6709 - 222514,Ηλεκτρονικός δεινόσαυρος - 6709 - 222514,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a67a219e3205c57a1f3340606c117f55.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
104529,Παιδικά κιάλια - 13717-20 - 341228,Παιδικά κιάλια - 13717-20 - 341228,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a668f6921fa5b6c32a6447d07a234eeb.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
104532,Παιχνίδι σβούρα με spinner - 2205D - 341211,Παιχνίδι σβούρα με spinner - 2205D - 341211,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/5736faae72a46747e8de09ab76eb7888.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,Uncategorized
