id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35412,Αξεσουάρ αλιείας - 20g - 20059,Αξεσουάρ αλιείας - 20g - 20059,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20059.jpg,OEM,No Color,0.3,Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35413,Αξεσουάρ αλιείας - 30g - 20060,Αξεσουάρ αλιείας - 30g - 20060,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20060.jpg,OEM,No Color,0.3,Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35414,Αξεσουάρ αλιείας - 40g - 20061,Αξεσουάρ αλιείας - 40g - 20061,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20061.jpg,OEM,No Color,0.3,Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35415,Αξεσουάρ αλιείας - 50g - 20062,Αξεσουάρ αλιείας - 50g - 20062,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20062.jpg,OEM,No Color,0.3,Αξεσουάρ αλιείας υψηλής ποιότητας και αντοχής. Ιδανικό για κάθε φίλο του ψαρέματος.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35453,Σουγιάς ψαρέματος - 20155,Σουγιάς ψαρέματος - 20155,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20155.jpg,OEM,No Color,0.3,<p>Σουγιάς ψαρέματος με εργονομική λαβή και θήκη προστασίας.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35454,Σουγιάς ψαρέματος - 20156,Σουγιάς ψαρέματος - 20156,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20156.jpg,OEM,No Color,0.3,<p>Σουγιάς ψαρέματος με εργονομική λαβή και θήκη προστασίας.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35455,Σουγιάς ψαρέματος - 20154,Σουγιάς ψαρέματος - 20154,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20157.jpg,OEM,No Color,0.3,<p>Σουγιάς ψαρέματος με εργονομική λαβή και θήκη προστασίας.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35688,Παράμαλα με αγκίστρια - #18 - 30317,Παράμαλα με αγκίστρια - #18 - 30317,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15713210567.jpg,OEM,No Color,0.3,"<div class=""prod-descr""><div class=""prod-descr"">Έτοιμα παράμαλα φτιαγμένα με πετονιά και αρματωμένα με παπαγαλέ αγκίστρια, ιδανικά για το ψάρεμα της τσιπούρας. Κατασκευασμένα από υψηλής ποιότητας πετονιές και αγκίστρια. Μέγεθος: 18#</div><div class=""prod-descr"">Αυθεντικό προϊόν Tradesor!</div></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35692,Παράμαλα με αγκίστρια - #22 - 30319,Παράμαλα με αγκίστρια - #22 - 30319,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15713zz0567.jpg,OEM,No Color,0.3,"<div class=""prod-descr"">

Έτοιμα παράμαλα φτιαγμένα με πετονιά και αρματωμένα με παπαγαλέ αγκίστρια, ιδανικά για το ψάρεμα της τσιπούρας.

Κατασκευασμένα από υψηλής ποιότητας πετονιές και αγκίστρια.

Μέγεθος: 22#

&nbsp;

Αυθεντικό προϊόν Tradesor!

</div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
35696,Παράμαλα με αγκίστρια - #20 - 30318,Παράμαλα με αγκίστρια - #20 - 30318,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15713zz210567.jpg,OEM,No Color,0.3,"<div class=""prod-descr"">

Έτοιμα παράμαλα φτιαγμένα με πετονιά και αρματωμένα με παπαγαλέ αγκίστρια, ιδανικά για το ψάρεμα της τσιπούρας.

Κατασκευασμένα από υψηλής ποιότητας πετονιές και αγκίστρια.

Μέγεθος: 20#

&nbsp;

Αυθεντικό προϊόν Tradesor!

</div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Αξεσουάρ αλιείας
