id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37387,Απόχη ψαρέματος - 30354,Απόχη ψαρέματος - 30354,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30354.png,OEM,No Color,5,"<div id=""tab-description"" class=""panel entry-content wc-tab""><div class=""prod-descr""><p>Τηλεσκοπική απόχη ψαρέματος μεγέθους, υψηλής ποιότητας και αντοχής.<br />Διαστάσεις:<br />Κλειστή: 88cm<br />Ανοιχτή: 1.65m και 2.10m μαζί με την απόχη.</p><p>Αυθεντικό προϊόν Tradesor</p></div></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
38199,Απόχη ψαρέματος – Πλαστική - 30697,Απόχη ψαρέματος – Πλαστική - 30697,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30697.jpg,OEM,No Color,0.2,<p>Απόχη ψαρέματος – Πλαστική με εργονομική λαβή</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
39471,Απόχη ψαρέματος – 30350,Απόχη ψαρέματος – 30350,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30350_712.jpg,OEM,No Color,5.5,"<div id=""tab-description"" class=""tab-pane tab-content active""><div id=""tab-description"" class=""panel entry-content wc-tab""><div class=""prod-descr""><p>Τηλεσκοπική απόχη ψαρέματος με επεκτεινόμενη τηλεσκοπική λαβή μήκους 60cm έως 1.20m, αφαιρούμενη.<br />Διάμετρος απόχης: 40cm, πτυσσόμενη για εύκολη μεταφορά και αποθήκευση.<br />Υψηλής ποιότητας και αντοχής.</p></div></div></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94537,Απόχη ψαρέματος - 31044,Απόχη ψαρέματος - 31044,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/2ed9d181d03d358cc3f32faf48bd8e72.jpg,OEM,No Color,1.0,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94540,Απόχη ψαρέματος - 30cm - 31043,Απόχη ψαρέματος - 30cm - 31043,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a22195c613c4a7ad6e4db59bfe908cb9.jpg,OEM,No Color,1.0,"Απόχη ψαρέματος διαμέτρου 30cm, με λαβή αλουμινίου με αντιολισθητικό κάλυμμα και δίχτυ από ενισχυμένο ανθεκτικό Nylon.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94543,Απόχη ψαρέματος - 30cm - 31042,Απόχη ψαρέματος - 30cm - 31042,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d5feff48a04f7695181639175c99d367.jpg,OEM,No Color,1.0,"Απόχη ψαρέματος διαμέτρου 30cm, με λαβή αλουμινίου με αντιολισθητικό κάλυμμα και δίχτυ από ενισχυμένο ανθεκτικό Nylon.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94546,Απόχη ψαρέματος τηλεσκοπική - 31041,Απόχη ψαρέματος τηλεσκοπική - 31041,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/bd649fcc4b54e0dce5f5a76e21306602.jpg,OEM,No Color,1.0,Απόχη ψαρέματος τηλεσκοπική με λαβή αλουμινίου με προστατευτικά και δίχτυ από ενισχυμένο ανθεκτικό Nylon.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94549,Απόχη ψαρέματος - 31040,Απόχη ψαρέματος - 31040,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a414c206cc78c3de32d205d9775bd2eb.jpg,OEM,No Color,1.0,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94552,Απόχη ψαρέματος - 31039,Απόχη ψαρέματος - 31039,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/10033e87bfcb3ba221cbf1592b8b1c62.jpg,OEM,No Color,1.0,,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
94555,Απόχη ψαρέματος δίσπαστη - 31038,Απόχη ψαρέματος δίσπαστη - 31038,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ce8e2fbb8645d0271fee5cc95cfa157a.jpg,OEM,No Color,1.0,Απόχη ψαρέματος δίσπαστη. Διαθέτει λαβή αλουμινίου με προστατευτικά και δίχτυ από ενισχυμένο ανθεκτικό Nylon.,ΕΙΔΗ ΑΛΙΕΙΑΣ>Απόχες ψαρέματος
