id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35407,Βαρίδι αλιείας τύπου Breakaway - 20044,Βαρίδι αλιείας τύπου Breakaway - 20044,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20044-1.jpg,OEM,No Color,0.3,"<div class=""prod-descr"">Βαρίδι ψαρέματος τύπου Breakaway, το αεροδυναμικό του σχήμα, σας επιτρέπει να πραγματοποιείτε μακρινές βολές, ενώ το σχήμα άγκυρας του προσδίδει σταθερότητα στο βυθό.</div><div class=""prod-descr"">Οι συρμάτινες ακτίνες αγκιστρώνονται στο βυθό και κρατούν την αρματωσιά σας στη θέση της.<br /><ul><li>Η συσκευασία περιέχει 1 βαρίδι</li><li>Βάρος: 80g</li></ul></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35408,Βαρίδι αλιείας τύπου Breakaway - 20045,Βαρίδι αλιείας τύπου Breakaway - 20045,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20045-1.jpg,OEM,No Color,0.3,"<div class=""prod-descr"">Βαρίδι ψαρέματος τύπου Breakaway, το αεροδυναμικό του σχήμα, σας επιτρέπει να πραγματοποιείτε μακρινές βολές, ενώ το σχήμα άγκυρας του προσδίδει σταθερότητα στο βυθό.</div><div class=""prod-descr"">Οι συρμάτινες ακτίνες αγκιστρώνονται στο βυθό και κρατούν την αρματωσιά σας στη θέση της.<br /><ul><li>Η συσκευασία περιέχει 1 βαρίδι</li><li>Βάρος: 100g</li></ul></div>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35416,Μολυβοκεφαλές με αγκίστρι - 20067,Μολυβοκεφαλές με αγκίστρι - 20067,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20067-1.jpg,OEM,No Color,0.3,"Μοναδικής ποιότητας μολυβοκεφαλές μπλε χρώματος, με ανεξίτηλες βαφές που θεωρούνται η ιδανική επιλογή για τεχνικές ψαρέματος Spinning  και Rock Fishing. Διαθέτουν ενισχυμένο αγκίστρι, κατάλληλες για ζωντανό αλλά και νωπό δόλωμα,με ειδικά σχεδιασμένη, ενισχυμένη θηλιά, όπου μπορούν να προσαρμοστούν εύκολα σαλαγκιές ή αγκίστρια με νήμα.

Η συσκευασία περιλαμβάνει 6 τεμάχια.

Αυθεντικό προϊόν Tradesor.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35756,Βαρίδια αλιείας με θηλιά - 20gr - 30165,Βαρίδια αλιείας με θηλιά - 20gr - 30165,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786378790592772-1.jpg,OEM,No Color,0.3,<p>Βαρίδια ψαρέματος με θηλιά.</p><ul><li>Η συσκευασία περιέχει 4 βαρίδια</li><li>Βάρος: 20g</li></ul><p>Αυθεντικό προϊόν Tradesor.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35757,Βαρίδια αλιείας με θηλιά - 20gr - 4pcs - 301,Βαρίδια αλιείας με θηλιά - 20gr - 4pcs - 30164,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1578637962273500-1.jpg,OEM,No Color,0.3,<p>Βαρίδια ψαρέματος με θηλιά.</p><ul><li>Η συσκευασία περιέχει 4 βαρίδια</li><li>Βάρος: 20g</li></ul><p>Αυθεντικό προϊόν Tradesor.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35758,Βαρίδια αλιείας με θηλιά - 80gr - 2pcs - 301,Βαρίδια αλιείας με θηλιά - 80gr - 2pcs - 30170,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786391012039414-1.jpg,OEM,No Color,0.3,<p>Βαρίδια ψαρέματος με θηλιά.</p><ul><li>Η συσκευασία περιέχει 2 βαρίδια</li><li>Βάρος: 80g</li></ul><p>Αυθεντικό προϊόν Tradesor.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35759,Βαρίδια αλιείας με θηλιά - 70gr - 30169,Βαρίδια αλιείας με θηλιά - 70gr - 30169,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786391687989194-1.jpg,OEM,No Color,0.3,"Βαρίδια ψαρέματος με θηλιά.
<ul>
 	<li>Η συσκευασία περιέχει 2 βαρίδια</li>
 	<li>Βάρος: 70g</li>
</ul>
Αυθεντικό προϊόν Tradesor.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35760,Βαρίδια αλιείας με θηλιά - 60gr - 30168,Βαρίδια αλιείας με θηλιά - 60gr - 30168,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786392062032885-1.jpg,OEM,No Color,0.3,"Βαρίδια ψαρέματος με θηλιά.
<ul>
 	<li>Η συσκευασία περιέχει 2 βαρίδια</li>
 	<li>Βάρος: 60g</li>
</ul>
Αυθεντικό προϊόν Tradesor.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35761,Βαρίδια αλιείας με θηλιά - 50gr - 30167,Βαρίδια αλιείας με θηλιά - 50gr - 30167,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786392708026703-1.jpg,OEM,No Color,0.3,"Βαρίδια ψαρέματος με θηλιά.
<ul>
 	<li>Η συσκευασία περιέχει 2 βαρίδια</li>
 	<li>Βάρος: 50g</li>
</ul>
Αυθεντικό προϊόν Tradesor.",ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
35762,Βαρίδια αλιείας με θηλιά - 40gr - 2pcs - 301,Βαρίδια αλιείας με θηλιά - 40gr - 2pcs - 30166,in stock,new,1.26 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786393291047643-1.jpg,OEM,No Color,0.3,<p>Βαρίδια ψαρέματος με θηλιά.</p><ul><li>Η συσκευασία περιέχει 2 βαρίδια</li><li>Βάρος: 40g</li></ul><p>Αυθεντικό προϊόν Tradesor.</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Βαρίδια  μολύβια
