id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37015,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #30 - 30590,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30593_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 30cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37016,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #40 - 30591,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30593_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 40cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37017,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #50 - 30592,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30593_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 50cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37018,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #60 - 30593,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30593_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 60cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37019,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #40 - 30600,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30602_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 40cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37020,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #45 - 30601,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30602_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 45cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37021,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #50 - 30602,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30602_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 50cm</p><p> </p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37022,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 30x60cm - 30594,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 30x60cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37023,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 30x90cm - 30595,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 30x90cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37024,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 35x70cm - 30596,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 35x70cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37025,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 35x90cm - 30597,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 35x90cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37026,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 40x80cm - 30598,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 40x80cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37027,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - 40x120cm - 30599,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30599_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών</p><p>Διαστάσεις: 40x120cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
37028,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαρι,Πτυσσόμενο ψαροκάλαθο φύλαξης ψαριών - Δίχτυ - #45 - 30589,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30588_811.jpg,OEM,No Color,1,<p>Δίχτυ αποθήκευσης ψαριών διαμέτρου 45cm</p>,ΕΙΔΗ ΑΛΙΕΙΑΣ>Δίχτυα  παγίδες
