id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35665,Καλάμι ψαρέματος - 1.2μ - 30030,Καλάμι ψαρέματος - 1.2μ - 30030,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15778478626062255.jpg,OEM,No Color,8,"<table border=""0"" frame=""VOID"" rules=""NONE"" cellspacing=""0""><colgroup><col width=""112"" /><col width=""166"" /><col width=""94"" /><col width=""133"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /></colgroup><tbody><tr><td align=""LEFT"" valign=""MIDDLE"" width=""112"" height=""38"">1.2米</td><td align=""LEFT"" valign=""MIDDLE"" width=""166"">60cm</td><td align=""LEFT"" valign=""MIDDLE"" width=""94"">100-200g</td><td align=""LEFT"" valign=""MIDDLE"" width=""133""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72"">30030 διαφανή ράβδο εποξειδίου 1,2 m 60cm 100-200g</td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td></tr></tbody></table>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35666,Καλάμι ψαρέματος - 2.7μ - 30034,Καλάμι ψαρέματος - 2.7μ - 30034,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15778478038834113.jpg,OEM,No Color,8,"<table border=""0"" frame=""VOID"" rules=""NONE"" cellspacing=""0""><colgroup><col width=""112"" /><col width=""166"" /><col width=""94"" /><col width=""133"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /><col width=""72"" /></colgroup><tbody><tr><td align=""LEFT"" valign=""MIDDLE"" width=""112"" height=""38"">2.7米</td><td align=""LEFT"" valign=""MIDDLE"" width=""166"">135cm</td><td align=""LEFT"" valign=""MIDDLE"" width=""94"">100-200g</td><td align=""LEFT"" valign=""MIDDLE"" width=""133""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72"">30034 διαφανή ράβδο εποξειδίου 2,7m 135cm 100-200g</td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td><td align=""LEFT"" valign=""MIDDLE"" width=""72""> </td></tr></tbody></table>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35667,Καλάμι ψαρέματος - 3.9μ - 30036,Καλάμι ψαρέματος - 3.9μ - 30036,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15778461497099253-1.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος υψηλής ποιότητα και αντοχής, τρίσπαστο, μήκους 3.9m</p><p>Μήκος τμημάτων: 3 x 1.3m</p><p>Βάρος αντοχής: 100-250g</p><p>Βάρος καλαμιού: 670g</p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35736,Καλάμι ψαρέματος - 3.6μ - 30056,Καλάμι ψαρέματος - 3.6μ - 30056,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15777150328479145.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος υψηλής ποιότητα και αντοχής, τρίσπαστο, μήκους 3.6m</p><p>Μήκος τμημάτων: 3 x 1.20m</p><p>Βάρος αντοχής: 100-250g</p><p>Βάρος καλαμιού: 620g</p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35746,Καλάμι ψαρέματος - 3.9μ - SANDS390 - 30054,Καλάμι ψαρέματος - 3.9μ - SANDS390 - 30054,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15795116842237268-scaled-1.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, τρίσπαστο, 3.9m, υψηλής ποιότητα και αντοχής, από ενισχυμένες ίνες.</p><p>Μήκος κλειστό: 1.38m</p><p>Βάρος αντοχής: 200g</p><p>Βάρος καλαμιού: 680g</p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35747,Καλάμι ψαρέματος - 3.6μ - SANDS360 - 30053,Καλάμι ψαρέματος - 3.6μ - SANDS360 - 30053,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15795117186597348-scaled-1.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, τρίσπαστο, 3.6m, υψηλής ποιότητα και αντοχής, από ενισχυμένες ίνες.</p><p>Μήκος κλειστό: 1.26m</p><p>Βάρος αντοχής: 200g</p><p>Βάρος καλαμιού: 620g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
35999,Καλάμι ψαρέματος - 1.2m - 30035,Καλάμι ψαρέματος - 1.2m - 30035,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15847631644375546.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, υψηλής ποιότητας και αντοχής.</p><p>Υλικό: διαφανής εποξειδική ρητίνη</p><p>Μήκος: 1.2 μέτρα</p><p>60cm</p><p>Βάρος: 100-200g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
36000,Καλάμι ψαρέματος - 2.7m - 30039,Καλάμι ψαρέματος - 2.7m - 30039,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15847632195125523.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, υψηλής ποιότητας και αντοχής.</p><p>Υλικό: διαφανής εποξειδική ρητίνη</p><p>Μήκος: 2,7 μέτρα</p><p>135cm</p><p>Βάρος: 100-200g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
36440,Καλάμι ψαρέματος 4.2m - 30509,Καλάμι ψαρέματος 4.2m - 30509,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30509.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, τηλεσκοπικό, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
36441,Καλάμι ψαρέματος 4.2m - 30511,Καλάμι ψαρέματος 4.2m - 30511,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30511.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, τηλεσκοπικό, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
36442,Καλάμι ψαρέματος  4.2m - 30508,Καλάμι ψαρέματος  4.2m - 30508,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30508.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, τηλεσκοπικό, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
36861,Καλάμι ψαρέματος - 1.5m - 30587,Καλάμι ψαρέματος - 1.5m - 30587,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30587_1009.jpg,OEM,No Color,8,"<p>Νέα σειρά καλαμιών ψαρέματος υψηλής ποιότητας κατασκευής, από ενισχυμένες ίνες.</p><p>Μήκος: 1.5m</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37009,Καλάμι ψαρέματος - 1.6m - 30635,Καλάμι ψαρέματος - 1.6m - 30635,in stock,new,28.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30635_811.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, 1.60m με 6 οδηγούς, ενιαίο.</p><p>Απόλυτα ανθεκτική κατασκευή με αντιολισθητική λαβή.</p><p>Action: 15-30lbs</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37010,Καλάμι ψαρέματος - 2.7m - 30638,Καλάμι ψαρέματος - 2.7m - 30638,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30638_811.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, 2.7m με 6 οδηγούς.</p><p>Απόλυτα ανθεκτική κατασκευή με αντιολισθητική λαβή.</p><p>Action: 200g</p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37011,Καλάμι ψαρέματος - 3.6m - 30658,Καλάμι ψαρέματος - 3.6m - 30658,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30658_811.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος 3.6m, τηλεσκοπικό, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37030,Κεφαλές καλαμιού - 30636,Κεφαλές καλαμιού - 30636,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30636_811.jpg,OEM,No Color,1,"<p>Κεφαλές καλαμιού, διαθέσιμες σε <strong>2mm</strong> και <strong>4mm</strong> (Σημειώστε το μέγεθος προτίμησής σας στις σημειώσεις παραγγελίας σας)</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37401,Καλάμι ψαρέματος - 2.7m - 30519,Καλάμι ψαρέματος - 2.7m - 30519,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30519.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37402,Καλάμι ψαρέματος - 2.1m - 30518,Καλάμι ψαρέματος - 2.1m - 30518,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30518.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37403,Καλάμι ψαρέματος - 1.8m - 30517,Καλάμι ψαρέματος - 1.8m - 30517,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30517.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.</p><p>Casting power: 10-30g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37405,Καλάμι ψαρέματος - 2.1m - 30515,Καλάμι ψαρέματος - 2.1m - 30515,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30515.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.<br />Action: 5-25g.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37406,Καλάμι ψαρέματος - 1.8m - 30514,Καλάμι ψαρέματος - 1.8m - 30514,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_30514.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37407,Καλάμι ψαρέματος - 2.7m - 30067,Καλάμι ψαρέματος - 2.7m - 30067,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/16387905981569969.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.<br />CW: 5-25g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37408,Καλάμι ψαρέματος - 2.1m - 30066,Καλάμι ψαρέματος - 2.1m - 30066,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30066.png,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
37409,Καλάμι ψαρέματος - 2.1m - 30048,Καλάμι ψαρέματος - 2.1m - 30048,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_30048.jpg,OEM,No Color,8,"<p>Καλάμι ψαρέματος, δίσπαστο, από ενισχυμένες ίνες, οπλισμένο με οδηγούς και εργονομική λαβή υψηλής ποιότητας.<br />Casting weight: 100-250g</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Καλάμια ψαρέματος
